29    29    683    3:3:2:    3:3:1:    3:1:    C[6]-3:C[6]-3:Br-2:    N[5,6]-3:C[6]-3:H-1:    C[6]-3:H-1:    C[6](C[6]HN)2(BrH)    C[6](N[5,6]RuC)(C[6]BrC)(H)    Br(C[6]CC)(H)    120.3040    0.000    1    120.3040    0.0000    1    120.3040    0.0000    1    119.8081    0.6375    4
29    29    699    3:2:3:    2:3:4:    3:4:1:    C[6]-3:N[6]-2:C-3:    O[6]-2:C[6]-3:C-4:    C[6]-3:C-4:O-1:    C[6](C[6]CO)(N[6]N)(CCO)    C[6](O[6]Cu)(C[6]CN)(CH3)    C(C[6]CN)(CH3)(O)    122.9200    0.890    8    122.9402    0.7930    10    122.9402    0.7930    10    120.6728    2.3595    65794
29    29    699    3:2:3:    3:2:1:    3:1:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:H-1:    C[6]-3:O-1:O-1:    C[6](C[6]HN)(N[6]C)(COO)    C[6](C[6]CN)(N[6]C)(H)    C(C[6]CN)(O)2    121.5568    0.858    10    121.5568    0.8580    10    121.6559    0.8778    11    120.6728    2.3595    65794
29    29    699    3:2:3:    3:2:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:H-1:    C[6]-3:N-2:H-1:    C[6](C[6]HN)(N[6]C)(CHN)    C[6](C[6]CN)(N[6]C)(H)    C(C[6]CN)(NC)(H)    121.5134    0.103    4    121.5134    0.1030    4    121.1206    1.1928    26    120.6728    2.3595    65794
29    29    699    3:2:3:    3:2:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]HN)(N[6]C)(COO)    C[6](C[6]CN)(N[6]C)(H)    C(C[6]CN)(OC)(O)    120.2915    1.817    4    121.0934    1.3406    20    121.1206    1.1928    26    120.6728    2.3595    65794
29    29    699    3:2:3:    3:2:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]HN)(N[6]C)(COO)    C[6](C[6]CN)(N[6]C)(H)    C(C[6]CN)(OSn)(O)    121.3629    0.270    4    121.0934    1.3406    20    121.1206    1.1928    26    120.6728    2.3595    65794
29    29    699    3:2:3:    3:2:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]HN)(N[6]C)(COO)    C[6](C[6]CN)(N[6]C)(H)    C(C[6]CN)(OH)(O)    121.6367    1.319    5    121.0934    1.3406    20    121.1206    1.1928    26    120.6728    2.3595    65794
29    29    699    3:2:3:    3:2:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:H-1:    C[6]-3:C-3:H-1:    C[6](C[6]HN)(N[6]C)(CCH)    C[6](C[6]CN)(N[6]C)(H)    C(C[6]CN)(CCH)(H)    120.6341    0.564    9    120.6341    0.5640    9    119.6477    1.2184    74    120.6728    2.3595    65794
29    29    699    3:2:3:    3:2:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:H-1:    C[6]-3:N-3:O-1:    C[6](C[6]HN)(N[6]C)(CNO)    C[6](C[6]CN)(N[6]C)(H)    C(C[6]CN)(NHH)(O)    119.4492    0.888    9    119.5534    0.8535    59    119.6477    1.2184    74    120.6728    2.3595    65794
29    29    699    3:2:3:    3:2:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:H-1:    C[6]-3:N-3:O-1:    C[6](C[6]HN)(N[6]C)(CNO)    C[6](C[6]CN)(N[6]C)(H)    C(C[6]CN)(NHN)(O)    119.7544    0.753    20    119.5534    0.8535    59    119.6477    1.2184    74    120.6728    2.3595    65794
29    29    699    3:2:3:    3:2:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:H-1:    C[6]-3:N-3:O-1:    C[6](C[6]HN)(N[6]C)(CNO)    C[6](C[6]CN)(N[6]C)(H)    C(C[6]CN)(NCH)(O)    119.3789    0.834    29    119.5534    0.8535    59    119.6477    1.2184    74    120.6728    2.3595    65794
29    29    699    3:2:3:    3:2:1:    3:3:2:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:H-1:    C[6]-3:N-3:N-2:    C[6](C[6]HN)(N[6]C)(CNN)    C[6](C[6]CN)(N[6]C)(H)    C(C[6]CN)(NHH)(NN)    122.2277    0.303    5    122.2277    0.3030    5    122.2277    0.3030    5    120.6728    2.3595    65794
29    29    699    3:2:3:    3:2:1:    3:4:2:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:H-1:    C[6]-3:C-4:N-2:    C[6](C[6]HN)(N[6]C)(CCN)    C[6](C[6]CN)(N[6]C)(H)    C(C[6]CN)(CH3)(NN)    121.9228    0.269    9    121.8996    0.4078    12    121.8996    0.4078    12    120.6728    2.3595    65794
29    29    699    3:2:3:    3:2:3:    3:1:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CN)(N[6]C)(COO)    C[6](C[6]CN)(N[6]C)(COO)    C(C[6]CN)(O)2    123.9640    2.470    23    123.9640    2.4700    23    123.9227    2.3232    26    120.6728    2.3595    65794
29    29    699    3:2:3:    3:2:3:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:C-3:    C[6]-3:O-2:O-1:    C[6](C[6]CN)(N[6]C)(COO)    C[6](C[6]CN)(N[6]C)(COO)    C(C[6]CN)(OU)(O)    126.0116    2.474    9    124.2232    2.8090    39    124.0762    2.8156    41    120.6728    2.3595    65794
