981    269    767    3:3:2:    4:3:    4:2:3:    Cu[5]-3:N[5]-3:N-2:    Cu-4:N-3:    Cu[5,5]-4:C[5]-2:N-3:    N(Cu[5]NN)(N[5]CuC)(NCu)    N(CuN3)(NCuN)    N[5](Cu[5,5]N3)(C[5]C)(NCuN)    107.2067    0.000    1    107.2067    0.0000    1    107.2067    0.0000    1    107.2067    0.0000    1
981    269    801    4:3:2:    3:3:    4:3:3:3:    C[5]-4:C-3:N-2:    N-3:C-3:    C[5]-4:C[5]-3:N-3:C-3:    N(C[5]C3)(COO)(NC)    N(NCC)(COO)    C[5](C[5]CHH)(C[5]CO)(NCN)(COO)    116.3219    0.081    3    116.3219    0.0810    3    116.3219    0.0810    3    116.3219    0.0810    3
981    269    887    2:1:1:    3:3:    3:    N-2:H-1:H-1:    C-3:N-3:    N-3:    N(NC)(H)2    N(CCH)(NHH)    H(NHN)    120.0147    0.018    4    119.9894    0.0464    12    114.7888    53.0000    53    119.8024    2.8912    2059
981    269    887    2:1:1:    3:3:    3:    N-2:H-1:H-1:    C-3:N-3:    N-3:    N(NC)(H)2    N(CCC)(NHH)    H(NHN)    119.9768    0.052    8    119.9894    0.0464    12    114.7888    53.0000    53    119.8024    2.8912    2059
981    269    887    2:1:1:    3:3:    3:    N-2:H-1:H-1:    C[5]-3:N-3:    N-3:    N(NC)(H)2    N(C[5]CC)(NHH)    H(NHN)    116.0250    2.400    4    116.0250    2.4000    4    114.7888    53.0000    53    119.8024    2.8912    2059
981    269    887    2:1:1:    3:3:    3:    N-2:H-1:H-1:    C[6]-3:N-3:    N-3:    N(NC)(H)2    N(C[6]CC)(NHH)    H(NHN)    111.0882    5.548    4    111.0882    5.5480    4    114.7888    53.0000    53    119.8024    2.8912    2059
981    269    887    2:1:1:    3:3:    3:    N-2:H-1:H-1:    N-3:C-3:    N-3:    N(NC)(H)2    N(NHH)(CCH)    H(NHN)    112.5610    6.306    12    113.1964    4.9201    33    114.7888    53.0000    53    119.8024    2.8912    2059
981    269    887    2:1:1:    3:3:    3:    N-2:H-1:H-1:    N-3:C-3:    N-3:    N(NC)(H)2    N(NHH)(CCC)    H(NHN)    113.7220    3.784    18    113.1964    4.9201    33    114.7888    53.0000    53    119.8024    2.8912    2059
981    269    887    3:2:1:    3:2:    3:    C[6]-3:N-2:H-1:    N-3:N-2:    N-3:    N(C[6]CC)(NN)(H)    N(NCH)(NC)    H(NCN)    118.0706    3.133    21    118.0706    3.1330    21    118.3892    22.0000    22    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    C-3:N-3:    N-3:    N(CCC)(NC)(H)    N(CNS)(NCH)    H(NCN)    117.7048    1.364    4    120.0883    2.0125    1098    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    C-3:N-3:    N-3:    N(CNN)(NC)(H)    N(CCC)(NCH)    H(NCN)    121.2656    0.691    5    120.0883    2.0125    1098    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    C-3:N-3:    N-3:    N(COO)(NC)(H)    N(CCC)(NCH)    H(NCN)    120.7712    1.430    8    120.0883    2.0125    1098    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    C-3:N-3:    N-3:    N(CCO)(NC)(H)    N(CSS)(NCH)    H(NCN)    119.7887    0.679    9    120.0883    2.0125    1098    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    C-3:N-3:    N-3:    N(CSS)(NC)(H)    N(CCC)(NCH)    H(NCN)    121.3606    1.147    9    120.0883    2.0125    1098    120.0117    1897.0000    1897    119.8024    2.8912    2059
