583    109    909    4:4:1:1:    6:4:4:4:    4:4:1:1:    N[5,5,6]-4:P[6]-4:H-1:H-1:    Cu[4x5,6]-6:C[5]-4:C[5]-4:C[6]-4:    C[6]-4:C[6]-4:O-1:O-1:    C[6](N[5,5,6]CuCC)(P[6]COO)(H)2    N[5,5,6](Cu[4x5,6]NO4)(C[5]CHH)2(C[6]HHP)    P[6](C[6]HHN)2(O)2    118.3017    0.000    1    118.3017    0.0000    1    118.3017    0.0000    1    118.3017    0.0000    1
583    109    947    4:4:1:1:    4:4:4:1:    4:4:4:1:    N[5,6]-4:N[6]-4:H-1:H-1:    Cu[5,5,6,6]-4:C[5]-4:C[6]-4:H-1:    C[6]-4:C[6]-4:C-4:H-1:    C[6](N[5,6]CuCH)(N[6]CCH)(H)2    N[5,6](Cu[5,5,6,6]N3)(C[5]CHH)(C[6]HHN)(H)    N[6](C[6]HHN)2(CCHH)(H)    112.6868    0.499    3    112.6868    0.4990    3    112.6868    0.4990    3    112.6868    0.4990    3
583    109    983    4:3:1:1:    4:4:4:1:    4:4:4:    N[5,6]-4:N[6]-3:H-1:H-1:    Cu[5,5,6,6]-4:C[5]-4:C[6]-4:H-1:    C[6]-4:C[6]-4:C-4:    C[6](N[5,6]CuCH)(N[6]CC)(H)2    N[5,6](Cu[5,5,6,6]N3)(C[5]CHH)(C[6]HHN)(H)    N[6](C[6]HHN)2(CCHH)    114.0337    0.903    8    114.1405    0.9611    12    113.9711    22.0000    22    113.2915    2.2881    109
583    109    983    4:3:1:1:    4:4:4:1:    4:4:4:    N[5,6]-4:N[6]-3:H-1:H-1:    Ni[5,5,6,6]-4:C[5]-4:C[6]-4:H-1:    C[6]-4:C[6]-4:C-4:    C[6](N[5,6]NiCH)(N[6]CC)(H)2    N[5,6](Ni[5,5,6,6]N3)(C[5]CHH)(C[6]HHN)(H)    N[6](C[6]HHN)2(CCHH)    113.7516    2.919    8    113.7679    2.5770    10    113.9711    22.0000    22    113.2915    2.2881    109
583    109    983    4:3:1:1:    4:4:4:4:    4:4:4:    N[5,6]-4:N[6]-3:H-1:H-1:    Cu[5,5]-4:C[5]-4:C[6]-4:C[6]-4:    C[6]-4:C[6]-4:C-4:    C[6](N[5,6]CuCC)(N[6]CC)(H)2    N[5,6](Cu[5,5]N3)(C[5]CHH)(C[6]HHN)2    N[6](C[6]HHN)2(CCHH)    112.9234    2.939    4    112.9234    2.9390    4    112.0654    6.0000    6    113.2915    2.2881    109
583    109    983    4:3:1:1:    5:4:4:4:    4:4:4:    N[5,6,6,7]-4:N[6,7,7]-3:H-1:H-1:    Cu[5,5,6,6]-5:C[6,7]-4:C[6,7]-4:C[5]-4:    C[6,7]-4:C[6,7]-4:C[7,7]-4:    C[6,7](N[5,6,6,7]CuCC)(N[6,7,7]CC)(H)2    N[5,6,6,7](Cu[5,5,6,6]N4)(C[6,7]HHN)2(C[5]CHH)    N[6,7,7](C[6,7]HHN)2(C[7,7]CHH)    115.3170    0.541    4    115.3170    0.5410    4    113.3984    8.0000    8    113.2915    2.2881    109
583    109    983    4:3:1:1:    6:4:4:1:    4:4:4:    N[5,6]-4:N[6]-3:H-1:H-1:    Cu[5,5,6,6]-6:C[5]-4:C[6]-4:H-1:    C[6]-4:C[6]-4:C-4:    C[6](N[5,6]CuCH)(N[6]CC)(H)2    N[5,6](Cu[5,5,6,6]N3OO)(C[5]CHH)(C[6]HHN)(H)    N[6](C[6]HHN)2(CCHH)    114.4597    1.437    4    112.9012    2.4547    18    113.4352    66.0000    66    113.2915    2.2881    109
583    109    983    4:3:1:1:    6:4:4:1:    4:4:4:    N[5,6]-4:N[6]-3:H-1:H-1:    Cu[5,5,6,6]-6:C[5]-4:C[6]-4:H-1:    C[6]-4:C[6]-4:C-4:    C[6](N[5,6]CuCH)(N[6]CC)(H)2    N[5,6](Cu[5,5,6,6]N3OO)(C[5]CHH)(C[6]HHN)(H)    N[6](C[6]HHN)2(CH3)    114.3957    1.715    4    112.9012    2.4547    18    113.4352    66.0000    66    113.2915    2.2881    109
583    109    983    4:3:1:1:    6:4:4:1:    4:4:4:    N[5,6]-4:N[6]-3:H-1:H-1:    Cu[5,5,6,6]-6:C[5]-4:C[6]-4:H-1:    C[6]-4:C[6]-4:C-4:    C[6](N[5,6]CuCH)(N[6]CC)(H)2    N[5,6](Cu[5,5,6,6]N5)(C[5]CHH)(C[6]HHN)(H)    N[6](C[6]HHN)2(CCCH)    108.9344    0.361    4    112.9012    2.4547    18    113.4352    66.0000    66    113.2915    2.2881    109
583    109    983    4:3:1:1:    6:4:4:1:    4:4:4:    N[5,6]-4:N[6]-3:H-1:H-1:    Ni[5,5,6,6]-6:C[5]-4:C[6]-4:H-1:    C[6]-4:C[6]-4:C-4:    C[6](N[5,6]NiCH)(N[6]CC)(H)2    N[5,6](Ni[5,5,6,6]N5)(C[5]CHH)(C[6]HHN)(H)    N[6](C[6]HHN)2(CCCH)    111.6172    2.725    8    113.6552    2.0317    46    113.4352    66.0000    66    113.2915    2.2881    109
583    109    983    4:3:1:1:    6:4:4:1:    4:4:4:    N[5,6]-4:N[6]-3:H-1:H-1:    Ni[5,5,6,6]-6:C[5]-4:C[6]-4:H-1:    C[6]-4:C[6]-4:C-4:    C[6](N[5,6]NiCH)(N[6]CC)(H)2    N[5,6](Ni[5,5,6,6]N3OO)(C[5]CHH)(C[6]HHN)(H)    N[6](C[6]HHN)2(CCCH)    114.8076    2.275    12    113.6552    2.0317    46    113.4352    66.0000    66    113.2915    2.2881    109
583    109    983    4:3:1:1:    6:4:4:1:    4:4:4:    N[5,6]-4:N[6]-3:H-1:H-1:    Ni[5,5,6,6]-6:C[5]-4:C[6]-4:H-1:    C[6]-4:C[6]-4:C-4:    C[6](N[5,6]NiCH)(N[6]CC)(H)2    N[5,6](Ni[5,5,6,6]N3OO)(C[5]CHH)(C[6]HHN)(H)    N[6](C[6]HHN)2(CCHH)    114.1187    1.369    12    113.6552    2.0317    46    113.4352    66.0000    66    113.2915    2.2881    109
