633    157    481    2:2:1:1:    4:    5:4:    O[6]-2:O[6]-2:O-1:O-1:    Cl[6]-4:    Cu[5,6,6]-5:Cl[6]-4:    Cl[6](O[6]Cu)2(O)2    O(Cl[6]O3)    O[6](Cu[5,6,6]NNOO)(Cl[6]O3)    109.3746    1.691    4    109.3746    1.6910    4    109.3746    1.6910    4
641    237    887    4:4:4:1:1:    5:2:1:1:    5:    Sm[10x3,4]-4:C[4]-4:Al-4:H-1:H-1:    C[4]-5:H[4]-2:H-1:H-1:    C[4]-5:    C[4](Sm[10x3,4]C10HO)(C[4]H3)(AlC3)(H)2    C[4](C[4]AlSmHH)(H[4]Sm)(H)2    H(C[4]AlSmCH)    109.6975    0.080    4    109.6975    0.0800    4    109.6975    0.0800    4
653    109    563    4:3:    6:2:4:4:    2:2:4:    N[5]-4:C[5]-3:    Si[5,5]-6:N[5]-2:C-4:C-4:    O[5]-2:N[5]-2:C-4:    N[5](N[5]SiCC)(C[5]CO)    N[5](Si[5,5]BrHNOO)(N[5]C)(CH3)2    C[5](O[5]Si)(N[5]N)(CC3)    108.5286    0.413    4    108.2689    0.6248    10    108.2689    0.6248    10
653    109    563    4:3:    6:2:4:4:    2:2:4:    N[5]-4:C[5]-3:    Si[5,5]-6:N[5]-2:C-4:C-4:    O[5]-2:N[5]-2:C-4:    N[5](N[5]SiCC)(C[5]CO)    N[5](Si[5,5]ClHNOO)(N[5]C)(CH3)2    C[5](O[5]Si)(N[5]N)(CC3)    108.5403    0.140    4    108.2689    0.6248    10    108.2689    0.6248    10
653    407    563    2:3:    6:2:    2:3:2:    O[5]-2:C[5]-3:    Si[3x5]-6:N[5]-2:    O[5]-2:C[6]-3:N[5]-2:    N[5](O[5]Si)(C[5]CO)    O[5](Si[3x5]O5)(N[5]C)    C[5](O[5]Si)(C[6]CC)(N[5]O)    108.2926    0.670    9    108.2926    0.6700    9    108.8220    1.2129    12
653    407    563    3:2:    2:2:    3:2:2:    C[5]-3:O[5]-2:    N[5]-2:N[5]-2:    C[5]-3:N[5]-2:C-2:    N[5](C[5]CC)(O[5]N)    O[5](N[5]C)2    C[5](C[5]NO)(N[5]O)(CN)    105.1479    0.269    6    105.1479    0.2690    6    104.4694    0.6996    25
653    407    563    3:2:    2:2:    3:2:2:    C[5]-3:O[5]-2:    N[5]-2:N[5]-2:    C[5]-3:N[5]-2:O-2:    N[5](C[5]CO)(O[5]N)    O[5](N[5]C)2    C[5](C[5]CN)(N[5]O)(OC)    103.7399    0.413    6    104.0450    0.5947    14    104.4694    0.6996    25
653    407    563    3:2:    2:2:    3:2:2:    C[5]-3:O[5]-2:    N[5]-2:N[5]-2:    C[5]-3:N[5]-2:O-2:    N[5](C[5]CO)(O[5]N)    O[5](N[5]C)2    C[5](C[5]NN)(N[5]O)(OC)    104.4320    0.589    6    104.0450    0.5947    14    104.4694    0.6996    25
653    407    563    3:2:    3:2:    3:2:1:    C[5]-3:O[5]-2:    C[5]-3:N[5]-2:    C[5]-3:N[5]-2:H-1:    N[5](C[5]CH)(O[5]C)    O[5](C[5]CC)(N[5]C)    C[5](C[5]CC)(N[5]O)(H)    104.7370    0.359    9    104.7802    0.3650    10    104.7630    0.3873    13
653    407    563    3:2:    3:2:    3:2:2:    C[5]-3:O[5]-2:    C[5]-3:N[5]-2:    C[6]-3:N[5]-2:N[5]-2:    N[5](C[5]CN)(O[5]C)    O[5](C[5]CN)(N[5]C)    C[5](C[6]CC)(N[5]C)(N[5]O)    103.2009    0.546    70    103.1822    0.5746    73    103.3039    0.7702    83
653    407    563    3:2:    3:2:    3:2:3:    C[5]-3:O[5]-2:    C[5]-3:N[5]-2:    C[5]-3:N[5]-2:C-3:    N[5](C[5]CC)(O[5]C)    O[5](C[5]CC)(N[5]C)    C[5](C[5]CC)(N[5]O)(COO)    104.7697    0.365    4    105.0007    0.6508    6    104.7276    0.6142    17
653    407    563    3:2:    3:2:    3:2:3:    C[5]-3:O[5]-2:    C[5]-3:N[5]-2:    C[5]-3:N[5]-2:N-3:    N[5](C[5]CN)(O[5]C)    O[5](C[5]CC)(N[5]C)    C[5](C[5]CH)(N[5]O)(NHS)    104.7508    0.465    8    104.5786    0.5680    11    104.7276    0.6142    17
653    407    563    3:2:    3:2:    3:2:4:    C[5]-3:O[5]-2:    C[5]-3:N[5]-2:    C[5]-3:N[5]-2:C-4:    N[5](C[5]CC)(O[5]C)    O[5](C[5]CC)(N[5]C)    C[5](C[5]CH)(N[5]O)(CH3)    105.7349    0.357    7    105.8726    0.6104    46    105.9923    0.6723    52
653    407    563    3:2:    3:2:    3:2:4:    C[5]-3:O[5]-2:    C[5]-3:N[5]-2:    C[5]-3:N[5]-2:C-4:    N[5](C[5]CC)(O[5]C)    O[5](C[5]CC)(N[5]C)    C[5](C[5]CC)(N[5]O)(CH3)    106.3491    0.582    13    105.8726    0.6104    46    105.9923    0.6723    52
653    407    563    3:2:    3:2:    3:2:4:    C[5]-3:O[5]-2:    C[5]-3:N[5]-2:    C[5]-3:N[5]-2:C-4:    N[5](C[5]CC)(O[5]C)    O[5](C[5]CN)(N[5]C)    C[5](C[5]CC)(N[5]O)(CH3)    105.5259    0.432    15    105.8726    0.6104    46    105.9923    0.6723    52
653    407    563    3:2:    3:2:    3:3:2:    C[5,6]-3:O[5]-2:    C[5]-3:N[5]-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(O[5]C)    O[5](C[5]CC)(N[5]C)    C[5,6](C[5,6]CC)(C[6]CH)(N[5]O)    104.1794    0.339    4    103.7257    1.0561    5    105.4130    1.5479    97
653    407    563    3:2:    3:2:    3:3:2:    C[5,6]-3:O[5]-2:    N[5]-3:N[5]-2:    C[5,6]-3:C[6,6]-3:N[5]-2:    N[5](C[5,6]CC)(O[5]N)    O[5](N[5]CO)(N[5]C)    C[5,6](C[5,6]CN)(C[6,6]CC)(N[5]O)    102.4954    4.699    4    102.4954    4.6990    4    105.4130    1.5479    97
653    407    563    3:2:    3:2:    3:3:2:    C[5,6]-3:O[5]-2:    N[5]-3:N[5]-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(O[5]N)    O[5](N[5]CO)(N[5]C)    C[5,6](C[5,6]CN)(C[6]BrC)(N[5]O)    105.3235    0.257    4    105.2313    0.2778    16    105.4130    1.5479    97
653    407    563    3:2:    3:2:    3:3:2:    C[5,6]-3:O[5]-2:    N[5]-3:N[5]-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(O[5]N)    O[5](N[5]CO)(N[5]C)    C[5,6](C[5,6]CN)(C[6]ClC)(N[5]O)    105.4156    0.076    4    105.2313    0.2778    16    105.4130    1.5479    97
653    407    563    3:2:    3:2:    3:3:2:    C[5,6]-3:O[5]-2:    N[5]-3:N[5]-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(O[5]N)    O[5](N[5]CO)(N[5]C)    C[5,6](C[5,6]CN)(C[6]CN)(N[5]O)    105.1205    0.366    5    105.2313    0.2778    16    105.4130    1.5479    97
