455    695    6:3:2:3:    6:4:    Ni[4x3]-6:N[3]-3:S[3]-2:N-3:    Ni[4x3]-6:C[3,3]-4:    C[3,3](Ni[4x3]CNNSS)(N[3]NiP)(S[3]Ni)(NCH)    S[3](Ni[4x3]CCNNS)(C[3,3]NiNN)    1.7244    0.010    6    1.7244    0.0100    6    1.7244    0.0100    6
455    699    4:10:3:3:    4:3:1:    C[3,3,5]-4:Fe[10x3]-10:P[3,3,5]-3:C-3:    C[3,3,5]-4:C[5]-3:O-1:    C[3,3,5](C[3,3,5]FeCC)(Fe[10x3]C8P)(P[3,3,5]FeC)(CCO)    C(C[3,3,5]FeCP)(C[5]CP)(O)    1.4922    0.020    8    1.4922    0.0200    8    1.4899    0.0278    12
455    699    4:2:3:1:    4:2:1:    C[3]-4:O[3]-2:C-3:H-1:    C[3]-4:O-2:O-1:    C[3](C[3]CHO)(O[3]C)(COO)(H)    C(C[3]CHO)(OC)(O)    1.5016    0.006    8    1.5016    0.0060    8    1.4999    0.0065    10
455    699    4:2:3:1:    4:3:1:    C[3]-4:O[3]-2:C-3:H-1:    C[3]-4:C[6]-3:O-1:    C[3](C[3]CHO)(O[3]C)(CCO)(H)    C(C[3]CHO)(C[6]CC)(O)    1.5050    0.009    9    1.5050    0.0090    9    1.4977    0.0207    32
455    699    4:2:3:1:    4:3:1:    C[3]-4:O[3]-2:C-3:H-1:    C[3]-4:N-3:O-1:    C[3](C[3]CHO)(O[3]C)(CNO)(H)    C(C[3]CHO)(NCH)(O)    1.5072    0.014    11    1.5073    0.0124    14    1.4977    0.0207    32
455    699    4:2:4:3:    4:2:1:    C[3]-4:O[3]-2:C-4:C-3:    C[3]-4:O-2:O-1:    C[3](C[3]CHO)(O[3]C)(CH3)(COO)    C(C[3]CCO)(OC)(O)    1.5074    0.006    7    1.5074    0.0060    7    1.5074    0.0060    7
455    699    4:3:3:3:    4:2:1:    C[3]-4:N[3]-3:C-3:C-3:    C[3]-4:O-2:O-1:    C[3](C[3]CHN)(N[3]CH)(COO)2    C(C[3]CCN)(OC)(O)    1.5070    0.004    8    1.5070    0.0040    8    1.5008    0.0083    15
455    699    4:3:3:3:    4:3:1:    C[3]-4:N[3]-3:C-3:C-3:    C[3]-4:N-3:O-1:    C[3](C[3]HHN)(N[3]CH)(CNO)2    C(C[3]CCN)(NHH)(O)    1.5053    0.032    10    1.5043    0.0279    16    1.5043    0.0279    16
455    699    4:4:10:3:    4:1:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:O-1:O-1:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(COO)    C(C[3,3,5]FeCC)(O)2    1.4905    0.009    21    1.4905    0.0090    21    1.4816    0.0209    32
455    699    4:4:10:3:    4:2:1:    C[3,3,5,6]-4:C[3,3,5]-4:Fe[10x3,6]-10:C-3:    C[3,3,5]-4:O-2:O-1:    C[3,3,5](C[3,3,5,6]FeCP)(C[3,3,5]FeCH)(Fe[10x3,6]C9)(COO)    C(C[3,3,5]FeCC)(OC)(O)    1.4651    0.047    6    1.4682    0.0320    12    1.4710    0.0214    186
455    699    4:4:10:3:    4:2:1:    C[3,3,5]-4:C[3,3,5]-4:Co[10x3]-10:C-3:    C[3,3,5]-4:O-2:O-1:    C[3,3,5](C[3,3,5]CoCH)2(Co[10x3]C9)(COO)    C(C[3,3,5]CoCC)(OH)(O)    1.4899    0.004    5    1.4893    0.0131    10    1.4710    0.0214    186
455    699    4:4:10:3:    4:2:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:N-2:H-1:    C[3,3,5](C[3,3,5]FeCH)(C[3,3,5]FeCO)(Fe[10x3]C9)(CHN)    C(C[3,3,5]FeCC)(NC)(H)    1.4358    0.010    11    1.4490    0.0143    43    1.4710    0.0214    186
455    699    4:4:10:3:    4:2:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:N-2:H-1:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(CHN)    C(C[3,3,5]FeCC)(NC)(H)    1.4594    0.011    12    1.4490    0.0143    43    1.4710    0.0214    186
455    699    4:4:10:3:    4:2:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:N-2:H-1:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(CHN)    C(C[3,3,5]FeCC)(NN)(H)    1.4494    0.013    18    1.4490    0.0143    43    1.4710    0.0214    186
455    699    4:4:10:3:    4:2:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:O-2:O-1:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(COO)    C(C[3,3,5]FeCC)(OH)(O)    1.4741    0.007    12    1.4745    0.0126    74    1.4710    0.0214    186
455    699    4:4:10:3:    4:2:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:O-2:O-1:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(COO)    C(C[3,3,5]FeCC)(OC)(O)    1.4675    0.008    30    1.4745    0.0126    74    1.4710    0.0214    186
455    699    4:4:10:3:    4:2:1:    C[3,3,5]-4:C[3,3,5]-4:Ru[10x3]-10:C-3:    C[3,3,5]-4:O-2:O-1:    C[3,3,5](C[3,3,5]RuCC)2(Ru[10x3]C9)(COO)    C(C[3,3,5]RuCC)(OC)(O)    1.4910    0.008    10    1.4926    0.0163    25    1.4710    0.0214    186
455    699    4:4:10:3:    4:2:1:    C[3,3,5]-4:C[3,3,5]-4:Ru[10x3]-10:C-3:    C[3,3,5]-4:O-2:O-1:    C[3,3,5](C[3,3,5]RuCC)2(Ru[10x3]C9)(COO)    C(C[3,3,5]RuCC)(OH)(O)    1.4996    0.014    13    1.4926    0.0163    25    1.4710    0.0214    186
455    699    4:4:10:3:    4:2:3:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:O-2:N-3:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(CNO)    C(C[3,3,5]FeCC)(ONi)(NHH)    1.4678    0.006    6    1.4674    0.0095    14    1.4680    0.0094    15
455    699    4:4:10:3:    4:3:1:    C[3,3,5]-4:C[3,3,5]-4:Co[10x3]-10:C-3:    C[3,3,5]-4:N-3:O-1:    C[3,3,5](C[3,3,5]CoCH)2(Co[10x3]C9)(CNO)    C(C[3,3,5]CoCC)(NCH)(O)    1.4920    0.015    5    1.4946    0.0117    9    1.4697    0.0211    314
455    699    4:4:10:3:    4:3:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:C-3:H-1:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(CCH)    C(C[3,3,5]FeCC)(CCN)(H)    1.4675    0.025    18    1.4572    0.0223    84    1.4697    0.0211    314
