29    691    3:2:2:    3:3:    N[3x6]-3:Se[6]-2:N[6]-2:    C[6,6]-3:C[6,6]-3:    C[6,6](N[3x6]CuC)(Se[6]C)(N[6]C)    Se[6](C[6,6]NN)2    1.9189    0.009    10    1.9189    0.0090    10    1.9189    0.0090    10
29    699    2:2:3:    3:1:1:    C[6]-2:C[6]-2:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]C)2(COO)    C(C[6]CC)(O)2    1.5058    0.027    15    1.5068    0.0245    19    1.5079    0.0362    27
29    699    2:2:3:    3:2:1:    C[6]-2:C[6]-2:C-3:    C[6]-3:O-2:O-1:    C[6](C[6]C)2(COO)    C(C[6]CC)(OZn)(O)    1.5279    0.012    9    1.5257    0.0118    11    1.5086    0.0365    16
29    699    2:2:3:    3:3:1:    N[6]-2:N[6]-2:C-3:    C[6]-3:C-3:H-1:    C[6](N[6]C)2(CCH)    C(C[6]NN)(CCH)(H)    1.4773    0.030    6    1.4773    0.0300    6    1.4688    0.0669    24
29    699    2:2:3:    3:4:3:    O[6]-2:O[6]-2:C-3:    C[6]-3:C-4:C-3:    C[6](O[6]Ti)2(CCC)    C(C[6]OO)(CH3)(CHH)    1.4935    0.034    14    1.4943    0.0290    19    1.4930    0.0289    20
29    699    3:2:3:    3:1:1:    C[5,6]-3:N[6]-2:C-3:    C[6]-3:O-1:O-1:    C[6](C[5,6]CN)(N[6]C)(COO)    C(C[6]CN)(O)2    1.5166    0.006    10    1.5166    0.0060    10    1.5147    0.0388    210
29    699    3:2:3:    3:1:1:    C[6]-3:C[6]-2:C-3:    C[6]-3:C-1:C-1:    C[6](C[6]CO)(C[6]C)(CCC)    C(C[6]CC)(C)2    1.5338    0.113    18    1.5338    0.1130    18    1.5147    0.0388    210
29    699    3:2:3:    3:1:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:H-1:O-1:    C[6](C[6]CH)(N[6]C)(CHO)    C(C[6]CN)(H)(O)    1.4789    0.006    8    1.4785    0.0057    9    1.5147    0.0388    210
29    699    3:2:3:    3:1:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]HN)(N[6]C)(COO)    C(C[6]CN)(O)2    1.5128    0.010    10    1.5175    0.0138    147    1.5147    0.0388    210
29    699    3:2:3:    3:1:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CH)(N[6]N)(COO)    C(C[6]CN)(O)2    1.5262    0.030    16    1.5175    0.0138    147    1.5147    0.0388    210
29    699    3:2:3:    3:1:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CN)(N[6]C)(COO)    C(C[6]CN)(O)2    1.5188    0.006    23    1.5175    0.0138    147    1.5147    0.0388    210
29    699    3:2:3:    3:1:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C(C[6]CN)(O)2    1.5156    0.010    84    1.5175    0.0138    147    1.5147    0.0388    210
29    699    3:2:3:    3:1:1:    C[6]-3:O[6]-2:C-3:    C[6]-3:O-1:O-1:    C[6](C[6]CH)(O[6]C)(COO)    C(C[6]CO)(O)2    1.5166    0.007    13    1.5166    0.0070    13    1.5147    0.0388    210
29    699    3:2:3:    3:2:1:    C[5,6]-3:C[6]-2:C-3:    C[6]-3:N-2:O-1:    C[6](C[5,6]CO)(C[6]C)(CNO)    C(C[6]CC)(NC)(O)    1.4890    0.009    8    1.4890    0.0090    8    1.4928    0.0245    559
29    699    3:2:3:    3:2:1:    C[5,6]-3:N[6]-2:C-3:    C[6]-3:O-2:O-1:    C[6](C[5,6]CC)(N[6]N)(COO)    C(C[6]CN)(OC)(O)    1.5050    0.002    5    1.5156    0.0166    17    1.4928    0.0245    559
29    699    3:2:3:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]CH)(N[6]N)(CHN)    C(C[6]CN)(NC)(H)    1.4825    0.009    17    1.4694    0.0094    183    1.4928    0.0245    559
29    699    3:2:3:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]CH)(N[6]C)(CHN)    C(C[6]CN)(NN)(H)    1.4640    0.007    76    1.4694    0.0094    183    1.4928    0.0245    559
29    699    3:2:3:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]CH)(N[6]C)(CHN)    C(C[6]CN)(NC)(H)    1.4719    0.008    81    1.4694    0.0094    183    1.4928    0.0245    559
29    699    3:2:3:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C(C[6]CN)(OSn)(O)    1.5127    0.008    15    1.5059    0.0159    294    1.4928    0.0245    559
29    699    3:2:3:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:O-2:O-1:    C[6](C[6]CN)(N[6]C)(COO)    C(C[6]CN)(OH)(O)    1.5087    0.011    33    1.5059    0.0159    294    1.4928    0.0245    559
29    699    3:2:3:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C(C[6]CN)(OC)(O)    1.5022    0.018    76    1.5059    0.0159    294    1.4928    0.0245    559
29    699    3:2:3:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C(C[6]CN)(OH)(O)    1.5038    0.009    80    1.5059    0.0159    294    1.4928    0.0245    559
