486	486	968	4:3:3:4:	4:4:3:4:	4:4:2:	C[3,3x5]-4:P[3,5,5]-3:P[4,3x5]-3:C-4:	C[3,3x5]-4:P[4,3x5]-4:P[3,5,5]-3:C-4:	C[3,3x5]-4:C[4,3x5]-4:Se[4,5]-2:	C[3,3x5](C[3,3x5]P[3,5,5]P[4,3x5]C)(P[3,5,5]C[3,3x5]Se[5,5])(P[4,3x5]C[4,3x5]Se[4,5])(CC3)	C[3,3x5](C[3,3x5]P[3,5,5]P[4,3x5]C)(P[4,3x5]C[4,3x5]Se[4,5]Se)(P[3,5,5]C[3,3x5]Se[5,5])(CC3)	P[4,3x5](C[3,3x5]C[3,3x5]P[3,5,5]C)(C[4,3x5]P[4,3x5]Se[5,5]C)(Se[4,5]P[4,3x5])	C[3,3x5](C[3,3x5]P[3,5,5]P[4,3x5]C)(P[3,5,5]C[3,3x5]Se[5,5])(P[4,3x5]C[4,3x5]Se[4,5])(CC3){1|Se<1>,1|C<4>}	C[3,3x5](C[3,3x5]P[3,5,5]P[4,3x5]C)(P[4,3x5]C[4,3x5]Se[4,5]Se)(P[3,5,5]C[3,3x5]Se[5,5])(CC3){1|C<4>}	P[4,3x5](C[3,3x5]C[3,3x5]P[3,5,5]C)(C[4,3x5]P[4,3x5]Se[5,5]C)(Se[4,5]P[4,3x5]){1|Se<1>,1|C<4>}	109.1530	0.000	1	109.1530	0.000	1     109.1530       0.000      1      109.1530     0.000     1
486	486	969	4:4:4:4:	4:4:1:1:	4:4:1:1:	C[3,6]-4:C[3]-4:S[6]-4:C-4:	C[3,6]-4:C[3,6]-4:Cl-1:Cl-1:	C[3,6]-4:C[6]-4:O-1:O-1:	C[3,6](C[3,6]C[3]O[6]C)(C[3]C[3,6]Cl2)(S[6]C[6]OO)(CH3)	C[3](C[3,6]C[3,6]O[6]C)(C[3,6]C[3,6]S[6]C)(Cl)2	S[6](C[3,6]C[3,6]C[3]C)(C[6]C[6]HH)(O)2	C[3,6](C[3,6]C[3]O[6]C)(C[3]C[3,6]Cl2)(S[6]C[6]OO)(CH3){1|C<4>,2|H<1>}	C[3](C[3,6]C[3,6]O[6]C)(C[3,6]C[3,6]S[6]C)(Cl)2{2|C<4>,2|O<1>}	S[6](C[3,6]C[3,6]C[3]C)(C[6]C[6]HH)(O)2{2|Cl<1>,1|C<4>,1|O<2>,2|H<1>}	120.4260	0.000	1	120.4260	0.000	1     120.4260       0.000      1      120.4260     0.000     1
486	486	969	4:4:4:4:	4:4:2:4:	4:4:1:1:	C[3,6]-4:C[3]-4:S[6]-4:C-4:	C[3,6]-4:C[3]-4:O[6]-2:C-4:	C[3,6]-4:C[6]-4:O-1:O-1:	C[3,6](C[3,6]C[3]O[6]C)(C[3]C[3,6]Cl2)(S[6]C[6]OO)(CH3)	C[3,6](C[3,6]C[3]S[6]C)(C[3]C[3,6]Cl2)(O[6]C[6])(CH3)	S[6](C[3,6]C[3,6]C[3]C)(C[6]C[6]HH)(O)2	C[3,6](C[3,6]C[3]O[6]C)(C[3]C[3,6]Cl2)(S[6]C[6]OO)(CH3){1|C<4>,2|H<1>}	C[3,6](C[3,6]C[3]S[6]C)(C[3]C[3,6]Cl2)(O[6]C[6])(CH3){1|C<4>,2|H<1>,2|O<1>}	S[6](C[3,6]C[3,6]C[3]C)(C[6]C[6]HH)(O)2{2|Cl<1>,1|C<4>,1|O<2>,2|H<1>}	118.5060	0.000	1	118.5060	0.000	1     118.5060       0.000      1      118.5060     0.000     1
486	486	972	4:4:2:3:	4:2:4:1:	4:3:1:	C[3]-4:S-4:O[3]-2:S-3:	C[3]-4:O[3]-2:C-4:H-1:	C[3]-4:C[6a]-3:O-1:	C[3](C[3]O[3]CH)(SC[6a]OO)(O[3]C[3])(SC[6a]O)	C[3](C[3]O[3]SS)(O[3]C[3])(CCCH)(H)	S(C[3]C[3]O[3]S)(C[6a]C[6a]2)(O)	C[3](C[3]O[3]CH)(SC[6a]OO)(O[3]C[3])(SC[6a]O){}	C[3](C[3]O[3]SS)(O[3]C[3])(CCCH)(H){}	S(C[3]C[3]O[3]S)(C[6a]C[6a]2)(O)	120.1620	0.000	1	120.1620	0.000	1     120.1620       0.000      1      120.1620     0.000     1
486	486	972	4:4:3:3:	4:4:1:1:	4:3:1:	C[3,6]-4:C[3]-4:C[6]-3:S-3:	C[3,6]-4:C[3,6]-4:H-1:H-1:	C[3,6]-4:C[6a]-3:O-1:	C[3,6](C[3,6]C[3]C[6]H)(C[3]C[3,6]HH)(C[6]O[6]O)(SC[6a]O)	C[3](C[3,6]C[3,6]C[6]H)(C[3,6]C[3,6]C[6]S)(H)2	S(C[3,6]C[3,6]C[3]C[6])(C[6a]C[6a]2)(O)	C[3,6](C[3,6]C[3]C[6]H)(C[3]C[3,6]HH)(C[6]O[6]O)(SC[6a]O){1|C<4>,2|H<1>}	C[3](C[3,6]C[3,6]C[6]H)(C[3,6]C[3,6]C[6]S)(H)2{1|C<4>,1|O<1>,1|O<2>,2|H<1>}	S(C[3,6]C[3,6]C[3]C[6])(C[6a]C[6a]2)(O)	114.9140	0.000	1	114.9140	0.000	1     114.9140       0.000      1      114.9140     0.000     1
486	486	972	4:4:3:3:	4:4:4:1:	4:3:1:	C[3,6]-4:C[3]-4:C[6]-3:S-3:	C[3,6]-4:C[3,6]-4:C-4:H-1:	C[3,6]-4:C[6a]-3:O-1:	C[3,6](C[3,6]C[3]C[6]H)(C[3]C[3,6]CH)(C[6]O[6]O)(SC[6a]O)	C[3](C[3,6]C[3,6]C[6]H)(C[3,6]C[3,6]C[6]S)(CH3)(H)	S(C[3,6]C[3,6]C[3]C[6])(C[6a]C[6a]2)(O)	C[3,6](C[3,6]C[3]C[6]H)(C[3]C[3,6]CH)(C[6]O[6]O)(SC[6a]O){1|C<4>,2|H<1>}	C[3](C[3,6]C[3,6]C[6]H)(C[3,6]C[3,6]C[6]S)(CH3)(H){1|C<4>,1|O<1>,1|O<2>,2|H<1>}	S(C[3,6]C[3,6]C[3]C[6])(C[6a]C[6a]2)(O)	119.9420	0.000	1	119.9420	0.000	1     119.9420       0.000      1      120.0123     0.320     3
486	486	972	4:4:3:3:	4:4:4:1:	4:3:1:	C[3,6]-4:C[3]-4:C[6]-3:S-3:	C[3,6]-4:C[3]-4:C[6]-4:H-1:	C[3,6]-4:C[6a]-3:O-1:	C[3,6](C[3,6]C[3]C[6]H)(C[3]C[3,6]CH)(C[6]O[6]O)(SC[6a]O)	C[3,6](C[3,6]C[3]C[6]S)(C[3]C[3,6]CH)(C[6]C[6]HH)(H)	S(C[3,6]C[3,6]C[3]C[6])(C[6a]C[6a]2)(O)	C[3,6](C[3,6]C[3]C[6]H)(C[3]C[3,6]CH)(C[6]O[6]O)(SC[6a]O){1|C<4>,2|H<1>}	C[3,6](C[3,6]C[3]C[6]S)(C[3]C[3,6]CH)(C[6]C[6]HH)(H){1|O<1>,1|O<2>,2|H<1>}	S(C[3,6]C[3,6]C[3]C[6])(C[6a]C[6a]2)(O)	120.3620	0.000	1	120.3620	0.000	1     120.0475       0.445      2      120.0123     0.320     3
486	486	972	4:4:3:3:	4:4:4:1:	4:3:1:	C[3,6]-4:C[3]-4:C[6]-3:S-3:	C[3,6]-4:C[3]-4:C[6]-4:H-1:	C[3,6]-4:C[6a]-3:O-1:	C[3,6](C[3,6]C[3]C[6]H)(C[3]C[3,6]HH)(C[6]O[6]O)(SC[6a]O)	C[3,6](C[3,6]C[3]C[6]S)(C[3]C[3,6]HH)(C[6]C[6]HH)(H)	S(C[3,6]C[3,6]C[3]C[6])(C[6a]C[6a]2)(O)	C[3,6](C[3,6]C[3]C[6]H)(C[3]C[3,6]HH)(C[6]O[6]O)(SC[6a]O){1|C<4>,2|H<1>}	C[3,6](C[3,6]C[3]C[6]S)(C[3]C[3,6]HH)(C[6]C[6]HH)(H){1|O<1>,1|O<2>,2|H<1>}	S(C[3,6]C[3,6]C[3]C[6])(C[6a]C[6a]2)(O)	119.7330	0.000	1	119.7330	0.000	1     120.0475       0.445      2      120.0123     0.320     3
486	486	973	4:3:2:2:	4:4:4:2:	4:4:	C[3,6]-4:C[6]-3:O[3]-2:O-2:	C[3,6]-4:C[3,6]-4:C[6]-4:O[3]-2:	C[3,6]-4:C-4:	C[3,6](C[3,6]C[3,6]C[6]O[3])(C[6]C[6,6a]O)(O[3]C[3,6])(OC)	C[3,6](C[3,6]C[3,6]C[6]O[3])(C[3,6]C[6]O[3]O)(C[6]C[6,6a]HO)(O[3]C[3,6])	O(C[3,6]C[3,6]C[6]O[3])(CH3)	C[3,6](C[3,6]C[3,6]C[6]O[3])(C[6]C[6,6a]O)(O[3]C[3,6])(OC){1|H<1>,2|C<3>,2|C<4>,2|O<2>}	C[3,6](C[3,6]C[3,6]C[6]O[3])(C[3,6]C[6]O[3]O)(C[6]C[6,6a]HO)(O[3]C[3,6]){1|H<1>,1|O<1>,2|O<2>,4|C<3>}	O(C[3,6]C[3,6]C[6]O[3])(CH3)	117.0692	0.266	8	117.0692	0.266	8     117.0692       0.266      8      117.0692     0.266     8
486	486	973	4:3:4:2:	4:3:1:1:	4:4:	C[3]-4:C[3]-3:C-4:O-2:	C[3]-4:C[3]-3:H-1:H-1:	C[3]-4:C-4:	C[3](C[3]C[3]HH)(C[3]C[3]C)(CC[6]HO)(OC)	C[3](C[3]C[3]CO)(C[3]C[3]C)(H)2	O(C[3]C[3]2C)(CH3)	C[3](C[3]C[3]HH)(C[3]C[3]C)(CC[6]HO)(OC){}	C[3](C[3]C[3]CO)(C[3]C[3]C)(H)2{}	O(C[3]C[3]2C)(CH3)	116.5660	0.000	1	116.5660	0.000	1     116.5660       0.000      1      116.5660     0.000     1
486	486	973	4:3:4:2:	4:3:4:2:	4:4:	C[3]-4:C[5]-3:C[3]-4:O-2:	C[3]-4:C[6a]-3:C[3]-4:O-2:	C[3]-4:C-4:	C[3](C[3]C[6a]C[3]O)(C[5]C[5]S[5])(C[3]C[3]CH)(OC)	C[3](C[3]C[3]C[5]O)(C[6a]C[6a]2)(C[3]C[3]CH)(OC)	O(C[3]C[3]2C[5])(CH3)	C[3](C[3]C[6a]C[3]O)(C[5]C[5]S[5])(C[3]C[3]CH)(OC){1|H<1>,4|C<3>}	C[3](C[3]C[3]C[5]O)(C[6a]C[6a]2)(C[3]C[3]CH)(OC){1|S<2>,2|H<1>,3|C<3>}	O(C[3]C[3]2C[5])(CH3)	116.2890	0.000	1	116.2890	0.000	1     116.2890       0.000      1      113.9990     3.239     2
