490	310	981	4:1:1:1:	4:4:4:4:	4:	N-4:Br-1:H-1:H-1:	C-4:C-4:C-4:C-4:	C-4:	C(NC3)(Br)(H)2	N(CBrHH)(CH3)3	Br(CHHN)	C(NC3)(Br)(H)2	N(CBrHH)(CH3)3	Br(CHHN)	113.0265	1.248	2	113.0265	1.248	2     113.0265       1.248      2      113.0265     1.248     2
490	310	984	3:4:3:1:	4:4:1:1:	3:3:4:	P-3:N-4:C-3:H-1:	C-4:C-4:H-1:H-1:	C[6a]-3:C[6a]-3:C-4:	C(PC[6a]2)(NCHH)(COO)(H)	N(CCHP)(CC3)(H)2	P(C[6a]C[6a]2)2(CCHN)	C(PC[6a]2)(NCHH)(COO)(H)	N(CCHP)(CC3)(H)2	P(C[6a]C[6a]2)2(CCHN)	110.0680	0.000	1	110.0680	0.000	1     110.0680       0.000      1      110.0680     0.000     1
490	310	984	4:3:1:1:	4:4:1:1:	4:4:4:	N-4:P-3:H-1:H-1:	C-4:C-4:H-1:H-1:	C-4:C-4:C-4:	C(NCHH)(PCC)(H)2	N(CCCH)(CHHP)(H)2	P(CHHN)3	C(NCHH)(PCC)(H)2	N(CCCH)(CHHP)(H)2	P(CHHN)3	108.9718	0.294	8	108.9718	0.294	8     109.2022       0.744      9      109.2022     0.744     9
490	310	984	4:3:1:1:	4:4:1:1:	4:4:4:	N-4:P-3:H-1:H-1:	C-4:C-4:H-1:H-1:	C-4:C-4:C-4:	C(NCHH)(PCC)(H)2	N(CCHH)(CHHP)(H)2	P(CHHN)3	C(NCHH)(PCC)(H)2	N(CCHH)(CHHP)(H)2	P(CHHN)3	111.0450	0.000	1	111.0450	0.000	1     109.2022       0.744      9      109.2022     0.744     9
490	310	988	3:4:4:1:	4:1:1:1:	4:2:2:2:	C[6a]-3:N-4:P-4:H-1:	C-4:H-1:H-1:H-1:	C-4:O-2:O-2:O-2:	C(C[6a]C[6a]2)(NH3)(PO3)(H)	N(CC[6a]HP)(H)3	P(CC[6a]HN)(OZn)3	C(C[6a]C[6a]2)(NH3)(PO3)(H)	N(CC[6a]HP)(H)3	P(CC[6a]HN)(OZn)3	112.6360	0.000	1	112.6360	0.000	1     112.6360       0.000      1      112.6360     0.000     1
490	310	988	3:4:4:1:	4:4:1:1:	4:2:1:1:	C[6a]-3:N-4:P-4:H-1:	C-4:C-4:H-1:H-1:	C-4:O-2:O-1:O-1:	C(C[6a]C[6a]2)(NCHH)(PO3)(H)	N(CC[6a]HH)(CC[6a]HP)(H)2	P(CC[6a]HN)(OC)(O)2	C(C[6a]C[6a]2)(NCHH)(PO3)(H)	N(CC[6a]HH)(CC[6a]HP)(H)2	P(CC[6a]HN)(OC)(O)2	109.8190	0.000	1	109.8190	0.000	1     109.9365       0.166      2      109.9365     0.166     2
490	310	988	3:4:4:1:	4:4:1:1:	4:2:1:1:	C[6a]-3:N-4:P-4:H-1:	C-4:C-4:H-1:H-1:	C-4:O-2:O-1:O-1:	C(C[6a]C[6a]2)(NCHH)(PO3)(H)	N(CC[6a]HP)(CCHH)(H)2	P(CC[6a]HN)(OC)(O)2	C(C[6a]C[6a]2)(NCHH)(PO3)(H)	N(CC[6a]HP)(CCHH)(H)2	P(CC[6a]HN)(OC)(O)2	110.0540	0.000	1	110.0540	0.000	1     109.9365       0.166      2      109.9365     0.166     2
490	310	988	4:4:1:1:	4:1:1:1:	4:2:2:1:	N-4:P-4:H-1:H-1:	C-4:H-1:H-1:H-1:	C-4:O-2:O-2:O-1:	C(NH3)(PO3)(H)2	N(CHHP)(H)3	P(CHHN)(OH)2(O)	C(NH3)(PO3)(H)2	N(CHHP)(H)3	P(CHHN)(OH)2(O)	110.7170	0.000	1	110.7170	0.000	1     110.7170       0.000      1      110.7170     0.000     1
490	310	988	4:4:1:1:	4:1:1:1:	4:4:1:1:	P-4:N-4:H-1:H-1:	C-4:H-1:H-1:H-1:	C-4:C-4:O-1:O-1:	C(PCOO)(NH3)(H)2	N(CHHP)(H)3	P(CHHN)2(O)2	C(PCOO)(NH3)(H)2	N(CHHP)(H)3	P(CHHN)2(O)2	111.9860	0.214	2	111.9860	0.214	2     111.9860       0.214      2      111.9860     0.214     2
490	310	988	4:4:1:1:	4:1:1:1:	4:4:2:1:	P-4:N-4:H-1:H-1:	C-4:H-1:H-1:H-1:	C-4:C-4:O-2:O-1:	C(PCOO)(NH3)(H)2	N(CHHP)(H)3	P(CHHN)2(OCa)(O)	C(PCOO)(NH3)(H)2	N(CHHP)(H)3	P(CHHN)2(OCa)(O)	112.6130	0.025	2	112.6130	0.025	2     112.5979       0.204      13      112.5979     0.204     13
490	310	988	4:4:1:1:	4:1:1:1:	4:4:2:1:	P-4:N-4:H-1:H-1:	C-4:H-1:H-1:H-1:	C-4:C-4:O-2:O-1:	C(PCOO)(NH3)(H)2	N(CHHP)(H)3	P(CHHN)2(OCd)(O)	C(PCOO)(NH3)(H)2	N(CHHP)(H)3	P(CHHN)2(OCd)(O)	112.4325	0.091	2	112.4325	0.091	2     112.5979       0.204      13      112.5979     0.204     13
