490	542	710	3:1:1:1:	3:3:4:	4:	N[5]-3:H-1:H-1:I-1:	C[5]-3:C[5]-3:C-4:	C-4:	C(N[5]C[5]2)(H)2(I)	N[5](C[5]C[5]H)(C[5]N[5]H)(CHHI)	I(CN[5]HH)	C(N[5]C[5]2)(H)2(I)	N[5](C[5]C[5]H)(C[5]N[5]H)(CHHI){1|C<3>,1|H<1>}	I(CN[5]HH)	112.6930	0.000	1	112.6930	0.000	1     112.6930       0.000      1      112.6930     0.000     1
490	542	762	3:3:1:1:	2:2:4:	3:3:4:	C[6a]-3:N[5a]-3:H-1:H-1:	N[5a]-2:N[5a]-2:C-4:	C[6a]-3:C[6a]-3:C-4:	C(C[6a]C[6a]2)(N[5a]N[5a]2)(H)2	N[5a](N[5a]C[5a,6a])2(CC[6a]HH)	C[6a](C[6a]C[6a]H)2(CN[5a]HH)	C(C[6a]C[6a]2)(N[5a]N[5a]2)(H)2	N[5a](N[5a]C[5a,6a])2(CC[6a]HH){2|C<3>}	C[6a](C[6a]C[6a]H)2(CN[5a]HH){1|C<3>,2|H<1>}	112.5830	0.000	1	112.5830	0.000	1     112.4525       0.520      4      112.2876     0.582     5
490	542	762	3:3:1:1:	2:2:4:	3:3:4:	C[6a]-3:N[5a]-3:H-1:H-1:	N[5a]-2:N[5a]-2:C-4:	C[6a]-3:C[6a]-3:C-4:	C(C[6a]C[6a]2)(N[5a]N[5a]2)(H)2	N[5a](N[5a]C[5a])(N[5a]N[5a])(CC[6a]HH)	C[6a](C[6a]C[6a]H)2(CN[5a]HH)	C(C[6a]C[6a]2)(N[5a]N[5a]2)(H)2	N[5a](N[5a]C[5a])(N[5a]N[5a])(CC[6a]HH){1|C<4>}	C[6a](C[6a]C[6a]H)2(CN[5a]HH){1|C<3>,2|H<1>}	111.7330	0.000	1	111.7330	0.000	1     112.4525       0.520      4      112.2876     0.582     5
490	542	762	3:3:1:1:	2:2:4:	3:3:4:	C[6a]-3:N[5a]-3:H-1:H-1:	N[5a]-2:N[5a]-2:C-4:	C[6a]-3:C[6a]-3:C-4:	C(C[6a]C[6a]2)(N[5a]N[5a]2)(H)2	N[5a](N[5a]C[5a])2(CC[6a]HH)	C[6a](C[6a]C[6a]H)2(CN[5a]HH)	C(C[6a]C[6a]2)(N[5a]N[5a]2)(H)2	N[5a](N[5a]C[5a])2(CC[6a]HH){2|C<3>}	C[6a](C[6a]C[6a]H)2(CN[5a]HH){1|C<3>,2|H<1>}	112.7470	0.320	2	112.7470	0.320	2     112.4525       0.520      4      112.2876     0.582     5
490	542	762	3:3:1:1:	2:2:4:	3:3:4:	N[5a]-3:C[6]-3:H-1:H-1:	N[5a]-2:N[5a]-2:C-4:	C[6]-3:C[6]-3:C-4:	C(N[5a]N[5a]2)(C[6]C[6]2)(H)2	N[5a](N[5a]C[5a])(N[5a]N[5a])(CC[6]HH)	C[6](C[6]C[6]H)(C[6]N[6]H)(CN[5a]HH)	C(N[5a]N[5a]2)(C[6]C[6]2)(H)2	N[5a](N[5a]C[5a])(N[5a]N[5a])(CC[6]HH){1|C<3>}	C[6](C[6]C[6]H)(C[6]N[6]H)(CN[5a]HH){1|Co<6>,1|C<3>,1|H<1>}	111.6280	0.000	1	111.6280	0.000	1     111.6280       0.000      1      112.2876     0.582     5
490	542	762	3:3:1:1:	3:2:4:	3:2:4:	C[6a]-3:N[5a]-3:H-1:H-1:	C[5a]-3:N[5a]-2:C-4:	C[6a]-3:N[6a]-2:C-4:	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]C)(N[5a]C[5a])(CC[6a]HH)	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH)	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]C)(N[5a]C[5a])(CC[6a]HH){1|C<4>,1|H<1>}	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH){1|C<3>,1|C<4>,1|H<1>}	110.9930	0.000	1	110.9930	0.000	1     112.6410       1.249      14      112.8064     1.256     16
490	542	762	3:3:1:1:	3:2:4:	3:2:4:	C[6a]-3:N[5a]-3:H-1:H-1:	C[5a]-3:N[5a]-2:C-4:	C[6a]-3:N[6a]-2:C-4:	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]C[5])(N[5a]N[5a])(CC[6a]HH)	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH)	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]C[5])(N[5a]N[5a])(CC[6a]HH){1|C<3>,1|H<1>,1|S<2>}	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH){1|C<3>,1|C<4>,1|H<1>}	111.7490	0.000	1	111.7490	0.000	1     112.6410       1.249      14      112.8064     1.256     16
490	542	762	3:3:1:1:	3:2:4:	3:2:4:	C[6a]-3:N[5a]-3:H-1:H-1:	C[5a]-3:N[5a]-2:C-4:	C[6a]-3:N[6a]-2:C-4:	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]C[6a])(N[5a]C[5a])(CC[6a]HH)	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH)	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]C[6a])(N[5a]C[5a])(CC[6a]HH){1|H<1>,3|C<3>}	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH){1|C<3>,2|H<1>}	114.3700	0.000	1	114.3700	0.000	1     112.6410       1.249      14      112.8064     1.256     16
490	542	762	3:3:1:1:	3:2:4:	3:2:4:	C[6a]-3:N[5a]-3:H-1:H-1:	C[5a]-3:N[5a]-2:C-4:	C[6a]-3:N[6a]-2:C-4:	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]H)(N[5a]C[5a])(CC[6a]HH)	C[6a](C[6a]C[6a]C)(N[6a]C[6a])(CN[5a]HH)	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]H)(N[5a]C[5a])(CC[6a]HH){1|C<3>,1|H<1>}	C[6a](C[6a]C[6a]C)(N[6a]C[6a])(CN[5a]HH){1|C<3>,1|H<1>,1|O<2>}	112.2580	0.288	2	112.2580	0.288	2     112.6410       1.249      14      112.8064     1.256     16
490	542	762	3:3:1:1:	3:2:4:	3:2:4:	C[6a]-3:N[5a]-3:H-1:H-1:	C[5a]-3:N[5a]-2:C-4:	C[6a]-3:N[6a]-2:C-4:	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]H)(N[5a]C[5a])(CC[6a]HH)	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH)	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]H)(N[5a]C[5a])(CC[6a]HH){1|C<4>,1|H<1>}	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH){1|C<3>,2|H<1>}	112.8630	0.000	1	112.8630	0.000	1     112.6410       1.249      14      112.8064     1.256     16
490	542	762	3:3:1:1:	3:2:4:	3:2:4:	C[6a]-3:N[5a]-3:H-1:H-1:	C[5a]-3:N[5a]-2:C-4:	C[6a]-3:N[6a]-2:C-4:	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]H)(N[5a]N[5a])(CC[6a]HH)	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH)	C(C[6a]C[6a]N[6a])(N[5a]C[5a]N[5a])(H)2	N[5a](C[5a]C[5a]H)(N[5a]N[5a])(CC[6a]HH){1|C<3>}	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(CN[5a]HH){1|C<3>,1|C<4>,1|H<1>}	114.5600	0.000	1	112.8491	1.475	7     112.6410       1.249      14      112.8064     1.256     16
