490	690	742	0:SP3_SP-NON_SP3	C	H	B[4]	4:4:1:1:	4:	4:4:4:2:	B[4]-4:C-4:H-1:H-1:	C-4:	P[4]-4:P[4]-4:C-4:O-2:	C(B[4]P[4]2O)(CCCH)(H)2	H(CB[4]CH)	B[4](P[4]B[4]CC)2(CCHH)(OS)	C(B[4]P[4]2O)(CCCH)(H)2	H(CB[4]CH)	B[4](P[4]B[4]CC)2(CCHH)(OS){1|C<4>,1|H<1>}	107.0165	0.019	2	107.0165	0.019	2	107.0165	0.019	2	107.0165	0.019	2	107.0165	0.019	2	107.0165	0.019	2
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	3:4:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[5,6,6]-3:C[3x6]-4:C-4:	C(C[6,6]C[5,6,6]C[3x6])(H)3	H(CC[6,6]HH)	C[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6]2H)(CH3)	C(C[6,6]C[5,6,6]C[3x6])(H)3	H(CC[6,6]HH)	C[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6]2H)(CH3){1|N<3>,3|C<4>,6|H<1>}	109.4760	1.040	3	109.4760	1.040	3	109.4760	1.040	3	109.4760	1.040	3	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3,6,6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3,6,6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3,6,6]C[3,5,6]2H)(C[6,6]C[5,6,6]H)(CH3)	C(C[6,6]C[3,6,6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3,6,6]C[3,5,6]2H)(C[6,6]C[5,6,6]H)(CH3){1|H<1>,4|C<4>}	109.4355	0.035	2	109.4355	0.035	2	109.4355	0.035	2	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[3x6]C[6,6]C)(C[6,6]C[3x6]H)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[3x6]C[6,6]C)(C[6,6]C[3x6]H)(CH3){1|C<3>,1|O<1>,2|C<4>,2|H<1>}	109.4650	0.025	3	109.4650	0.025	3	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[3x6]C[6,6]H)(C[6,6]C[3x6]H)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[3x6]C[6,6]H)(C[6,6]C[3x6]H)(CH3){1|C<3>,1|H<1>,1|O<2>,4|C<4>}	109.4385	0.013	2	109.4491	0.032	9	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[3x6]C[6,6]H)(C[6,6]C[3x6]H)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[3x6]C[6,6]H)(C[6,6]C[3x6]H)(CH3){1|C<3>,1|O<1>,2|C<4>,2|H<1>}	109.4521	0.036	7	109.4491	0.032	9	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[4,6,6]C[6,6]H)(C[6,6]C[3x6]C[6a])(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[4,6,6]C[6,6]H)(C[6,6]C[3x6]C[6a])(CH3){2|C<4>,3|C<3>,4|H<1>}	109.4687	0.012	3	109.4687	0.012	3	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[5,6,6]C[6,6]H)(C[6,6]C[3x6]H)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[5,6,6]C[6,6]H)(C[6,6]C[3x6]H)(CH3){1|C<4>,1|O<2>,2|C<3>,3|H<1>}	109.4767	0.008	3	109.4767	0.008	3	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6,6a]2H)(C[6,6]C[3x6]P)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6,6a]2H)(C[6,6]C[3x6]P)(CH3){1|H<1>,4|C<3>}	109.4480	0.000	1	109.4480	0.000	1	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6,6a]C[6,6]H)(C[6,6]P[3x6]Si)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6,6a]C[6,6]H)(C[6,6]P[3x6]Si)(CH3){1|C<4>,3|C<3>}	109.4903	0.019	3	109.4635	0.066	27	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6,6a]C[6,6]H)(C[6,6]P[3x6]Si)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6,6a]C[6,6]H)(C[6,6]P[3x6]Si)(CH3){1|Pd<2>,1|C<4>,3|C<3>}	109.4771	0.069	9	109.4635	0.066	27	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6,6a]C[6,6]H)(C[6,6]P[3x6]Si)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6,6a]C[6,6]H)(C[6,6]P[3x6]Si)(CH3){1|Pd<5>,1|C<4>,3|C<3>}	109.4676	0.030	5	109.4635	0.066	27	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6,6a]C[6,6]H)(C[6,6]P[3x6]Si)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6,6a]C[6,6]H)(C[6,6]P[3x6]Si)(CH3){1|Pt<2>,1|C<4>,3|C<3>}	109.4412	0.082	10	109.4635	0.066	27	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6]2C)(C[6,6]C[3x6]C)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6]2C)(C[6,6]C[3x6]C)(CH3){1|N<3>,3|C<4>,3|H<1>}	109.4635	0.005	2	109.4635	0.005	2	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6]2H)(C[6,6]C[3x6]Br)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6]2H)(C[6,6]C[3x6]Br)(CH3){1|N<3>,1|O<2>,2|C<4>,3|H<1>}	109.4497	0.036	6	109.4497	0.036	6	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6]2H)(C[6,6]C[3x6]H)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6]2H)(C[6,6]C[3x6]H)(CH3){1|C<3>,1|O<2>,2|H<1>,3|C<4>}	109.4773	2.917	6	109.9229	2.598	9	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6]2H)(C[6,6]C[3x6]H)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6]2H)(C[6,6]C[3x6]H)(CH3){1|C<3>,2|C<4>,4|H<1>}	110.8140	1.986	3	109.9229	2.598	9	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6]2H)(C[6,6]C[4x6]H)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6]2H)(C[6,6]C[4x6]H)(CH3){1|C<3>,2|C<4>,4|H<1>}	109.4465	0.006	2	109.4465	0.006	2	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6]2H)(C[6,6]P[3x6]P)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6]2H)(C[6,6]P[3x6]P)(CH3){1|Pd<4>,4|C<3>}	109.4723	0.031	3	109.4723	0.031	3	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
490	690	762	0:SP3_SP-NON_SP2	C	H	C[6,6]	3:1:1:1:	4:	4:3:4:	C[6,6]-3:H-1:H-1:H-1:	C-4:	C[3x6]-4:C[6,6]-3:C-4:	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6]N[6,6]C)(C[6,6]C[3x6]C)(CH3)	C(C[6,6]C[3x6]C[6,6])(H)3	H(CC[6,6]HH)	C[6,6](C[3x6]C[6,6]N[6,6]C)(C[6,6]C[3x6]C)(CH3){1|H<1>,2|C<3>,3|C<4>}	109.4623	0.028	3	109.4623	0.028	3	109.5149	0.863	76	109.4786	1.288	94	109.1565	1.278	131	109.3676	0.954	16711
