610	490	670	4:4:4:3:	4:1:1:1:	4:3:1:	C-4:C-4:C-4:N-3:	B-4:F-1:F-1:F-1:	B-4:C-3:H-1:	B(CF3)3(NCH)	C(BCCN)(F)3	N(BC3)(CCO)(H)	B(CF3)3(NCH)	C(BCCN)(F)3	N(BC3)(CCO)(H)	109.2593	4.045	3	109.2593	4.045	3     109.2593       4.045      3      109.2593     4.045     3
610	490	690	3:3:4:1:	4:4:1:1:	4:	C[6a]-3:C[6a]-3:C-4:H-1:	B-4:C-4:H-1:H-1:	B-4:	B(C[6a]C[6a]2)2(CCHH)(H)	C(BC[6a]2H)(CC[6a]HH)(H)2	H(BC[6a]2C)	B(C[6a]C[6a]2)2(CCHH)(H)	C(BC[6a]2H)(CC[6a]HH)(H)2	H(BC[6a]2C)	108.0800	0.000	1	108.0800	0.000	1     107.7675       0.442      2      109.4243     3.273     4
610	490	690	3:3:4:1:	4:4:1:1:	4:	C[6a]-3:C[6a]-3:C-4:H-1:	B-4:C-4:H-1:H-1:	B-4:	B(C[6a]C[6a]2)2(CCHH)(H)	C(BC[6a]2H)(CHHP)(H)2	H(BC[6a]2C)	B(C[6a]C[6a]2)2(CCHH)(H)	C(BC[6a]2H)(CHHP)(H)2	H(BC[6a]2C)	107.4550	0.000	1	107.4550	0.000	1     107.7675       0.442      2      109.4243     3.273     4
610	490	690	3:3:4:1:	4:4:1:1:	4:	C[6a]-3:C[6a]-3:C-4:H-1:	C-4:B-4:H-1:H-1:	B-4:	B(C[6a]C[6a]2)2(CCHH)(H)	C(CC[6a]N[6]H)(BC[6a]2H)(H)2	H(BC[6a]2C)	B(C[6a]C[6a]2)2(CCHH)(H)	C(CC[6a]N[6]H)(BC[6a]2H)(H)2	H(BC[6a]2C)	107.8440	0.000	1	107.8440	0.000	1     107.8440       0.000      1      109.4243     3.273     4
610	490	690	3:3:4:1:	4:4:1:1:	4:	C[6a]-3:N[6]-3:C-4:H-1:	B-4:C-4:H-1:H-1:	B-4:	B(C[6a]C[6a]2)(N[6]C[6]2)(CCHH)(H)	C(BC[6a]N[6]H)(CCHP)(H)2	H(BC[6a]N[6]C)	B(C[6a]C[6a]2)(N[6]C[6]2)(CCHH)(H)	C(BC[6a]N[6]H)(CCHP)(H)2	H(BC[6a]N[6]C)	114.3180	0.000	1	114.3180	0.000	1     114.3180       0.000      1      109.4243     3.273     4
610	490	690	3:4:4:1:	4:4:1:1:	4:	C[6a]-3:P-4:C-4:H-1:	B-4:C-4:H-1:H-1:	B-4:	B(C[6a]C[6a]2)(PC[6a]2C)(CCHH)(H)	C(BC[6a]HP)(CCHP)(H)2	H(BC[6a]CP)	B(C[6a]C[6a]2)(PC[6a]2C)(CCHH)(H)	C(BC[6a]HP)(CCHP)(H)2	H(BC[6a]CP)	111.3150	0.000	1	111.3150	0.000	1     111.3150       0.000      1      111.3150     0.000     1
610	490	690	4:1:1:1:	4:4:4:3:	4:	C-4:H-1:H-1:H-1:	B-4:C-4:C-4:P-3:	B-4:	B(CCCP)(H)3	C(BH3)(CH3)2(PCC)	H(BCHH)	B(CCCP)(H)3	C(BH3)(CH3)2(PCC)	H(BCHH)	109.4547	0.048	3	109.4547	0.048	3     109.4547       0.048      3      109.4547     0.048     3
610	490	690	4:4:1:1:	3:4:3:1:	4:	C-4:P-4:H-1:H-1:	C[6a]-3:B-4:C-3:H-1:	B-4:	B(CC[6a]CH)(PCCH)(H)2	C(C[6a]C[6a]2)(BHHP)(COO)(H)	H(BCHP)	B(CC[6a]CH)(PCCH)(H)2	C(C[6a]C[6a]2)(BHHP)(COO)(H)	H(BCHP)	114.2170	0.724	2	114.2170	0.724	2     114.2170       0.724      2      114.2170     0.724     2
610	490	690	4:4:1:1:	4:4:1:1:	4:	C-4:N-4:H-1:H-1:	P-4:B-4:H-1:H-1:	B-4:	B(CHHP)(NCCH)(H)2	C(PC[6a]2B)(BHHN)(H)2	H(BCHN)	B(CHHP)(NCCH)(H)2	C(PC[6a]2B)(BHHN)(H)2	H(BCHN)	111.3995	1.716	2	111.3995	1.716	2     111.3995       1.716      2      111.3995     1.716     2
610	490	762	3:3:3:4:	3:4:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	C[5]-3:B-4:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CC[5]HH)	C(C[5]C[5]O[5])(BC[6a]3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CC[5]HH)	C(C[5]C[5]O[5])(BC[6a]3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	108.4063	5.817	3	108.4063	5.817	3     108.4063       5.817      3      109.4523     5.584     9
610	490	762	3:3:3:4:	3:4:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	C[6a]-3:B-4:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CC[6a]HH)	C(C[6a]C[6a]2)(BC[6a]3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CC[6a]HH)	C(C[6a]C[6a]2)(BC[6a]3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	109.9753	5.947	6	109.9753	5.947	6     109.9753       5.947      6      109.4523     5.584     9
610	490	762	3:3:3:4:	3:4:1:1:	4:3:3:	C[6a]-3:C[6a]-3:N[6]-3:C-4:	C[6]-3:B-4:H-1:H-1:	B-4:C[6a]-3:C[6a]-3:	B(C[6a]C[6a]2)2(N[6]C[6]2)(CC[6]HH)	C(C[6]C[6]N[6])(BC[6a]2N[6])(H)2	C[6a](BC[6a]N[6]C)(C[6a]C[6a]H)2	B(C[6a]C[6a]2)2(N[6]C[6]2)(CC[6]HH)	C(C[6]C[6]N[6])(BC[6a]2N[6])(H)2	C[6a](BC[6a]N[6]C)(C[6a]C[6a]H)2{1|C<3>,2|H<1>}	108.3945	1.054	2	108.3945	1.054	2     108.3945       1.054      2      108.3945     1.054     2
610	490	762	3:3:3:4:	4:1:1:1:	3:3:4:	C[5]-3:C[5]-3:C[6a]-3:C-4:	B-4:H-1:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[5]N[5]O[5])2(C[6a]C[6a]2)(CH3)	C(BC[6a]C[5]2)(H)3	C[6a](C[6a]C[6a]H)2(BC[5]2C)	B(C[5]N[5]O[5])2(C[6a]C[6a]2)(CH3)	C(BC[6a]C[5]2)(H)3	C[6a](C[6a]C[6a]H)2(BC[5]2C){1|C<3>,2|H<1>}	115.3990	0.000	1	115.3990	0.000	1     115.3990       0.000      1      109.6136     4.251     68
610	490	762	3:3:3:4:	4:1:1:1:	3:3:4:	C[6a]-3:C[5]-3:N[6]-3:C-4:	B-4:H-1:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)(C[5]C[5]2)(N[6]C[6]2)(CH3)	C(BC[6a]C[5]N[6])(H)3	C[6a](C[6a]C[6a]F)2(BC[5]N[6]C)	B(C[6a]C[6a]2)(C[5]C[5]2)(N[6]C[6]2)(CH3)	C(BC[6a]C[5]N[6])(H)3	C[6a](C[6a]C[6a]F)2(BC[5]N[6]C){1|C<3>,2|F<1>}	108.5500	0.000	1	108.5500	0.000	1     108.5500       0.000      1      109.6136     4.251     68
610	490	762	3:3:3:4:	4:1:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:H-1:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CH3)	C(BC[6a]3)(H)3	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CH3)	C(BC[6a]3)(H)3	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,1|F<1>,1|F<2>}	114.8570	0.000	1	109.5542	4.338	63     109.5421       4.253      66      109.6136     4.251     68
610	490	762	3:3:3:4:	4:1:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:H-1:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CH3)	C(BC[6a]3)(H)3	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CH3)	C(BC[6a]3)(H)3	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	109.4687	4.320	62	109.5542	4.338	63     109.5421       4.253      66      109.6136     4.251     68
