542	346	542	5:SP2_SP2_SP2	N[5,5]	N[5]	N[5,5]	3:4:2:	3:3:	3:4:3:	N[5,5]-3:B[5]-4:N[5]-2:	N[5,5]-3:C[5]-3:	N[5,5]-3:B[5]-4:C[5]-3:	N[5,5](N[5,5]B[5]C[5])(B[5]C[6]2N[5])(N[5]C[5])	N[5](N[5,5]N[5,5]B[5])(C[5]C[5]P)	N[5,5](N[5,5]B[5]N[5])(B[5]C[6]2N[5])(C[5]C[5]H)	N[5,5](N[5,5]B[5]C[5])(B[5]C[6]2N[5])(N[5]C[5]){1|N<2>,1|P<4>,3|H<1>,6|C<4>}	N[5](N[5,5]N[5,5]B[5])(C[5]C[5]P){1|B<4>,1|H<1>,1|N<3>,2|C<4>}	N[5,5](N[5,5]B[5]N[5])(B[5]C[6]2N[5])(C[5]C[5]H){1|N<2>,1|P<4>,2|H<1>,6|C<4>}	111.3980	0.000	1	111.3980	0.000	1	111.3980	0.000	1	111.3980	0.000	1	111.3980	0.000	1	110.2056	0.627	34
542	346	542	5:SP2_SP2_SP2	N[5]	N[5]	N[5]	3:3:2:	3:3:	3:3:1:	N[5]-3:C[6a]-3:N[5]-2:	C[5,6a]-3:N[5]-3:	C[5,6a]-3:N[5]-3:O-1:	N[5](N[5]C[5,6a]O)(C[6a]C[6a]2)(N[5]C[5,6a])	N[5](C[5,6a]C[5,6a]C[6a])(N[5]C[6a]N[5])	N[5](C[5,6a]C[5,6a]C[6a])(N[5]C[6a]N[5])(O)	N[5](N[5]C[5,6a]O)(C[6a]C[6a]2)(N[5]C[5,6a]){1|H<1>,1|O<2>,4|C<3>}	N[5](C[5,6a]C[5,6a]C[6a])(N[5]C[6a]N[5]){1|H<1>,1|O<1>,4|C<3>}	N[5](C[5,6a]C[5,6a]C[6a])(N[5]C[6a]N[5])(O){1|H<1>,4|C<3>}	112.7710	0.000	1	112.7710	0.000	1	112.7710	0.000	1	112.7710	0.000	1	110.1695	0.600	33	110.2056	0.627	34
542	346	542	5:SP2_SP2_SP2	N[5]	N[5]	N[5]	3:3:2:	3:3:	3:3:2:	N[5]-3:C[6a]-3:N[5]-2:	C[5]-3:N[5]-3:	N[5]-3:C[6a]-3:N[5]-2:	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5])	N[5](C[5]C[6a]N[5])(N[5]C[6a]N[5])	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5])	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5]){2|H<1>,5|C<3>}	N[5](C[5]C[6a]N[5])(N[5]C[6a]N[5]){5|C<3>}	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5]){2|H<1>,5|C<3>}	110.0035	0.253	22	110.0035	0.253	22	110.0035	0.253	22	110.0568	0.381	29	110.1695	0.600	33	110.2056	0.627	34
542	346	542	5:SP2_SP2_SP2	N[5]	N[5]	N[5]	3:3:2:	3:3:	3:3:2:	N[5]-3:C[6a]-3:N[5]-2:	N[5]-3:C[5]-3:	N[5]-3:C[6a]-3:N[5]-2:	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5])	N[5](N[5]C[6a]N[5])(C[5]N[5]O)	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5])	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5]){1|O<2>,2|H<1>,4|C<3>}	N[5](N[5]C[6a]N[5])(C[5]N[5]O){3|C<3>}	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5]){1|O<2>,2|H<1>,4|C<3>}	110.1990	1.344	2	110.1990	1.344	2	110.2240	0.641	7	110.0568	0.381	29	110.1695	0.600	33	110.2056	0.627	34
542	346	542	5:SP2_SP2_SP2	N[5]	N[5]	N[5]	3:3:2:	3:3:	3:3:2:	N[5]-3:C[6a]-3:N[5]-2:	N[5]-3:C[5]-3:	N[5]-3:C[6a]-3:N[5]-2:	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5])	N[5](N[5]C[6a]N[5])(C[5]N[5]S)	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5])	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5]){1|S<1>,2|H<1>,4|C<3>}	N[5](N[5]C[6a]N[5])(C[5]N[5]S){3|C<3>}	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5]){1|S<1>,2|H<1>,4|C<3>}	110.1850	0.000	1	110.2340	0.405	5	110.2240	0.641	7	110.0568	0.381	29	110.1695	0.600	33	110.2056	0.627	34
542	346	542	5:SP2_SP2_SP2	N[5]	N[5]	N[5]	3:3:2:	3:3:	3:3:2:	N[5]-3:C[6a]-3:N[5]-2:	N[5]-3:C[5]-3:	N[5]-3:C[6a]-3:N[5]-2:	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5])	N[5](N[5]C[6a]N[5])(C[5]N[5]S)	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5])	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5]){1|S<2>,2|H<1>,4|C<3>}	N[5](N[5]C[6a]N[5])(C[5]N[5]S){3|C<3>}	N[5](N[5]C[6a]N[5])(C[6a]C[6a]2)(N[5]C[5]){1|S<2>,2|H<1>,4|C<3>}	110.2463	0.466	4	110.2340	0.405	5	110.2240	0.641	7	110.0568	0.381	29	110.1695	0.600	33	110.2056	0.627	34
542	346	542	5:SP2_SP2_SP2	N[5]	N[5]	N[5]	3:3:2:	3:3:	3:3:4:	C[6a]-3:N[5]-3:N[5]-2:	C[5]-3:N[5]-3:	N[5]-3:C[5]-3:C-4:	N[5](C[6a]C[6a]2)(N[5]C[5]C)(N[5]C[5])	N[5](C[5]C[6a]C[5])(N[5]C[6a]N[5])	N[5](N[5]C[6a]N[5])(C[5]C[5]Ag)(CH3)	N[5](C[6a]C[6a]2)(N[5]C[5]C)(N[5]C[5]){1|Ag<3>,2|H<1>,3|C<3>}	N[5](C[5]C[6a]C[5])(N[5]C[6a]N[5]){1|Ag<3>,1|C<4>,4|C<3>}	N[5](N[5]C[6a]N[5])(C[5]C[5]Ag)(CH3){3|C<3>}	110.1030	0.000	1	110.1030	0.000	1	110.3920	0.297	3	110.3920	0.297	3	110.1695	0.600	33	110.2056	0.627	34
542	346	542	5:SP2_SP2_SP2	N[5]	N[5]	N[5]	3:3:2:	3:3:	3:3:4:	C[6a]-3:N[5]-3:N[5]-2:	C[5]-3:N[5]-3:	N[5]-3:C[5]-3:C-4:	N[5](C[6a]C[6a]2)(N[5]C[5]C)(N[5]C[5])	N[5](C[5]C[6a]C[5])(N[5]C[6a]N[5])	N[5](N[5]C[6a]N[5])(C[5]C[5]Au)(CH3)	N[5](C[6a]C[6a]2)(N[5]C[5]C)(N[5]C[5]){1|Au<2>,2|H<1>,3|C<3>}	N[5](C[5]C[6a]C[5])(N[5]C[6a]N[5]){1|Au<2>,1|C<4>,4|C<3>}	N[5](N[5]C[6a]N[5])(C[5]C[5]Au)(CH3){3|C<3>}	110.6960	0.000	1	110.6960	0.000	1	110.3920	0.297	3	110.3920	0.297	3	110.1695	0.600	33	110.2056	0.627	34
542	346	542	5:SP2_SP2_SP2	N[5]	N[5]	N[5]	3:3:2:	3:3:	3:3:4:	C[6a]-3:N[5]-3:N[5]-2:	C[5]-3:N[5]-3:	N[5]-3:C[5]-3:C-4:	N[5](C[6a]C[6a]2)(N[5]C[5]C)(N[5]C[5])	N[5](C[5]C[6a]C[5])(N[5]C[6a]N[5])	N[5](N[5]C[6a]N[5])(C[5]C[5]Ir)(CH3)	N[5](C[6a]C[6a]2)(N[5]C[5]C)(N[5]C[5]){1|Ir<4>,2|H<1>,3|C<3>}	N[5](C[5]C[6a]C[5])(N[5]C[6a]N[5]){1|Ir<4>,1|C<4>,4|C<3>}	N[5](N[5]C[6a]N[5])(C[5]C[5]Ir)(CH3){3|C<3>}	110.3770	0.000	1	110.3770	0.000	1	110.3920	0.297	3	110.3920	0.297	3	110.1695	0.600	33	110.2056	0.627	34
542	346	542	5:SP3_SP2_SP3	N[5]	N[5]	N[5]	3:3:2:	3:3:	3:4:4:	C[6a]-3:N[5]-3:N[5]-2:	C[5]-3:N[5]-3:	N[5]-3:C[5]-4:C-4:	N[5](C[6a]C[6a]2)(N[5]C[5]C)(N[5]C[5])	N[5](C[5]C[6a]C[5])(N[5]C[6a]N[5])	N[5](N[5]C[6a]N[5])(C[5]C[5]CH)(CH3)	N[5](C[6a]C[6a]2)(N[5]C[5]C)(N[5]C[5]){1|C<4>,3|C<3>,3|H<1>}	N[5](C[5]C[6a]C[5])(N[5]C[6a]N[5]){1|H<1>,2|C<4>,4|C<3>}	N[5](N[5]C[6a]N[5])(C[5]C[5]CH)(CH3){3|C<3>}	111.1780	0.000	1	111.1780	0.000	1	110.7445	0.613	2	110.7445	0.613	2	110.7445	0.613	2	110.7445	0.613	2
542	346	542	5:SP3_SP2_SP3	N[5]	N[5]	N[5]	3:3:2:	3:3:	3:4:4:	C[6a]-3:N[5]-3:N[5]-2:	C[5]-3:N[5]-3:	N[5]-3:C[5]-4:C-4:	N[5](C[6a]C[6a]2)(N[5]C[5]C)(N[5]C[5])	N[5](C[5]C[6a]C[5])(N[5]C[6a]N[5])	N[5](N[5]C[6a]N[5])(C[5]C[5]HN)(CH3)	N[5](C[6a]C[6a]2)(N[5]C[5]C)(N[5]C[5]){1|N<3>,3|C<3>,3|H<1>}	N[5](C[5]C[6a]C[5])(N[5]C[6a]N[5]){1|C<4>,1|H<1>,1|N<3>,4|C<3>}	N[5](N[5]C[6a]N[5])(C[5]C[5]HN)(CH3){3|C<3>}	110.3110	0.000	1	110.3110	0.000	1	110.7445	0.613	2	110.7445	0.613	2	110.7445	0.613	2	110.7445	0.613	2
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:2:	3:3:3:1:	C[5]-3:N[5]-2:B-4:	N[5]-3:N[5]-2:	N[5]-3:N[5]-3:N[5]-3:H-1:	N[5](C[5]N[5]S)(N[5]N[5])(BN[5]2H)	N[5](N[5]C[5]B)(N[5]N[5])	B(N[5]C[5]N[5])3(H)	N[5](C[5]N[5]S)(N[5]N[5])(BN[5]2H){1|C<4>}	N[5](N[5]C[5]B)(N[5]N[5]){1|C<4>,1|S<1>}	B(N[5]C[5]N[5])3(H)	123.2235	0.132	2	122.8654	0.626	5	122.8654	0.626	5	122.8654	0.626	5	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:2:	3:3:3:1:	C[5]-3:N[5]-2:B-4:	N[5]-3:N[5]-2:	N[5]-3:N[5]-3:N[5]-3:H-1:	N[5](C[5]N[5]S)(N[5]N[5])(BN[5]2H)	N[5](N[5]C[5]B)(N[5]N[5])	B(N[5]C[5]N[5])3(H)	N[5](C[5]N[5]S)(N[5]N[5])(BN[5]2H){1|C<4>}	N[5](N[5]C[5]B)(N[5]N[5]){1|C<4>,1|S<2>}	B(N[5]C[5]N[5])3(H)	122.4640	0.981	2	122.8654	0.626	5	122.8654	0.626	5	122.8654	0.626	5	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:2:	3:3:3:1:	C[5]-3:N[5]-2:B-4:	N[5]-3:N[5]-2:	N[5]-3:N[5]-3:N[5]-3:H-1:	N[5](C[5]N[5]S)(N[5]N[5])(BN[5]2H)	N[5](N[5]C[5]B)(N[5]N[5])	B(N[5]C[5]N[5])3(H)	N[5](C[5]N[5]S)(N[5]N[5])(BN[5]2H){1|C<4>}	N[5](N[5]C[5]B)(N[5]N[5]){1|C<4>,1|S<3>}	B(N[5]C[5]N[5])3(H)	122.9520	0.000	1	122.8654	0.626	5	122.8654	0.626	5	122.8654	0.626	5	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:3:	3:1:1:1:	C[5,6a]-3:N[5]-2:B-4:	N[5]-3:N[5]-3:	N[5]-3:H-1:H-1:H-1:	N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(BH3)	N[5](N[5]C[5,6a]B)(N[5]C[5,6a]C)	B(N[5]C[5,6a]N[5])(H)3	N[5](C[5,6a]C[5,6a]C[6a])(N[5]N[5])(BH3){1|C<4>,1|H<1>,2|C<3>}	N[5](N[5]C[5,6a]B)(N[5]C[5,6a]C){2|C<3>}	B(N[5]C[5,6a]N[5])(H)3	122.2840	0.000	1	122.2840	0.000	1	122.2840	0.000	1	122.2840	0.000	1	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:3:	3:3:1:1:	C[5]-3:N[5]-2:B-4:	C[5]-3:N[5]-3:	N[5]-3:N[5]-3:H-1:H-1:	N[5](C[5]N[5]S)(N[5]C[5])(BN[5]HH)	N[5](C[5]N[5]C)(N[5]C[5]B)	B(N[5]C[5]N[5])2(H)2	N[5](C[5]N[5]S)(N[5]C[5])(BN[5]HH){2|C<4>}	N[5](C[5]N[5]C)(N[5]C[5]B){1|C<4>,1|S<2>}	B(N[5]C[5]N[5])2(H)2	119.9025	1.146	2	119.9025	1.146	2	119.9025	1.146	2	119.9025	1.146	2	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:3:	3:3:3:1:	C[5]-3:N[5]-2:B-4:	C[5]-3:N[5]-3:	N[5]-3:N[5]-3:N[5]-3:H-1:	N[5](C[5]N[5]C)(N[5]C[5])(BN[5]2H)	N[5](C[5]C[6a]N[5])(N[5]C[5]B)	B(N[5]C[5]N[5])3(H)	N[5](C[5]N[5]C)(N[5]C[5])(BN[5]2H){1|Zn<4>,1|C<3>}	N[5](C[5]C[6a]N[5])(N[5]C[5]B){1|Zn<4>,1|C<4>,2|C<3>}	B(N[5]C[5]N[5])3(H)	119.7700	0.000	1	119.7700	0.000	1	119.4164	2.699	32	119.5664	2.601	36	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:3:	3:3:3:1:	C[5]-3:N[5]-2:B-4:	C[5]-3:N[5]-3:	N[5]-3:N[5]-3:N[5]-3:H-1:	N[5](C[5]N[5]S)(N[5]C[5])(BN[5]2H)	N[5](C[5]N[5]C)(N[5]C[5]B)	B(N[5]C[5]N[5])3(H)	N[5](C[5]N[5]S)(N[5]C[5])(BN[5]2H){2|C<4>}	N[5](C[5]N[5]C)(N[5]C[5]B){1|C<4>,1|S<1>}	B(N[5]C[5]N[5])3(H)	121.2400	1.051	6	119.8872	3.009	19	119.4164	2.699	32	119.5664	2.601	36	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:3:	3:3:3:1:	C[5]-3:N[5]-2:B-4:	C[5]-3:N[5]-3:	N[5]-3:N[5]-3:N[5]-3:H-1:	N[5](C[5]N[5]S)(N[5]C[5])(BN[5]2H)	N[5](C[5]N[5]C)(N[5]C[5]B)	B(N[5]C[5]N[5])3(H)	N[5](C[5]N[5]S)(N[5]C[5])(BN[5]2H){2|C<4>}	N[5](C[5]N[5]C)(N[5]C[5]B){1|C<4>,1|S<2>}	B(N[5]C[5]N[5])3(H)	119.2628	3.433	13	119.8872	3.009	19	119.4164	2.699	32	119.5664	2.601	36	120.1308	2.541	48	120.1308	2.541	48
542	346	610	0:SP2_SP2_SP3	N[5]	N[5]	B	3:2:4:	3:3:	3:3:3:1:	C[5]-3:N[5]-2:B-4:	C[5]-3:N[5]-3:	N[5]-3:N[5]-3:N[5]-3:H-1:	N[5](C[5]N[5]S)(N[5]C[5])(BN[5]2H)	N[5](C[5]N[5]H)(N[5]C[5]B)	B(N[5]C[5]N[5])3(H)	N[5](C[5]N[5]S)(N[5]C[5])(BN[5]2H){1|C<4>,1|H<1>}	N[5](C[5]N[5]H)(N[5]C[5]B){1|C<4>,1|S<2>}	B(N[5]C[5]N[5])3(H)	115.3963	0.136	3	115.3963	0.136	3	119.4164	2.699	32	119.5664	2.601	36	120.1308	2.541	48	120.1308	2.541	48
