762	466	972	3:4:3:	4:3:1:1:	3:4:1:	C[6,6]-3:C[6]-4:S-3:	C[5,6]-4:C[6]-3:H-1:H-1:	C[6]-3:C-4:O-1:	C[6](C[6,6]C[6,6a]C[6,6])(C[6]C[5,6]HH)(SCO)	C[6](C[5,6]C[5,6]C[5]H)(C[6]C[6,6]S)(H)2	S(C[6]C[6,6]C[6])(CC[5,5,6]HH)(O)	C[6](C[6,6]C[6,6a]C[6,6])(C[6]C[5,6]HH)(SCO){2|C<4>,2|H<1>,3|C<3>}	C[6](C[5,6]C[5,6]C[5]H)(C[6]C[6,6]S)(H)2{1|C<4>,1|H<1>,1|N<3>,1|O<1>,2|C<3>}	S(C[6]C[6,6]C[6])(CC[5,5,6]HH)(O)	118.9500	0.000	1	118.9500	0.000	1     118.9500       0.000      1      118.9500     0.000     1
762	466	972	4:3:3:	3:3:1:1:	3:3:1:	C[6]-4:C[6]-3:S-3:	C[6]-3:C[6]-3:H-1:H-1:	C[6a]-3:C[6]-3:O-1:	C[6](C[6]C[6]HH)(C[6]C[6]H)(SC[6a]O)	C[6](C[6]C[6]C)(C[6]C[6]S)(H)2	S(C[6a]C[6a]2)(C[6]C[6]2)(O)	C[6](C[6]C[6]HH)(C[6]C[6]H)(SC[6a]O){1|C<3>,1|C<4>,2|H<1>}	C[6](C[6]C[6]C)(C[6]C[6]S)(H)2{1|H<1>,2|C<4>}	S(C[6a]C[6a]2)(C[6]C[6]2)(O)	116.1760	0.000	1	116.1760	0.000	1     116.7040       0.747      2      116.7040     0.747     2
762	466	972	4:3:3:	3:3:1:1:	3:3:1:	C[6]-4:C[6]-3:S-3:	C[6]-3:C[6]-3:H-1:H-1:	C[6a]-3:C[6]-3:O-1:	C[6](C[6]C[6]HH)(C[6]C[6]H)(SC[6a]O)	C[6](C[6]C[6]H)(C[6]C[6]S)(H)2	S(C[6a]C[6a]2)(C[6]C[6]2)(O)	C[6](C[6]C[6]HH)(C[6]C[6]H)(SC[6a]O){1|C<3>,3|H<1>}	C[6](C[6]C[6]H)(C[6]C[6]S)(H)2{1|C<3>,1|C<4>,1|H<1>}	S(C[6a]C[6a]2)(C[6]C[6]2)(O)	117.2320	0.000	1	117.2320	0.000	1     116.7040       0.747      2      116.7040     0.747     2
762	466	972	4:3:3:	4:3:1:1:	3:3:1:	C[6]-4:C[6]-3:S-3:	C[5,6]-4:C[6]-3:H-1:H-1:	C[6a]-3:C[6]-3:O-1:	C[6](C[6]C[5,6]HH)(C[6]C[6]H)(SC[6a]O)	C[6](C[5,6]C[5,6]C[5]H)(C[6]C[6]S)(H)2	S(C[6a]C[6a]2)(C[6]C[6]2)(O)	C[6](C[6]C[5,6]HH)(C[6]C[6]H)(SC[6a]O){1|C<3>,2|C<4>,2|H<1>}	C[6](C[5,6]C[5,6]C[5]H)(C[6]C[6]S)(H)2{1|C<3>,1|C<4>,1|N<3>,1|O<1>,2|H<1>}	S(C[6a]C[6a]2)(C[6]C[6]2)(O)	120.0240	0.000	1	120.0240	0.000	1     120.0240       0.000      1      118.5285     2.115     2
762	466	972	4:3:3:	4:3:1:1:	3:3:1:	C[6]-4:C[6]-3:S-3:	C[6]-4:C[6]-3:H-1:H-1:	C[6a]-3:C[6]-3:O-1:	C[6](C[6]C[6]HH)(C[6]O[6]C)(SC[6a]O)	C[6](C[6]C[5,6]HH)(C[6]C[6]S)(H)2	S(C[6a]C[6a]2)(C[6]C[6]2)(O)	C[6](C[6]C[6]HH)(C[6]O[6]C)(SC[6a]O){1|C<4>,2|H<1>}	C[6](C[6]C[5,6]HH)(C[6]C[6]S)(H)2{2|C<4>,2|O<2>}	S(C[6a]C[6a]2)(C[6]C[6]2)(O)	117.0330	0.000	1	117.0330	0.000	1     117.0330       0.000      1      118.5285     2.115     2
762	466	973	3:4:2:	2:3:1:1:	3:2:	N[6]-3:C[6]-4:O-2:	O[6]-2:C[6]-3:H-1:H-1:	C[6]-3:H-2:	C[6](N[6]C[5,6]O)(C[6]O[6]HH)(OH)	C[6](O[6]C[5,6])(C[6]N[6]O)(H)2	O(C[6]C[6]N[6])(HO)	C[6](N[6]C[5,6]O)(C[6]O[6]HH)(OH){1|C<3>,1|C<4>,1|H<1>}	C[6](O[6]C[5,6])(C[6]N[6]O)(H)2{1|H<1>,1|O<2>,2|C<4>}	O(C[6]C[6]N[6])(HO)	120.3350	0.000	1	120.3350	0.000	1     120.3350       0.000      1      120.3350     0.000     1
762	466	973	3:4:2:	3:3:4:4:	3:1:	C[6]-3:C[6]-4:O-2:	C[6]-3:C[6]-3:C-4:C-4:	C[6]-3:H-1:	C[6](C[6]C[6,6]C)(C[6]C[6]CC)(OH)	C[6](C[6]C[6,6]O)(C[6]C[6]O)(CCHH)2	O(C[6]C[6]2)(H)	C[6](C[6]C[6,6]C)(C[6]C[6]CC)(OH){1|C<3>,1|O<1>,1|O<2>}	C[6](C[6]C[6,6]O)(C[6]C[6]O)(CCHH)2{1|C<4>,2|C<3>}	O(C[6]C[6]2)(H)	118.3430	0.000	1	118.3430	0.000	1     118.3430       0.000      1      118.3430     0.000     1
762	466	973	3:4:2:	3:4:1:1:	3:1:	C[6,6]-3:C[6]-4:O-2:	C[6]-3:C[6]-4:H-1:H-1:	C[6]-3:H-1:	C[6](C[6,6]C[6,6]C[6])(C[6]C[6]HH)(OH)	C[6](C[6]C[6,6]O)(C[6]C[6]HH)(H)2	O(C[6]C[6,6]C[6])(H)	C[6](C[6,6]C[6,6]C[6])(C[6]C[6]HH)(OH){1|O<1>,1|O<2>,2|C<4>,3|H<1>}	C[6](C[6]C[6,6]O)(C[6]C[6]HH)(H)2{1|C<3>,1|C<4>,2|H<1>}	O(C[6]C[6,6]C[6])(H)	113.6740	0.000	1	113.6740	0.000	1     113.6740       0.000      1      113.6740     0.000     1
762	466	973	3:4:2:	3:4:1:1:	3:4:	C[6,6]-3:C[6]-4:O-2:	C[6]-3:C[6]-4:H-1:H-1:	C[6]-3:C-4:	C[6](C[6,6]C[6,6]C[6])(C[6]C[6]HH)(OC)	C[6](C[6]C[6,6]O)(C[6]C[6]HH)(H)2	O(C[6]C[6,6]C[6])(CC[6a]HH)	C[6](C[6,6]C[6,6]C[6])(C[6]C[6]HH)(OC){1|C<4>,1|O<1>,1|O<2>,2|C<3>,2|H<1>}	C[6](C[6]C[6,6]O)(C[6]C[6]HH)(H)2{1|C<3>,1|C<4>,1|H<1>,1|O<2>}	O(C[6]C[6,6]C[6])(CC[6a]HH)	119.1360	0.000	1	119.1360	0.000	1     119.1360       0.000      1      119.1360     0.000     1
762	466	973	3:4:2:	4:3:1:1:	3:1:	C[6,6]-3:C[6]-4:O-2:	C[6,6]-4:C[6]-3:H-1:H-1:	C[6]-3:H-1:	C[6](C[6,6]C[6,6]C[6])(C[6]C[6,6]HH)(OH)	C[6](C[6,6]C[6,6]C[6]C)(C[6]C[6,6]O)(H)2	O(C[6]C[6,6]C[6])(H)	C[6](C[6,6]C[6,6]C[6])(C[6]C[6,6]HH)(OH){1|O<1>,1|O<2>,5|C<4>}	C[6](C[6,6]C[6,6]C[6]C)(C[6]C[6,6]O)(H)2{2|C<3>,2|C<4>,3|H<1>}	O(C[6]C[6,6]C[6])(H)	111.7090	0.000	1	111.7090	0.000	1     111.7090       0.000      1      114.2910     3.651     2
762	466	973	3:4:2:	4:3:1:1:	3:1:	C[6]-3:C[6]-4:O-2:	C[6]-4:C[6]-3:H-1:H-1:	C[6]-3:H-1:	C[6](C[6]C[5a]C[6])(C[6]C[6]HH)(OH)	C[6](C[6]C[6]CC)(C[6]C[6]O)(H)2	O(C[6]C[6]2)(H)	C[6](C[6]C[5a]C[6])(C[6]C[6]HH)(OH){1|O<1>,2|C<3>,3|C<4>}	C[6](C[6]C[6]CC)(C[6]C[6]O)(H)2{2|C<3>,2|H<1>}	O(C[6]C[6]2)(H)	116.8730	0.000	1	116.8730	0.000	1     116.8730       0.000      1      114.2910     3.651     2
