762	474	710	4:3:1:	3:3:3:3:	3:	C[5,6]-4:C[6]-3:I-1:	C[5a,6]-3:C[5,6a]-3:C[5,6a]-3:C[6]-3:	C[6]-3:	C[6](C[5,6]C[5,6a]2C[5a,6])(C[6]C[6,6a]H)(I)	C[5,6](C[5a,6]C[5a,6,6a]C[5a])(C[5,6a]C[5,6a]C[6a])2(C[6]C[6]I)	I(C[6]C[5,6]C[6])	C[6](C[5,6]C[5,6a]2C[5a,6])(C[6]C[6,6a]H)(I){7|C<3>}	C[5,6](C[5a,6]C[5a,6,6a]C[5a])(C[5,6a]C[5,6a]C[6a])2(C[6]C[6]I){1|N<3>,3|H<1>,7|C<3>}	I(C[6]C[5,6]C[6])	115.7500	0.000	1	115.7500	0.000	1     115.7500       0.000      1      115.7500     0.000     1
762	474	762	3:3:4:	2:2:3:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	O[5]-2:O[5]-2:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](O[5]C[5,5,6])2(C[6a]C[6a]2)(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](O[5]C[5,5,6])2(C[6a]C[6a]2)(H){2|C<3>,2|C<4>,4|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,2|O<2>,3|H<1>}	120.5395	1.216	2	120.5395	1.216	2     120.1544       1.173      12      120.1544     1.173     12
762	474	762	3:3:4:	2:2:3:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	O[5]-2:O[5]-2:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](O[5]C[5,6,6])2(C[6a]C[6a]2)(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](O[5]C[5,6,6])2(C[6a]C[6a]2)(H){2|C<3>,2|C<4>,4|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,2|O<2>,3|H<1>}	119.8732	0.379	6	120.0774	1.216	10     120.1544       1.173      12      120.1544     1.173     12
762	474	762	3:3:4:	2:2:3:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	O[5]-2:O[5]-2:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](O[5]C[5,6,6])2(C[6a]C[6a]2)(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](O[5]C[5,6,6])2(C[6a]C[6a]2)(H){2|C<3>,2|H<1>,4|C<4>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,2|O<2>,3|H<1>}	120.3837	1.996	4	120.0774	1.216	10     120.1544       1.173      12      120.1544     1.173     12
762	474	762	3:3:4:	3:2:2:1:	3:2:3:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:N[6a]-2:N-3:	C[6a](C[6a]C[6a,6a]H)(C[6a]N[6a]N)(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(N[6a]C[6a,6a])(NHN)	C[6a](C[6a]C[6a,6a]H)(C[6a]N[6a]N)(C[5]O[5]2H){2|C<3>,2|C<4>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){1|C<3>,1|N<2>,1|N<3>,5|H<1>}	C[6a](C[6a]C[6a]C[5])(N[6a]C[6a,6a])(NHN){2|C<3>,2|H<1>,2|O<2>}	122.9880	0.000	1	122.9880	0.000	1     122.9880       0.000      1      122.9880     0.000     1
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a,6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(C[5]O[5]2H)	C[5](C[6a]C[6a,6a]C[6a])(O[5]C[5])2(H)	C[6a](C[6a]C[6a,6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(C[5]O[5]2H){2|C<4>,2|H<1>,3|C<3>}	C[5](C[6a]C[6a,6a]C[6a])(O[5]C[5])2(H){2|H<1>,6|C<3>}	C[6a](C[6a]C[6a,6a]C[5])(C[6a]C[6a]H)(H){2|C<3>,2|H<1>,2|O<2>}	120.9465	0.327	2	120.9465	0.327	2     120.9465       0.327      2      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a,6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]H)(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])(O[5]O[5])(H)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C[5])(H)	C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]H)(C[5]O[5]2H){1|C<4>,1|H<1>,1|O<2>,2|C<3>}	C[5](C[6a]C[6a]2)(O[5]C[5])(O[5]O[5])(H){1|C<2>,2|H<1>,3|C<3>}	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C[5])(H){2|O<2>,3|C<3>,3|H<1>}	118.7610	0.000	1	118.7610	0.000	1     119.3957       0.553      3      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a,6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]H)(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C[5])(H)	C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]H)(C[5]O[5]2H){1|H<1>,2|C<3>,2|C<4>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){1|C<4>,3|H<1>,4|C<3>}	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C[5])(H){2|O<2>,3|C<3>,3|H<1>}	119.7700	0.000	1	119.7700	0.000	1     119.3957       0.553      3      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a,6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a,6a]H)(C[6a]N[6a]N)(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C[5])(H)	C[6a](C[6a]C[6a,6a]H)(C[6a]N[6a]N)(C[5]O[5]2H){2|C<3>,2|C<4>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){1|C<3>,1|N<2>,1|N<3>,5|H<1>}	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C[5])(H){1|N<2>,1|N<3>,2|C<3>,2|H<1>,2|O<2>}	119.6560	0.000	1	119.6560	0.000	1     119.3957       0.553      3      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:Cl-1:	C[6a](C[6a]C[6a]Cl)(C[6a]C[6a]H)(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(Cl)	C[6a](C[6a]C[6a]Cl)(C[6a]C[6a]H)(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){1|Cl<1>,1|C<4>,2|H<1>,4|C<3>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(Cl){1|C<3>,2|O<2>,3|H<1>}	122.8010	0.000	1	122.8010	0.000	1     122.8010       0.000      1      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:F-1:	C[6a](C[6a]C[6a]F)(C[6a]C[6a]H)(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(F)	C[6a](C[6a]C[6a]F)(C[6a]C[6a]H)(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){1|F<1>,3|H<1>,4|C<3>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(F){1|C<3>,2|O<2>,3|H<1>}	124.0620	0.000	1	124.0620	0.000	1     124.0620       0.000      1      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]H)(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])(O[5]O[5])(H)	C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]C[5])(H)	C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]H)(C[5]O[5]2H){1|C<4>,1|H<1>,1|O<2>,2|C<3>}	C[5](C[6a]C[6a]2)(O[5]C[5])(O[5]O[5])(H){1|C<2>,2|H<1>,3|C<3>}	C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]C[5])(H){2|C<3>,2|H<1>,2|O<2>}	120.3020	0.000	1	120.3020	0.000	1     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]H)(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]C[5])(H)	C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]H)(C[5]O[5]2H){1|H<1>,2|C<3>,2|C<4>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){1|C<4>,3|H<1>,4|C<3>}	C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]C[5])(H){2|C<3>,2|H<1>,2|O<2>}	120.3200	0.000	1	120.3200	0.000	1     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){3|C<3>,5|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){2|C<3>,2|H<1>,2|O<2>}	118.4770	0.000	1	118.4770	0.000	1     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]Cl)(C[6a]C[6a]H)(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]Cl)(C[6a]C[6a]H)(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){1|Cl<1>,1|C<4>,2|H<1>,4|C<3>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|Cl<1>,1|C<3>,2|H<1>,2|O<2>}	118.9980	0.000	1	118.9980	0.000	1     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]F)(C[6a]C[6a]H)(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]F)(C[6a]C[6a]H)(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){1|F<1>,3|H<1>,4|C<3>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,1|F<1>,2|H<1>,2|O<2>}	118.8640	0.000	1	118.8640	0.000	1     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)(C[6a]C[6a]O)(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)(C[6a]C[6a]O)(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){1|O<2>,2|C<3>,5|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,2|H<1>,3|O<2>}	122.0700	0.493	3	122.0700	0.493	3     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)(C[6a]C[6a]P)(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)(C[6a]C[6a]P)(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){1|P<3>,2|C<3>,5|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,1|P<3>,2|H<1>,2|O<2>}	120.4870	0.000	1	120.4870	0.000	1     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5,5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5,5])2(H){1|C<4>,1|O<2>,2|C<3>,4|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,2|O<2>,3|H<1>}	119.9770	0.492	2	120.0175	0.460	4     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5,5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5,5])2(H){2|C<4>,3|C<3>,3|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,2|O<2>,3|H<1>}	120.0580	0.622	2	120.0175	0.460	4     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5,6])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5,6])2(H){1|C<4>,3|C<3>,4|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,2|H<1>,3|O<2>}	120.6770	0.715	4	120.3773	1.352	12     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5,6])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5,6])2(H){2|C<3>,2|C<4>,4|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,2|O<2>,3|H<1>}	120.3028	1.882	6	120.3773	1.352	12     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5,6])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5,6])2(H){2|C<4>,3|C<3>,3|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,1|N<3>,2|H<1>,2|O<2>}	120.0010	0.427	2	120.3773	1.352	12     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,1|H<1>,1|N<3>,2|C<4>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){2|C<3>,6|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,2|O<2>,3|H<1>}	119.4400	0.000	1	120.0916	2.928	19     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,1|H<1>,1|O<2>,2|C<4>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){4|C<3>,4|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,2|O<2>,3|H<1>}	118.3620	0.000	1	120.0916	2.928	19     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){1|C<4>,1|N<3>,3|C<3>,3|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,2|O<2>,3|H<1>}	120.2090	1.607	2	120.0916	2.928	19     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){1|C<4>,3|H<1>,4|C<3>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,2|O<2>,3|H<1>}	120.0893	0.231	4	120.0916	2.928	19     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){3|H<1>,5|C<3>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,2|O<2>,3|H<1>}	120.2440	2.577	2	120.0916	2.928	19     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){4|C<3>,4|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,1|N<3>,2|H<1>,2|O<2>}	120.5345	1.225	2	120.0916	2.928	19     120.1952       2.035      49      120.2948     2.017     56
762	474	762	3:3:4:	3:2:2:1:	3:3:1:	C[6a]-3:C[6a]-3:C[5]-4:	C[6a]-3:O[5]-2:O[5]-2:H-1:	C[6a]-3:C[6a]-3:H-1:	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H)	C[5](C[6a]C[6a]2)(O[5]C[5])2(H)	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H)	C[6a](C[6a]C[6a]H)2(C[5]O[5]2H){1|C<3>,2|C<4>,2|H<1>}	C[5](C[6a]C[6a]2)(O[5]C[5])2(H){4|C<3>,4|H<1>}	C[6a](C[6a]C[6a]C[5])(C[6a]C[6a]H)(H){1|C<3>,2|H<1>,3|O<2>}	120.9005	2.775	2	120.0916	2.928	19     120.1952       2.035      49      120.2948     2.017     56
