762	490	818	3:2:4:	3:1:1:1:	3:2:3:	C[5a,6]-3:N[6]-2:C-4:	C[6]-3:H-1:H-1:H-1:	C[5a,6]-3:N[5a]-2:C[6]-3:	C[6](C[5a,6]C[5a,6]N[5a])(N[6]N[6])(CH3)	C(C[6]C[5a,6]N[6])(H)3	C[5a,6](C[5a,6]C[5a]C[6])(N[5a]N[5a])(C[6]N[6]C)	C[6](C[5a,6]C[5a,6]N[5a])(N[6]N[6])(CH3){1|H<1>,1|N<3>,2|C<3>}	C(C[6]C[5a,6]N[6])(H)3	C[5a,6](C[5a,6]C[5a]C[6])(N[5a]N[5a])(C[6]N[6]C){1|C<3>,1|N<3>,2|C<4>}	121.6510	0.000	1	121.6510	0.000	1     121.6510       0.000      1      122.7125     0.815     4
762	490	818	3:2:4:	3:1:1:1:	3:2:3:	C[5a,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5a,6a]-3:N[5a]-2:C[6a]-3:	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a])(CH3)	C(C[6a]C[5a,6a]N[6a])(H)3	C[5a,6a](C[5a,6a]N[5a,6]N[6a])(N[5a]C[5a,6])(C[6a]N[6a]C)	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a])(CH3){1|C<3>,1|H<1>,1|N<2>,1|N<3>}	C(C[6a]C[5a,6a]N[6a])(H)3	C[5a,6a](C[5a,6a]N[5a,6]N[6a])(N[5a]C[5a,6])(C[6a]N[6a]C){1|C<4>,2|C<3>}	123.3440	0.168	2	123.0663	0.495	3     123.0663       0.495      3      122.7125     0.815     4
762	490	818	3:2:4:	3:1:1:1:	3:2:3:	C[5a,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5a,6a]-3:N[5a]-2:C[6a]-3:	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a])(CH3)	C(C[6a]C[5a,6a]N[6a])(H)3	C[5a,6a](C[5a,6a]N[5a,6]N[6a])(N[5a]C[5a,6])(C[6a]N[6a]C)	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a])(CH3){1|C<3>,1|H<1>,1|N<2>,1|N<3>}	C(C[6a]C[5a,6a]N[6a])(H)3	C[5a,6a](C[5a,6a]N[5a,6]N[6a])(N[5a]C[5a,6])(C[6a]N[6a]C){3|C<3>}	122.5110	0.000	1	123.0663	0.495	3     123.0663       0.495      3      122.7125     0.815     4
762	490	818	3:2:4:	3:1:1:1:	3:3:2:	C[5,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5,6a]-3:C[6a]-3:S[5]-2:	C[6a](C[5,6a]C[5,6a]S[5])(N[6a]N[6a])(CH3)	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]N[6a]C)(S[5]C[5])	C[6a](C[5,6a]C[5,6a]S[5])(N[6a]N[6a])(CH3){1|H<1>,1|N<2>,2|C<3>}	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]N[6a]C)(S[5]C[5]){1|C<4>,1|N<3>,1|O<1>}	121.7890	0.000	1	121.8975	0.153	2     121.8975       0.153      2      121.6820     1.047     5
762	490	818	3:2:4:	3:1:1:1:	3:3:2:	C[5,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5,6a]-3:C[6a]-3:S[5]-2:	C[6a](C[5,6a]C[5,6a]S[5])(N[6a]N[6a])(CH3)	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]N[6a]C)(S[5]C[5])	C[6a](C[5,6a]C[5,6a]S[5])(N[6a]N[6a])(CH3){1|N<2>,3|C<3>}	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]N[6a]C)(S[5]C[5]){1|C<4>,1|N<3>,1|O<1>}	122.0060	0.000	1	121.8975	0.153	2     121.8975       0.153      2      121.6820     1.047     5
762	490	818	3:2:4:	3:1:1:1:	3:3:2:	C[5a,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5a,6a]-3:C[6a]-3:N[5a]-2:	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a])(CH3)	C(C[6a]C[5a,6a]N[6a])(H)3	C[5a,6a](C[5a,6a]N[5a]N[6a])(C[6a]N[6a]C)(N[5a]C[5a])	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a])(CH3){1|C<3>,1|H<1>,1|N<2>,1|N<3>}	C(C[6a]C[5a,6a]N[6a])(H)3	C[5a,6a](C[5a,6a]N[5a]N[6a])(C[6a]N[6a]C)(N[5a]C[5a]){3|C<3>}	122.5780	0.000	1	122.5780	0.000	1     122.5780       0.000      1      121.6820     1.047     5
762	490	818	3:2:4:	3:1:1:1:	3:3:2:	C[5a,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5a,6a]-3:C[6a]-3:O[5a]-2:	C[6a](C[5a,6a]C[5a,6a]O[5a])(N[6a]N[6a])(CH3)	C(C[6a]C[5a,6a]N[6a])(H)3	C[5a,6a](C[5a,6a]C[5a]C[6a])(C[6a]N[6a]C)(O[5a]N[5a])	C[6a](C[5a,6a]C[5a,6a]O[5a])(N[6a]N[6a])(CH3){1|N<2>,3|C<3>}	C(C[6a]C[5a,6a]N[6a])(H)3	C[5a,6a](C[5a,6a]C[5a]C[6a])(C[6a]N[6a]C)(O[5a]N[5a]){1|C<4>,1|N<3>,1|O<1>}	122.1550	0.000	1	122.1550	0.000	1     122.1550       0.000      1      121.6820     1.047     5
762	490	818	3:2:4:	3:1:1:1:	3:3:2:	C[5a,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	N[5a,6a]-3:C[6a]-3:N[5a]-2:	C[6a](C[5a,6a]N[5a,6a]N[5a])(N[6a]C[6a])(CH3)	C(C[6a]C[5a,6a]N[6a])(H)3	C[5a,6a](N[5a,6a]C[5a]C[6a])(C[6a]N[6a]C)(N[5a]C[5a])	C[6a](C[5a,6a]N[5a,6a]N[5a])(N[6a]C[6a])(CH3){1|H<1>,3|C<3>}	C(C[6a]C[5a,6a]N[6a])(H)3	C[5a,6a](N[5a,6a]C[5a]C[6a])(C[6a]N[6a]C)(N[5a]C[5a]){2|C<3>,2|H<1>}	119.8820	0.000	1	119.8820	0.000	1     119.8820       0.000      1      121.6820     1.047     5
762	490	818	3:2:4:	3:1:1:1:	3:3:3:	C[5,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5,6a]-3:C[5,5]-3:C[6a]-3:	C[6a](C[5,6a]C[5,6a]C[5,5])(N[6a]C[6a,6a])(CH3)	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]C[6a,6a]S[5])(C[5,5]C[5,5]S[5])(C[6a]N[6a]C)	C[6a](C[5,6a]C[5,6a]C[5,5])(N[6a]C[6a,6a])(CH3){2|S<2>,3|C<3>}	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]C[6a,6a]S[5])(C[5,5]C[5,5]S[5])(C[6a]N[6a]C){4|C<3>}	120.0850	0.000	1	120.0850	0.000	1     120.0850       0.000      1      121.9473     1.048     7
762	490	818	3:2:4:	3:1:1:1:	3:3:3:	C[5,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5,6a]-3:C[5,6a]-3:C[6a]-3:	C[6a](C[5,6a]C[5,6a]2)(N[6a]N[6a])(CH3)	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]C[5,6a,6a]C[6a])(C[5,6a]C[5,6a]C[6a])(C[6a]N[6a]C)	C[6a](C[5,6a]C[5,6a]2)(N[6a]N[6a])(CH3){4|C<3>}	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]C[5,6a,6a]C[6a])(C[5,6a]C[5,6a]C[6a])(C[6a]N[6a]C){1|C<4>,1|H<1>,1|N<2>,3|C<3>}	122.8205	0.046	2	122.8205	0.046	2     122.8205       0.046      2      121.9473     1.048     7
762	490	818	3:2:4:	3:1:1:1:	3:3:3:	C[5,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5,6a]-3:C[6a]-3:C[5]-3:	C[6a](C[5,6a]C[5,6a]C[5])(N[6a]C[6a,6a])(CH3)	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]C[6a,6a]C[5])(C[6a]N[6a]C)(C[5]N[5]O)	C[6a](C[5,6a]C[5,6a]C[5])(N[6a]C[6a,6a])(CH3){1|N<3>,1|O<1>,3|C<3>}	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]C[6a,6a]C[5])(C[6a]N[6a]C)(C[5]N[5]O){1|O<1>,3|C<3>}	122.8450	0.000	1	122.8450	0.000	1     122.8450       0.000      1      121.9473     1.048     7
