762	762	978	2:3:1:	3:3:4:	3:3:	P[6]-2:C[6]-3:H-1:	C[6]-3:C[6]-3:C-4:	C[5,6]-3:C[6]-3:	C[6](P[6]C[5,6])(C[6]C[6]C)(H)	C[6](C[6]C[5,6]C)(C[6]P[6]H)(CH3)	P[6](C[5,6]C[5,6]C[5])(C[6]C[6]H)	C[6](P[6]C[5,6])(C[6]C[6]C)(H){1|C<4>,2|C<3>}	C[6](C[6]C[5,6]C)(C[6]P[6]H)(CH3){1|C<3>,1|P<4>}	P[6](C[5,6]C[5,6]C[5])(C[6]C[6]H){1|P<4>,2|C<3>,2|C<4>}	128.5600	0.000	1	128.5600	0.000	1     128.5600       0.000      1      128.5600     0.000     1
762	762	978	3:3:2:	3:3:3:	3:3:	C[5,6]-3:C[6a]-3:P[6]-2:	C[6]-3:C[6a]-3:C[6a]-3:	C[5,6]-3:C[6]-3:	C[6](C[5,6]C[5,6]S[5])(C[6a]C[6a]2)(P[6]C[5,6])	C[6a](C[6]C[5,6]P[6])(C[6a]C[6a]H)2	P[6](C[5,6]C[5,6]S[5])(C[6]C[5,6]C[6a])	C[6](C[5,6]C[5,6]S[5])(C[6a]C[6a]2)(P[6]C[5,6]){1|S<2>,2|H<1>,5|C<3>}	C[6a](C[6]C[5,6]P[6])(C[6a]C[6a]H)2{1|S<2>,2|H<1>,3|C<3>}	P[6](C[5,6]C[5,6]S[5])(C[6]C[5,6]C[6a]){1|S<2>,5|C<3>}	115.1420	0.000	1	115.1420	0.000	1     115.1420       0.000      1      115.1420     0.000     1
762	762	979	3:3:3:	3:3:1:	3:1:1:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:Br-1:Br-1:	C[6a](C[6a]C[6a]H)2(SeBr2)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)(Br)2	C[6a](C[6a]C[6a]H)2(SeBr2){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,2|H<1>}	Se(C[6a]C[6a]2)(Br)2	119.1985	0.769	2	119.1985	0.769	2     119.1985       0.769      2      118.8145     0.658     12
762	762	979	3:3:3:	3:3:1:	3:1:1:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:Cl-1:Cl-1:	C[6a](C[6a]C[6a]H)2(SeCl2)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)(Cl)2	C[6a](C[6a]C[6a]H)2(SeCl2){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,1|F<1>,1|H<1>}	Se(C[6a]C[6a]2)(Cl)2	118.4543	0.323	4	118.7377	0.651	10     118.7377       0.651      10      118.8145     0.658     12
762	762	979	3:3:3:	3:3:1:	3:1:1:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:Cl-1:Cl-1:	C[6a](C[6a]C[6a]H)2(SeCl2)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)(Cl)2	C[6a](C[6a]C[6a]H)2(SeCl2){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|Cl<1>,1|C<3>,1|H<1>}	Se(C[6a]C[6a]2)(Cl)2	118.9267	0.771	6	118.7377	0.651	10     118.7377       0.651      10      118.8145     0.658     12
762	762	979	3:3:3:	3:3:1:	3:2:1:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:O-2:O-1:	C[6a](C[6a]C[6a]H)2(SeOO)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]C)(H)	Se(C[6a]C[6a]2)(OC)(O)	C[6a](C[6a]C[6a]H)2(SeOO){1|H<1>,2|C<3>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]C)(H){1|C<3>,1|H<1>,1|O<2>}	Se(C[6a]C[6a]2)(OC)(O)	118.0910	0.000	1	118.0910	0.000	1     119.2047       1.138      4      119.2047     1.138     4
762	762	979	3:3:3:	3:3:1:	3:2:1:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:O-2:O-1:	C[6a](C[6a]C[6a]H)2(SeOO)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]C)(H)	Se(C[6a]C[6a]2)(OH)(O)	C[6a](C[6a]C[6a]H)2(SeOO){1|H<1>,2|C<3>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]C)(H){1|C<3>,1|H<1>,1|O<2>}	Se(C[6a]C[6a]2)(OH)(O)	118.4690	0.000	1	118.4690	0.000	1     119.2047       1.138      4      119.2047     1.138     4
762	762	979	3:3:3:	3:3:1:	3:2:1:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:O-2:O-1:	C[6a](C[6a]C[6a]H)2(SeOO)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)(OC)(O)	C[6a](C[6a]C[6a]H)2(SeOO){1|H<1>,2|C<3>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,1|H<1>,1|O<2>}	Se(C[6a]C[6a]2)(OC)(O)	120.5710	0.000	1	120.5710	0.000	1     119.2047       1.138      4      119.2047     1.138     4
762	762	979	3:3:3:	3:3:1:	3:2:1:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:O-2:O-1:	C[6a](C[6a]C[6a]H)2(SeOO)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)(OH)(O)	C[6a](C[6a]C[6a]H)2(SeOO){1|H<1>,2|C<3>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,1|H<1>,1|O<2>}	Se(C[6a]C[6a]2)(OH)(O)	119.6880	0.000	1	119.6880	0.000	1     119.2047       1.138      4      119.2047     1.138     4
762	762	979	3:3:3:	3:3:1:	3:2:2:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:O-2:O-2:	C[6a](C[6a]C[6a]H)2(SeOO)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]C)(H)	Se(C[6a]C[6a]2)(OSn)2	C[6a](C[6a]C[6a]H)2(SeOO){1|C<3>,1|C<4>,1|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]C)(H){1|C<3>,2|H<1>}	Se(C[6a]C[6a]2)(OSn)2	118.5080	0.000	1	118.5080	0.000	1     119.2937       1.686      12      119.2937     1.686     12
762	762	979	3:3:3:	3:3:1:	3:2:2:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:O-2:O-2:	C[6a](C[6a]C[6a]H)2(SeOO)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)(OH)2	C[6a](C[6a]C[6a]H)2(SeOO){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,2|H<1>}	Se(C[6a]C[6a]2)(OH)2	118.7820	0.062	2	118.7820	0.062	2     119.2937       1.686      12      119.2937     1.686     12
762	762	979	3:3:3:	3:3:1:	3:2:2:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:O-2:O-2:	C[6a](C[6a]C[6a]H)2(SeOO)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)(OSn)2	C[6a](C[6a]C[6a]H)2(SeOO){1|C<3>,1|C<4>,1|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,2|H<1>}	Se(C[6a]C[6a]2)(OSn)2	121.8070	0.000	1	120.6517	1.153	3     119.2937       1.686      12      119.2937     1.686     12
