762	914	922	3:3:2:	3:2:	3:4:1:	C[5]-3:S[6]-3:N[6]-2:	C[6]-3:O[6]-2:	C[6]-3:C[6]-4:O-1:	C[6](C[5]C[5]S[5])(S[6]C[6]O)(N[6]O[6])	N[6](C[6]C[5]S[6])(O[6]C[6])	S[6](C[6]C[5]N[6])(C[6]C[6]HH)(O)	C[6](C[5]C[5]S[5])(S[6]C[6]O)(N[6]O[6]){1|C<4>,2|C<3>,3|H<1>}	N[6](C[6]C[5]S[6])(O[6]C[6]){1|C<3>,1|C<4>,1|O<1>,1|S<2>,2|H<1>}	S[6](C[6]C[5]N[6])(C[6]C[6]HH)(O){1|C<3>,1|O<2>,1|S<2>,2|H<1>}	129.0620	0.000	1	129.0620	0.000	1     129.0620       0.000      1      129.0620     0.000     1
762	914	930	2:2:3:	3:2:	3:2:1:	N[6a]-2:N[6a]-2:C-3:	C[6a]-3:N[6a]-2:	C[6a]-3:N-2:H-1:	C[6a](N[6a]N[6a])2(CHN)	N[6a](C[6a]N[6a]C)(N[6a]C[6a])	C(C[6a]N[6a]2)(NN)(H)	C[6a](N[6a]N[6a])2(CHN){1|C<3>}	N[6a](C[6a]N[6a]C)(N[6a]C[6a]){1|C<3>,1|N<2>}	C(C[6a]N[6a]2)(NN)(H)	117.5980	2.587	2	117.5980	2.587	2     117.5980       2.587      2      117.5980     2.587     2
762	914	930	2:2:3:	3:3:	3:2:1:	N[6a]-2:N[6a]-2:C-3:	C[6a]-3:C[6a]-3:	C[6a]-3:O-2:O-1:	C[6a](N[6a]C[6a])2(COO)	N[6a](C[6a]N[6a]C)(C[6a]N[6a]N)	C(C[6a]N[6a]2)(OC)(O)	C[6a](N[6a]C[6a])2(COO){1|N<2>,2|N<3>}	N[6a](C[6a]N[6a]C)(C[6a]N[6a]N){1|C<3>}	C(C[6a]N[6a]2)(OC)(O)	115.8075	1.220	2	115.8075	1.220	2     116.4050       1.611      4      116.4050     1.611     4
762	914	930	2:2:3:	3:3:	3:2:1:	N[6a]-2:N[6a]-2:C-3:	C[6a]-3:C[6a]-3:	C[6a]-3:O-2:O-1:	C[6a](N[6a]C[6a])2(COO)	N[6a](C[6a]N[6a]C)2	C(C[6a]N[6a]2)(OC)(O)	C[6a](N[6a]C[6a])2(COO){1|N<2>,2|C<3>}	N[6a](C[6a]N[6a]C)2{1|C<3>}	C(C[6a]N[6a]2)(OC)(O)	117.0025	2.207	2	117.0025	2.207	2     116.4050       1.611      4      116.4050     1.611     4
762	914	930	2:2:3:	3:3:	3:3:1:	N[6a]-2:N[6a]-2:C-3:	C[6a]-3:C[6a]-3:	C[6a]-3:C-3:H-1:	C[6a](N[6a]C[6a])2(CCH)	N[6a](C[6a]N[6a]C)2	C(C[6a]N[6a]2)(CC[6a]H)(H)	C[6a](N[6a]C[6a])2(CCH){1|N<2>,2|C<4>}	N[6a](C[6a]N[6a]C)2{1|C<3>}	C(C[6a]N[6a]2)(CC[6a]H)(H)	116.9715	1.959	2	116.9715	1.959	2     116.9715       1.959      2      118.5674     3.539     9
762	914	930	2:2:3:	3:3:	3:3:1:	N[6a]-2:N[6a]-2:C-3:	C[6a]-3:C[6a]-3:	C[6a]-3:C[6a]-3:O-1:	C[6a](N[6a]C[6a])2(CC[6a]O)	N[6a](C[6a]C[6a]O)(C[6a]N[6a]C)	C(C[6a]C[6a]2)(C[6a]N[6a]2)(O)	C[6a](N[6a]C[6a])2(CC[6a]O){1|C<3>,2|O<2>}	N[6a](C[6a]C[6a]O)(C[6a]N[6a]C){1|C<3>,1|H<1>}	C(C[6a]C[6a]2)(C[6a]N[6a]2)(O)	115.9025	2.372	2	115.9025	2.372	2     115.9025       2.372      2      118.5674     3.539     9
762	914	930	2:2:3:	3:3:	3:3:1:	N[6a]-2:N[6a]-2:C-3:	C[6a]-3:C[6a]-3:	C[6a]-3:N-3:O-1:	C[6a](N[6a]C[6a])2(CNO)	N[6a](C[6a]C[6a]H)(C[6a]N[6a]C)	C(C[6a]N[6a]2)(NHH)(O)	C[6a](N[6a]C[6a])2(CNO){1|C<3>,2|H<1>}	N[6a](C[6a]C[6a]H)(C[6a]N[6a]C){1|C<3>,1|H<1>}	C(C[6a]N[6a]2)(NHH)(O)	116.3625	0.532	2	116.3625	0.532	2     116.3625       0.532      2      118.5674     3.539     9
762	914	930	2:2:3:	3:3:	3:3:1:	N[6a]-2:O[6a]-2:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:C-3:H-1:	C[6a](N[6a]C[6a,6a])(O[6a]C[6a])(CCH)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]O[6a]C)	C(C[6a]N[6a]O[6a])(CC[5]H)(H)	C[6a](N[6a]C[6a,6a])(O[6a]C[6a])(CCH){1|O<1>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]O[6a]C){1|H<1>,3|C<3>}	C(C[6a]N[6a]O[6a])(CC[5]H)(H)	121.1780	0.000	1	121.1780	0.000	1     122.8780       1.688      3      118.5674     3.539     9
762	914	930	2:2:3:	3:3:	3:3:1:	N[6a]-2:O[6a]-2:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:C-3:H-1:	C[6a](N[6a]C[6a,6a])(O[6a]C[6a])(CCH)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]O[6a]C)	C(C[6a]N[6a]O[6a])(CC[6a]H)(H)	C[6a](N[6a]C[6a,6a])(O[6a]C[6a])(CCH){1|O<1>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]O[6a]C){1|H<1>,3|C<3>}	C(C[6a]N[6a]O[6a])(CC[6a]H)(H)	123.7280	1.168	2	123.7280	1.168	2     122.8780       1.688      3      118.5674     3.539     9
762	914	930	2:2:3:	3:3:	3:3:2:	N[6a]-2:N[6a]-2:C-3:	C[6a]-3:C[6a]-3:	C[6a]-3:N-3:N-2:	C[6a](N[6a]C[6a])2(CNN)	N[6a](C[6a]C[6a]H)(C[6a]N[6a]C)	C(C[6a]N[6a]2)(NHH)(NN)	C[6a](N[6a]C[6a])2(CNN){1|C<3>,2|H<1>}	N[6a](C[6a]C[6a]H)(C[6a]N[6a]C){1|C<3>,1|H<1>}	C(C[6a]N[6a]2)(NHH)(NN)	116.9930	0.569	2	116.9930	0.569	2     117.0178       1.288      4      117.0178     1.288     4
762	914	930	2:2:3:	3:3:	3:3:2:	N[6a]-2:N[6a]-2:C-3:	C[6a]-3:C[6a]-3:	C[6a]-3:N-3:N-2:	C[6a](N[6a]C[6a])2(CNN)	N[6a](C[6a]C[6a]H)(C[6a]N[6a]C)	C(C[6a]N[6a]2)(NHH)(NO)	C[6a](N[6a]C[6a])2(CNN){1|C<3>,2|H<1>}	N[6a](C[6a]C[6a]H)(C[6a]N[6a]C){1|C<3>,1|H<1>}	C(C[6a]N[6a]2)(NHH)(NO)	117.0425	2.157	2	117.0425	2.157	2     117.0178       1.288      4      117.0178     1.288     4
