762	874	953	6:SP2_SP2_SP3	C[6,6]	B[6]	N[6,6]	3:4:3:	3:3:4:4:	4:3:3:	N[6,6]-3:B[6]-4:C[6]-3:	C[6,6]-3:C[6,6]-3:C-4:C-4:	B[6]-4:C[6,6]-3:C[6]-3:	C[6,6](N[6,6]B[6]C[6])(B[6]C[6,6]CC)(C[6]C[6]H)	B[6](C[6,6]N[6,6]C[6])2(CH3)2	N[6,6](B[6]N[6,6]C[6a]2)(C[6,6]B[6]C[6])(C[6]C[6]H)	C[6,6](N[6,6]B[6]C[6])(B[6]C[6,6]CC)(C[6]C[6]H){1|N<3>,2|H<1>,4|C<3>}	B[6](C[6,6]N[6,6]C[6])2(CH3)2{1|B<4>,2|H<1>,4|C<3>}	N[6,6](B[6]N[6,6]C[6a]2)(C[6,6]B[6]C[6])(C[6]C[6]H){2|C<4>,2|H<1>,7|C<3>}	121.3860	0.293	2	121.3860	0.293	2	121.3860	0.293	2	121.3860	0.293	2	121.3860	0.293	2	121.3860	0.293	2
762	914	914	0:SP2_SP2_SP2	C[6,6a]	N[6]	N[6a]	3:2:2:	3:3:	3:3:	C[6,6a]-3:N[6a]-2:N[6]-2:	C[6,6a]-3:C[6]-3:	C[6,6a]-3:C[6a]-3:	C[6,6a](C[6,6a]C[6a]N[6])(N[6a]C[6a])(N[6]C[6])	N[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6]H)	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]N[6a]N)	C[6,6a](C[6,6a]C[6a]N[6])(N[6a]C[6a])(N[6]C[6]){1|Ni<6>,1|C<3>,1|H<1>,1|N<2>,1|N<3>,1|O<2>}	N[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6]H){1|H<1>,1|N<3>,2|C<3>}	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]N[6a]N){1|N<3>,2|C<3>}	118.4910	0.000	1	118.4910	0.000	1	118.4910	0.000	1	119.3810	1.259	2	119.3810	1.259	2	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6,6a]	N[6]	N[6a]	3:2:2:	3:3:	3:3:	N[6,6,6a]-3:N[6a]-2:N[6]-2:	C[6,6a]-3:C[6]-3:	C[6,6a]-3:C[6a]-3:	C[6,6a](N[6,6,6a]C[6,6a]C[6,6])(N[6a]C[6a])(N[6]C[6])	N[6](C[6,6a]N[6,6,6a]N[6a])(C[6]N[6]N)	N[6a](C[6,6a]N[6,6,6a]N[6])(C[6a]N[6a]N)	C[6,6a](N[6,6,6a]C[6,6a]C[6,6])(N[6a]C[6a])(N[6]C[6]){1|N<3>,5|N<2>}	N[6](C[6,6a]N[6,6,6a]N[6a])(C[6]N[6]N){1|H<1>,3|C<3>}	N[6a](C[6,6a]N[6,6,6a]N[6])(C[6a]N[6a]N){3|C<3>}	120.2710	0.000	1	120.2710	0.000	1	120.2710	0.000	1	119.3810	1.259	2	119.3810	1.259	2	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6,6a]	N[6a]	N[6]	3:2:2:	3:3:	3:3:	C[6,6a,6a]-3:N[6a]-2:N[6]-2:	C[6,6a]-3:C[6a]-3:	C[6,6a]-3:C[6]-3:	C[6,6a](C[6,6a,6a]C[6a,6a]C[6,6a])(N[6a]C[6a])(N[6]C[6])	N[6a](C[6,6a]C[6,6a,6a]N[6])(C[6a]N[6a]H)	N[6](C[6,6a]C[6,6a,6a]N[6a])(C[6]N[6]H)	C[6,6a](C[6,6a,6a]C[6a,6a]C[6,6a])(N[6a]C[6a])(N[6]C[6]){2|H<1>,2|N<2>,2|N<3>}	N[6a](C[6,6a]C[6,6a,6a]N[6])(C[6a]N[6a]H){1|H<1>,3|C<3>}	N[6](C[6,6a]C[6,6a,6a]N[6a])(C[6]N[6]H){1|H<1>,3|C<3>}	119.1470	0.000	1	119.1470	0.000	1	119.1470	0.000	1	117.9076	2.917	9	117.9076	2.917	9	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6,6a]	N[6a]	N[6]	3:2:2:	3:3:	3:3:	C[6,6a]-3:N[6a]-2:N[6]-2:	C[6,6a]-3:C[6a]-3:	C[6,6a]-3:C[6]-3:	C[6,6a](C[6,6a]C[6a]C[6])(N[6a]C[6a])(N[6]C[6])	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]C[6a]O)	N[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6a]C[6])	C[6,6a](C[6,6a]C[6a]C[6])(N[6a]C[6a])(N[6]C[6]){1|C<2>,1|H<1>,1|O<2>,3|C<3>}	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]C[6a]O){1|C<2>,3|C<3>}	N[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6a]C[6]){5|C<3>}	114.5890	0.000	1	114.5890	0.000	1	118.7796	2.386	5	117.9076	2.917	9	117.9076	2.917	9	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6,6a]	N[6a]	N[6]	3:2:2:	3:3:	3:3:	C[6,6a]-3:N[6a]-2:N[6]-2:	C[6,6a]-3:C[6a]-3:	C[6,6a]-3:C[6]-3:	C[6,6a](C[6,6a]C[6a]N[6])(N[6a]C[6a])(N[6]C[6])	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]N[6a]N)	N[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6]C)	C[6,6a](C[6,6a]C[6a]N[6])(N[6a]C[6a])(N[6]C[6]){1|Co<6>,1|C<3>,1|C<4>,1|N<2>,1|N<3>,1|O<2>}	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]N[6a]N){1|N<3>,2|C<3>}	N[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6]C){1|N<3>,3|C<3>}	120.3970	0.000	1	119.8273	0.523	4	118.7796	2.386	5	117.9076	2.917	9	117.9076	2.917	9	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6,6a]	N[6a]	N[6]	3:2:2:	3:3:	3:3:	C[6,6a]-3:N[6a]-2:N[6]-2:	C[6,6a]-3:C[6a]-3:	C[6,6a]-3:C[6]-3:	C[6,6a](C[6,6a]C[6a]N[6])(N[6a]C[6a])(N[6]C[6])	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]N[6a]N)	N[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6]C)	C[6,6a](C[6,6a]C[6a]N[6])(N[6a]C[6a])(N[6]C[6]){1|Cu<6>,1|C<3>,1|C<4>,1|N<2>,1|N<3>,1|O<2>}	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]N[6a]N){1|N<3>,2|C<3>}	N[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6]C){1|N<3>,3|C<3>}	119.1790	0.000	1	119.8273	0.523	4	118.7796	2.386	5	117.9076	2.917	9	117.9076	2.917	9	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6,6a]	N[6a]	N[6]	3:2:2:	3:3:	3:3:	C[6,6a]-3:N[6a]-2:N[6]-2:	C[6,6a]-3:C[6a]-3:	C[6,6a]-3:C[6]-3:	C[6,6a](C[6,6a]C[6a]N[6])(N[6a]C[6a])(N[6]C[6])	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]N[6a]N)	N[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6]C)	C[6,6a](C[6,6a]C[6a]N[6])(N[6a]C[6a])(N[6]C[6]){1|Ni<6>,1|C<3>,1|C<4>,1|N<2>,1|N<3>,1|O<2>}	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]N[6a]N){1|N<3>,2|C<3>}	N[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6]C){1|N<3>,3|C<3>}	119.6740	0.000	1	119.8273	0.523	4	118.7796	2.386	5	117.9076	2.917	9	117.9076	2.917	9	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6,6a]	N[6a]	N[6]	3:2:2:	3:3:	3:3:	C[6,6a]-3:N[6a]-2:N[6]-2:	C[6,6a]-3:C[6a]-3:	C[6,6a]-3:C[6]-3:	C[6,6a](C[6,6a]C[6a]N[6])(N[6a]C[6a])(N[6]C[6])	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]N[6a]N)	N[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6]C)	C[6,6a](C[6,6a]C[6a]N[6])(N[6a]C[6a])(N[6]C[6]){1|Zn<6>,1|C<3>,1|C<4>,1|N<2>,1|N<3>,1|O<2>}	N[6a](C[6,6a]C[6,6a]N[6])(C[6a]N[6a]N){1|N<3>,2|C<3>}	N[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6]C){1|N<3>,3|C<3>}	120.0590	0.000	1	119.8273	0.523	4	118.7796	2.386	5	117.9076	2.917	9	117.9076	2.917	9	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6,6a]	N[6a]	N[6]	3:2:2:	3:3:	3:3:	C[6,6a]-3:N[6a]-2:N[6]-2:	C[6a,6a]-3:C[6,6a]-3:	C[6,6a]-3:N[6]-3:	C[6,6a](C[6,6a]C[6,6a]N[6a])(N[6a]C[6a,6a])(N[6]N[6])	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6,6a]C[6,6a]N[6])	N[6](C[6,6a]C[6,6a]N[6a])(N[6]C[6,6a]O)	C[6,6a](C[6,6a]C[6,6a]N[6a])(N[6a]C[6a,6a])(N[6]N[6]){1|O<1>,4|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6,6a]C[6,6a]N[6]){1|H<1>,1|N<2>,1|N<3>,3|C<3>}	N[6](C[6,6a]C[6,6a]N[6a])(N[6]C[6,6a]O){1|N<2>,3|C<3>}	113.8245	0.217	2	113.8245	0.217	2	113.8245	0.217	2	117.9076	2.917	9	117.9076	2.917	9	116.6641	2.476	100
762	914	914	0:SP2_SP2_SP2	C[6,6a]	N[6a]	N[6]	3:2:2:	3:3:	3:3:	N[6,6,6a]-3:N[6a]-2:N[6]-2:	C[6,6a]-3:C[6a]-3:	C[6,6a]-3:C[6]-3:	C[6,6a](N[6,6,6a]C[6,6a]C[6,6])(N[6a]C[6a])(N[6]C[6])	N[6a](C[6,6a]N[6,6,6a]N[6])(C[6a]N[6a]N)	N[6](C[6,6a]N[6,6,6a]N[6a])(C[6]N[6]N)	C[6,6a](N[6,6,6a]C[6,6a]C[6,6])(N[6a]C[6a])(N[6]C[6]){1|N<3>,5|N<2>}	N[6a](C[6,6a]N[6,6,6a]N[6])(C[6a]N[6a]N){3|C<3>}	N[6](C[6,6a]N[6,6,6a]N[6a])(C[6]N[6]N){3|C<3>}	120.4740	0.000	1	120.4740	0.000	1	120.4740	0.000	1	117.9076	2.917	9	117.9076	2.917	9	116.6641	2.476	100
