670	210	960	0:SP3_SP2_SP3	N	N	O	4:2:2:	3:1:	4:3:	C-4:N-2:O-2:	N-3:O-1:	C-4:N-3:	N(CC3)(NO)(OC)	N(NCO)(O)	O(CH3)(NCN)	N(CC3)(NO)(OC)	N(NCO)(O)	O(CH3)(NCN)	119.7270	0.000	1	119.7270	0.000	1	119.7270	0.000	1	119.7270	0.000	1	119.7270	0.000	1	119.7270	0.000	1
670	210	985	0:SP2_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CCC)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CCC)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	112.8760	1.499	3	112.8760	1.499	3	114.3644	1.723	12	114.2885	1.672	13	114.2515	1.612	14	114.2515	1.612	14
670	210	985	0:SP2_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CCH)(NHS)	S(C[6a]C[6a,6a]C[6a])(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CCH)(NHS)	S(C[6a]C[6a,6a]C[6a])(NHN)(O)2	114.7850	0.000	1	114.7850	0.000	1	114.3644	1.723	12	114.2885	1.672	13	114.2515	1.612	14	114.2515	1.612	14
670	210	985	0:SP2_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CCH)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CCH)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	117.0950	0.000	1	117.0950	0.000	1	114.3644	1.723	12	114.2885	1.672	13	114.2515	1.612	14	114.2515	1.612	14
670	210	985	0:SP2_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CC[6]H)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CC[6]H)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	113.2540	0.000	1	113.2540	0.000	1	114.3644	1.723	12	114.2885	1.672	13	114.2515	1.612	14	114.2515	1.612	14
670	210	985	0:SP2_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CC[6a]C)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CC[6a]C)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	113.8010	1.127	2	113.8010	1.127	2	114.3644	1.723	12	114.2885	1.672	13	114.2515	1.612	14	114.2515	1.612	14
670	210	985	0:SP2_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CC[6a]H)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CC[6a]H)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	115.2523	1.589	4	115.2523	1.589	4	114.3644	1.723	12	114.2885	1.672	13	114.2515	1.612	14	114.2515	1.612	14
670	210	985	0:SP2_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C[6]-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC[6])(H)	N(C[6]C[6]2)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC[6])(H)	N(C[6]C[6]2)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	113.3780	0.000	1	113.3780	0.000	1	113.3780	0.000	1	114.2885	1.672	13	114.2515	1.612	14	114.2515	1.612	14
670	210	985	0:SP2_SP2_SP3	N	N	S	4:2:1:	4:3:	3:3:1:1:	S-4:N-2:H-1:	C[6]-4:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC[6])(H)	N(C[6]C[6]N[6]H)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC[6])(H)	N(C[6]C[6]N[6]H)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	113.7700	0.000	1	113.7700	0.000	1	113.7700	0.000	1	113.7700	0.000	1	114.2515	1.612	14	114.2515	1.612	14
670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CCC)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CCC)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	113.7810	1.756	4	113.7810	1.756	4	114.0997	1.837	47	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
670	210	985	0:SP3_SP2_SP3	N	N	S	4:2:1:	3:3:	3:3:1:1:	S-4:N-2:H-1:	C-3:N-3:	C[6a]-3:N-3:O-1:O-1:	N(SC[6a]OO)(NC)(H)	N(CCH)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	N(SC[6a]OO)(NC)(H)	N(CCH)(NHS)	S(C[6a]C[6a]2)(NHN)(O)2	113.5430	0.000	1	113.5430	0.000	1	114.0997	1.837	47	114.0886	1.852	54	114.0196	1.905	55	114.0196	1.905	55
