818	474	610	4:3:4:	3:4:3:4:	3:1:1:1:	C[5]-4:N[5]-3:B-4:	C[6a]-3:C[5]-4:C[5]-3:C-4:	C[5]-3:F-1:F-1:F-1:	C[5](C[5]C[6a]C[5]C)(N[5]C[6a]C[5])(BF3)	C[5](C[6a]C[6a]2)(C[5]C[5]HH)(C[5]N[5]B)(CH3)	B(C[5]C[5]N[5])(F)3	C[5](C[5]C[6a]C[5]C)(N[5]C[6a]C[5])(BF3){2|C<4>,2|H<1>,4|C<3>}	C[5](C[6a]C[6a]2)(C[5]C[5]HH)(C[5]N[5]B)(CH3){2|C<4>,2|H<1>,3|C<3>}	B(C[5]C[5]N[5])(F)3	123.4650	0.000	1	123.4650	0.000	1     123.4650       0.000      1      123.4650     0.000     1
818	474	622	3:2:4:	3:4:1:1:	3:3:	C[5,6]-3:O[6]-2:C[5]-4:	C[5,6]-3:C[5]-4:H-1:H-1:	C[6,6a]-3:C[5,6]-3:	C[5,6](C[5,6]C[5]C[6])(O[6]C[6,6a])(C[5]C[5]HH)	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]HH)(H)2	O[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5])	C[5,6](C[5,6]C[5]C[6])(O[6]C[6,6a])(C[5]C[5]HH){1|O<1>,2|C<3>,4|H<1>}	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]HH)(H)2{1|C<3>,1|C<4>,1|O<1>}	O[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]){2|C<4>,3|C<3>,3|H<1>}	118.3620	0.000	1	118.3620	0.000	1     118.3620       0.000      1      119.3900     0.968     3
818	474	622	3:2:4:	3:4:1:1:	3:3:	C[5,6a]-3:O[6a]-2:C[5]-4:	C[5,6a]-3:C[5]-4:H-1:H-1:	C[5,6a]-3:C[6,6a]-3:	C[5,6a](C[5,6a]C[6a]C[5])(O[6a]C[6,6a])(C[5]C[5]HH)	C[5](C[5,6a]C[5,6a]O[6a])(C[5]C[5]HH)(H)2	O[6a](C[5,6a]C[5,6a]C[5])(C[6,6a]C[6,6a]2)	C[5,6a](C[5,6a]C[6a]C[5])(O[6a]C[6,6a])(C[5]C[5]HH){1|O<1>,2|C<3>,4|H<1>}	C[5](C[5,6a]C[5,6a]O[6a])(C[5]C[5]HH)(H)2{2|C<3>,2|H<1>}	O[6a](C[5,6a]C[5,6a]C[5])(C[6,6a]C[6,6a]2){2|H<1>,3|C<3>,3|C<4>}	119.9040	0.539	2	119.9040	0.539	2     119.9040       0.539      2      119.3900     0.968     3
818	474	622	3:4:2:	3:2:1:1:	3:3:	C[5,6a]-3:C[5]-4:O[6a]-2:	C[5,6a]-3:O[5]-2:H-1:H-1:	C[5,6a]-3:C[6a]-3:	C[5,6a](C[5,6a]C[6a,6a]C[5])(C[5]O[5]HH)(O[6a]C[6a])	C[5](C[5,6a]C[5,6a]O[6a])(O[5]C[5])(H)2	O[6a](C[5,6a]C[5,6a]C[5])(C[6a]C[6a,6a]O)	C[5,6a](C[5,6a]C[6a,6a]C[5])(C[5]O[5]HH)(O[6a]C[6a]){2|C<3>,2|O<1>}	C[5](C[5,6a]C[5,6a]O[6a])(O[5]C[5])(H)2{1|O<1>,2|C<3>}	O[6a](C[5,6a]C[5,6a]C[5])(C[6a]C[6a,6a]O){1|O<2>,2|H<1>,3|C<3>}	122.0890	0.000	1	122.0890	0.000	1     122.0890       0.000      1      122.0890     0.000     1
818	474	622	3:4:2:	3:3:3:3:	3:3:	C[5,6a]-3:C[5]-4:O[6a]-2:	C[5,6a]-3:C[5]-3:C[6a]-3:C[6a]-3:	C[6a,6a]-3:C[5,6a]-3:	C[5,6a](C[5,6a]C[6a]C[5])(C[5]C[6a]2C[5])(O[6a]C[6a,6a])	C[5](C[5,6a]C[5,6a]O[6a])(C[5]C[6a]C[5])(C[6a]C[6a]2)2	O[6a](C[6a,6a]C[6a,6a]C[6a])(C[5,6a]C[5,6a]C[5])	C[5,6a](C[5,6a]C[6a]C[5])(C[5]C[6a]2C[5])(O[6a]C[6a,6a]){1|O<1>,8|C<3>}	C[5](C[5,6a]C[5,6a]O[6a])(C[5]C[6a]C[5])(C[6a]C[6a]2)2{4|H<1>,9|C<3>}	O[6a](C[6a,6a]C[6a,6a]C[6a])(C[5,6a]C[5,6a]C[5]){1|H<1>,7|C<3>}	119.4490	0.000	1	119.4490	0.000	1     119.4490       0.000      1      119.4490     0.000     1
818	474	622	3:4:2:	3:4:1:1:	3:3:	C[5,6]-3:C[5]-4:O[6]-2:	C[5,6]-3:C[5]-4:H-1:H-1:	C[5,6]-3:C[6]-3:	C[5,6](C[5,6]C[5]C[6])(C[5]C[5]HH)(O[6]C[6])	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]HH)(H)2	O[6](C[5,6]C[5,6]C[5])(C[6]C[6]H)	C[5,6](C[5,6]C[5]C[6])(C[5]C[5]HH)(O[6]C[6]){1|O<1>,2|C<3>,4|H<1>}	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]HH)(H)2{1|C<3>,1|C<4>,1|O<1>}	O[6](C[5,6]C[5,6]C[5])(C[6]C[6]H){1|C<3>,2|C<4>,3|H<1>}	119.2550	0.000	1	119.2550	0.000	1     117.4085       2.611      2      117.4085     2.611     2
818	474	622	3:4:2:	3:4:1:1:	3:3:	C[5,6]-3:C[5]-4:O[6]-2:	C[5,6]-3:C[5]-4:H-1:H-1:	C[5,6]-3:C[6]-3:	C[5,6](C[5,6]C[6]S[5])(C[5]C[5]HH)(O[6]C[6])	C[5](C[5,6]C[5,6]O[6])(C[5]S[5]HH)(H)2	O[6](C[5,6]C[5,6]C[5])(C[6]C[6]N)	C[5,6](C[5,6]C[6]S[5])(C[5]C[5]HH)(O[6]C[6]){1|N<3>,2|C<3>,2|O<1>,3|H<1>}	C[5](C[5,6]C[5,6]O[6])(C[5]S[5]HH)(H)2{1|C<3>,1|C<4>,2|O<1>}	O[6](C[5,6]C[5,6]C[5])(C[6]C[6]N){1|C<2>,1|S<4>,2|C<4>,2|H<1>}	115.5620	0.000	1	115.5620	0.000	1     117.4085       2.611      2      117.4085     2.611     2
818	474	622	3:4:2:	3:4:1:1:	4:3:	C[5,6]-3:C[5]-4:O[6]-2:	C[5,6]-3:C[5]-4:H-1:H-1:	C[5,6]-4:C[5,6]-3:	C[5,6](C[5,6]C[5]C[6])(C[5]C[5]HH)(O[6]C[5,6])	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]CC)(H)2	O[6](C[5,6]C[3x5,6]N[5,6]H)(C[5,6]C[5,6]C[5])	C[5,6](C[5,6]C[5]C[6])(C[5]C[5]HH)(O[6]C[5,6]){1|N<3>,1|O<1>,3|C<4>,3|H<1>}	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]CC)(H)2{1|C<3>,1|C<4>,2|H<1>}	O[6](C[5,6]C[3x5,6]N[5,6]H)(C[5,6]C[5,6]C[5]){1|O<2>,2|C<3>,2|H<1>,4|C<4>}	121.9940	0.000	1	121.9940	0.000	1     121.9940       0.000      1      121.9940     0.000     1
818	474	622	3:4:2:	3:4:2:1:	3:4:	C[5,6]-3:C[5]-4:O[6]-2:	C[5,6]-3:C[5]-4:O-2:H-1:	C[5,6]-3:C[6]-4:	C[5,6](C[5,6]C[5]C[6])(C[5]C[5]HO)(O[6]C[6])	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]CH)(OC)(H)	O[6](C[5,6]C[5,6]C[5])(C[6]C[6]HH)	C[5,6](C[5,6]C[5]C[6])(C[5]C[5]HO)(O[6]C[6]){2|C<4>,7|H<1>}	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]CH)(OC)(H){2|C<4>,2|H<1>}	O[6](C[5,6]C[5,6]C[5])(C[6]C[6]HH){1|O<2>,3|C<4>,3|H<1>}	118.6510	0.000	1	118.6510	0.000	1     118.6510       0.000      1      118.6510     0.000     1
818	474	622	4:2:3:	3:4:4:2:	3:4:	C[5,3x6]-4:O[6,6]-2:C[5]-3:	C[5,6,6]-3:C[6,6]-4:C[6,6]-4:O[5]-2:	C[5,6,6]-3:C[3x6]-4:	C[5,6,6](C[5,3x6]C[6,6]2O[5])(O[6,6]C[3x6])(C[5]C[5]2)	C[5,3x6](C[5,6,6]O[6,6]C[5])(C[6,6]C[6,6]CH)(C[6,6]C[6,6]HH)(O[5]C[5])	O[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6]2H)	C[5,6,6](C[5,3x6]C[6,6]2O[5])(O[6,6]C[3x6])(C[5]C[5]2){1|C<3>,1|O<1>,2|S<2>,3|C<4>,4|H<1>}	C[5,3x6](C[5,6,6]O[6,6]C[5])(C[6,6]C[6,6]CH)(C[6,6]C[6,6]HH)(O[5]C[5]){1|O<1>,1|O<2>,2|H<1>,3|C<4>}	O[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6]2H){1|C<3>,2|H<1>,2|O<2>,4|C<4>}	115.2750	0.000	1	115.2750	0.000	1     115.8270       0.781      2      115.8270     0.781     2
818	474	622	4:2:3:	3:4:4:2:	3:4:	C[5,3x6]-4:O[6,6]-2:C[5]-3:	C[5,6,6]-3:C[6,6]-4:C[6,6]-4:O[5]-2:	C[5,6,6]-3:C[3x6]-4:	C[5,6,6](C[5,3x6]C[6,6]2O[5])(O[6,6]C[3x6])(C[5]C[5]C)	C[5,3x6](C[5,6,6]O[6,6]C[5])(C[6,6]C[6,6]CH)(C[6,6]C[6,6]HH)(O[5]C[5])	O[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6]2H)	C[5,6,6](C[5,3x6]C[6,6]2O[5])(O[6,6]C[3x6])(C[5]C[5]C){1|C<3>,1|O<1>,2|C<4>,4|H<1>}	C[5,3x6](C[5,6,6]O[6,6]C[5])(C[6,6]C[6,6]CH)(C[6,6]C[6,6]HH)(O[5]C[5]){1|C<3>,1|O<1>,1|O<2>,2|C<4>,2|H<1>}	O[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6]2H){2|C<3>,2|H<1>,2|O<2>,3|C<4>}	116.3790	0.000	1	116.3790	0.000	1     115.8270       0.781      2      115.8270     0.781     2
