818	474	610	0:SP2_SP3_SP3	C[5]	C[5]	B	4:3:4:	3:4:3:4:	3:1:1:1:	C[5]-4:N[5]-3:B-4:	C[6a]-3:C[5]-4:C[5]-3:C-4:	C[5]-3:F-1:F-1:F-1:	C[5](C[5]C[6a]C[5]C)(N[5]C[6a]C[5])(BF3)	C[5](C[6a]C[6a]2)(C[5]C[5]HH)(C[5]N[5]B)(CH3)	B(C[5]C[5]N[5])(F)3	C[5](C[5]C[6a]C[5]C)(N[5]C[6a]C[5])(BF3){2|C<4>,2|H<1>,4|C<3>}	C[5](C[6a]C[6a]2)(C[5]C[5]HH)(C[5]N[5]B)(CH3){2|C<4>,2|H<1>,3|C<3>}	B(C[5]C[5]N[5])(F)3	123.4650	0.000	1	123.4650	0.000	1	123.4650	0.000	1	123.4650	0.000	1	123.4650	0.000	1	123.4650	0.000	1
818	474	622	0:SP2_SP2_SP3	C[5,6,6]	C[5,5,6]	O[6]	4:3:2:	3:4:2:1:	3:3:	C[5,5,6]-4:C[5,6,6]-3:O[6]-2:	C[5,6,6]-3:C[5,5]-4:C[5,6]-2:H-1:	C[5,6,6]-3:C[6]-3:	C[5,6,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6,6]C[5,5,6]N[6])(O[6]C[6])	C[5,5,6](C[5,6,6]C[5,6,6]O[6])(C[5,5]C[5,5,6]CC)(C[5,6]C[5,6])(H)	O[6](C[5,6,6]C[5,5,6]C[5,6,6])(C[6]C[6]O)	C[5,6,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6,6]C[5,5,6]N[6])(O[6]C[6]){1|O<1>,5|C<4>}	C[5,5,6](C[5,6,6]C[5,6,6]O[6])(C[5,5]C[5,5,6]CC)(C[5,6]C[5,6])(H){1|C<3>,1|C<4>,1|N<2>,2|H<1>}	O[6](C[5,6,6]C[5,5,6]C[5,6,6])(C[6]C[6]O){1|C<2>,1|C<3>,1|N<2>,2|C<4>,2|H<1>}	114.3040	0.000	1	114.3040	0.000	1	114.3040	0.000	1	114.3040	0.000	1	114.3040	0.000	1	118.6698	2.544	14
818	474	622	0:SP2_SP2_SP3	C[5,6]	C[5]	O[6]	3:2:4:	3:4:1:1:	3:3:	C[5,6]-3:O[6]-2:C[5]-4:	C[5,6]-3:C[5]-4:H-1:H-1:	C[5a,6]-3:C[5,6]-3:	C[5,6](C[5,6]C[5,6]C[5])(O[6]C[5a,6])(C[5]C[5]HH)	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]HH)(H)2	O[6](C[5a,6]C[5a,6]N[5a])(C[5,6]C[5,6]C[5])	C[5,6](C[5,6]C[5,6]C[5])(O[6]C[5a,6])(C[5]C[5]HH){1|N<2>,1|O<1>,2|H<1>,3|C<3>}	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]HH)(H)2{1|C<3>,1|C<4>,1|O<1>}	O[6](C[5a,6]C[5a,6]N[5a])(C[5,6]C[5,6]C[5]){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	118.3960	0.000	1	118.3960	0.000	1	118.3960	0.000	1	118.3790	0.024	2	118.4141	2.470	9	118.6698	2.544	14
818	474	622	0:SP2_SP2_SP3	C[5,6]	C[5]	O[6]	3:2:4:	3:4:1:1:	3:3:	C[5,6]-3:O[6]-2:C[5]-4:	C[5,6]-3:C[5]-4:H-1:H-1:	C[6,6a]-3:C[5,6]-3:	C[5,6](C[5,6]C[5]C[6])(O[6]C[6,6a])(C[5]C[5]HH)	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]HH)(H)2	O[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5])	C[5,6](C[5,6]C[5]C[6])(O[6]C[6,6a])(C[5]C[5]HH){1|O<1>,2|C<3>,4|H<1>}	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]HH)(H)2{1|C<3>,1|C<4>,1|O<1>}	O[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]){2|C<4>,3|C<3>,3|H<1>}	118.3620	0.000	1	118.3620	0.000	1	118.3620	0.000	1	118.3790	0.024	2	118.4141	2.470	9	118.6698	2.544	14
818	474	622	0:SP2_SP2_SP3	C[5,6]	C[5]	O[6]	3:4:2:	3:4:1:1:	3:3:	C[5,6]-3:C[5]-4:O[6]-2:	C[5,6]-3:C[5]-4:H-1:H-1:	C[5,6]-3:C[6]-3:	C[5,6](C[5,6]C[5,6]S[5])(C[5]C[5]HH)(O[6]C[6])	C[5](C[5,6]C[5,6]O[6])(C[5]S[5]HH)(H)2	O[6](C[5,6]C[5,6]C[5])(C[6]C[6]N)	C[5,6](C[5,6]C[5,6]S[5])(C[5]C[5]HH)(O[6]C[6]){1|N<3>,2|H<1>,2|O<1>,3|C<3>}	C[5](C[5,6]C[5,6]O[6])(C[5]S[5]HH)(H)2{1|C<3>,1|C<4>,2|O<1>}	O[6](C[5,6]C[5,6]C[5])(C[6]C[6]N){1|C<2>,1|S<4>,2|C<4>,2|H<1>}	116.0440	0.000	1	116.0440	0.000	1	116.5825	1.799	4	116.5825	1.799	4	118.4141	2.470	9	118.6698	2.544	14
818	474	622	0:SP2_SP2_SP3	C[5,6]	C[5]	O[6]	3:4:2:	3:4:1:1:	3:3:	C[5,6]-3:C[5]-4:O[6]-2:	C[5,6]-3:C[5]-4:H-1:H-1:	C[5,6]-3:C[6]-3:	C[5,6](C[5,6]C[5]C[6])(C[5]C[5]HH)(O[6]C[6])	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]HH)(H)2	O[6](C[5,6]C[5,6]C[5])(C[6]C[6]H)	C[5,6](C[5,6]C[5]C[6])(C[5]C[5]HH)(O[6]C[6]){1|O<1>,2|C<3>,4|H<1>}	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]HH)(H)2{1|C<3>,1|C<4>,1|O<1>}	O[6](C[5,6]C[5,6]C[5])(C[6]C[6]H){1|C<3>,2|C<4>,3|H<1>}	119.2550	0.000	1	119.2550	0.000	1	116.5825	1.799	4	116.5825	1.799	4	118.4141	2.470	9	118.6698	2.544	14
818	474	622	0:SP2_SP2_SP3	C[5,6]	C[5]	O[6]	3:4:2:	3:4:1:1:	3:3:	C[5,6]-3:C[5]-4:O[6]-2:	C[5,6]-3:C[5]-4:H-1:H-1:	C[5,6]-3:C[6]-3:	C[5,6](C[5,6]C[6]S[5])(C[5]C[5]HH)(O[6]C[6])	C[5](C[5,6]C[5,6]O[6])(C[5]S[5]HH)(H)2	O[6](C[5,6]C[5,6]C[5])(C[6]C[6]N)	C[5,6](C[5,6]C[6]S[5])(C[5]C[5]HH)(O[6]C[6]){1|N<3>,2|C<3>,2|O<1>,3|H<1>}	C[5](C[5,6]C[5,6]O[6])(C[5]S[5]HH)(H)2{1|C<3>,1|C<4>,2|O<1>}	O[6](C[5,6]C[5,6]C[5])(C[6]C[6]N){1|C<2>,1|S<4>,2|C<4>,2|H<1>}	115.5155	0.066	2	115.5155	0.066	2	116.5825	1.799	4	116.5825	1.799	4	118.4141	2.470	9	118.6698	2.544	14
818	474	622	0:SP2_SP2_SP3	C[5,6]	C[5]	O[6]	3:4:2:	3:4:1:1:	4:3:	C[5,6]-3:C[5]-4:O[6]-2:	C[5,6]-3:C[5]-4:H-1:H-1:	C[5,6]-4:C[5,6]-3:	C[5,6](C[5,6]C[5]C[6])(C[5]C[5]HH)(O[6]C[5,6])	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]CC)(H)2	O[6](C[5,6]C[3x5,6]N[5,6]H)(C[5,6]C[5,6]C[5])	C[5,6](C[5,6]C[5]C[6])(C[5]C[5]HH)(O[6]C[5,6]){1|N<3>,1|O<1>,3|C<4>,3|H<1>}	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]CC)(H)2{1|C<3>,1|C<4>,2|H<1>}	O[6](C[5,6]C[3x5,6]N[5,6]H)(C[5,6]C[5,6]C[5]){1|O<2>,2|C<3>,2|H<1>,4|C<4>}	121.9940	0.000	2	121.9940	0.000	2	121.9940	0.000	2	121.9940	0.000	2	118.4141	2.470	9	118.6698	2.544	14
818	474	622	0:SP2_SP2_SP3	C[5,6]	C[5]	O[6]	3:4:2:	3:4:2:1:	3:4:	C[5,6]-3:C[5]-4:O[6]-2:	C[5,6]-3:C[5]-4:O-2:H-1:	C[5,6]-3:C[6]-4:	C[5,6](C[5,6]C[5]C[6])(C[5]C[5]HO)(O[6]C[6])	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]CH)(OC)(H)	O[6](C[5,6]C[5,6]C[5])(C[6]C[6]HH)	C[5,6](C[5,6]C[5]C[6])(C[5]C[5]HO)(O[6]C[6]){2|C<4>,7|H<1>}	C[5](C[5,6]C[5,6]O[6])(C[5]C[5]CH)(OC)(H){2|C<4>,2|H<1>}	O[6](C[5,6]C[5,6]C[5])(C[6]C[6]HH){1|O<2>,3|C<4>,3|H<1>}	118.6510	0.000	1	118.6510	0.000	1	118.6510	0.000	1	118.6510	0.000	1	118.4141	2.470	9	118.6698	2.544	14
818	474	622	0:SP2_SP2_SP3	C[5,6a]	C[5]	O[6a]	3:2:4:	3:4:1:1:	3:3:	C[5,6a]-3:O[6a]-2:C[5]-4:	C[5,6a]-3:C[5]-4:H-1:H-1:	C[5,6a]-3:C[6,6a]-3:	C[5,6a](C[5,6a]C[6a]C[5])(O[6a]C[6,6a])(C[5]C[5]HH)	C[5](C[5,6a]C[5,6a]O[6a])(C[5]C[5]HH)(H)2	O[6a](C[5,6a]C[5,6a]C[5])(C[6,6a]C[6,6a]2)	C[5,6a](C[5,6a]C[6a]C[5])(O[6a]C[6,6a])(C[5]C[5]HH){1|O<1>,2|C<3>,4|H<1>}	C[5](C[5,6a]C[5,6a]O[6a])(C[5]C[5]HH)(H)2{2|C<3>,2|H<1>}	O[6a](C[5,6a]C[5,6a]C[5])(C[6,6a]C[6,6a]2){2|H<1>,3|C<3>,3|C<4>}	119.9040	0.539	2	119.9040	0.539	2	119.9040	0.539	2	119.9040	0.539	2	120.3365	1.228	4	118.6698	2.544	14
818	474	622	0:SP2_SP2_SP3	C[5,6a]	C[5]	O[6a]	3:4:2:	3:2:1:1:	3:3:	C[5,6a]-3:C[5]-4:O[6a]-2:	C[5,6a]-3:O[5]-2:H-1:H-1:	C[5,6a]-3:C[6a]-3:	C[5,6a](C[5,6a]C[6a,6a]C[5])(C[5]O[5]HH)(O[6a]C[6a])	C[5](C[5,6a]C[5,6a]O[6a])(O[5]C[5])(H)2	O[6a](C[5,6a]C[5,6a]C[5])(C[6a]C[6a,6a]O)	C[5,6a](C[5,6a]C[6a,6a]C[5])(C[5]O[5]HH)(O[6a]C[6a]){2|C<3>,2|O<1>}	C[5](C[5,6a]C[5,6a]O[6a])(O[5]C[5])(H)2{1|O<1>,2|C<3>}	O[6a](C[5,6a]C[5,6a]C[5])(C[6a]C[6a,6a]O){1|O<2>,2|H<1>,3|C<3>}	122.0890	0.000	1	122.0890	0.000	1	122.0890	0.000	1	122.0890	0.000	1	120.3365	1.228	4	118.6698	2.544	14
