818	542	594	0:SP2_SP2_SP2	C[5]	N[5]	P[3a]	3:3:3:	3:3:4:	3:3:3:	P[3a]-3:C[5]-3:N[5]-3:	C[5]-3:C[5]-3:C-4:	P[3a,3a]-3:P[3a,3a]-3:C[5]-3:	C[5](P[3a]P[3a,3a]2)(C[5]N[5]H)(N[5]C[5]C)	N[5](C[5]P[3a]C[5])(C[5]N[5]H)(CC3)	P[3a](P[3a,3a]P[3a,3a]P[3a])2(C[5]C[5]N[5])	C[5](P[3a]P[3a,3a]2)(C[5]N[5]H)(N[5]C[5]C){1|C<4>,1|H<1>,1|P<3>}	N[5](C[5]P[3a]C[5])(C[5]N[5]H)(CC3){1|C<4>,1|H<1>,2|P<3>}	P[3a](P[3a,3a]P[3a,3a]P[3a])2(C[5]C[5]N[5]){1|B<4>,1|C<3>,1|C<4>,1|H<1>,1|N<3>}	126.3220	0.000	1	126.3220	0.000	1	126.3220	0.000	1	126.3220	0.000	1	126.3220	0.000	1	126.3220	0.000	1
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:2:4:	3:1:1:1:	N[5]-3:N[5]-3:B-4:	C[5]-3:N[5]-2:C-4:	C[5]-3:H-1:H-1:H-1:	C[5](N[5]C[5]C)(N[5]N[5]C)(BH3)	N[5](C[5]N[5]B)(N[5]C[5])(CH3)	B(C[5]N[5]2)(H)3	C[5](N[5]C[5]C)(N[5]N[5]C)(BH3){1|H<1>}	N[5](C[5]N[5]B)(N[5]C[5])(CH3){1|C<4>,1|H<1>}	B(C[5]N[5]2)(H)3	129.7850	0.000	1	129.7850	0.000	1	129.7850	0.000	1	129.7850	0.000	1	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:2:	3:1:1:1:	C[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:N[5]-2:	C[5]-3:H-1:H-1:H-1:	C[5](C[5]C[6a]N[5])(N[5]C[6a]N[5])(BH3)	N[5](C[6a]C[6a]2)(C[5]C[5]B)(N[5]N[5])	B(C[5]C[5]N[5])(H)3	C[5](C[5]C[6a]N[5])(N[5]C[6a]N[5])(BH3){5|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]B)(N[5]N[5]){2|H<1>,4|C<3>}	B(C[5]C[5]N[5])(H)3	126.1430	0.000	1	126.1430	0.000	1	126.1430	0.000	1	126.1430	0.000	1	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:1:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:Br-1:Br-1:Br-1:	C[5](N[5]C[6a]C[5])2(BBr3)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(Br)3	C[5](N[5]C[6a]C[5])2(BBr3){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]N[5]2)(Br)3	127.6455	1.126	2	127.6455	1.126	2	127.6455	1.126	2	127.7842	1.361	13	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:1:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:Cl-1:Cl-1:Cl-1:	C[5](N[5]C[6a]C[5])2(BCl3)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(Cl)3	C[5](N[5]C[6a]C[5])2(BCl3){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]N[5]2)(Cl)3	127.4917	1.671	4	127.4917	1.671	4	127.4917	1.671	4	127.7842	1.361	13	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:1:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:H-1:H-1:H-1:	C[5](N[5]C[6a]C[5])(N[5]C[5]C)(BH3)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(H)3	C[5](N[5]C[6a]C[5])(N[5]C[5]C)(BH3){2|C<3>,2|H<1>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<3>,3|C<4>}	B(C[5]N[5]2)(H)3	128.4250	1.267	3	128.4250	1.267	3	128.2308	1.612	5	127.7842	1.361	13	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:1:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:H-1:H-1:H-1:	C[5](N[5]C[6a]C[5])2(BH3)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(H)3	C[5](N[5]C[6a]C[5])2(BH3){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]N[5]2)(H)3	127.9395	2.627	2	127.9395	2.627	2	128.2308	1.612	5	127.7842	1.361	13	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:1:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:H-1:H-1:I-1:	C[5](N[5]C[6a]C[5])2(BHHI)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(H)2(I)	C[5](N[5]C[6a]C[5])2(BHHI){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]N[5]2)(H)2(I)	127.3915	0.712	2	127.3915	0.712	2	127.3915	0.712	2	127.7842	1.361	13	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:2:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:N-2:H-1:H-1:	C[5](N[5]C[6a]C[5])2(BHHN)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(NC)(H)2	C[5](N[5]C[6a]C[5])2(BHHN){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]N[5]2)(NC)(H)2	127.2215	0.227	2	127.2215	0.227	2	127.2618	0.160	4	127.3132	0.552	8	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:2:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:N-2:H-1:H-1:	C[5](N[5]C[6a]C[5])2(BHHN)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(NN)(H)2	C[5](N[5]C[6a]C[5])2(BHHN){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]N[5]2)(NN)(H)2	127.3020	0.137	2	127.3020	0.137	2	127.2618	0.160	4	127.3132	0.552	8	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:2:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:O-2:Cl-1:Cl-1:	C[5](N[5]C[6a]C[5])2(BCl2O)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(OS)(Cl)2	C[5](N[5]C[6a]C[5])2(BCl2O){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]N[5]2)(OS)(Cl)2	127.2860	1.352	2	127.2860	1.352	2	127.2860	1.352	2	127.3132	0.552	8	127.5331	2.435	128	127.4367	2.547	130
