818	818	968	3:3:1:	3:3:1:	3:3:3:	C[5a,5a]-3:P[4a,5a,5a]-3:H-1:	C[5a,5a]-3:P[4a,5a,5a]-3:H-1:	N[4a,5a]-3:N[4a,5a]-3:C[5a,5a]-3:	C[5a,5a](C[5a,5a]P[4a,5a,5a]H)(P[4a,5a,5a]N[4a,5a]2)(H)	C[5a,5a](C[5a,5a]P[4a,5a,5a]H)(P[4a,5a,5a]N[4a,5a]2)(H)	P[4a,5a,5a](N[4a,5a]P[4a,5a,5a]C[6a])2(C[5a,5a]C[5a,5a]H)	C[5a,5a](C[5a,5a]P[4a,5a,5a]H)(P[4a,5a,5a]N[4a,5a]2)(H){2|C<3>}	C[5a,5a](C[5a,5a]P[4a,5a,5a]H)(P[4a,5a,5a]N[4a,5a]2)(H){2|C<3>}	P[4a,5a,5a](N[4a,5a]P[4a,5a,5a]C[6a])2(C[5a,5a]C[5a,5a]H){1|H<1>,4|C<3>}	108.6430	0.400	2	108.6430	0.400	2     108.6430       0.400      2      108.6430     0.400     2
818	818	968	3:3:4:	4:3:4:	4:3:3:	P[4,5,5,6]-3:C[5,6]-3:C-4:	P[4,5,5,6]-4:C[5,6]-3:C-4:	C[4,4,5,5]-4:P[3,4,5,6]-3:C[5,6]-3:	C[5,6](P[4,5,5,6]C[4,4,5,5]P[3,4,5,6])(C[5,6]P[4,5,5,6]C)(CC3)	C[5,6](P[4,5,5,6]C[3,4,5,6]C[4,4,5,5]H)(C[5,6]P[4,5,5,6]C)(CC3)	P[4,5,5,6](C[4,4,5,5]P[4,5,5,6]P[3,4,4]C)(P[3,4,5,6]C[3,4,5,6]P[3,4,4])(C[5,6]C[5,6]C)	C[5,6](P[4,5,5,6]C[4,4,5,5]P[3,4,5,6])(C[5,6]P[4,5,5,6]C)(CC3){1|H<1>,1|P<3>,2|C<4>}	C[5,6](P[4,5,5,6]C[3,4,5,6]C[4,4,5,5]H)(C[5,6]P[4,5,5,6]C)(CC3){2|C<4>,2|P<3>}	P[4,5,5,6](C[4,4,5,5]P[4,5,5,6]P[3,4,4]C)(P[3,4,5,6]C[3,4,5,6]P[3,4,4])(C[5,6]C[5,6]C){1|H<1>,2|C<4>}	116.6760	0.000	1	116.6760	0.000	1     116.6760       0.000      1      116.6760     0.000     1
818	818	969	3:4:2:	3:4:3:	3:3:1:1:	C[5,6]-3:S[6]-4:S[5]-2:	C[5,6]-3:C[6]-4:C[5]-3:	C[5,6]-3:N[5,6]-3:O-1:O-1:	C[5,6](C[5,6]C[5]C[6])(S[6]N[5,6]OO)(S[5]C[5])	C[5,6](C[5,6]S[5]S[6])(C[6]C[5,6]HH)(C[5]C[5]H)	S[6](C[5,6]C[5,6]S[5])(N[5,6]C[5,6]C[5])(O)2	C[5,6](C[5,6]C[5]C[6])(S[6]N[5,6]OO)(S[5]C[5]){2|C<4>,4|H<1>}	C[5,6](C[5,6]S[5]S[6])(C[6]C[5,6]HH)(C[5]C[5]H){1|C<4>,1|N<3>,2|H<1>,2|O<1>}	S[6](C[5,6]C[5,6]S[5])(N[5,6]C[5,6]C[5])(O)2{2|C<3>,3|C<4>,3|H<1>}	125.4847	0.342	4	125.4847	0.342	4     125.4847       0.342      4      125.4847     0.342     4
818	818	969	3:4:2:	3:4:3:	3:4:1:1:	C[5,6]-3:S[6]-4:S[5]-2:	C[5,6]-3:C[6]-4:C[5]-3:	C[5,6]-3:C[6]-4:O-1:O-1:	C[5,6](C[5,6]C[5]C[6])(S[6]C[6]OO)(S[5]C[5])	C[5,6](C[5,6]S[5]S[6])(C[6]C[6]HN)(C[5]C[5]H)	S[6](C[5,6]C[5,6]S[5])(C[6]C[6]CH)(O)2	C[5,6](C[5,6]C[5]C[6])(S[6]C[6]OO)(S[5]C[5]){1|N<3>,1|S<4>,2|C<4>,3|H<1>}	C[5,6](C[5,6]S[5]S[6])(C[6]C[6]HN)(C[5]C[5]H){1|C<4>,1|S<4>,2|H<1>,2|O<1>}	S[6](C[5,6]C[5,6]S[5])(C[6]C[6]CH)(O)2{1|C<4>,2|C<3>,2|H<1>}	125.7400	0.000	1	126.3410	0.850	2     126.3410       0.850      2      126.3410     0.850     2
818	818	969	3:4:2:	3:4:3:	3:4:1:1:	C[5,6]-3:S[6]-4:S[5]-2:	C[5,6]-3:C[6]-4:C[5]-3:	C[5,6]-3:C[6]-4:O-1:O-1:	C[5,6](C[5,6]C[5]C[6])(S[6]C[6]OO)(S[5]C[5])	C[5,6](C[5,6]S[5]S[6])(C[6]C[6]HN)(C[5]C[5]H)	S[6](C[5,6]C[5,6]S[5])(C[6]C[6]CH)(O)2	C[5,6](C[5,6]C[5]C[6])(S[6]C[6]OO)(S[5]C[5]){1|N<4>,1|S<4>,2|C<4>,3|H<1>}	C[5,6](C[5,6]S[5]S[6])(C[6]C[6]HN)(C[5]C[5]H){1|C<4>,1|S<4>,2|H<1>,2|O<1>}	S[6](C[5,6]C[5,6]S[5])(C[6]C[6]CH)(O)2{1|C<4>,2|C<3>,2|H<1>}	126.9420	0.000	1	126.3410	0.850	2     126.3410       0.850      2      126.3410     0.850     2
818	818	969	3:4:3:	3:3:1:	3:3:1:1:	C[5,6]-3:S[6]-4:C[5]-3:	C[5,6]-3:C[5]-3:H-1:	C[5,6]-3:N[6]-3:O-1:O-1:	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H)	C[5](C[5,6]C[5,6]S[6])(C[5]S[5]Cl)(H)	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H){1|Cl<1>,1|C<3>,1|C<4>,1|O<1>}	C[5](C[5,6]C[5,6]S[6])(C[5]S[5]Cl)(H){1|C<3>,1|N<3>,2|O<1>}	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2{1|H<1>,1|S<2>,3|C<3>}	128.7197	0.414	3	128.7216	0.305	5     129.0645       0.501      14      129.0645     0.501     14
818	818	969	3:4:3:	3:3:1:	3:3:1:1:	C[5,6]-3:S[6]-4:C[5]-3:	C[5,6]-3:C[5]-3:H-1:	C[5,6]-3:N[6]-3:O-1:O-1:	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H)	C[5](C[5,6]C[5,6]S[6])(C[5]S[5]Cl)(H)	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H){1|Cl<1>,1|C<3>,1|C<4>,1|O<2>}	C[5](C[5,6]C[5,6]S[6])(C[5]S[5]Cl)(H){1|C<3>,1|N<3>,2|O<1>}	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2{1|H<1>,1|S<2>,3|C<3>}	128.7245	0.172	2	128.7216	0.305	5     129.0645       0.501      14      129.0645     0.501     14
818	818	969	3:4:3:	3:3:1:	3:3:1:1:	C[5,6]-3:S[6]-4:C[5]-3:	C[5,6]-3:C[5]-3:H-1:	C[5,6]-3:N[6]-3:O-1:O-1:	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H)	C[5](C[5,6]C[5,6]S[6])(C[5]S[5]H)(H)	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H){1|C<3>,1|C<4>,1|H<1>,1|O<1>}	C[5](C[5,6]C[5,6]S[6])(C[5]S[5]H)(H){1|C<3>,1|N<3>,2|O<1>}	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2{1|H<1>,1|S<2>,3|C<3>}	129.1424	0.390	8	129.2550	0.497	9     129.0645       0.501      14      129.0645     0.501     14
818	818	969	3:4:3:	3:3:1:	3:3:1:1:	C[5,6]-3:S[6]-4:C[5]-3:	C[5,6]-3:C[5]-3:H-1:	C[5,6]-3:N[6]-3:O-1:O-1:	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H)	C[5](C[5,6]C[5,6]S[6])(C[5]S[5]H)(H)	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H){1|C<3>,1|C<4>,1|H<1>,1|O<2>}	C[5](C[5,6]C[5,6]S[6])(C[5]S[5]H)(H){1|C<3>,1|N<3>,2|O<1>}	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2{1|H<1>,1|S<2>,3|C<3>}	130.1560	0.000	1	129.2550	0.497	9     129.0645       0.501      14      129.0645     0.501     14
818	818	969	3:4:3:	3:3:2:	3:3:1:1:	C[5,6]-3:S[6]-4:C[5]-3:	C[5,6]-3:C[6]-3:S[5]-2:	C[5,6]-3:N[6]-3:O-1:O-1:	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H)	C[5,6](C[5,6]C[5]S[6])(C[6]C[6]O)(S[5]C[5])	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H){1|C<3>,1|C<4>,1|H<1>,1|O<1>}	C[5,6](C[5,6]C[5]S[6])(C[6]C[6]O)(S[5]C[5]){1|C<3>,1|N<3>,2|H<1>,2|O<1>}	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2{1|H<1>,1|S<2>,3|C<3>}	116.6545	0.301	8	116.4659	0.395	14     116.4659       0.395      14      116.4659     0.395     14
818	818	969	3:4:3:	3:3:2:	3:3:1:1:	C[5,6]-3:S[6]-4:C[5]-3:	C[5,6]-3:C[6]-3:S[5]-2:	C[5,6]-3:N[6]-3:O-1:O-1:	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H)	C[5,6](C[5,6]C[5]S[6])(C[6]C[6]O)(S[5]C[5])	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H){1|C<3>,1|C<4>,1|H<1>,1|O<2>}	C[5,6](C[5,6]C[5]S[6])(C[6]C[6]O)(S[5]C[5]){1|C<3>,1|N<3>,2|H<1>,2|O<1>}	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2{1|H<1>,1|S<2>,3|C<3>}	116.2130	0.000	1	116.4659	0.395	14     116.4659       0.395      14      116.4659     0.395     14
