846	846	846	3:3:1:	3:2:1:	3:2:1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-2:O-1:	C[4]-3:C[4]-2:O-1:	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]O)(C[4]C[4])(O)	C[4](C[4]C[4]O)(C[4]C[4])(O)	C[4](C[4]C[4]O)2(O){}	C[4](C[4]C[4]O)(C[4]C[4])(O){1|O<1>}	C[4](C[4]C[4]O)(C[4]C[4])(O){1|O<1>}	90.0185	0.000	1	90.0185	0.000	1     90.0185       0.000      1      90.0185     0.000     1
846	846	846	3:3:1:	3:3:1:	3:3:1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-1:	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]N)(C[4]C[4]O)(O)	C[4](C[4]C[4]N)(C[4]C[4]O)(O)	C[4](C[4]C[4]O)2(O){1|N<2>}	C[4](C[4]C[4]N)(C[4]C[4]O)(O){1|O<1>}	C[4](C[4]C[4]N)(C[4]C[4]O)(O){1|O<1>}	88.8953	0.461	3	88.9549	0.620	5     89.7082       0.819      150      89.7149     0.829     154
846	846	846	3:3:1:	3:3:1:	3:3:1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-1:	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]N)(C[4]C[4]O)(O)	C[4](C[4]C[4]N)(C[4]C[4]O)(O)	C[4](C[4]C[4]O)2(O){1|N<3>}	C[4](C[4]C[4]N)(C[4]C[4]O)(O){1|O<1>}	C[4](C[4]C[4]N)(C[4]C[4]O)(O){1|O<1>}	89.0442	1.042	2	88.9549	0.620	5     89.7082       0.819      150      89.7149     0.829     154
846	846	846	3:3:1:	3:3:1:	3:3:1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-1:	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]N[6])(C[4]C[4]O)(O)	C[4](C[4]C[4]N[6])(C[4]C[4]O)(O)	C[4](C[4]C[4]O)2(O){1|N<3>}	C[4](C[4]C[4]N[6])(C[4]C[4]O)(O){1|O<1>,2|C<3>}	C[4](C[4]C[4]N[6])(C[4]C[4]O)(O){1|O<1>,2|C<3>}	88.1367	0.295	6	88.1367	0.295	6     89.7082       0.819      150      89.7149     0.829     154
846	846	846	3:3:1:	3:3:1:	3:3:1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-1:	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]O)2(O){1|O<1>}	C[4](C[4]C[4]O)2(O){1|O<1>}	C[4](C[4]C[4]O)2(O){1|O<1>}	89.9886	0.619	117	89.8308	0.726	137     89.7082       0.819      150      89.7149     0.829     154
846	846	846	3:3:1:	3:3:1:	3:3:1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-1:	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]O)2(O){1|O<2>}	C[4](C[4]C[4]O)2(O){1|O<1>}	C[4](C[4]C[4]O)2(O){1|O<1>}	88.9072	0.616	20	89.8308	0.726	137     89.7082       0.819      150      89.7149     0.829     154
846	846	846	3:3:1:	3:3:1:	3:3:1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-1:	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[6a]C[4])(C[4]C[4]O)(O)	C[4](C[4]C[6a]C[4])(C[4]C[4]O)(O)	C[4](C[4]C[4]O)2(O){1|C<3>}	C[4](C[4]C[6a]C[4])(C[4]C[4]O)(O){1|O<1>,2|C<3>}	C[4](C[4]C[6a]C[4])(C[4]C[4]O)(O){1|O<1>,2|C<3>}	87.9053	0.117	2	87.9053	0.117	2     89.7082       0.819      150      89.7149     0.829     154
846	846	846	3:3:1:	3:3:1:	3:3:1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:S-1:	C[4a](C[4a]C[4a]O)(C[4a]C[4a]S)(O)	C[4a](C[4a]C[4a]O)(C[4a]C[4a]S)(O)	C[4a](C[4a]C[4a]O)(C[4a]C[4a]S)(S)	C[4a](C[4a]C[4a]O)(C[4a]C[4a]S)(O){1|S<1>}	C[4a](C[4a]C[4a]O)(C[4a]C[4a]S)(O){1|S<1>}	C[4a](C[4a]C[4a]O)(C[4a]C[4a]S)(S){1|O<1>}	88.8971	0.653	2	88.8971	0.653	2     88.8971       0.653      2      89.7149     0.829     154
846	846	846	3:3:1:	3:3:1:	3:3:1:	C[4a]-3:C[4a]-3:S-1:	C[4a]-3:C[4a]-3:O-1:	C[4a]-3:C[4a]-3:S-1:	C[4a](C[4a]C[4a]O)(C[4a]C[4a]S)(S)	C[4a](C[4a]C[4a]O)(C[4a]C[4a]S)(O)	C[4a](C[4a]C[4a]O)(C[4a]C[4a]S)(S)	C[4a](C[4a]C[4a]O)(C[4a]C[4a]S)(S){1|O<1>}	C[4a](C[4a]C[4a]O)(C[4a]C[4a]S)(O){1|S<1>}	C[4a](C[4a]C[4a]O)(C[4a]C[4a]S)(S){1|O<1>}	91.0374	0.039	2	91.0374	0.039	2     91.0374       0.039      2      89.7149     0.829     154
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:N-2:	C[4]-3:C[4]-3:O-1:	C[4](C[4]C[4]N)(C[4]C[4]O)(O)	C[4](C[4]C[4]O)2(NC[6a])	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]N)(C[4]C[4]O)(O){1|O<1>}	C[4](C[4]C[4]O)2(NC[6a]){1|O<1>}	C[4](C[4]C[4]O)2(O){1|N<2>}	89.8248	0.292	6	89.8248	0.292	6     89.8248       0.292      6      88.7939     1.068     100
846	846	846	3:3:1:	3:3:2:	3:3:1:	C[4]-3:C[4]-3:O-1:	C[4]-3:C[4]-3:O-2:	C[4]-3:C[4]-3:O-1:	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]O)2(OH)	C[4](C[4]C[4]O)2(O)	C[4](C[4]C[4]O)2(O){1|O<1>}	C[4](C[4]C[4]O)2(OH){1|O<1>}	C[4](C[4]C[4]O)2(O){1|O<2>}	89.0806	0.778	36	89.0806	0.778	36     89.1239       0.781      40      88.7939     1.068     100
