362  362  939  5:SPD6_SP2_SPD6  C[5x3,6x5,20x6]  C[5x3,6x5,20x6]  Ge[5]  6:6:6:6:6:3:  6:6:6:6:6:3:  6:3:1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,6x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:Ge[5]-3:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,6x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5]-3:  C[5x3,6x5,20x6]-6:N[5]-3:Cl-1:  439_27_1  439_46_1  561_25_1  109.7040  0.000  1  109.7040  0.000  1  109.7040  0.000  1  109.7040  0.000  1  109.7040  0.000  1  109.7040  0.000  1  
362  362  941  0:SPD6_SP2_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  N  6:6:6:6:6:2:  6:6:6:6:6:1:  6:2:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:N-2:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:N-2:  434_128_1  434_142_1  599_5520_0  120.7913  0.573  4  120.7913  0.328  4  120.7913  0.328  4  120.7913  0.328  4  117.7353  12.382  9  117.7353  12.382  9  
362  362  941  0:SPD6_SP2_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  N  6:6:6:6:6:2:  6:6:6:6:6:1:  6:3:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:N-2:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:N-3:  434_268_1  434_270_1  599_5521_0  117.3275  0.156  2  117.3275  0.024  2  117.2853  0.018  3  117.2853  0.018  3  117.7353  12.382  9  117.7353  12.382  9  
362  362  941  0:SPD6_SP2_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  N  6:6:6:6:6:2:  6:6:6:6:6:1:  6:3:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:N-2:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:N-3:  434_293_1  434_294_1  599_5522_0  117.2010  0.000  1  117.2010  0.000  1  117.2853  0.018  3  117.2853  0.018  3  117.7353  12.382  9  117.7353  12.382  9  
362  362  941  0:SPD6_SP2_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  N  6:6:6:6:6:2:  6:6:6:6:6:3:  6:2:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:N-2:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:C[6a]-3:  C[5x3,5x5,20x6]-6:N-2:  434_216_1  434_141_1  599_5523_0  111.6080  0.000  1  111.6080  0.000  1  111.6080  0.000  1  111.6080  0.000  1  117.7353  12.382  9  117.7353  12.382  9  
362  362  941  0:SPD6_SP2_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  N  6:6:6:6:6:2:  6:6:6:6:6:4:  6:1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:N-2:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:Si-4:  C[5x3,5x5,20x6]-6:O-1:  434_252_1  434_143_1  599_5524_0  112.9890  0.000  1  112.9890  0.000  1  112.9890  0.000  1  112.9890  0.000  1  117.7353  12.382  9  117.7353  12.382  9  
362  362  945  0:SPD6_SP3_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  P  6:6:6:6:6:3:  6:6:6:6:6:1:  6:3:3:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:P-3:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:C[5]-3:N-3:  434_132_1  434_146_1  694_1116_0  121.8050  2.295  2  121.8050  5.268  2  121.8050  5.268  2  117.3833  61.288  3  119.9511  34.637  10  119.9511  34.637  10  
362  362  945  0:SPD6_SP3_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  P  6:6:6:6:6:3:  6:6:6:6:6:1:  6:3:3:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:P-3:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:C[6a]-3:C[6a]-3:  434_134_1  434_146_1  694_1120_0  108.5400  0.000  1  108.5400  0.000  1  108.5400  0.000  1  117.3833  61.288  3  119.9511  34.637  10  119.9511  34.637  10  
362  362  945  0:SPD6_SP3_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  P  6:6:6:6:6:3:  6:6:6:6:6:1:  6:4:1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:P-3:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:C[5]-4:Cl-1:  434_130_1  434_146_1  694_1117_0  113.5395  0.158  2  113.5395  0.025  2  113.5395  0.025  2  116.6293  28.654  3  119.9511  34.637  10  119.9511  34.637  10  
362  362  945  0:SPD6_SP3_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  P  6:6:6:6:6:3:  6:6:6:6:6:1:  6:4:1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:P-3:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:C[5]-4:H-1:  434_131_1  434_146_1  694_1118_0  122.8090  0.000  1  122.8090  0.000  1  122.8090  0.000  1  116.6293  28.654  3  119.9511  34.637  10  119.9511  34.637  10  
362  362  945  0:SPD6_SP3_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  P  6:6:6:6:6:3:  6:6:6:6:6:1:  6:4:2:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:P-3:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:C[5]-4:O-2:  434_133_1  434_146_1  694_1119_0  124.3683  0.554  4  124.3683  0.307  4  124.3683  0.307  4  124.3683  0.307  4  119.9511  34.637  10  119.9511  34.637  10  
