930	490	974	3:2:4:	3:3:1:1:	4:4:3:	N[6]-3:N-2:C-4:	C-3:C-3:H-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(NC[6a])(CCHH)	C(CN[6]N)(CN[6]O)(H)2	N[6](C[6]C[6]HH)2(CCN)	C(N[6]C[6]2)(NC[6a])(CCHH)	C(CN[6]N)(CN[6]O)(H)2	N[6](C[6]C[6]HH)2(CCN){1|O<2>,4|H<1>}	117.8440	0.000	1	117.8440	0.000	1     117.8440       0.000      1      117.8440     0.000     1
930	490	974	3:3:4:	3:1:1:1:	4:4:3:	N[6]-3:C-3:C-4:	C-3:H-1:H-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(CN[4]C)(CH3)	C(CN[6]C)(H)3	N[6](C[6]C[6]HH)2(CCC)	C(N[6]C[6]2)(CN[4]C)(CH3)	C(CN[6]C)(H)3	N[6](C[6]C[6]HH)2(CCC){1|O<2>,4|H<1>}	116.1190	0.000	1	116.1190	0.000	1     116.1190       0.000      1      116.1190     0.000     1
930	490	974	3:4:1:	3:1:1:1:	3:3:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:H-1:H-1:	C[6]-3:N[6]-3:C-3:	C(N[6]C[6]N[6])(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]O[6]O)(N[6]C[6]C)(CCO)	C(N[6]C[6]N[6])(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]O[6]O)(N[6]C[6]C)(CCO){1|C<3>,1|C<4>,1|H<1>}	112.7740	0.000	1	112.7740	0.000	1     112.7740       0.000      1      116.1127     2.935     3
930	490	974	3:4:1:	3:1:1:1:	3:3:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6,6a]-3:C[6,6a]-3:C-3:	C(N[6]C[6,6a]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])2(CCO)	C(N[6]C[6,6a]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])2(CCO){1|S<2>,2|H<1>,4|C<3>}	117.2790	0.000	1	117.7820	0.711	2     117.7820       0.711      2      116.1127     2.935     3
930	490	974	3:4:1:	3:1:1:1:	3:3:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6,6a]-3:C[6,6a]-3:C-3:	C(N[6]C[6,6a]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])2(CCO)	C(N[6]C[6,6a]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])2(CCO){1|S<4>,2|H<1>,4|C<3>}	118.2850	0.000	1	117.7820	0.711	2     117.7820       0.711      2      116.1127     2.935     3
930	490	974	3:4:1:	3:1:1:1:	3:4:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:Cl-1:H-1:	C[6,6a]-3:C[6]-4:C-3:	C(N[6]C[6,6a]C[6])(CCl2H)(O)	C(CN[6]O)(Cl)2(H)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(CCO)	C(N[6]C[6,6a]C[6])(CCl2H)(O)	C(CN[6]O)(Cl)2(H)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(CCO){1|O<2>,2|C<3>,3|H<1>}	116.0040	0.000	1	116.0040	0.000	1     116.0040       0.000      1      118.3170     1.085     14
930	490	974	3:4:1:	3:1:1:1:	3:4:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6,6]-3:C[6]-4:C-3:	C(N[6]C[6,6]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6]C[5,5,6,6]C[6])(C[6]C[6]HH)(CCO)	C(N[6]C[6,6]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6]C[5,5,6,6]C[6])(C[6]C[6]HH)(CCO){3|H<1>,4|C<4>}	118.8970	0.000	1	118.8970	0.000	1     118.2750       0.880      2      118.3170     1.085     14
930	490	974	3:4:1:	3:1:1:1:	3:4:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6,6]-3:C[6]-4:C-3:	C(N[6]C[6,6]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6]C[6,6]C[6])(C[6]C[6]HH)(CCO)	C(N[6]C[6,6]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6]C[6,6]C[6])(C[6]C[6]HH)(CCO){3|C<4>,4|H<1>}	117.6530	0.000	1	117.6530	0.000	1     118.2750       0.880      2      118.3170     1.085     14
930	490	974	3:4:1:	3:1:1:1:	3:4:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6,6a]-3:C[6,6]-4:C-3:	C(N[6]C[6,6a]C[6,6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])(C[6,6]C[6,6]C[6]H)(CCO)	C(N[6]C[6,6a]C[6,6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])(C[6,6]C[6,6]C[6]H)(CCO){1|C<4>,1|N<2>,1|O<1>,2|H<1>,2|N<3>,2|O<2>}	117.0990	0.243	2	117.0990	0.243	2     117.0990       0.243      2      118.3170     1.085     14
930	490	974	3:4:1:	3:1:1:1:	3:4:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6,6a]-3:C[6]-4:C-3:	C(N[6]C[6,6a]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[4,6]HH)(CCO)	C(N[6]C[6,6a]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[4,6]HH)(CCO){1|C<4>,1|N<3>,2|C<3>,2|H<1>}	118.5400	0.000	1	118.9284	0.623	5     118.8540       0.665      9      118.3170     1.085     14
930	490	974	3:4:1:	3:1:1:1:	3:4:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6,6a]-3:C[6]-4:C-3:	C(N[6]C[6,6a]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[4,6]HH)(CCO)	C(N[6]C[6,6a]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[4,6]HH)(CCO){1|C<4>,2|H<1>,3|C<3>}	119.0255	0.674	4	118.9284	0.623	5     118.8540       0.665      9      118.3170     1.085     14
930	490	974	3:4:1:	3:1:1:1:	3:4:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6,6a]-3:C[6]-4:C-3:	C(N[6]C[6,6a]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[5,6]C[6a]H)(CCO)	C(N[6]C[6,6a]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[5,6]C[6a]H)(CCO){2|C<4>,2|H<1>,4|C<3>}	117.6530	0.000	1	117.6530	0.000	1     118.8540       0.665      9      118.3170     1.085     14
930	490	974	3:4:1:	3:1:1:1:	3:4:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6,6a]-3:C[6]-4:C-3:	C(N[6]C[6,6a]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6,6a]C[5]H)(CCO)	C(N[6]C[6,6a]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6,6a]C[5]H)(CCO){1|O<2>,2|H<1>,5|C<3>}	118.8500	0.000	1	118.8500	0.000	1     118.8540       0.665      9      118.3170     1.085     14
930	490	974	3:4:1:	3:1:1:1:	3:4:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6,6a]-3:C[6]-4:C-3:	C(N[6]C[6,6a]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6a]C[6]H)(CCO)	C(N[6]C[6,6a]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6a]C[6]H)(CCO){1|C<4>,2|H<1>,5|C<3>}	118.9760	0.000	1	119.2705	0.416	2     118.8540       0.665      9      118.3170     1.085     14
930	490	974	3:4:1:	3:1:1:1:	3:4:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6,6a]-3:C[6]-4:C-3:	C(N[6]C[6,6a]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6a]C[6]H)(CCO)	C(N[6]C[6,6a]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6a]C[6]H)(CCO){3|H<1>,5|C<3>}	119.5650	0.000	1	119.2705	0.416	2     118.8540       0.665      9      118.3170     1.085     14
930	490	974	3:4:1:	3:1:1:1:	4:2:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6]-4:N[6]-2:C-3:	C(N[6]C[6]N[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[5,6]HO)(N[6]C[5,6])(CCO)	C(N[6]C[6]N[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[5,6]HO)(N[6]C[5,6])(CCO){1|C<3>,1|C<4>,1|H<1>,1|N<3>}	116.8940	0.000	1	116.8940	0.000	1     117.1930       0.834      3      117.1930     0.834     3
930	490	974	3:4:1:	3:1:1:1:	4:2:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6]-4:N[6]-2:C-3:	C(N[6]C[6]N[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]C[5]H)(N[6]C[6])(CCO)	C(N[6]C[6]N[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]C[5]H)(N[6]C[6])(CCO){1|O<2>,2|H<1>,3|C<3>}	118.1350	0.000	1	118.1350	0.000	1     117.1930       0.834      3      117.1930     0.834     3
930	490	974	3:4:1:	3:1:1:1:	4:2:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6]-4:N[6]-2:C-3:	C(N[6]C[6]N[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]N[6]CH)(N[6]C[6])(CCO)	C(N[6]C[6]N[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]N[6]CH)(N[6]C[6])(CCO){1|C<3>,1|N<2>}	116.5500	0.000	1	116.5500	0.000	1     117.1930       0.834      3      117.1930     0.834     3
930	490	974	3:4:1:	3:1:1:1:	4:3:3:	N[6,6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[4,6,6]-4:C[6,6,6a]-3:C-3:	C(N[6,6]C[6,6,6a]C[4,6,6])(CH3)(O)	C(CN[6,6]O)(H)3	N[6,6](C[4,6,6]C[4,6,6]C[4,6]H)(C[6,6,6a]C[6,6,6a]C[6a])(CCO)	C(N[6,6]C[6,6,6a]C[4,6,6])(CH3)(O)	C(CN[6,6]O)(H)3	N[6,6](C[4,6,6]C[4,6,6]C[4,6]H)(C[6,6,6a]C[6,6,6a]C[6a])(CCO){1|C<4>,3|C<3>,4|H<1>}	117.3150	0.000	1	117.3150	0.000	1     117.3150       0.000      1      118.6804     1.609     14
930	490	974	3:4:1:	3:1:1:1:	4:3:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6,6]-4:C[6]-3:C-3:	C(N[6]C[6,6]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6]C[6,6a]C[6,6]H)(C[6]N[6]S)(CCO)	C(N[6]C[6,6]C[6])(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6,6]C[6,6a]C[6,6]H)(C[6]N[6]S)(CCO){1|C<4>,2|H<1>,3|C<3>}	120.7390	0.000	1	120.7390	0.000	1     120.7390       0.000      1      118.6804     1.609     14
930	490	974	3:4:1:	3:1:1:1:	4:3:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6]-4:C[6]-3:C-3:	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6]HH)(C[6]C[6]O)(CCO)	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6]HH)(C[6]C[6]O)(CCO){1|C<3>,2|H<1>,2|O<2>}	119.0145	0.764	2	119.0145	0.764	2     118.8905       1.602      10      118.6804     1.609     14
930	490	974	3:4:1:	3:1:1:1:	4:3:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6]-4:C[6]-3:C-3:	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]CH)(C[6]C[6]H)(CCO)	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]CH)(C[6]C[6]H)(CCO){3|C<3>}	116.9575	0.457	2	116.9575	0.457	2     118.8905       1.602      10      118.6804     1.609     14
930	490	974	3:4:1:	3:1:1:1:	4:3:3:	N[6]-3:C-4:O-1:	C-3:H-1:H-1:H-1:	C[6]-4:C[6]-3:C-3:	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]C[5]H)(C[6]C[6]H)(CCO)	C(N[6]C[6]2)(CH3)(O)	C(CN[6]O)(H)3	N[6](C[6]C[6,6a]C[5]H)(C[6]C[6]H)(CCO){1|N<3>,2|H<1>,3|C<3>}	118.2970	0.000	1	118.8385	0.766	2     118.8905       1.602      10      118.6804     1.609     14
