930	670	730	3:3:2:	3:3:1:	3:3:	C[6a]-3:N-3:P-2:	C[6a]-3:C-3:H-1:	C[6a]-3:C-3:	C(C[6a]C[6a]2)(NC[6a]H)(PC[6a])	N(C[6a]C[6a]2)(CC[6a]P)(H)	P(C[6a]C[6a]2)(CC[6a]N)	C(C[6a]C[6a]2)(NC[6a]H)(PC[6a])	N(C[6a]C[6a]2)(CC[6a]P)(H)	P(C[6a]C[6a]2)(CC[6a]N)	123.3880	0.000	1	123.3880	0.000	1     123.3880       0.000      1      123.3880     0.000     1
930	670	762	3:2:3:	3:1:1:	3:3:3:	C[6a]-3:N-2:N-3:	C-3:H-1:H-1:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]2)(NC[6a])(NHH)	N(CC[6a]N)(H)2	C[6a](C[6a]C[6a]H)2(CNN)	C(C[6a]C[6a]2)(NC[6a])(NHH)	N(CC[6a]N)(H)2	C[6a](C[6a]C[6a]H)2(CNN){1|C<3>,2|H<1>}	116.9548	0.736	15	116.9548	0.736	15     116.9548       0.736      15      116.9548     0.736     15
930	670	762	3:2:3:	3:3:1:	3:3:3:	C[6a]-3:N-2:N-3:	C-3:C-3:H-1:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]2)(NC[6a])(NCH)	N(CC[6a]N)(CNS)(H)	C[6a](C[6a]C[6a]H)2(CNN)	C(C[6a]C[6a]2)(NC[6a])(NCH)	N(CC[6a]N)(CNS)(H)	C[6a](C[6a]C[6a]H)2(CNN){1|C<3>,2|H<1>}	112.3725	0.530	2	112.3725	0.530	2     112.3725       0.530      2      115.2155     3.297     4
930	670	762	3:2:3:	3:3:1:	3:3:3:	C[6a]-3:N-2:N-3:	C-3:P-3:H-1:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]2)(NC[6a])(NHP)	N(CC[6a]N)(PCC)(H)	C[6a](C[6a]C[6a]H)2(CNN)	C(C[6a]C[6a]2)(NC[6a])(NHP)	N(CC[6a]N)(PCC)(H)	C[6a](C[6a]C[6a]H)2(CNN){1|C<3>,2|H<1>}	118.0585	0.016	2	118.0585	0.016	2     118.0585       0.016      2      115.2155     3.297     4
930	670	762	3:2:3:	3:4:1:	3:3:3:	C[6a]-3:N-2:N-3:	C-3:C-4:H-1:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]2)(NC[6a])(NCH)	N(CC[6a]N)(CCHH)(H)	C[6a](C[6a]C[6a]H)(C[6a]C[6a]N)(CNN)	C(C[6a]C[6a]2)(NC[6a])(NCH)	N(CC[6a]N)(CCHH)(H)	C[6a](C[6a]C[6a]H)(C[6a]C[6a]N)(CNN){1|Cl<1>,1|C<3>,1|H<1>}	113.1030	0.000	1	113.1030	0.000	1     113.6070       0.713      2      113.6070     0.713     2
930	670	762	3:2:3:	3:4:1:	3:3:3:	C[6a]-3:N-2:N-3:	C-3:C-4:H-1:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]2)(NC[6a])(NCH)	N(CC[6a]N)(CCHH)(H)	C[6a](C[6a]C[6a]H)2(CNN)	C(C[6a]C[6a]2)(NC[6a])(NCH)	N(CC[6a]N)(CCHH)(H)	C[6a](C[6a]C[6a]H)2(CNN){1|C<3>,2|H<1>}	114.1110	0.000	1	114.1110	0.000	1     113.6070       0.713      2      113.6070     0.713     2
930	670	762	3:2:3:	3:4:4:	3:3:3:	C[6a]-3:N-2:N-3:	C-3:C-4:C-4:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]2)(NC[6a])(NCC)	N(CC[6a]N)(CCHH)2	C[6a](C[6a]C[6a]H)(C[6a]C[6a]S)(CNN)	C(C[6a]C[6a]2)(NC[6a])(NCC)	N(CC[6a]N)(CCHH)2	C[6a](C[6a]C[6a]H)(C[6a]C[6a]S)(CNN){1|C<3>,2|H<1>}	116.7680	0.000	1	116.7680	0.000	1     116.2857       0.944      3      116.2857     0.944     3
930	670	762	3:2:3:	3:4:4:	3:3:3:	C[6a]-3:N-2:N-3:	C-3:C-4:C-4:	C[6a]-3:C[6a]-3:C-3:	C(C[6a]C[6a]2)(NC[6a])(NCC)	N(CC[6a]N)(CH3)2	C[6a](C[6a]C[6a]H)(C[6a]C[6a]S)(CNN)	C(C[6a]C[6a]2)(NC[6a])(NCC)	N(CC[6a]N)(CH3)2	C[6a](C[6a]C[6a]H)(C[6a]C[6a]S)(CNN){1|C<3>,2|H<1>}	116.0445	1.197	2	116.0445	1.197	2     116.2857       0.944      3      116.2857     0.944     3
930	670	762	3:3:1:	3:1:1:	2:2:3:	C[6a]-3:N-3:O-1:	C-3:H-1:H-1:	N[6a]-2:N[6a]-2:C-3:	C(C[6a]N[6a]2)(NHH)(O)	N(CC[6a]O)(H)2	C[6a](N[6a]C[6a])2(CNO)	C(C[6a]N[6a]2)(NHH)(O)	N(CC[6a]O)(H)2	C[6a](N[6a]C[6a])2(CNO){1|C<3>,2|H<1>}	115.7140	0.000	1	115.7140	0.000	1     115.7140       0.000      1      115.7140     0.000     1
930	670	762	3:3:1:	3:1:1:	2:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	N[6]-2:C[6]-3:C-3:	C(C[6]C[6]N[6])(NHH)(O)	N(CC[6]O)(H)2	C[6](N[6]C[6,6a])(C[6]N[6]H)(CNO)	C(C[6]C[6]N[6])(NHH)(O)	N(CC[6]O)(H)2	C[6](N[6]C[6,6a])(C[6]N[6]H)(CNO){1|H<1>,2|C<3>}	115.8540	0.000	1	115.8540	0.000	1     115.8540       0.000      1      116.2060     0.498     2
930	670	762	3:3:1:	3:1:1:	2:3:3:	C[6a]-3:N-3:O-1:	C-3:H-1:H-1:	N[6a]-2:C[6a]-3:C-3:	C(C[6a]C[6a]N[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(CNO)	C(C[6a]C[6a]N[6a])(NHH)(O)	N(CC[6a]O)(H)2	C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(CNO){3|C<3>}	116.5580	0.000	1	116.5580	0.000	1     116.5580       0.000      1      116.2060     0.498     2
