930	670	973	2:2:3:	4:3:1:	3:3:	N-2:O-2:N-3:	C-4:C-3:H-1:	C[6a]-3:C-3:	C(NC[5a])(OC[6a])(NCH)	N(CCCH)(CNO)(H)	O(C[6a]C[6a]2)(CNN)	C(NC[5a])(OC[6a])(NCH)	N(CCCH)(CNO)(H)	O(C[6a]C[6a]2)(CNN)	111.5530	0.337	2	111.5530	0.337	2     111.5530       0.337      2      111.5530     0.337     2
930	670	973	2:3:1:	2:3:1:	3:3:	O-2:N-3:O-1:	N-2:C-3:H-1:	C[6a]-3:C-3:	C(OC[6a])(NHN)(O)	N(NC[5])(COO)(H)	O(C[6a]C[6a]2)(CNO)	C(OC[6a])(NHN)(O)	N(NC[5])(COO)(H)	O(C[6a]C[6a]2)(CNO)	113.1730	0.000	1	113.1730	0.000	1     113.1730       0.000      1      113.1730     0.000     1
930	670	973	2:3:1:	2:3:1:	4:3:	O-2:N-3:O-1:	N-2:C-3:H-1:	C[6]-4:C-3:	C(OC[6])(NHN)(O)	N(NC[6])(COO)(H)	O(C[6]C[6]2H)(CNO)	C(OC[6])(NHN)(O)	N(NC[6])(COO)(H)	O(C[6]C[6]2H)(CNO)	110.7780	3.833	2	110.7780	3.833	2     110.7780       3.833      2      110.7780     3.833     2
930	670	973	2:3:1:	3:3:1:	4:3:	O-2:N-3:O-1:	C-3:C-3:H-1:	C[6]-4:C-3:	C(OC[6])(NCH)(O)	N(CCO)(COO)(H)	O(C[6]C[5,6,6]C[6]H)(CNO)	C(OC[6])(NCH)(O)	N(CCO)(COO)(H)	O(C[6]C[5,6,6]C[6]H)(CNO)	109.2140	0.000	1	109.2140	0.000	1     107.4888       1.224      5      107.4888     1.224     5
930	670	973	2:3:1:	3:3:1:	4:3:	O-2:N-3:O-1:	C-3:C-3:H-1:	C[6]-4:C-3:	C(OC[6])(NCH)(O)	N(CNS)(COO)(H)	O(C[6]C[6]2H)(CNO)	C(OC[6])(NCH)(O)	N(CNS)(COO)(H)	O(C[6]C[6]2H)(CNO)	107.6760	0.000	1	107.6760	0.000	1     107.4888       1.224      5      107.4888     1.224     5
930	670	973	2:3:1:	3:3:1:	4:3:	O-2:N-3:O-1:	C-3:C-3:H-1:	C[6]-4:C-3:	C(OC[6])(NCH)(O)	N(COO)2(H)	O(C[6]C[6]2H)(CNO)	C(OC[6])(NCH)(O)	N(COO)2(H)	O(C[6]C[6]2H)(CNO)	106.8513	0.939	3	106.8513	0.939	3     107.4888       1.224      5      107.4888     1.224     5
930	670	973	2:3:1:	4:3:1:	3:3:	O-2:N-3:O-1:	C-4:C-3:H-1:	C[6a]-3:C-3:	C(OC[6a])(NCH)(O)	N(CCCH)(COO)(H)	O(C[6a]C[6a]2)(CNO)	C(OC[6a])(NCH)(O)	N(CCCH)(COO)(H)	O(C[6a]C[6a]2)(CNO)	108.9050	0.000	1	108.9050	0.000	1     110.1304       0.710      18      110.0333     0.810     19
930	670	973	2:3:1:	4:3:1:	3:3:	O-2:N-3:O-1:	C-4:C-3:H-1:	C[6a]-3:C-3:	C(OC[6a])(NCH)(O)	N(CCHH)(COO)(H)	O(C[6a]C[5,6a]C[6a])(CNO)	C(OC[6a])(NCH)(O)	N(CCHH)(COO)(H)	O(C[6a]C[5,6a]C[6a])(CNO)	109.7155	0.168	2	109.7155	0.168	2     110.1304       0.710      18      110.0333     0.810     19
930	670	973	2:3:1:	4:3:1:	3:3:	O-2:N-3:O-1:	C-4:C-3:H-1:	C[6a]-3:C-3:	C(OC[6a])(NCH)(O)	N(CCHH)(COO)(H)	O(C[6a]C[6a]2)(CNO)	C(OC[6a])(NCH)(O)	N(CCHH)(COO)(H)	O(C[6a]C[6a]2)(CNO)	110.1043	0.670	9	110.1043	0.670	9     110.1304       0.710      18      110.0333     0.810     19
930	670	973	2:3:1:	4:3:1:	3:3:	O-2:N-3:O-1:	C-4:C-3:H-1:	C[6a]-3:C-3:	C(OC[6a])(NCH)(O)	N(CH3)(COO)(H)	O(C[6a]C[5,6a]C[6a])(CNO)	C(OC[6a])(NCH)(O)	N(CH3)(COO)(H)	O(C[6a]C[5,6a]C[6a])(CNO)	110.1995	1.023	2	110.1995	1.023	2     110.1304       0.710      18      110.0333     0.810     19
930	670	973	2:3:1:	4:3:1:	3:3:	O-2:N-3:O-1:	C-4:C-3:H-1:	C[6a]-3:C-3:	C(OC[6a])(NCH)(O)	N(CH3)(COO)(H)	O(C[6a]C[6a]2)(CNO)	C(OC[6a])(NCH)(O)	N(CH3)(COO)(H)	O(C[6a]C[6a]2)(CNO)	110.6683	0.544	4	110.6683	0.544	4     110.1304       0.710      18      110.0333     0.810     19
930	670	973	2:3:1:	4:3:1:	3:3:	O-2:N-3:O-1:	C-4:C-3:H-1:	N[5]-3:C-3:	C(ON[5])(NCH)(O)	N(CCHH)(COO)(H)	O(N[5]C[5]2)(CNO)	C(ON[5])(NCH)(O)	N(CCHH)(COO)(H)	O(N[5]C[5]2)(CNO)	108.2850	0.000	1	108.2850	0.000	1     108.2850       0.000      1      110.0333     0.810     19
930	670	973	2:3:1:	4:3:1:	4:3:	O-2:N-3:O-1:	C-4:C-3:H-1:	C[5]-4:C-3:	C(OC[5])(NCH)(O)	N(CCHH)(COO)(H)	O(C[5]C[5]2H)(CNO)	C(OC[5])(NCH)(O)	N(CCHH)(COO)(H)	O(C[5]C[5]2H)(CNO)	110.5055	0.746	2	110.5055	0.746	2     110.3067       0.630      3      109.7985     0.738     6
930	670	973	2:3:1:	4:3:1:	4:3:	O-2:N-3:O-1:	C-4:C-3:H-1:	C[5]-4:C-3:	C(OC[5])(NCH)(O)	N(CC[6a]CH)(COO)(H)	O(C[5]C[5]2H)(CNO)	C(OC[5])(NCH)(O)	N(CC[6a]CH)(COO)(H)	O(C[5]C[5]2H)(CNO)	109.9090	0.000	1	109.9090	0.000	1     110.3067       0.630      3      109.7985     0.738     6
930	670	973	2:3:1:	4:3:1:	4:3:	O-2:N-3:O-1:	C-4:C-3:H-1:	C[6]-4:C-3:	C(OC[6])(NCH)(O)	N(CC[5]HH)(COO)(H)	O(C[6]C[6]2H)(CNO)	C(OC[6])(NCH)(O)	N(CC[5]HH)(COO)(H)	O(C[6]C[6]2H)(CNO)	109.4240	0.000	1	109.4240	0.000	1     109.2903       0.436      3      109.7985     0.738     6
930	670	973	2:3:1:	4:3:1:	4:3:	O-2:N-3:O-1:	C-4:C-3:H-1:	C[6]-4:C-3:	C(OC[6])(NCH)(O)	N(CC[6a]CH)(COO)(H)	O(C[6]C[5a,6]C[6]H)(CNO)	C(OC[6])(NCH)(O)	N(CC[6a]CH)(COO)(H)	O(C[6]C[5a,6]C[6]H)(CNO)	108.8030	0.000	1	108.8030	0.000	1     109.2903       0.436      3      109.7985     0.738     6
930	670	973	2:3:1:	4:3:1:	4:3:	O-2:N-3:O-1:	C-4:C-3:H-1:	C[6]-4:C-3:	C(OC[6])(NCH)(O)	N(CC[6a]CH)(COO)(H)	O(C[6]C[6,6a]C[6]C)(CNO)	C(OC[6])(NCH)(O)	N(CC[6a]CH)(COO)(H)	O(C[6]C[6,6a]C[6]C)(CNO)	109.6440	0.000	1	109.6440	0.000	1     109.2903       0.436      3      109.7985     0.738     6
930	670	973	2:3:1:	4:4:3:	3:3:	O-2:N-3:O-1:	C-4:C-4:C-3:	C[6a]-3:C-3:	C(OC[6a])(NCC)(O)	N(CCHH)2(COO)	O(C[6a]C[6a]2)(CNO)	C(OC[6a])(NCC)(O)	N(CCHH)2(COO)	O(C[6a]C[6a]2)(CNO)	110.2805	0.718	2	110.2805	0.718	2     110.9414       1.027      9      110.6320     1.076     12
930	670	973	2:3:1:	4:4:3:	3:3:	O-2:N-3:O-1:	C-4:C-4:C-3:	C[6a]-3:C-3:	C(OC[6a])(NCC)(O)	N(CH3)2(COO)	O(C[6a]C[6a]2)(CNO)	C(OC[6a])(NCC)(O)	N(CH3)2(COO)	O(C[6a]C[6a]2)(CNO)	111.0665	1.151	6	111.0665	1.151	6     110.9414       1.027      9      110.6320     1.076     12
930	670	973	2:3:1:	4:4:3:	3:3:	O-2:N-3:O-1:	C-4:C-4:C-3:	C[6a]-3:C-3:	C(OC[6a])(NCC)(O)	N(CH3)2(COO)	O(C[6a]C[6a]N[6a])(CNO)	C(OC[6a])(NCC)(O)	N(CH3)2(COO)	O(C[6a]C[6a]N[6a])(CNO)	111.5130	0.000	1	111.5130	0.000	1     110.9414       1.027      9      110.6320     1.076     12
930	670	973	2:3:1:	4:4:3:	3:3:	O-2:N-3:S-1:	C-4:C-4:C-3:	C[6a]-3:C-3:	C(OC[6a])(NCC)(S)	N(CH3)2(COS)	O(C[6a]C[6a]2)(CNS)	C(OC[6a])(NCC)(S)	N(CH3)2(COS)	O(C[6a]C[6a]2)(CNS)	109.7037	0.652	3	109.7037	0.652	3     109.7037       0.652      3      110.6320     1.076     12
930	670	973	2:3:1:	4:4:3:	4:3:	O-2:N-3:O-1:	C-4:C-4:C-3:	C[5,5,6]-4:C-3:	C(OC[5,5,6])(NCC)(O)	N(CCHH)2(COO)	O(C[5,5,6]C[3x5,6]C[5,6]C[5])(CNO)	C(OC[5,5,6])(NCC)(O)	N(CCHH)2(COO)	O(C[5,5,6]C[3x5,6]C[5,6]C[5])(CNO)	110.7820	0.000	1	110.7820	0.000	1     110.7820       0.000      1      111.5488     0.909     10
930	670	973	2:3:1:	4:4:3:	4:3:	O-2:N-3:O-1:	C-4:C-4:C-3:	C[5,6]-4:C-3:	C(OC[5,6])(NCC)(O)	N(CCHH)2(COO)	O(C[5,6]C[5,5,6]C[5,6]C)(CNO)	C(OC[5,6])(NCC)(O)	N(CCHH)2(COO)	O(C[5,6]C[5,5,6]C[5,6]C)(CNO)	111.1515	0.612	4	111.1515	0.612	4     111.1515       0.612      4      111.5488     0.909     10
930	670	973	2:3:1:	4:4:3:	4:3:	O-2:N-3:O-1:	C-4:C-4:C-3:	C[5]-4:C-3:	C(OC[5])(NCC)(O)	N(CH3)2(COO)	O(C[5]C[5,6]C[3]C[5])(CNO)	C(OC[5])(NCC)(O)	N(CH3)2(COO)	O(C[5]C[5,6]C[3]C[5])(CNO)	110.9900	0.000	1	110.9900	0.000	1     110.9900       0.000      1      111.5488     0.909     10
930	670	973	2:3:1:	4:4:3:	4:3:	O-2:N-3:O-1:	C-4:C-4:C-3:	C[6]-4:C-3:	C(OC[6])(NCC)(O)	N(CCHH)2(COO)	O(C[6]C[6,6]C[6]H)(CNO)	C(OC[6])(NCC)(O)	N(CCHH)2(COO)	O(C[6]C[6,6]C[6]H)(CNO)	111.5745	0.810	2	111.5745	0.810	2     112.2775       0.941      4      111.5488     0.909     10
930	670	973	2:3:1:	4:4:3:	4:3:	O-2:N-3:O-1:	C-4:C-4:C-3:	C[6]-4:C-3:	C(OC[6])(NCC)(O)	N(CH3)2(COO)	O(C[6]C[6]2H)(CNO)	C(OC[6])(NCC)(O)	N(CH3)2(COO)	O(C[6]C[6]2H)(CNO)	112.9805	0.162	2	112.9805	0.162	2     112.2775       0.941      4      111.5488     0.909     10
930	670	973	3:2:1:	2:3:1:	4:3:	N-3:O-2:O-1:	N-2:C-3:H-1:	C-4:C-3:	C(NHN)(OC)(O)	N(NC[6,6])(COO)(H)	O(CH3)(CNO)	C(NHN)(OC)(O)	N(NC[6,6])(COO)(H)	O(CH3)(CNO)	112.6860	0.000	1	112.6860	0.000	1     112.6860       0.000      1      112.6860     0.000     1
930	670	973	3:2:1:	3:1:1:	4:3:	N-3:O-2:O-1:	C-3:H-1:H-1:	C-4:C-3:	C(NHH)(OC)(O)	N(COO)(H)2	O(CC3)(CNO)	C(NHH)(OC)(O)	N(COO)(H)2	O(CC3)(CNO)	111.1560	0.000	1	111.1560	0.000	1     111.3461       0.884      12      111.3461     0.884     12
930	670	973	3:2:1:	3:1:1:	4:3:	N-3:O-2:O-1:	C-3:H-1:H-1:	C-4:C-3:	C(NHH)(OC)(O)	N(COO)(H)2	O(CCCH)(CNO)	C(NHH)(OC)(O)	N(COO)(H)2	O(CCCH)(CNO)	111.1490	0.000	1	111.1490	0.000	1     111.3461       0.884      12      111.3461     0.884     12
930	670	973	3:2:1:	3:1:1:	4:3:	N-3:O-2:O-1:	C-3:H-1:H-1:	C-4:C-3:	C(NHH)(OC)(O)	N(COO)(H)2	O(CCHH)(CNO)	C(NHH)(OC)(O)	N(COO)(H)2	O(CCHH)(CNO)	111.7311	0.817	7	111.7311	0.817	7     111.3461       0.884      12      111.3461     0.884     12
930	670	973	3:2:1:	3:1:1:	4:3:	N-3:O-2:O-1:	C-3:H-1:H-1:	C-4:C-3:	C(NHH)(OC)(O)	N(COO)(H)2	O(CC[5]HH)(CNO)	C(NHH)(OC)(O)	N(COO)(H)2	O(CC[5]HH)(CNO)	110.0805	0.465	2	110.0805	0.465	2     111.3461       0.884      12      111.3461     0.884     12
930	670	973	3:2:1:	3:1:1:	4:3:	N-3:O-2:O-1:	C-3:H-1:H-1:	C-4:C-3:	C(NHH)(OC)(O)	N(COO)(H)2	O(CC[6a]HH)(CNO)	C(NHH)(OC)(O)	N(COO)(H)2	O(CC[6a]HH)(CNO)	111.5690	0.000	1	111.5690	0.000	1     111.3461       0.884      12      111.3461     0.884     12
930	670	973	3:2:1:	3:2:1:	4:3:	N-3:O-2:O-1:	C-3:N-2:H-1:	C-4:C-3:	C(NHN)(OC)(O)	N(COO)(NC)(H)	O(CC3)(CNO)	C(NHN)(OC)(O)	N(COO)(NC)(H)	O(CC3)(CNO)	109.2180	0.000	1	109.2180	0.000	1     109.6600       1.282      61      109.4658     1.567     68
930	670	973	3:2:1:	3:2:1:	4:3:	N-3:O-2:O-1:	C-3:N-2:H-1:	C-4:C-3:	C(NHN)(OC)(O)	N(COO)(NC)(H)	O(CCHH)(CNO)	C(NHN)(OC)(O)	N(COO)(NC)(H)	O(CCHH)(CNO)	109.9295	1.900	22	109.9295	1.900	22     109.6600       1.282      61      109.4658     1.567     68
