74	478	963	4:3:1:	3:3:3:1:	3:	C[4]-4:C[4]-3:O-1:	C[6a]-3:C[4]-3:N[4]-3:H-1:	N[4]-3:	N[4](C[4]C[6a]C[4]H)(C[4]C[6a]C[4])(O)	C[4](C[6a]C[6a]2)(C[4]C[4]C)(N[4]C[4]O)(H)	O(N[4]C[4]2)	N[4](C[4]C[6a]C[4]H)(C[4]C[6a]C[4])(O){5|C<3>}	C[4](C[6a]C[6a]2)(C[4]C[4]C)(N[4]C[4]O)(H){2|H<1>,3|C<3>}	O(N[4]C[4]2)	130.4996	0.381	5	130.4996	0.381	5     130.4996       0.381      5      130.4996     0.381     5
74	478	974	4:3:3:	4:3:3:1:	4:4:3:	C[4]-4:C[4]-3:N[6]-3:	C[4,6]-4:N[4]-3:C[6a]-3:H-1:	C[6]-4:C[6]-4:N[4]-3:	N[4](C[4]C[4,6]C[6a]H)(C[4]C[4,6]O)(N[6]C[6]2)	C[4](C[4,6]C[6,6a]2C[4])(N[4]C[4]N[6])(C[6a]C[6a]2)(H)	N[6](C[6]C[6]HH)2(N[4]C[4]2)	N[4](C[4]C[4,6]C[6a]H)(C[4]C[4,6]O)(N[6]C[6]2){2|C<4>,4|C<3>,4|H<1>}	C[4](C[4,6]C[6,6a]2C[4])(N[4]C[4]N[6])(C[6a]C[6a]2)(H){1|H<1>,1|N<3>,1|O<1>,2|C<4>,6|C<3>}	N[6](C[6]C[6]HH)2(N[4]C[4]2){1|C<3>,1|C<4>,1|O<1>,1|O<2>,5|H<1>}	128.2480	0.000	1	128.2480	0.000	1     128.2480       0.000      1      128.2480     0.000     1
74	478	991	4:3:4:	3:4:3:1:	3:1:1:1:	C[4]-4:C[4]-3:S-4:	C[6a]-3:C[4]-4:N[4]-3:F-1:	N[4]-3:Cl-1:O-1:O-1:	N[4](C[4]C[6a]C[4]F)(C[4]C[4]O)(SClOO)	C[4](C[6a]C[6a]2)(C[4]C[4]HH)(N[4]C[4]S)(F)	S(N[4]C[4]2)(Cl)(O)2	N[4](C[4]C[6a]C[4]F)(C[4]C[4]O)(SClOO){2|C<3>,2|H<1>}	C[4](C[6a]C[6a]2)(C[4]C[4]HH)(N[4]C[4]S)(F){1|O<1>,2|C<3>,2|H<1>}	S(N[4]C[4]2)(Cl)(O)2	131.3590	0.000	1	131.3590	0.000	1     131.3590       0.000      1      131.3590     0.000     1
74	478	991	4:3:4:	3:4:3:1:	3:3:1:1:	C[4]-4:C[4]-3:S-4:	C[6a]-3:C[4]-4:N[4]-3:H-1:	C[6a]-3:N[4]-3:O-1:O-1:	N[4](C[4]C[6a]C[4]H)(C[4]C[4]C)(SC[6a]OO)	C[4](C[6a]C[6a]2)(C[4]C[4]CH)(N[4]C[4]S)(H)	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	N[4](C[4]C[6a]C[4]H)(C[4]C[4]C)(SC[6a]OO){1|C<4>,1|H<1>,2|C<3>}	C[4](C[6a]C[6a]2)(C[4]C[4]CH)(N[4]C[4]S)(H){2|H<1>,3|C<3>}	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	126.1640	0.000	1	126.1640	0.000	1     129.6247       2.426      4      129.6247     2.426     4
74	478	991	4:3:4:	3:4:3:1:	3:3:1:1:	C[4]-4:C[4]-3:S-4:	C[6a]-3:C[4]-4:N[4]-3:H-1:	C[6a]-3:N[4]-3:O-1:O-1:	N[4](C[4]C[6a]C[4]H)(C[4]C[4]O)(SC[6a]OO)	C[4](C[6a]C[6a]2)(C[4]C[4]CH)(N[4]C[4]S)(H)	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	N[4](C[4]C[6a]C[4]H)(C[4]C[4]O)(SC[6a]OO){1|H<1>,3|C<3>}	C[4](C[6a]C[6a]2)(C[4]C[4]CH)(N[4]C[4]S)(H){1|O<1>,2|C<3>,2|H<1>}	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	130.7783	0.920	3	130.7783	0.920	3     129.6247       2.426      4      129.6247     2.426     4
74	478	991	4:3:4:	4:3:3:1:	3:3:1:1:	C[4]-4:C[4]-3:S-4:	C[4,5]-4:C[6a]-3:N[4]-3:H-1:	C[6a]-3:N[4]-3:O-1:O-1:	N[4](C[4]C[4,5]C[6a]H)(C[4]C[4,5]O)(SC[6a]OO)	C[4](C[4,5]C[4]C[5]N[5])(C[6a]C[6a]2)(N[4]C[4]S)(H)	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	N[4](C[4]C[4,5]C[6a]H)(C[4]C[4,5]O)(SC[6a]OO){1|C<4>,1|N<3>,2|C<3>}	C[4](C[4,5]C[4]C[5]N[5])(C[6a]C[6a]2)(N[4]C[4]S)(H){1|O<1>,2|C<4>,3|C<3>,4|H<1>}	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	127.8020	3.707	2	127.8020	3.707	2     127.8020       3.707      2      128.5880     2.459     4
74	478	991	4:3:4:	4:3:3:1:	3:3:1:1:	C[4]-4:C[4]-3:S-4:	C[4]-4:C[6a]-3:N[4]-3:H-1:	C[6a]-3:N[4]-3:O-1:O-1:	N[4](C[4]C[6a]C[4]H)(C[4]C[4]O)(SC[6a]OO)	C[4](C[4]C[6a]2C[4])(C[6a]C[6a]2)(N[4]C[4]S)(H)	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	N[4](C[4]C[6a]C[4]H)(C[4]C[4]O)(SC[6a]OO){4|C<3>}	C[4](C[4]C[6a]2C[4])(C[6a]C[6a]2)(N[4]C[4]S)(H){1|O<1>,2|H<1>,6|C<3>}	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	130.3550	0.000	1	130.3550	0.000	1     129.3740       1.387      2      128.5880     2.459     4
74	478	991	4:3:4:	4:3:3:1:	3:3:1:1:	C[4]-4:C[4]-3:S-4:	C[4]-4:C[6a]-3:N[4]-3:H-1:	C[6a]-3:N[4]-3:O-1:O-1:	N[4](C[4]C[6a]C[4]H)(C[4]C[4]O)(SC[6a]OO)	C[4](C[4]C[6a]C[4]C)(C[6a]C[6a]2)(N[4]C[4]S)(H)	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	N[4](C[4]C[6a]C[4]H)(C[4]C[4]O)(SC[6a]OO){1|C<4>,3|C<3>}	C[4](C[4]C[6a]C[4]C)(C[6a]C[6a]2)(N[4]C[4]S)(H){1|O<1>,2|H<1>,4|C<3>}	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	128.3930	0.000	1	128.3930	0.000	1     129.3740       1.387      2      128.5880     2.459     4
74	478	991	4:3:4:	4:3:4:3:	3:3:1:1:	C[4,5]-4:C[4]-3:S-4:	C[4,5]-4:C[6a]-3:C[5]-4:N[4]-3:	N[4]-3:C[6a]-3:O-1:O-1:	N[4](C[4,5]C[4,5]C[6a]C[5])(C[4]C[4,5]O)(SC[6a]OO)	C[4,5](C[4,5]C[4]C[5]H)(C[6a]C[6a]2)(C[5]C[5]HH)(N[4]C[4]S)	S(N[4]C[4,5]C[4])(C[6a]C[6a]2)(O)2	N[4](C[4,5]C[4,5]C[6a]C[5])(C[4]C[4,5]O)(SC[6a]OO){2|C<3>,2|C<4>,3|H<1>}	C[4,5](C[4,5]C[4]C[5]H)(C[6a]C[6a]2)(C[5]C[5]HH)(N[4]C[4]S){1|C<4>,1|O<1>,3|C<3>,4|H<1>}	S(N[4]C[4,5]C[4])(C[6a]C[6a]2)(O)2	134.7515	2.061	2	134.7515	2.061	2     134.7515       2.061      2      134.7515     2.061     2
74	478	991	4:4:4:	4:3:1:1:	3:3:1:1:	C[4]-4:C[4]-4:S-4:	C[4,4]-4:N[4]-3:H-1:H-1:	C[6a]-3:N[4]-3:O-1:O-1:	N[4](C[4]C[4,4]HH)2(SC[6a]OO)	C[4](C[4,4]C[4]2N[4])(N[4]C[4]S)(H)2	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	N[4](C[4]C[4,4]HH)2(SC[6a]OO){1|C<4>,1|N<3>}	C[4](C[4,4]C[4]2N[4])(N[4]C[4]S)(H)2{1|C<3>,2|C<4>,3|H<1>}	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	124.3180	0.867	2	124.3180	0.867	2     124.3180       0.867      2      123.7744     1.698     10
74	478	991	4:4:4:	4:3:1:1:	3:3:1:1:	C[4]-4:C[4]-4:S-4:	C[4]-4:N[4]-3:H-1:H-1:	C[6a]-3:N[4]-3:O-1:O-1:	N[4](C[4]C[4]CH)(C[4]C[4]HH)(SC[6a]OO)	C[4](C[4]C[4]CH)(N[4]C[4]S)(H)2	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	N[4](C[4]C[4]CH)(C[4]C[4]HH)(SC[6a]OO){1|C<4>,1|H<1>}	C[4](C[4]C[4]CH)(N[4]C[4]S)(H)2{1|C<4>,1|H<1>}	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	124.3780	0.000	1	124.3780	0.000	1     123.6385       1.869      8      123.7744     1.698     10
