962	902	902	3:3:	3:3:2:	3:3:2:	C[3,6a]-3:C[3,6a]-3:	C[3,6a]-3:C[6,6a]-3:O[3]-2:	C[3,6a]-3:C[6,6a]-3:O[3]-2:	O[3](C[3,6a]C[3,6a]C[6,6a])2	C[3,6a](C[3,6a]C[6,6a]O[3])(C[6,6a]C[6,6a]C[6])(O[3]C[3,6a])	C[3,6a](C[3,6a]C[6,6a]O[3])(C[6,6a]C[6,6a]C[6])(O[3]C[3,6a])	O[3](C[3,6a]C[3,6a]C[6,6a])2{4|C<3>}	C[3,6a](C[3,6a]C[6,6a]O[3])(C[6,6a]C[6,6a]C[6])(O[3]C[3,6a]){1|H<1>,1|N<3>,3|C<3>}	C[3,6a](C[3,6a]C[6,6a]O[3])(C[6,6a]C[6,6a]C[6])(O[3]C[3,6a]){1|H<1>,1|N<3>,3|C<3>}	60.6511	0.000	1	60.6511	0.000	1     60.6511       0.000      1      60.6511     0.000     1
964	486	490	4:3:4:4:	4:3:4:1:	4:4:1:1:	C[3]-4:P[3]-3:C-4:C-4:	P[3]-4:P[3]-3:C-4:H-1:	P[3]-4:C-4:H-1:H-1:	P[3](C[3]P[3]CH)(P[3]C[3]C)(CCHH)(CC3)	C[3](P[3]P[3]CC)(P[3]P[3]C)(CC3)(H)	C(P[3]C[3]P[3]C)(CC3)(H)2	P[3](C[3]P[3]CH)(P[3]C[3]C)(CCHH)(CC3){}	C[3](P[3]P[3]CC)(P[3]P[3]C)(CC3)(H){}	C(P[3]C[3]P[3]C)(CC3)(H)2	121.4570	0.000	1	121.4570	0.000	1     121.4570       0.000      1      121.4570     0.000     1
964	486	490	4:3:4:4:	4:3:4:1:	4:4:4:4:	C[3]-4:P[3]-3:C-4:C-4:	P[3]-4:P[3]-3:C-4:H-1:	P[3]-4:C-4:C-4:C-4:	P[3](C[3]P[3]CH)(P[3]C[3]C)(CCHH)(CC3)	C[3](P[3]P[3]CC)(P[3]P[3]C)(CC3)(H)	C(P[3]C[3]P[3]C)(CH3)3	P[3](C[3]P[3]CH)(P[3]C[3]C)(CCHH)(CC3){}	C[3](P[3]P[3]CC)(P[3]P[3]C)(CC3)(H){}	C(P[3]C[3]P[3]C)(CH3)3	115.2600	0.000	1	115.2600	0.000	1     115.2600       0.000      1      115.2600     0.000     1
964	486	594	4:3:4:4:	4:3:4:1:	4:4:4:	C[3]-4:P[3]-3:C-4:C-4:	P[3]-4:P[3]-3:C-4:H-1:	C[3]-4:P[3]-4:C-4:	P[3](C[3]P[3]CH)(P[3]C[3]C)(CCHH)(CC3)	C[3](P[3]P[3]CC)(P[3]P[3]C)(CC3)(H)	P[3](C[3]P[3]CH)(P[3]C[3]CC)(CC3)	P[3](C[3]P[3]CH)(P[3]C[3]C)(CCHH)(CC3){}	C[3](P[3]P[3]CC)(P[3]P[3]C)(CC3)(H){}	P[3](C[3]P[3]CH)(P[3]C[3]CC)(CC3){}	55.8199	0.000	1	55.8199	0.000	1     55.8199       0.000      1      55.8199     0.000     1
964	490	490	4:3:4:4:	4:4:1:1:	4:4:4:4:	C[3]-4:P[3]-3:C-4:C-4:	P[3]-4:C-4:H-1:H-1:	P[3]-4:C-4:C-4:C-4:	P[3](C[3]P[3]CH)(P[3]C[3]C)(CCHH)(CC3)	C(P[3]C[3]P[3]C)(CC3)(H)2	C(P[3]C[3]P[3]C)(CH3)3	P[3](C[3]P[3]CH)(P[3]C[3]C)(CCHH)(CC3){}	C(P[3]C[3]P[3]C)(CC3)(H)2	C(P[3]C[3]P[3]C)(CH3)3	108.3550	0.000	1	108.3550	0.000	1     108.3550       0.000      1      108.3550     0.000     1
964	490	594	4:3:4:4:	4:4:1:1:	4:4:4:	C[3]-4:P[3]-3:C-4:C-4:	P[3]-4:C-4:H-1:H-1:	C[3]-4:P[3]-4:C-4:	P[3](C[3]P[3]CH)(P[3]C[3]C)(CCHH)(CC3)	C(P[3]C[3]P[3]C)(CC3)(H)2	P[3](C[3]P[3]CH)(P[3]C[3]CC)(CC3)	P[3](C[3]P[3]CH)(P[3]C[3]C)(CCHH)(CC3){}	C(P[3]C[3]P[3]C)(CC3)(H)2	P[3](C[3]P[3]CH)(P[3]C[3]CC)(CC3){}	115.3950	0.000	1	115.3950	0.000	1     115.3950       0.000      1      115.3950     0.000     1
964	490	594	4:3:4:4:	4:4:4:4:	4:4:4:	C[3]-4:P[3]-3:C-4:C-4:	P[3]-4:C-4:C-4:C-4:	C[3]-4:P[3]-4:C-4:	P[3](C[3]P[3]CH)(P[3]C[3]C)(CCHH)(CC3)	C(P[3]C[3]P[3]C)(CH3)3	P[3](C[3]P[3]CH)(P[3]C[3]CC)(CC3)	P[3](C[3]P[3]CH)(P[3]C[3]C)(CCHH)(CC3){}	C(P[3]C[3]P[3]C)(CH3)3	P[3](C[3]P[3]CH)(P[3]C[3]CC)(CC3){}	131.7660	0.000	1	131.7660	0.000	1     131.7660       0.000      1      131.7660     0.000     1
964	762	902	4:3:3:3:	4:3:3:	4:4:3:	P[3,3]-4:C[3]-3:C[3]-3:C[6a]-3:	P[3,3]-4:C[6a]-3:C[6a]-3:	P[3,3]-4:P[3,3]-4:C[6a]-3:	P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2)	C[6a](P[3,3]P[3,3]C[3]2)(C[6a]C[6a]H)2	C[3](P[3,3]P[3,3]C[6a]C[3])2(C[6a]C[6a]2)	P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2){2|H<1>,8|C<3>}	C[6a](P[3,3]P[3,3]C[3]2)(C[6a]C[6a]H)2{2|H<1>,4|C<3>}	C[3](P[3,3]P[3,3]C[6a]C[3])2(C[6a]C[6a]2){2|C<4>,7|C<3>}	119.8295	2.894	2	119.8295	2.894	2     119.8295       2.894      2      119.8295     2.894     2
964	762	964	4:3:3:3:	4:3:3:	4:3:3:3:	P[3,3]-4:C[3]-3:C[3]-3:C[6a]-3:	P[3,3]-4:C[6a]-3:C[6a]-3:	P[3,3]-4:C[3]-3:C[3]-3:C[6a]-3:	P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2)	C[6a](P[3,3]P[3,3]C[3]2)(C[6a]C[6a]H)2	P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2)	P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2){2|H<1>,8|C<3>}	C[6a](P[3,3]P[3,3]C[3]2)(C[6a]C[6a]H)2{2|H<1>,4|C<3>}	P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2){2|H<1>,8|C<3>}	136.2930	0.000	1	136.2930	0.000	1     136.2930       0.000      1      136.2930     0.000     1
964	902	902	4:3:3:3:	4:4:3:	4:4:3:	P[3,3]-4:C[3]-3:C[3]-3:C[6a]-3:	P[3,3]-4:P[3,3]-4:C[6a]-3:	P[3,3]-4:P[3,3]-4:C[6a]-3:	P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2)	C[3](P[3,3]P[3,3]C[6a]C[3])2(C[6a]C[6a]2)	C[3](P[3,3]P[3,3]C[6a]C[3])2(C[6a]C[6a]2)	P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2){2|H<1>,8|C<3>}	C[3](P[3,3]P[3,3]C[6a]C[3])2(C[6a]C[6a]2){2|C<4>,7|C<3>}	C[3](P[3,3]P[3,3]C[6a]C[3])2(C[6a]C[6a]2){2|C<4>,7|C<3>}	93.1168	0.000	1	93.1168	0.000	1     93.1168       0.000      1      93.1168     0.000     1
964	902	964	4:3:3:3:	4:4:3:	4:3:3:3:	P[3,3]-4:C[3]-3:C[3]-3:C[6a]-3:	P[3,3]-4:P[3,3]-4:C[6a]-3:	P[3,3]-4:C[3]-3:C[3]-3:C[6a]-3:	P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2)	C[3](P[3,3]P[3,3]C[6a]C[3])2(C[6a]C[6a]2)	P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2)	P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2){2|H<1>,8|C<3>}	C[3](P[3,3]P[3,3]C[6a]C[3])2(C[6a]C[6a]2){2|C<4>,7|C<3>}	P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2){2|H<1>,8|C<3>}	46.5584	0.096	2	46.5584	0.096	2     46.5584       0.096      2      46.5584     0.096     2
