930	953	987	0:SP2_SP2_SP3	C	N[6]	S	3:4:4:	3:3:3:	3:3:1:1:	N[6]-3:S-4:S-4:	C[6]-3:C[6]-3:C-3:	C[6a]-3:C-3:O-1:O-1:	C(N[6]C[6]2)(SC[6a]OO)2	N[6](C[6]C[6]H)2(CSS)	S(C[6a]C[6a]2)(CN[6]S)(O)2	C(N[6]C[6]2)(SC[6a]OO)2	N[6](C[6]C[6]H)2(CSS){1|C<3>,2|H<1>}	S(C[6a]C[6a]2)(CN[6]S)(O)2	117.4915	0.500	2	117.4915	0.500	2	117.4915	0.500	2	117.4915	0.500	2	117.4915	0.500	2	117.4915	0.500	2
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:1:1:	4:4:3:	3:	N[6]-3:S-1:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(S)2	N[6](C[6]C[6]HH)2(CSS)	S(CN[6]S)	C(N[6]C[6]2)(S)2	N[6](C[6]C[6]HH)2(CSS){1|O<2>,4|H<1>}	S(CN[6]S)	120.0860	0.544	2	120.0860	0.544	2	120.0860	0.544	2	120.0860	0.544	2	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:2:1:	3:4:3:	3:	N[6]-3:S-2:S-1:	C[6,6a]-3:C[6]-4:C-3:	C-3:	C(N[6]C[6,6a]C[6])(SS)(S)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(CSS)	S(CN[6]S)	C(N[6]C[6,6a]C[6])(SS)(S)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(CSS){1|C<4>,2|C<3>,3|H<1>}	S(CN[6]S)	124.7955	0.223	2	124.7955	0.223	2	124.7955	0.223	2	124.7955	0.223	2	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:2:1:	4:4:3:	3:	N[6]-3:N-2:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NN)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NN)(S)	N[6](C[6]C[6]HH)2(CNS){1|O<2>,4|H<1>}	S(CN[6]N)	121.4830	0.034	2	121.4830	0.034	2	121.4830	0.034	2	124.6310	1.040	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:2:1:	4:4:3:	3:	N[6]-3:S-2:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(SC)(S)	N[6](C[6]C[6]HH)2(CSS)	S(CN[6]S)	C(N[6]C[6]2)(SC)(S)	N[6](C[6]C[6]HH)2(CSS){1|C<4>,4|H<1>}	S(CN[6]S)	125.1164	0.490	11	124.8934	0.491	24	124.8934	0.491	24	124.6310	1.040	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:2:1:	4:4:3:	3:	N[6]-3:S-2:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(SC)(S)	N[6](C[6]C[6]HH)2(CSS)	S(CN[6]S)	C(N[6]C[6]2)(SC)(S)	N[6](C[6]C[6]HH)2(CSS){1|N<3>,4|H<1>}	S(CN[6]S)	124.4013	0.569	3	124.8934	0.491	24	124.8934	0.491	24	124.6310	1.040	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:2:1:	4:4:3:	3:	N[6]-3:S-2:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(SC)(S)	N[6](C[6]C[6]HH)2(CSS)	S(CN[6]S)	C(N[6]C[6]2)(SC)(S)	N[6](C[6]C[6]HH)2(CSS){1|O<2>,4|H<1>}	S(CN[6]S)	124.7957	0.356	10	124.8934	0.491	24	124.8934	0.491	24	124.6310	1.040	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	C[5]-3:N[6]-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(C[5]C[5]2)(N[6]C[6]2)(S)	N[6](C[6]C[6]HH)2(CC[5]S)	S(CC[5]N[6])	C(C[5]C[5]2)(N[6]C[6]2)(S)	N[6](C[6]C[6]HH)2(CC[5]S){1|C<4>,4|H<1>}	S(CC[5]N[6])	124.5830	0.000	1	124.5830	0.000	1	124.5830	0.000	1	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	C[6a]-3:N[6]-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(C[6a]C[6a]2)(N[6]C[6]2)(S)	N[6](C[6]C[6]HH)2(CC[6a]S)	S(CC[6a]N[6])	C(C[6a]C[6a]2)(N[6]C[6]2)(S)	N[6](C[6]C[6]HH)2(CC[6a]S){1|C<4>,4|H<1>}	S(CC[6a]N[6])	124.7010	0.000	1	124.5760	0.177	2	124.5760	0.177	2	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	C[6a]-3:N[6]-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(C[6a]C[6a]2)(N[6]C[6]2)(S)	N[6](C[6]C[6]HH)2(CC[6a]S)	S(CC[6a]N[6])	C(C[6a]C[6a]2)(N[6]C[6]2)(S)	N[6](C[6]C[6]HH)2(CC[6a]S){1|O<2>,4|H<1>}	S(CC[6a]N[6])	124.4510	0.000	1	124.5760	0.177	2	124.5760	0.177	2	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[5a]-3:N[6]-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[5a]C[5a,6a]N[5a])(N[6]C[6]2)(S)	N[6](C[6]C[6]HH)2(CN[5a]S)	S(CN[5a]N[6])	C(N[5a]C[5a,6a]N[5a])(N[6]C[6]2)(S)	N[6](C[6]C[6]HH)2(CN[5a]S){1|N<3>,4|H<1>}	S(CN[5a]N[6])	127.1270	0.000	1	127.1270	0.000	1	127.1270	0.000	1	124.5278	1.821	26	124.3888	1.659	57	124.3888	1.659	57
