973	965	991	2:4:	3:2:	2:1:1:1:	H-2:S-4:	N[6]-3:O-2:	O-2:O-1:O-1:O-1:	O(HN[6])(SO3)	H(N[6]C[6]2)(OS)	S(OH)(O)3	O(HN[6])(SO3)	H(N[6]C[6]2)(OS)	S(OH)(O)3	111.9720	0.000	1	111.9720	0.000	1     111.9720       0.000      1      111.9720     0.000     1
973	965	991	4:2:	2:2:	2:1:1:1:	S-4:H-2:	O-2:O-2:	O-2:O-1:O-1:O-1:	O(SO3)(HO)	H(OH)(OS)	S(OH)(O)3	O(SO3)(HO)	H(OH)(OS)	S(OH)(O)3	123.3200	0.000	1	123.3200	0.000	1     111.1983       5.145      19      111.1983     5.145     19
973	965	991	4:2:	2:2:	2:1:1:1:	S-4:H-2:	O-2:O-2:	O-2:O-1:O-1:O-1:	O(SO3)(HO)	H(OS)2	S(OH)(O)3	O(SO3)(HO)	H(OS)2	S(OH)(O)3	110.5249	4.348	18	110.5249	4.348	18     111.1983       5.145      19      111.1983     5.145     19
973	965	991	4:2:	2:2:	2:2:1:1:	S-4:H-2:	O-2:O-2:	O-2:O-2:O-1:O-1:	O(SO3)(HO)	H(OS)2	S(OAg)(OH)(O)2	O(SO3)(HO)	H(OS)2	S(OAg)(OH)(O)2	112.6310	0.000	1	112.6310	0.000	1     115.1277       2.948      3      115.1277     2.948     3
973	965	991	4:2:	2:2:	2:2:1:1:	S-4:H-2:	O-2:O-2:	O-2:O-2:O-1:O-1:	O(SO3)(HO)	H(OS)2	S(OH)2(O)2	O(SO3)(HO)	H(OS)2	S(OH)2(O)2	116.3760	2.834	2	116.3760	2.834	2     115.1277       2.948      3      115.1277     2.948     3
973	965	991	4:2:	2:2:	2:2:2:1:	S-4:H-2:	O-2:O-2:	O-2:O-2:O-2:O-1:	O(SO3)(HO)	H(OS)2	S(OAg)(OH)2(O)	O(SO3)(HO)	H(OS)2	S(OAg)(OH)2(O)	126.3710	0.000	1	126.3710	0.000	1     126.3710       0.000      1      126.3710     0.000     1
973	965	991	4:2:	2:2:	3:2:1:1:	S-4:H-2:	O-2:O-2:	C[6a]-3:O-2:O-1:O-1:	O(SC[6a]OO)(HO)	H(OC[6a])(OS)	S(C[6a]C[6a]2)(OH)(O)2	O(SC[6a]OO)(HO)	H(OC[6a])(OS)	S(C[6a]C[6a]2)(OH)(O)2	120.7720	0.000	1	120.7720	0.000	1     115.9337       5.196      3      118.1432     6.126     4
973	965	991	4:2:	2:2:	3:2:1:1:	S-4:H-2:	O-2:O-2:	C[6a]-3:O-2:O-1:O-1:	O(SC[6a]OO)(HO)	H(OH)(OS)	S(C[6a]C[6a]2)(OH)(O)2	O(SC[6a]OO)(HO)	H(OH)(OS)	S(C[6a]C[6a]2)(OH)(O)2	110.4420	0.000	1	110.4420	0.000	1     115.9337       5.196      3      118.1432     6.126     4
973	965	991	4:2:	2:2:	3:2:1:1:	S-4:H-2:	O-2:O-2:	C[6a]-3:O-2:O-1:O-1:	O(SC[6a]OO)(HO)	H(OS)2	S(C[6a]C[6a]2)(OH)(O)2	O(SC[6a]OO)(HO)	H(OS)2	S(C[6a]C[6a]2)(OH)(O)2	116.5870	0.000	1	116.5870	0.000	1     115.9337       5.196      3      118.1432     6.126     4
973	965	991	4:2:	2:2:	3:2:1:1:	S-4:H-2:	O-2:O-2:	O-3:O-2:O-1:O-1:	O(SO3)(HO)	H(OS)2	S(OAg2)(OH)(O)2	O(SO3)(HO)	H(OS)2	S(OAg2)(OH)(O)2	124.7720	0.000	1	124.7720	0.000	1     124.7720       0.000      1      118.1432     6.126     4
973	965	991	4:2:	2:2:	4:2:1:1:	S-4:H-2:	O-2:O-2:	C-4:O-2:O-1:O-1:	O(SCOO)(HO)	H(OC)(OS)	S(CH3)(OH)(O)2	O(SCOO)(HO)	H(OC)(OS)	S(CH3)(OH)(O)2	118.7283	0.278	3	118.7283	0.278	3     119.0422       4.137      5      119.0422     4.137     5
