974	466	770	4:4:3:	4:3:4:4:	3:3:1:	C[6]-4:C[6]-4:B-3:	C[6]-4:N[6]-3:C-4:C-4:	N[6]-3:N-3:Br-1:	N[6](C[6]C[6]CC)2(BBrN)	C[6](C[6]C[6]HH)(N[6]C[6]B)(CH3)2	B(N[6]C[6]2)(NC[6a]H)(Br)	N[6](C[6]C[6]CC)2(BBrN){1|C<4>,4|H<1>}	C[6](C[6]C[6]HH)(N[6]C[6]B)(CH3)2{2|H<1>,3|C<4>}	B(N[6]C[6]2)(NC[6a]H)(Br)	117.5730	0.378	2	117.5730	0.378	2     117.5730       0.378      2      117.5730     0.378     2
974	466	818	3:3:4:	3:4:1:1:	3:3:3:	C[5,6,6a]-3:B[6a]-3:C[6]-4:	N[6,6a]-3:C[6]-4:H-1:H-1:	C[5,6,6a]-3:C[5,6a]-3:N[6,6a]-3:	N[6,6a](C[5,6,6a]C[5,6,6a]C[5,6a])(B[6a]C[5,6a]C[6a])(C[6]C[6]HH)	C[6](N[6,6a]C[5,6,6a]B[6a])(C[6]N[6,6a]HH)(H)2	C[5,6,6a](C[5,6,6a]C[5,6a]N[6,6a])(C[5,6a]C[5,6a]S[5])(N[6,6a]B[6a]C[6])	N[6,6a](C[5,6,6a]C[5,6,6a]C[5,6a])(B[6a]C[5,6a]C[6a])(C[6]C[6]HH){1|N<3>,1|S<2>,2|H<1>,5|C<3>}	C[6](N[6,6a]C[5,6,6a]B[6a])(C[6]N[6,6a]HH)(H)2{1|B<3>,4|C<3>}	C[5,6,6a](C[5,6,6a]C[5,6a]N[6,6a])(C[5,6a]C[5,6a]S[5])(N[6,6a]B[6a]C[6]){1|B<3>,1|C<4>,1|S<2>,2|H<1>,3|C<3>}	112.1770	0.280	2	112.1770	0.280	2     112.1770       0.280      2      112.1770     0.280     2
974	466	818	3:4:1:	3:2:4:4:	3:2:3:	C[5a,6]-3:C[6]-4:H-1:	N[6]-3:N[6]-2:C-4:C-4:	N[5a,6]-3:N[5a]-2:N[6]-3:	N[6](C[5a,6]N[5a,6]N[5a])(C[6]N[6]CC)(H)	C[6](N[6]C[5a,6]H)(N[6]C[6])(CH3)2	C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]H)	N[6](C[5a,6]N[5a,6]N[5a])(C[6]N[6]CC)(H){1|N<2>,2|C<3>}	C[6](N[6]C[5a,6]H)(N[6]C[6])(CH3)2{1|N<2>,2|N<3>}	C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]H){1|C<3>,1|N<2>,1|N<3>,2|C<4>}	117.5320	0.000	1	117.5320	0.000	1     117.5320       0.000      1      117.5320     0.000     1
974	466	818	3:4:1:	3:3:3:1:	4:3:3:	C[5,6,6]-3:C[3x6]-4:H-1:	C[6,6,6a]-3:C[6,6,6a]-3:N[6,6]-3:H-1:	C[5,3x6]-4:N[6,6]-3:C[5]-3:	N[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6,6a]2H)(H)	C[3x6](C[6,6,6a]C[6,6,6a]C[6a])2(N[6,6]C[5,6,6]H)(H)	C[5,6,6](C[5,3x6]C[6,6,6a]2S[5])(N[6,6]C[3x6]H)(C[5]C[5]H)	N[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6,6a]2H)(H){1|H<1>,1|S<2>,5|C<3>}	C[3x6](C[6,6,6a]C[6,6,6a]C[6a])2(N[6,6]C[5,6,6]H)(H){1|C<4>,2|H<1>,5|C<3>}	C[5,6,6](C[5,3x6]C[6,6,6a]2S[5])(N[6,6]C[3x6]H)(C[5]C[5]H){1|H<1>,5|C<3>}	114.9070	0.000	1	114.9070	0.000	1     114.9070       0.000      1      114.0250     0.780     3
974	466	818	3:4:1:	3:3:3:1:	4:3:3:	C[5,6,6]-3:C[3x6]-4:O-1:	C[6,6,6a]-3:C[6,6,6a]-3:N[6,6]-3:H-1:	C[5,3x6]-4:N[6,6]-3:C[5]-3:	N[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6,6a]2H)(O)	C[3x6](C[6,6,6a]C[6,6,6a]C[6a])2(N[6,6]C[5,6,6]O)(H)	C[5,6,6](C[5,3x6]C[6,6,6a]2S[5])(N[6,6]C[3x6]O)(C[5]C[5]H)	N[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6,6a]2H)(O){1|H<1>,1|S<2>,5|C<3>}	C[3x6](C[6,6,6a]C[6,6,6a]C[6a])2(N[6,6]C[5,6,6]O)(H){1|C<4>,2|H<1>,5|C<3>}	C[5,6,6](C[5,3x6]C[6,6,6a]2S[5])(N[6,6]C[3x6]O)(C[5]C[5]H){1|H<1>,5|C<3>}	113.5840	0.226	2	113.5840	0.226	2     113.5840       0.226      2      114.0250     0.780     3
974	466	818	3:4:1:	3:3:4:1:	3:2:3:	C[5a,6]-3:C[6]-4:H-1:	N[6]-3:C[6a]-3:C[6]-4:H-1:	N[5a,6]-3:N[5a]-2:N[6]-3:	N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6a]C[6]H)(H)	C[6](N[6]C[5a,6]H)(C[6a]C[6a]2)(C[6]C[6]CH)(H)	C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]H)	N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6a]C[6]H)(H){1|C<4>,1|H<1>,1|N<2>,4|C<3>}	C[6](N[6]C[5a,6]H)(C[6a]C[6a]2)(C[6]C[6]CH)(H){1|Cl<1>,1|C<4>,1|H<1>,1|N<2>,1|N<3>,1|O<2>,2|C<3>}	C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]H){1|C<3>,1|H<1>,1|O<2>,1|S<2>,2|C<4>}	120.7030	0.000	1	120.7030	0.000	1     118.9620       2.462      2      118.9620     2.462     2
974	466	818	3:4:1:	3:3:4:1:	3:2:3:	C[5a,6]-3:C[6]-4:H-1:	N[6]-3:C[6a]-3:C[6]-4:H-1:	N[5a,6]-3:N[5a]-2:N[6]-3:	N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6a]C[6]H)(H)	C[6](N[6]C[5a,6]H)(C[6a]C[6a]2)(C[6]C[6]HH)(H)	C[5a,6](N[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a])(N[6]C[6]H)	N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6a]C[6]H)(H){2|H<1>,5|C<3>}	C[6](N[6]C[5a,6]H)(C[6a]C[6a]2)(C[6]C[6]HH)(H){1|N<2>,1|N<3>,1|O<1>,2|C<3>,2|H<1>}	C[5a,6](N[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a])(N[6]C[6]H){1|C<4>,1|H<1>,1|O<1>,3|C<3>}	117.2210	0.000	1	117.2210	0.000	1     118.9620       2.462      2      118.9620     2.462     2
974	466	818	3:4:1:	3:4:1:1:	3:3:2:	C[5,6]-3:C[6]-4:H-1:	N[6]-3:C[6]-4:H-1:H-1:	N[5,6]-3:N[6]-3:N[5]-2:	N[6](C[5,6]N[5,6]N[5])(C[6]C[6]HH)(H)	C[6](N[6]C[5,6]H)(C[6]C[6]HH)(H)2	C[5,6](N[5,6]C[5]C[6])(N[6]C[6]H)(N[5]C[5])	N[6](C[5,6]N[5,6]N[5])(C[6]C[6]HH)(H){2|H<1>,3|C<4>}	C[6](N[6]C[5,6]H)(C[6]C[6]HH)(H)2{1|N<2>,1|N<3>,2|H<1>}	C[5,6](N[5,6]C[5]C[6])(N[6]C[6]H)(N[5]C[5]){1|C<4>,8|H<1>}	119.8920	0.000	1	119.8920	0.000	1     119.8920       0.000      1      119.8920     0.000     1
974	466	818	3:4:1:	3:4:1:1:	3:3:3:	C[5,6]-3:C[6]-4:H-1:	N[6]-3:C[6]-4:H-1:H-1:	C[5,6a]-3:C[5,6]-3:N[6]-3:	N[6](C[5,6]C[5,6a]C[5,6])(C[6]C[6]HH)(H)	C[6](N[6]C[5,6]H)(C[6]C[6]HH)(H)2	C[5,6](C[5,6a]C[5,6a]C[6a])(C[5,6]C[5]C[6])(N[6]C[6]H)	N[6](C[5,6]C[5,6a]C[5,6])(C[6]C[6]HH)(H){1|C<4>,2|H<1>,3|C<3>}	C[6](N[6]C[5,6]H)(C[6]C[6]HH)(H)2{1|O<2>,2|C<3>}	C[5,6](C[5,6a]C[5,6a]C[6a])(C[5,6]C[5]C[6])(N[6]C[6]H){1|C<4>,1|O<2>,2|C<3>,5|H<1>}	119.1920	0.000	1	119.1920	0.000	1     119.1920       0.000      1      118.8276     4.619     5
974	466	818	3:4:1:	3:4:1:1:	3:3:3:	C[5,6]-3:C[6]-4:H-1:	N[6]-3:C[6]-4:H-1:H-1:	N[5,6]-3:C[5]-3:N[6]-3:	N[6](C[5,6]N[5,6]C[5])(C[6]C[6]HH)(H)	C[6](N[6]C[5,6]H)(C[6]C[6]HH)(H)2	C[5,6](N[5,6]C[5]C[6])(C[5]C[5]C)(N[6]C[6]H)	N[6](C[5,6]N[5,6]C[5])(C[6]C[6]HH)(H){2|C<3>,2|C<4>,2|H<1>}	C[6](N[6]C[5,6]H)(C[6]C[6]HH)(H)2{1|C<3>,1|N<3>,2|H<1>}	C[5,6](N[5,6]C[5]C[6])(C[5]C[5]C)(N[6]C[6]H){1|O<1>,2|C<4>,5|H<1>}	123.2630	0.000	1	123.2630	0.000	1     123.2630       0.000      1      118.8276     4.619     5
974	466	818	3:4:1:	3:4:1:1:	3:3:3:	C[5,6]-3:C[6]-4:H-1:	N[6]-3:C[6]-4:H-1:H-1:	N[5,6]-3:N[5]-3:N[6]-3:	N[6](C[5,6]N[5,6]N[5])(C[6]C[6]HH)(H)	C[6](N[6]C[5,6]H)(C[6]C[6]HH)(H)2	C[5,6](N[5,6]C[5]C[6])(N[5]C[5]H)(N[6]C[6]H)	N[6](C[5,6]N[5,6]N[5])(C[6]C[6]HH)(H){3|C<4>,3|H<1>}	C[6](N[6]C[5,6]H)(C[6]C[6]HH)(H)2{2|H<1>,2|N<3>}	C[5,6](N[5,6]C[5]C[6])(N[5]C[5]H)(N[6]C[6]H){1|C<4>,8|H<1>}	121.1350	0.000	1	121.1350	0.000	1     121.1350       0.000      1      118.8276     4.619     5
974	466	818	3:4:1:	3:4:1:1:	3:3:3:	C[5a,6]-3:C[6]-4:H-1:	N[6]-3:C[6,6]-4:H-1:H-1:	C[5a,6]-3:N[5a]-3:N[6]-3:	N[6](C[5a,6]C[5a,6]N[5a])(C[6]C[6,6]HH)(H)	C[6](N[6]C[5a,6]H)(C[6,6]C[6]3)(H)2	C[5a,6](C[5a,6]C[5a]C[6])(N[5a]C[6a]N[5a])(N[6]C[6]H)	N[6](C[5a,6]C[5a,6]N[5a])(C[6]C[6,6]HH)(H){1|C<4>,1|N<2>,4|C<3>}	C[6](N[6]C[5a,6]H)(C[6,6]C[6]3)(H)2{1|C<3>,1|N<3>,2|C<4>,2|H<1>,2|O<1>}	C[5a,6](C[5a,6]C[5a]C[6])(N[5a]C[6a]N[5a])(N[6]C[6]H){2|C<3>,2|C<4>,4|H<1>}	111.0940	0.000	1	111.0940	0.000	1     111.0940       0.000      1      118.8276     4.619     5
