979	490	818	3:4:	2:1:1:1:	2:2:2:	C[5]-3:C-4:	S-2:Cl-1:Cl-1:Cl-1:	N[5]-2:S[5]-2:S-2:	S(C[5]N[5]S[5])(CCl3)	C(SC[5])(Cl)3	C[5](N[5]C[5])(S[5]C[5])(SC)	S(C[5]N[5]S[5])(CCl3)	C(SC[5])(Cl)3	C[5](N[5]C[5])(S[5]C[5])(SC){1|C<3>,1|H<1>}	101.0870	0.000	1	101.0870	0.000	1     101.0870       0.000      1      100.8469     1.116     17
979	490	818	3:4:	2:1:1:1:	2:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	N[5]-2:N[5]-2:S-2:	S(C[5]N[5]2)(CH3)	C(SC[5])(H)3	C[5](N[5]C[5])(N[5]S[5])(SC)	S(C[5]N[5]2)(CH3)	C(SC[5])(H)3	C[5](N[5]C[5])(N[5]S[5])(SC){1|S<2>}	101.0470	0.000	1	101.0470	0.000	1     101.0470       0.000      1      100.8469     1.116     17
979	490	818	3:4:	2:1:1:1:	2:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	N[5]-2:O[5]-2:S-2:	S(C[5]N[5]O[5])(CH3)	C(SC[5])(H)3	C[5](N[5]N[5])(O[5]C[5])(SC)	S(C[5]N[5]O[5])(CH3)	C(SC[5])(H)3	C[5](N[5]N[5])(O[5]C[5])(SC){1|Cu<4>,1|C<3>}	98.6340	0.000	1	98.6340	0.000	1     98.6340       0.000      1      100.8469     1.116     17
979	490	818	3:4:	2:1:1:1:	2:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	N[5]-2:S[5]-2:S-2:	S(C[5]N[5]S[5])(CH3)	C(SC[5])(H)3	C[5](N[5]C[5,6a])(S[5]C[5,6a])(SC)	S(C[5]N[5]S[5])(CH3)	C(SC[5])(H)3	C[5](N[5]C[5,6a])(S[5]C[5,6a])(SC){2|C<3>}	100.0840	0.000	1	100.0840	0.000	1     101.0200       1.338      7      100.8469     1.116     17
979	490	818	3:4:	2:1:1:1:	2:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	N[5]-2:S[5]-2:S-2:	S(C[5]N[5]S[5])(CH3)	C(SC[5])(H)3	C[5](N[5]N[5,6a])(S[5]C[5,6a])(SC)	S(C[5]N[5]S[5])(CH3)	C(SC[5])(H)3	C[5](N[5]N[5,6a])(S[5]C[5,6a])(SC){1|C<3>,1|N<2>}	100.1840	0.000	1	100.1840	0.000	1     101.0200       1.338      7      100.8469     1.116     17
979	490	818	3:4:	2:1:1:1:	2:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	N[5]-2:S[5]-2:S-2:	S(C[5]N[5]S[5])(CH3)	C(SC[5])(H)3	C[5](N[5]N[5])(S[5]C[5])(SC)	S(C[5]N[5]S[5])(CH3)	C(SC[5])(H)3	C[5](N[5]N[5])(S[5]C[5])(SC){1|C<3>,1|V<6>}	100.4780	0.000	1	101.3744	1.461	5     101.0200       1.338      7      100.8469     1.116     17
979	490	818	3:4:	2:1:1:1:	2:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	N[5]-2:S[5]-2:S-2:	S(C[5]N[5]S[5])(CH3)	C(SC[5])(H)3	C[5](N[5]N[5])(S[5]C[5])(SC)	S(C[5]N[5]S[5])(CH3)	C(SC[5])(H)3	C[5](N[5]N[5])(S[5]C[5])(SC){1|C<4>,1|S<1>}	100.2481	0.489	2	101.3744	1.461	5     101.0200       1.338      7      100.8469     1.116     17
979	490	818	3:4:	2:1:1:1:	2:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	N[5]-2:S[5]-2:S-2:	S(C[5]N[5]S[5])(CH3)	C(SC[5])(H)3	C[5](N[5]N[5])(S[5]C[5])(SC)	S(C[5]N[5]S[5])(CH3)	C(SC[5])(H)3	C[5](N[5]N[5])(S[5]C[5])(SC){1|N<2>}	102.9490	0.049	2	101.3744	1.461	5     101.0200       1.338      7      100.8469     1.116     17
979	490	818	3:4:	2:1:1:1:	2:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	Se[5]-2:Se[5]-2:S-2:	S(C[5]Se[5]2)(CH3)	C(SC[5])(H)3	C[5](Se[5]C[5])2(SC)	S(C[5]Se[5]2)(CH3)	C(SC[5])(H)3	C[5](Se[5]C[5])2(SC){1|C<3>,1|H<1>}	102.1090	0.000	1	102.1090	0.000	1     102.1090       0.000      1      100.8469     1.116     17
979	490	818	3:4:	2:1:1:1:	2:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	N[5a]-2:N[5a]-2:S-2:	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a,6])(N[5a]N[5a,6])(SC)	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a,6])(N[5a]N[5a,6])(SC){1|C<3>,1|N<3>}	100.0380	0.000	1	100.5819	1.006	3     100.7301       0.679      6      100.8469     1.116     17
979	490	818	3:4:	2:1:1:1:	2:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	N[5a]-2:N[5a]-2:S-2:	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a,6])(N[5a]N[5a,6])(SC)	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a,6])(N[5a]N[5a,6])(SC){1|C<4>,1|N<3>}	100.8538	1.257	2	100.5819	1.006	3     100.7301       0.679      6      100.8469     1.116     17
