727	466	813	0:SP2_SP2_SP3	C[5a,6,6]	C[4x6]	N[5a]	3:4:3:	3:4:4:1:	3:3:4:	C[5a,6,6]-3:C[4x6]-4:N[5a]-3:	C[5a,6,6]-3:C[4x6]-4:C[3x6]-4:H-1:	C[5a,6,6]-3:C[5a,6a]-3:C-4:	C[5a,6,6](C[5a,6,6]C[5a,6a]C[4x6])(C[4x6]C[3x6]C[4x6]H)(N[5a]C[5a,6a]C)	C[4x6](C[5a,6,6]C[5a,6,6]N[5a])(C[4x6]C[3x6]C[6,6]C)(C[3x6]C[4x6]CH)(H)	N[5a](C[5a,6,6]C[5a,6,6]C[4x6])(C[5a,6a]C[5a,6a]C[6a])(CH3)	C[5a,6,6](C[5a,6,6]C[5a,6a]C[4x6])(C[4x6]C[3x6]C[4x6]H)(N[5a]C[5a,6a]C){1|H<1>,3|C<3>,5|C<4>}	C[4x6](C[5a,6,6]C[5a,6,6]N[5a])(C[4x6]C[3x6]C[6,6]C)(C[3x6]C[4x6]CH)(H){1|O<1>,2|C<4>,3|C<3>,3|H<1>}	N[5a](C[5a,6,6]C[5a,6,6]C[4x6])(C[5a,6a]C[5a,6a]C[6a])(CH3){2|C<3>,2|H<1>,3|C<4>}	132.9890	0.000	1	132.9890	0.000	1	132.9890	0.000	1	132.9890	0.000	1	132.9890	0.000	1	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[3x6]	N[5a]	4:3:3:	3:3:4:1:	3:3:1:	C[3x6]-4:C[5a,6]-3:N[5a]-3:	C[5a,6]-3:N[4x6]-3:C[6,6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[3x6]C[6,6]N[4x6]H)(C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]H)	C[3x6](C[5a,6]C[5a,6]N[5a])(N[4x6]C[3x6]C[6,6])(C[6,6]C[3x6]HH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[3x6])(H)	C[5a,6](C[3x6]C[6,6]N[4x6]H)(C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]H){1|O<1>,2|C<3>,2|H<1>,3|C<4>}	C[3x6](C[5a,6]C[5a,6]N[5a])(N[4x6]C[3x6]C[6,6])(C[6,6]C[3x6]HH)(H){1|C<4>,4|C<3>,5|H<1>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[3x6])(H){1|C<4>,1|N<3>,2|H<1>,3|C<3>}	125.6140	0.000	1	124.4586	0.644	5	124.4586	0.644	5	124.4586	0.644	5	124.1211	0.803	8	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[3x6]	N[5a]	4:3:3:	3:3:4:1:	3:3:1:	C[3x6]-4:C[5a,6]-3:N[5a]-3:	C[5a,6]-3:N[4x6]-3:C[6,6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[3x6]C[6,6]N[4x6]H)(C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]H)	C[3x6](C[5a,6]C[5a,6]N[5a])(N[4x6]C[3x6]C[6,6])(C[6,6]C[3x6]HH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[3x6])(H)	C[5a,6](C[3x6]C[6,6]N[4x6]H)(C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]H){1|O<2>,2|C<3>,3|C<4>,3|H<1>}	C[3x6](C[5a,6]C[5a,6]N[5a])(N[4x6]C[3x6]C[6,6])(C[6,6]C[3x6]HH)(H){2|C<4>,3|C<3>,5|H<1>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[3x6])(H){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	124.7770	0.000	1	124.4586	0.644	5	124.4586	0.644	5	124.4586	0.644	5	124.1211	0.803	8	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[3x6]	N[5a]	4:3:3:	3:3:4:1:	3:3:1:	C[3x6]-4:C[5a,6]-3:N[5a]-3:	C[5a,6]-3:N[4x6]-3:C[6,6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[3x6]C[6,6]N[4x6]H)(C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]H)	C[3x6](C[5a,6]C[5a,6]N[5a])(N[4x6]C[3x6]C[6,6])(C[6,6]C[3x6]HH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[3x6])(H)	C[5a,6](C[3x6]C[6,6]N[4x6]H)(C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]H){2|C<3>,3|C<4>,4|H<1>}	C[3x6](C[5a,6]C[5a,6]N[5a])(N[4x6]C[3x6]C[6,6])(C[6,6]C[3x6]HH)(H){1|C<4>,4|C<3>,5|H<1>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[3x6])(H){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	123.4650	0.000	1	124.4586	0.644	5	124.4586	0.644	5	124.4586	0.644	5	124.1211	0.803	8	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[3x6]	N[5a]	4:3:3:	3:3:4:1:	3:3:1:	C[3x6]-4:C[5a,6]-3:N[5a]-3:	C[5a,6]-3:N[4x6]-3:C[6,6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[3x6]C[6,6]N[4x6]H)(C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]H)	C[3x6](C[5a,6]C[5a,6]N[5a])(N[4x6]C[3x6]C[6,6])(C[6,6]C[3x6]HH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[3x6])(H)	C[5a,6](C[3x6]C[6,6]N[4x6]H)(C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]H){2|C<3>,3|C<4>,4|H<1>}	C[3x6](C[5a,6]C[5a,6]N[5a])(N[4x6]C[3x6]C[6,6])(C[6,6]C[3x6]HH)(H){2|C<3>,4|C<4>,4|H<1>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[3x6])(H){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	124.3580	0.000	1	124.4586	0.644	5	124.4586	0.644	5	124.4586	0.644	5	124.1211	0.803	8	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[3x6]	N[5a]	4:3:3:	3:3:4:1:	3:3:1:	C[3x6]-4:C[5a,6]-3:N[5a]-3:	C[5a,6]-3:N[4x6]-3:C[6,6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[3x6]C[6,6]N[4x6]H)(C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]H)	C[3x6](C[5a,6]C[5a,6]N[5a])(N[4x6]C[3x6]C[6,6])(C[6,6]C[3x6]HH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[3x6])(H)	C[5a,6](C[3x6]C[6,6]N[4x6]H)(C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]H){2|C<3>,3|C<4>,4|H<1>}	C[3x6](C[5a,6]C[5a,6]N[5a])(N[4x6]C[3x6]C[6,6])(C[6,6]C[3x6]HH)(H){2|C<4>,4|C<3>,4|H<1>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[3x6])(H){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	124.0790	0.000	1	124.4586	0.644	5	124.4586	0.644	5	124.4586	0.644	5	124.1211	0.803	8	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[3x6]	N[5a]	4:3:3:	3:3:4:1:	3:3:4:	C[3x6]-4:C[5a,6]-3:N[5a]-3:	C[5a,6]-3:N[4x6]-3:C[6,6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:C-4:	C[5a,6](C[3x6]C[6,6]N[4x6]H)(C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]C)	C[3x6](C[5a,6]C[5a,6]N[5a])(N[4x6]C[3x6]C[6,6])(C[6,6]C[3x6]HH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[3x6])(CH3)	C[5a,6](C[3x6]C[6,6]N[4x6]H)(C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]C){2|C<3>,3|C<4>,4|H<1>}	C[3x6](C[5a,6]C[5a,6]N[5a])(N[4x6]C[3x6]C[6,6])(C[6,6]C[3x6]HH)(H){3|C<3>,3|H<1>,4|C<4>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[3x6])(CH3){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	123.6980	0.000	1	123.5587	0.761	3	123.5587	0.761	3	123.5587	0.761	3	124.1211	0.803	8	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[3x6]	N[5a]	4:3:3:	3:3:4:1:	3:3:4:	C[3x6]-4:C[5a,6]-3:N[5a]-3:	C[5a,6]-3:N[4x6]-3:C[6,6]-4:H-1:	C[5a,6a]-3:C[5a,6]-3:C-4:	C[5a,6](C[3x6]C[6,6]N[4x6]H)(C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]C)	C[3x6](C[5a,6]C[5a,6]N[5a])(N[4x6]C[3x6]C[6,6])(C[6,6]C[3x6]HH)(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[3x6])(CH3)	C[5a,6](C[3x6]C[6,6]N[4x6]H)(C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]C){2|C<3>,3|C<4>,4|H<1>}	C[3x6](C[5a,6]C[5a,6]N[5a])(N[4x6]C[3x6]C[6,6])(C[6,6]C[3x6]HH)(H){3|C<4>,3|H<1>,4|C<3>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[3x6])(CH3){1|N<3>,2|C<3>,2|C<4>,2|H<1>}	123.4890	1.222	2	123.5587	0.761	3	123.5587	0.761	3	123.5587	0.761	3	124.1211	0.803	8	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[6,6]	N[5a,6]	3:3:4:	3:3:3:4:	3:3:4:	C[5a,6]-3:N[5a,6]-3:C[6,6]-4:	C[5a,6]-3:C[6,6]-3:C[6]-3:C-4:	C[5a,6]-3:C[5a,6]-3:B[6]-4:	C[5a,6](C[5a,6]C[6,6a]C[5a])(N[5a,6]C[5a,6]B[6])(C[6,6]C[6,6]C[6]C)	C[6,6](C[5a,6]C[5a,6]N[5a,6])(C[6,6]C[6,6a]C[6])(C[6]C[6]H)(CH3)	N[5a,6](C[5a,6]C[5a,6]C[6,6])(C[5a,6]C[5a]C[6])(B[6]N[5a,6]FF)	C[5a,6](C[5a,6]C[6,6a]C[5a])(N[5a,6]C[5a,6]B[6])(C[6,6]C[6,6]C[6]C){1|N<3>,2|F<1>,2|H<1>,5|C<3>}	C[6,6](C[5a,6]C[5a,6]N[5a,6])(C[6,6]C[6,6a]C[6])(C[6]C[6]H)(CH3){1|B<4>,1|H<1>,1|O<2>,5|C<3>}	N[5a,6](C[5a,6]C[5a,6]C[6,6])(C[5a,6]C[5a]C[6])(B[6]N[5a,6]FF){1|C<4>,1|H<1>,6|C<3>}	129.8402	0.912	4	129.8402	0.831	4	129.8402	0.831	4	129.8402	0.831	4	129.8402	0.831	4	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[6,6]	N[5a]	3:4:3:	3:3:2:1:	3:3:1:	C[5a,6]-3:C[6,6]-4:N[5a]-3:	C[5a,6]-3:C[6,6]-3:S[6]-2:H-1:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[5a,6]C[5a,6a]C[5,6])(C[6,6]C[6,6]S[6]H)(N[5a]C[5a,6a]H)	C[6,6](C[5a,6]C[5a,6]N[5a])(C[6,6]C[6]N[6])(S[6]C[6,6a])(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H)	C[5a,6](C[5a,6]C[5a,6a]C[5,6])(C[6,6]C[6,6]S[6]H)(N[5a]C[5a,6a]H){1|N<3>,6|C<3>}	C[6,6](C[5a,6]C[5a,6]N[5a])(C[6,6]C[6]N[6])(S[6]C[6,6a])(H){1|C<4>,2|H<1>,5|C<3>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H){1|C<4>,1|S<2>,2|H<1>,3|C<3>}	123.0130	0.000	1	123.0130	0.000	1	123.0130	0.000	1	123.0130	0.000	1	124.4016	1.740	99	124.6991	5.748	488
727	466	813	0:SP2_SP2_SP3	C[5a,6]	C[6,6]	N[5a]	3:4:3:	3:3:2:4:	3:3:1:	C[5a,6]-3:C[6,6]-4:N[5a]-3:	C[5a,6]-3:N[6,6]-3:O[6]-2:C-4:	C[5a,6a]-3:C[5a,6]-3:H-1:	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]O[6]C)(N[5a]C[5a,6a]H)	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6]2)(O[6]C[6])(CH3)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H)	C[5a,6](C[5a,6]C[5a,6a]C[6])(C[6,6]N[6,6]O[6]C)(N[5a]C[5a,6a]H){2|C<4>,2|H<1>,3|C<3>}	C[6,6](C[5a,6]C[5a,6]N[5a])(N[6,6]C[6]2)(O[6]C[6])(CH3){1|O<1>,2|C<3>,3|C<4>,4|H<1>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6,6])(H){1|H<1>,1|N<3>,1|O<2>,2|C<3>,2|C<4>}	123.2120	0.000	1	123.2120	0.000	1	123.2120	0.000	1	123.2120	0.000	1	124.4016	1.740	99	124.6991	5.748	488
