987	742	742	4:4:	4:4:2:4:	4:4:2:4:	B[3x4]-4:B[3x4]-4:	P[4,4]-4:P[4,4]-4:Se[4,4]-2:C-4:	P[4,4]-4:P[4,4]-4:Se[4,4]-2:C-4:	Se[4,4](B[3x4]P[4,4]2C)2	B[3x4](P[4,4]B[3x4]CC)2(Se[4,4]B[3x4])(CC3)	B[3x4](P[4,4]B[3x4]CC)2(Se[4,4]B[3x4])(CC3)	Se[4,4](B[3x4]P[4,4]2C)2{4|C<4>}	B[3x4](P[4,4]B[3x4]CC)2(Se[4,4]B[3x4])(CC3){1|C<4>}	B[3x4](P[4,4]B[3x4]CC)2(Se[4,4]B[3x4])(CC3){1|C<4>}	71.6038	0.000	1	71.6038	0.000	1     71.6038       0.000      1      71.6038     0.000     1
987	968	998	4:3:	4:4:2:	4:4:2:1:	P[4,3x5]-4:P[4,3x5]-3:	C[3,3x5]-4:C[4,3x5]-4:Se[4,5]-2:	C[3,3x5]-4:C[4,3x5]-4:Se[4,5]-2:Se-1:	Se[4,5](P[4,3x5]C[3,3x5]C[4,3x5]Se)(P[4,3x5]C[3,3x5]C[4,3x5])	P[4,3x5](C[3,3x5]C[3,3x5]P[3,5,5]C)(C[4,3x5]P[4,3x5]Se[5,5]C)(Se[4,5]P[4,3x5])	P[4,3x5](C[3,3x5]C[3,3x5]P[3,5,5]C)(C[4,3x5]P[4,3x5]Se[5,5]C)(Se[4,5]P[4,3x5])(Se)	Se[4,5](P[4,3x5]C[3,3x5]C[4,3x5]Se)(P[4,3x5]C[3,3x5]C[4,3x5]){1|Se<2>,1|P<3>,3|C<4>}	P[4,3x5](C[3,3x5]C[3,3x5]P[3,5,5]C)(C[4,3x5]P[4,3x5]Se[5,5]C)(Se[4,5]P[4,3x5]){1|Se<1>,1|C<4>}	P[4,3x5](C[3,3x5]C[3,3x5]P[3,5,5]C)(C[4,3x5]P[4,3x5]Se[5,5]C)(Se[4,5]P[4,3x5])(Se){1|C<4>}	70.8085	0.000	1	70.8085	0.000	1     70.8085       0.000      1      70.8085     0.000     1
987	998	998	4:4:	3:2:2:1:	3:2:2:1:	P[4,6,6]-4:P[4,6,6]-4:	C[6,6,6a]-3:Se[4,6]-2:Se[4,6]-2:Se-1:	C[6,6,6a]-3:Se[4,6]-2:Se[4,6]-2:Se-1:	Se[4,6](P[4,6,6]C[6,6,6a]Se[4,6]Se)2	P[4,6,6](C[6,6,6a]C[6,6,6a,6a]C[6a])(Se[4,6]P[4,6,6])2(Se)	P[4,6,6](C[6,6,6a]C[6,6,6a,6a]C[6a])(Se[4,6]P[4,6,6])2(Se)	Se[4,6](P[4,6,6]C[6,6,6a]Se[4,6]Se)2{3|C<3>}	P[4,6,6](C[6,6,6a]C[6,6,6a,6a]C[6a])(Se[4,6]P[4,6,6])2(Se){1|Se<1>,1|H<1>,3|C<3>}	P[4,6,6](C[6,6,6a]C[6,6,6a,6a]C[6a])(Se[4,6]P[4,6,6])2(Se){1|Se<1>,1|H<1>,3|C<3>}	77.2349	0.096	2	77.2349	0.096	2     77.2349       0.096      2      79.9695     4.737     3
987	998	998	4:4:	3:2:2:1:	3:2:2:1:	P[4]-4:P[4]-4:	C[6a]-3:Se[4]-2:Se[4]-2:Se-1:	C[6a]-3:Se[4]-2:Se[4]-2:Se-1:	Se[4](P[4]C[6a]Se[4]Se)2	P[4](C[6a]C[6a]2)(Se[4]P[4])2(Se)	P[4](C[6a]C[6a]2)(Se[4]P[4])2(Se)	Se[4](P[4]C[6a]Se[4]Se)2{4|C<3>}	P[4](C[6a]C[6a]2)(Se[4]P[4])2(Se){1|Se<1>,2|H<1>,3|C<3>}	P[4](C[6a]C[6a]2)(Se[4]P[4])2(Se){1|Se<1>,2|H<1>,3|C<3>}	85.4387	0.000	1	85.4387	0.000	1     85.4387       0.000      1      79.9695     4.737     3
987	998	998	4:4:	3:3:2:1:	3:3:2:1:	P[4]-4:P[4]-4:	N[4]-3:C[6a]-3:Se[4]-2:Se-1:	N[4]-3:C[6a]-3:Se[4]-2:Se-1:	Se[4](P[4]C[6a]N[4]Se)2	P[4](N[4]C[6a]P[4])(C[6a]C[6a]2)(Se[4]P[4])(Se)	P[4](N[4]C[6a]P[4])(C[6a]C[6a]2)(Se[4]P[4])(Se)	Se[4](P[4]C[6a]N[4]Se)2{5|C<3>}	P[4](N[4]C[6a]P[4])(C[6a]C[6a]2)(Se[4]P[4])(Se){1|Se<1>,2|H<1>,5|C<3>}	P[4](N[4]C[6a]P[4])(C[6a]C[6a]2)(Se[4]P[4])(Se){1|Se<1>,2|H<1>,5|C<3>}	75.2772	0.000	1	75.2772	0.000	1     75.2772       0.000      1      75.2772     0.000     1
988	2	490	3:4:4:4:	2:2:4:	4:4:4:4:	B[5a]-3:C-4:C-4:C-4:	O[5a]-2:O[5a]-2:P-4:	P-4:C-4:C-4:C-4:	P(B[5a]O[5a]2)(CC3)3	B[5a](O[5a]C[5a,6a])2(PC3)	C(PB[5a]CC)(CH3)3	P(B[5a]O[5a]2)(CC3)3	B[5a](O[5a]C[5a,6a])2(PC3){2|C<3>}	C(PB[5a]CC)(CH3)3	105.6747	5.390	3	105.6747	5.390	3     105.6747       5.390      3      105.6747     5.390     3
988	18	490	6:4:4:4:	6:6:6:6:6:4:	4:4:4:1:	B[5x3,5x5,20x6]-6:C-4:C-4:B-4:	B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:P-4:	P-4:C-4:C-4:H-1:	P(B[5x3,5x5,20x6]B[5x3,5x5,20x6]5)(CCCH)2(BH3)	B[5x3,5x5,20x6](B[5x3,5x5,20x6]B[5x3,5x5,20x6]3C[5x3,5x5,20x6]H)4(B[5x3,5x5,20x6]B[5x3,5x5,20x6]4H)(PBCC)	C(PB[5x3,5x5,20x6]BC)(CH3)2(H)	P(B[5x3,5x5,20x6]B[5x3,5x5,20x6]5)(CCCH)2(BH3)	B[5x3,5x5,20x6](B[5x3,5x5,20x6]B[5x3,5x5,20x6]3C[5x3,5x5,20x6]H)4(B[5x3,5x5,20x6]B[5x3,5x5,20x6]4H)(PBCC){1|B<6>,5|H<1>}	C(PB[5x3,5x5,20x6]BC)(CH3)2(H)	108.8865	2.917	2	108.8865	2.917	2     108.8865       2.917      2      108.8865     2.917     2
988	18	610	6:4:4:4:	6:6:6:6:6:4:	4:1:1:1:	B[5x3,5x5,20x6]-6:C-4:C-4:B-4:	B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:P-4:	P-4:H-1:H-1:H-1:	P(B[5x3,5x5,20x6]B[5x3,5x5,20x6]5)(CCCH)2(BH3)	B[5x3,5x5,20x6](B[5x3,5x5,20x6]B[5x3,5x5,20x6]3C[5x3,5x5,20x6]H)4(B[5x3,5x5,20x6]B[5x3,5x5,20x6]4H)(PBCC)	B(PB[5x3,5x5,20x6]CC)(H)3	P(B[5x3,5x5,20x6]B[5x3,5x5,20x6]5)(CCCH)2(BH3)	B[5x3,5x5,20x6](B[5x3,5x5,20x6]B[5x3,5x5,20x6]3C[5x3,5x5,20x6]H)4(B[5x3,5x5,20x6]B[5x3,5x5,20x6]4H)(PBCC){1|B<6>,5|H<1>}	B(PB[5x3,5x5,20x6]CC)(H)3	113.9670	0.000	1	113.9670	0.000	1     113.9670       0.000      1      113.9670     0.000     1
988	74	490	3:4:4:4:	4:4:4:	4:4:1:1:	N[4]-3:C-4:C-4:C-4:	B[4]-4:B[4]-4:P-4:	P-4:C-4:H-1:H-1:	P(N[4]B[4]2)(CCHH)3	N[4](B[4]C[6a]N[4]Cl)2(PC3)	C(PN[4]CC)(CH3)(H)2	P(N[4]B[4]2)(CCHH)3	N[4](B[4]C[6a]N[4]Cl)2(PC3){1|P<4>,4|C<3>}	C(PN[4]CC)(CH3)(H)2	111.7727	3.765	3	111.7727	3.765	3     111.7727       3.765      3      111.7727     3.765     3
988	74	762	3:3:3:3:	4:4:4:	4:3:3:	C[6a]-3:C[6a]-3:C[6a]-3:N[4]-3:	B[4]-4:B[4]-4:P-4:	P-4:C[6a]-3:C[6a]-3:	P(C[6a]C[6a]2)3(N[4]B[4]2)	N[4](B[4]C[6a]N[4]Cl)(B[4]C[6]N[4]Cl)(PC[6a]3)	C[6a](PC[6a]2N[4])(C[6a]C[6a]H)2	P(C[6a]C[6a]2)3(N[4]B[4]2)	N[4](B[4]C[6a]N[4]Cl)(B[4]C[6]N[4]Cl)(PC[6a]3){1|P<4>,4|C<3>}	C[6a](PC[6a]2N[4])(C[6a]C[6a]H)2{1|C<3>,2|H<1>}	112.6787	3.501	3	112.6787	3.501	3     112.6037       3.015      6      112.6037     3.015     6
988	74	762	3:3:3:3:	4:4:4:	4:3:3:	C[6a]-3:C[6a]-3:C[6a]-3:N[4]-3:	B[4]-4:B[4]-4:P-4:	P-4:C[6a]-3:C[6a]-3:	P(C[6a]C[6a]2)3(N[4]B[4]2)	N[4](B[4]C[6a]N[4]Cl)2(PC[6a]3)	C[6a](PC[6a]2N[4])(C[6a]C[6a]H)2	P(C[6a]C[6a]2)3(N[4]B[4]2)	N[4](B[4]C[6a]N[4]Cl)2(PC[6a]3){1|P<4>,4|C<3>}	C[6a](PC[6a]2N[4])(C[6a]C[6a]H)2{1|C<3>,2|H<1>}	112.5287	3.233	3	112.5287	3.233	3     112.6037       3.015      6      112.6037     3.015     6
