991	963	974	3:1:1:1:	4:	4:4:4:	N[6]-3:N-1:O-1:O-1:	S-4:	C[6]-4:C[6]-4:S-4:	S(N[6]C[6]2)(N)(O)2	O(SN[6]NO)	N[6](C[6]C[6]HH)2(SNOO)	S(N[6]C[6]2)(N)(O)2	O(SN[6]NO)	N[6](C[6]C[6]HH)2(SNOO){1|N<3>,4|H<1>}	105.9170	0.783	2	105.9170	0.783	2     105.9170       0.783      2      105.9170     0.783     2
991	963	974	3:2:1:1:	4:	4:4:4:	N[6]-3:O-2:O-1:O-1:	S-4:	C[5,6]-4:C[6]-4:S-4:	S(N[6]C[5,6]C[6])(OC)(O)2	O(SN[6]OO)	N[6](C[5,6]C[5]2C[6])(C[6]C[6]HH)(SO3)	S(N[6]C[5,6]C[6])(OC)(O)2	O(SN[6]OO)	N[6](C[5,6]C[5]2C[6])(C[6]C[6]HH)(SO3){3|C<4>,8|H<1>}	110.6213	2.599	4	110.6213	2.599	4     110.6213       2.599      4      109.7649     2.133     8
991	963	974	3:2:1:1:	4:	4:4:4:	N[6]-3:O-2:O-1:O-1:	S-4:	C[6]-4:C[6]-4:S-4:	S(N[6]C[6]2)(OC)(O)2	O(SN[6]OO)	N[6](C[6]C[6a]N[6]H)(C[6]C[6]CH)(SO3)	S(N[6]C[6]2)(OC)(O)2	O(SN[6]OO)	N[6](C[6]C[6a]N[6]H)(C[6]C[6]CH)(SO3){1|O<2>,2|C<4>,3|C<3>}	108.9085	1.382	4	108.9085	1.382	4     108.9085       1.382      4      109.7649     2.133     8
991	963	974	3:3:1:1:	4:	3:3:4:	C[6a]-3:N[6]-3:O-1:O-1:	S-4:	C[6]-3:C[6]-3:S-4:	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6]H)(C[6]C[6]N)(SC[6a]OO)	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6]H)(C[6]C[6]N)(SC[6a]OO){1|C<3>,2|H<1>}	105.3395	3.105	2	105.3395	3.105	2     106.2108       1.643      16      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:3:4:	C[6a]-3:N[6]-3:O-1:O-1:	S-4:	C[6]-3:C[6]-3:S-4:	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6]H)(C[6]C[6]O)(SC[6a]OO)	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6]H)(C[6]C[6]O)(SC[6a]OO){2|C<4>,2|H<1>}	106.4940	2.348	2	106.4940	2.348	2     106.2108       1.643      16      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:3:4:	C[6a]-3:N[6]-3:O-1:O-1:	S-4:	C[6]-3:C[6]-3:S-4:	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6]H)2(SC[6a]OO)	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6]H)2(SC[6a]OO){1|C<4>,2|H<1>}	106.0495	0.310	2	106.0495	0.310	2     106.2108       1.643      16      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:3:4:	C[6a]-3:N[6]-3:O-1:O-1:	S-4:	C[6]-3:C[6]-3:S-4:	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6a]C[6])(C[6]C[6]O)(SC[6a]OO)	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6a]C[6])(C[6]C[6]O)(SC[6a]OO){1|C<4>,2|H<1>,3|C<3>}	105.8515	0.847	4	105.8515	0.847	4     106.2108       1.643      16      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:3:4:	C[6a]-3:N[6]-3:O-1:O-1:	S-4:	C[6]-3:C[6]-3:S-4:	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6a]N[6])(C[6]C[6]O)(SC[6a]OO)	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6a]N[6])(C[6]C[6]O)(SC[6a]OO){1|C<4>,2|C<3>,2|H<1>}	106.2818	2.138	4	106.2818	2.138	4     106.2108       1.643      16      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:3:4:	C[6a]-3:N[6]-3:O-1:O-1:	S-4:	C[6]-3:C[6]-3:S-4:	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]N[5,6]O)(C[6]C[6]O)(SC[6a]OO)	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]N[5,6]O)(C[6]C[6]O)(SC[6a]OO){2|C<4>,2|H<1>}	107.5365	1.890	2	107.5365	1.890	2     106.2108       1.643      16      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:3:4:	C[6a]-3:N[6a]-3:O-1:O-1:	S-4:	C[6a]-3:C[6a]-3:S-4:	S(C[6a]C[6a]2)(N[6a]C[6a]2)(O)2	O(SC[6a]N[6a]O)	N[6a](C[6a]C[5,6a]O)(C[6a]N[6a]H)(SC[6a]OO)	S(C[6a]C[6a]2)(N[6a]C[6a]2)(O)2	O(SC[6a]N[6a]O)	N[6a](C[6a]C[5,6a]O)(C[6a]N[6a]H)(SC[6a]OO){2|C<3>}	106.0130	2.763	2	106.0130	2.763	2     105.7443       1.619      6      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:3:4:	C[6a]-3:N[6a]-3:O-1:O-1:	S-4:	C[6a]-3:C[6a]-3:S-4:	S(C[6a]C[6a]2)(N[6a]C[6a]2)(O)2	O(SC[6a]N[6a]O)	N[6a](C[6a]C[5,6a]O)(C[6a]N[6a]S)(SC[6a]OO)	S(C[6a]C[6a]2)(N[6a]C[6a]2)(O)2	O(SC[6a]N[6a]O)	N[6a](C[6a]C[5,6a]O)(C[6a]N[6a]S)(SC[6a]OO){2|C<3>}	106.0455	1.845	2	106.0455	1.845	2     105.7443       1.619      6      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:3:4:	C[6a]-3:N[6a]-3:O-1:O-1:	S-4:	C[6a]-3:C[6a]-3:S-4:	S(C[6a]C[6a]2)(N[6a]C[6a]2)(O)2	O(SC[6a]N[6a]O)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]H)(SC[6a]OO)	S(C[6a]C[6a]2)(N[6a]C[6a]2)(O)2	O(SC[6a]N[6a]O)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]H)(SC[6a]OO){2|C<3>}	105.1745	1.049	2	105.1745	1.049	2     105.7443       1.619      6      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:3:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[5a,6]-3:C[6,6a]-3:S-4:	S(N[6]C[5a,6]C[6,6a])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[5a,6]C[5a,6]N[5a])(C[6,6a]C[6,6a]C[6a])(SC[6a]OO)	S(N[6]C[5a,6]C[6,6a])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[5a,6]C[5a,6]N[5a])(C[6,6a]C[6,6a]C[6a])(SC[6a]OO){1|C<4>,2|H<1>,4|C<3>}	106.2845	1.515	2	106.2845	1.515	2     106.2845       1.515      2      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:3:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[5,6]-3:S-4:	S(N[6]C[6,6a]C[5,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[3,5,6]N[5])(SC[6a]OO)	S(N[6]C[6,6a]C[5,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[3,5,6]N[5])(SC[6a]OO){1|H<1>,2|C<4>,4|C<3>}	106.2945	0.566	2	106.2945	0.566	2     106.2945       0.566      2      106.1997     1.369     38
