466	490	710	4:4:4:1:	4:1:1:1:	4:	C[6,6]-4:C[6]-4:C-4:I-1:	C[6]-4:H-1:H-1:H-1:	C[6]-4:	C[6](C[6,6]N[5,6,6]C[6]H)(C[6]C[6]HH)(CH3)(I)	C(C[6]C[6,6]C[6]I)(H)3	I(C[6]C[6,6]C[6]C)	C[6](C[6,6]N[5,6,6]C[6]H)(C[6]C[6]HH)(CH3)(I){3|H<1>,4|C<4>}	C(C[6]C[6,6]C[6]I)(H)3	I(C[6]C[6,6]C[6]C)	105.1400	0.000	1	105.1400	0.000	1     105.1400       0.000      1      105.1400     0.000     1
466	490	762	2:3:4:1:	4:1:1:1:	3:4:1:	O[6]-2:C[6]-3:C-4:H-1:	C[6]-4:H-1:H-1:H-1:	N[6]-3:C[6]-4:O-1:	C[6](O[6]C[6,6a])(C[6]N[6]O)(CH3)(H)	C(C[6]C[6]O[6]H)(H)3	C[6](N[6]C[6,6a]C)(C[6]O[6]CH)(O)	C[6](O[6]C[6,6a])(C[6]N[6]O)(CH3)(H){1|C<4>,2|C<3>}	C(C[6]C[6]O[6]H)(H)3	C[6](N[6]C[6,6a]C)(C[6]O[6]CH)(O){2|C<3>}	113.2390	0.000	1	113.2390	0.000	1     113.2390       0.000      1      113.2390     0.000     1
466	490	762	2:3:4:1:	4:1:1:1:	4:3:1:	O[6]-2:C[6]-3:C-4:H-1:	C[6]-4:H-1:H-1:H-1:	C[6]-4:C[6]-3:H-1:	C[6](O[6]C[5,6])(C[6]C[6]H)(CH3)(H)	C(C[6]C[6]O[6]H)(H)3	C[6](C[6]O[6]CH)(C[6]C[6]C)(H)	C[6](O[6]C[5,6])(C[6]C[6]H)(CH3)(H){2|C<3>,2|C<4>}	C(C[6]C[6]O[6]H)(H)3	C[6](C[6]O[6]CH)(C[6]C[6]C)(H){1|C<4>,2|H<1>}	114.2530	0.000	1	114.2530	0.000	1     114.2530       0.000      1      114.2530     0.000     1
466	490	762	2:3:4:1:	4:3:1:1:	2:4:1:	N[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C[6a]-3:H-1:O-1:	O[6]-2:C[6]-4:O-1:	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CC[6a]HO)(H)	C(C[6]C[6]N[6]H)(C[6a]C[6a]2)(H)(O)	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O)	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CC[6a]HO)(H){2|C<4>}	C(C[6]C[6]N[6]H)(C[6a]C[6a]2)(H)(O)	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O){1|C<3>,1|C<4>,1|H<1>}	109.9042	0.540	5	109.9042	0.540	5     109.9042       0.540      5      109.9042     0.540     5
466	490	762	2:3:4:1:	4:3:1:1:	3:4:1:	O[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C-3:H-1:H-1:	C[6]-3:C[6]-4:H-1:	C[6](O[6]C[6,6])(C[6]C[6]H)(CCHH)(H)	C(C[6]C[6]O[6]H)(CCO)(H)2	C[6](C[6]C[6,6]H)(C[6]O[6]CH)(H)	C[6](O[6]C[6,6])(C[6]C[6]H)(CCHH)(H){2|C<4>,2|H<1>}	C(C[6]C[6]O[6]H)(CCO)(H)2	C[6](C[6]C[6,6]H)(C[6]O[6]CH)(H){1|C<4>,1|H<1>,1|O<2>}	112.7820	0.000	1	112.7820	0.000	1     112.7820       0.000      1      112.8670     0.120     2
466	490	762	2:3:4:1:	4:3:1:1:	3:4:1:	S[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C-3:H-1:H-1:	N[6]-3:C[6]-4:O-1:	C[6](S[6]C[6,6a])(C[6]N[6]O)(CCHH)(H)	C(C[6]C[6]S[6]H)(CC[6a]O)(H)2	C[6](N[6]C[6,6a]H)(C[6]S[6]CH)(O)	C[6](S[6]C[6,6a])(C[6]N[6]O)(CCHH)(H){1|H<1>,2|C<3>}	C(C[6]C[6]S[6]H)(CC[6a]O)(H)2	C[6](N[6]C[6,6a]H)(C[6]S[6]CH)(O){2|C<3>}	112.9520	0.000	1	112.9520	0.000	1     112.9520       0.000      1      112.8670     0.120     2
466	490	762	2:3:4:1:	4:3:2:1:	2:4:1:	N[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C[6a]-3:O-2:H-1:	O[6]-2:C[6]-4:O-1:	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CC[6a]HO)(H)	C(C[6]C[6]N[6]H)(C[6a]C[6a]2)(OH)(H)	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O)	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CC[6a]HO)(H){2|C<4>}	C(C[6]C[6]N[6]H)(C[6a]C[6a]2)(OH)(H)	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O){1|C<3>,1|C<4>,1|H<1>}	110.3000	0.000	1	110.3000	0.000	1     110.3000       0.000      1      110.3000     0.000     1
466	490	762	2:3:4:1:	4:3:2:1:	4:2:1:	O[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C[6a]-3:O-2:H-1:	C[6]-4:O[6]-2:O-1:	C[6](O[6]C[6,6])(C[6]O[6]O)(CC[6a]HO)(H)	C(C[6]C[6]O[6]H)(C[6a]C[6a]2)(OH)(H)	C[6](C[6]O[6]CH)(O[6]C[6,6])(O)	C[6](O[6]C[6,6])(C[6]O[6]O)(CC[6a]HO)(H){1|O<2>,2|C<4>}	C(C[6]C[6]O[6]H)(C[6a]C[6a]2)(OH)(H)	C[6](C[6]O[6]CH)(O[6]C[6,6])(O){1|O<2>,2|C<4>}	110.0190	0.000	1	110.0190	0.000	1     110.0190       0.000      1      110.0190     0.000     1
466	490	762	2:3:4:1:	4:3:3:1:	2:4:1:	N[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C[6a]-3:N-3:H-1:	O[6]-2:C[6]-4:O-1:	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CC[6a]HN)(H)	C(C[6]C[6]N[6]H)(C[6a]C[6a]2)(NCH)(H)	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O)	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CC[6a]HN)(H){2|C<4>}	C(C[6]C[6]N[6]H)(C[6a]C[6a]2)(NCH)(H)	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O){1|C<3>,1|C<4>,1|H<1>}	112.7700	0.000	1	112.7700	0.000	1     112.3970       0.528      2      112.3970     0.528     2
466	490	762	2:3:4:1:	4:3:3:1:	2:4:1:	N[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C[6a]-3:N-3:H-1:	O[6]-2:C[6]-4:O-1:	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CC[6a]HN)(H)	C(C[6]C[6]N[6]H)(C[6a]C[6a]2)(NHS)(H)	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O)	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CC[6a]HN)(H){2|C<4>}	C(C[6]C[6]N[6]H)(C[6a]C[6a]2)(NHS)(H)	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O){1|C<3>,1|C<4>,1|H<1>}	112.0240	0.000	1	112.0240	0.000	1     112.3970       0.528      2      112.3970     0.528     2
466	490	762	2:3:4:1:	4:3:4:1:	2:4:1:	N[6]-2:C[6]-3:C-4:H-1:	C[6]-4:C[6a]-3:C-4:H-1:	O[6]-2:C[6]-4:O-1:	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CC[6a]CH)(H)	C(C[6]C[6]N[6]H)(C[6a]C[6a]2)(CHHN)(H)	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O)	C[6](N[6]C[5,6,6])(C[6]O[6]O)(CC[6a]CH)(H){2|C<4>}	C(C[6]C[6]N[6]H)(C[6a]C[6a]2)(CHHN)(H)	C[6](O[6]C[5,6,6])(C[6]N[6]CH)(O){1|C<3>,1|C<4>,1|H<1>}	113.7848	0.970	5	113.7848	0.970	5     113.7848       0.970      5      113.7848     0.970     5
