930	486	965	0:SP2_SP1_SP3	C	C[3]	C	3:4:2:	4:4:3:3:	3:3:	C[6a]-3:C[3]-4:C-2:	C[3]-4:C[3]-4:C-3:C-3:	C-3:C-3:	C(C[6a]C[6a]2)(C[3]C[3]2C)(CC)	C[3](C[3]C[3]HH)2(CC[6a]C)(CHO)	C(CC[5a]C[6])(CC[6a]C[3])	C(C[6a]C[6a]2)(C[3]C[3]2C)(CC)	C[3](C[3]C[3]HH)2(CC[6a]C)(CHO){}	C(CC[5a]C[6])(CC[6a]C[3])	118.5410	0.000	1	118.5410	0.000	1	118.5410	0.000	1	118.5410	0.000	1	118.5410	0.000	1	118.5410	0.000	1
930	486	998	0:SP2_SP3_SP3	C	C[3]	P	4:4:3:	4:4:3:2:	3:3:3:1:	C[3]-4:P-4:C-3:	C[3]-4:C[3]-4:C-3:O-2:	C[6a]-3:C[6a]-3:C-3:O-1:	C(C[3]C[3]2O)(PC[6a]2O)(CC[6a]C)	C[3](C[3]C[3]HH)2(CCP)(OH)	P(C[6a]C[6a]2)2(CC[3]C)(O)	C(C[3]C[3]2O)(PC[6a]2O)(CC[6a]C)	C[3](C[3]C[3]HH)2(CCP)(OH){}	P(C[6a]C[6a]2)2(CC[3]C)(O)	112.0180	0.000	1	112.0180	0.000	1	112.0180	0.000	1	112.0180	0.000	1	112.0180	0.000	1	112.0180	0.000	1
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	3:1:1:1:	3:1:1:1:	C-2:C-4:C-4:	C-3:F-1:F-1:F-1:	C-3:F-1:F-1:F-1:	C(CC[5])(CF3)2	C(CCC)(F)3	C(CCC)(F)3	C(CC[5])(CF3)2	C(CCC)(F)3	C(CCC)(F)3	117.3310	0.000	1	117.3310	0.000	1	117.3310	0.000	1	117.7060	0.724	6	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	3:1:1:1:	3:1:1:1:	N-2:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(NN[5])(CH3)2	C(CCN)(H)3	C(CCN)(H)3	C(NN[5])(CH3)2	C(CCN)(H)3	C(CCN)(H)3	117.6800	0.000	1	117.6800	0.000	1	117.7810	0.782	5	117.7060	0.724	6	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	3:1:1:1:	3:1:1:1:	N-2:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(NN[5a])(CH3)2	C(CCN)(H)3	C(CCN)(H)3	C(NN[5a])(CH3)2	C(CCN)(H)3	C(CCN)(H)3	117.7083	1.077	3	117.7083	1.077	3	117.7810	0.782	5	117.7060	0.724	6	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	3:1:1:1:	3:1:1:1:	N-2:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(NN[6a])(CH3)2	C(CCN)(H)3	C(CCN)(H)3	C(NN[6a])(CH3)2	C(CCN)(H)3	C(CCN)(H)3	118.1000	0.000	1	118.1000	0.000	1	117.7810	0.782	5	117.7060	0.724	6	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	3:3:1:1:	3:1:1:1:	N-2:C-4:C-4:	C-3:C-3:H-1:H-1:	C-3:H-1:H-1:H-1:	C(NC[6a])(CCHH)(CH3)	C(CCN)(CNO)(H)2	C(CCN)(H)3	C(NC[6a])(CCHH)(CH3)	C(CCN)(CNO)(H)2	C(CCN)(H)3	117.6440	0.000	1	117.6440	0.000	1	117.1010	1.691	5	116.7583	1.538	7	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	3:3:1:1:	3:1:1:1:	N-2:C-4:C-4:	C-3:C-3:H-1:H-1:	C-3:H-1:H-1:H-1:	C(NC[6a])(CCHH)(CH3)	C(CCN)2(H)2	C(CCN)(H)3	C(NC[6a])(CCHH)(CH3)	C(CCN)2(H)2	C(CCN)(H)3	115.3025	0.080	2	115.3025	0.080	2	117.1010	1.691	5	116.7583	1.538	7	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	3:3:1:1:	3:1:1:1:	N-2:C-4:C-4:	C-3:C-3:H-1:H-1:	C-3:H-1:H-1:H-1:	C(NN[5a])(CCHH)(CH3)	C(CCN)(CNO)(H)2	C(CCN)(H)3	C(NN[5a])(CCHH)(CH3)	C(CCN)(CNO)(H)2	C(CCN)(H)3	118.6280	0.027	2	118.6280	0.027	2	117.1010	1.691	5	116.7583	1.538	7	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	3:3:1:1:	3:1:1:1:	N-2:C-4:C-4:	P-3:C-3:H-1:H-1:	C-3:H-1:H-1:H-1:	C(NC[6a])(CHHP)(CH3)	C(PC[6a]2)(CCN)(H)2	C(CCN)(H)3	C(NC[6a])(CHHP)(CH3)	C(PC[6a]2)(CCN)(H)2	C(CCN)(H)3	115.9015	0.841	2	115.9015	0.841	2	115.9015	0.841	2	116.7583	1.538	7	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	3:3:3:1:	3:1:1:1:	N-2:C-4:C-4:	C-3:C-3:C-3:H-1:	C-3:F-1:F-1:F-1:	C(NC[6a])(CCCH)(CF3)	C(CC[6a]N)(CCN)(COO)(H)	C(CCN)(F)3	C(NC[6a])(CCCH)(CF3)	C(CC[6a]N)(CCN)(COO)(H)	C(CCN)(F)3	114.3950	0.000	1	114.3950	0.000	1	114.3950	0.000	1	114.3950	0.000	1	116.7117	2.571	2420	116.7117	2.571	2420
