210	210	786	4:2:	2:1:	3:3:3:2:	B[5]-4:N-2:	N-2:N-1:	C[5,6a]-3:C[5,6a]-3:N[6]-3:N-2:	N(B[5]C[5,6a]2N[6])(NN)	N(NB[5])(N)	B[5](C[5,6a]C[5,6a]C[6a])2(N[6]C[6]2)(NN)	N(B[5]C[5,6a]2N[6])(NN)	N(NB[5])(N)	B[5](C[5,6a]C[5,6a]C[6a])2(N[6]C[6]2)(NN){4|H<1>,6|C<3>}	120.9914	1.954	5	120.9914	1.954	5     120.9914       1.954      5      120.9914     1.954     5
210	210	818	3:2:	2:1:	2:2:2:	C[5]-3:N-2:	N-2:N-1:	N[5]-2:N[5]-2:N-2:	N(C[5]N[5]2)(NN)	N(NC[5])(N)	C[5](N[5]N[5])2(NN)	N(C[5]N[5]2)(NN)	N(NC[5])(N)	C[5](N[5]N[5])2(NN){1|Li<3>,1|Li<4>}	114.5770	0.000	1	113.8863	0.862	7     113.8863       0.862      7      113.8863     0.862     7
210	210	818	3:2:	2:1:	2:2:2:	C[5]-3:N-2:	N-2:N-1:	N[5]-2:N[5]-2:N-2:	N(C[5]N[5]2)(NN)	N(NC[5])(N)	C[5](N[5]N[5])2(NN)	N(C[5]N[5]2)(NN)	N(NC[5])(N)	C[5](N[5]N[5])2(NN){}	113.7712	0.883	6	113.8863	0.862	7     113.8863       0.862      7      113.8863     0.862     7
210	210	818	3:2:	2:1:	3:2:2:	C[5a]-3:N-2:	N-2:N-1:	N[5a]-3:N[5a]-2:N-2:	N(C[5a]N[5a]2)(NN)	N(NC[5a])(N)	C[5a](N[5a]N[5a]H)(N[5a]C[5a])(NN)	N(C[5a]N[5a]2)(NN)	N(NC[5a])(N)	C[5a](N[5a]N[5a]H)(N[5a]C[5a])(NN){1|C<3>}	112.6560	0.000	1	112.6560	0.000	1     112.6560       0.000      1      112.6560     0.000     1
210	210	818	3:2:	2:1:	3:3:2:	C[5]-3:N-2:	N-2:O-1:	N[5]-3:N[5]-3:N-2:	N(C[5]N[5]2)(NO)	N(NC[5])(O)	C[5](N[5]C[5]C)2(NN)	N(C[5]N[5]2)(NO)	N(NC[5])(O)	C[5](N[5]C[5]C)2(NN){2|H<1>}	112.1573	1.293	3	112.1573	1.293	3     112.1548       2.087      7      112.1548     2.087     7
210	210	818	3:2:	2:1:	3:3:2:	C[5]-3:N-2:	N-2:O-1:	N[5]-3:N[5]-3:N-2:	N(C[5]N[5]2)(NO)	N(NC[5])(O)	C[5](N[5]C[5]C[6])2(NN)	N(C[5]N[5]2)(NO)	N(NC[5])(O)	C[5](N[5]C[5]C[6])2(NN){4|C<4>,4|H<1>}	114.4170	1.508	2	114.4170	1.508	2     112.1548       2.087      7      112.1548     2.087     7
210	210	818	3:2:	2:1:	3:3:2:	C[5]-3:N-2:	N-2:O-1:	N[5]-3:N[5]-3:N-2:	N(C[5]N[5]2)(NO)	N(NC[5])(O)	C[5](N[5]C[6a]C[5])2(NN)	N(C[5]N[5]2)(NO)	N(NC[5])(O)	C[5](N[5]C[6a]C[5])2(NN){2|H<1>,4|C<3>}	109.8400	0.000	1	109.8890	0.069	2     112.1548       2.087      7      112.1548     2.087     7
210	210	818	3:2:	2:1:	3:3:2:	C[5]-3:N-2:	N-2:O-1:	N[5]-3:N[5]-3:N-2:	N(C[5]N[5]2)(NO)	N(NC[5])(O)	C[5](N[5]C[6a]C[5])2(NN)	N(C[5]N[5]2)(NO)	N(NC[5])(O)	C[5](N[5]C[6a]C[5])2(NN){4|C<3>,4|H<1>}	109.9380	0.000	1	109.8890	0.069	2     112.1548       2.087      7      112.1548     2.087     7
210	210	818	3:2:	2:2:	3:3:2:	C[5]-3:N-2:	N-2:N-2:	N[5]-3:N[5]-3:N-2:	N(C[5]N[5]2)(NN)	N(NC[6a])(NC[5])	C[5](N[5]C[5,6a]C)(N[5]C[5,6a]N)(NN)	N(C[5]N[5]2)(NN)	N(NC[6a])(NC[5])	C[5](N[5]C[5,6a]C)(N[5]C[5,6a]N)(NN){2|C<3>}	114.0440	0.000	1	114.0440	0.000	1     114.0877       0.407      3      112.9248     1.686     6
210	210	818	3:2:	2:2:	3:3:2:	C[5]-3:N-2:	N-2:N-2:	N[5]-3:N[5]-3:N-2:	N(C[5]N[5]2)(NN)	N(NC[6a])(NC[5])	C[5](N[5]C[5,6a]C)2(NN)	N(C[5]N[5]2)(NN)	N(NC[6a])(NC[5])	C[5](N[5]C[5,6a]C)2(NN){2|C<3>}	114.1095	0.573	2	114.1095	0.573	2     114.0877       0.407      3      112.9248     1.686     6
210	210	818	3:2:	2:2:	3:3:2:	C[5]-3:N-2:	N-2:O-2:	N[5]-3:N[5]-3:N-2:	N(C[5]N[5]2)(NO)	N(NC[5])(OB)	C[5](N[5]C[5]C)2(NN)	N(C[5]N[5]2)(NO)	N(NC[5])(OB)	C[5](N[5]C[5]C)2(NN){2|C<4>}	110.1960	0.000	1	110.8595	0.938	2     111.7620       1.698      3      112.9248     1.686     6
210	210	818	3:2:	2:2:	3:3:2:	C[5]-3:N-2:	N-2:O-2:	N[5]-3:N[5]-3:N-2:	N(C[5]N[5]2)(NO)	N(NC[5])(OB)	C[5](N[5]C[5]C)2(NN)	N(C[5]N[5]2)(NO)	N(NC[5])(OB)	C[5](N[5]C[5]C)2(NN){2|H<1>}	111.5230	0.000	1	110.8595	0.938	2     111.7620       1.698      3      112.9248     1.686     6
210	210	818	3:2:	2:2:	3:3:2:	C[5]-3:N-2:	N-2:O-2:	N[5]-3:N[5]-3:N-2:	N(C[5]N[5]2)(NO)	N(NC[5])(OC)	C[5](N[5]C[6a]C[5])2(NN)	N(C[5]N[5]2)(NO)	N(NC[5])(OC)	C[5](N[5]C[6a]C[5])2(NN){2|H<1>,4|C<3>}	113.5670	0.000	1	113.5670	0.000	1     111.7620       1.698      3      112.9248     1.686     6
210	210	818	3:2:	2:3:	2:2:2:	C[5]-3:N-2:	N-2:C-3:	S[5]-2:S[5]-2:N-2:	N(C[5]S[5]2)(NC)	N(NC[5])(CCC)	C[5](S[5]C[5])2(NN)	N(C[5]S[5]2)(NC)	N(NC[5])(CCC)	C[5](S[5]C[5])2(NN){4|H<1>}	110.1290	0.000	1	110.1290	0.000	1     110.1290       0.000      1      110.1290     0.000     1
210	210	818	3:2:	2:3:	3:2:2:	C[5]-3:N-2:	N-2:C-3:	N[5]-3:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC)	N(NC[5])(CCC)	C[5](N[5]C[6a]C[5])(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NC)	N(NC[5])(CCC)	C[5](N[5]C[6a]C[5])(S[5]C[5])(NN){1|O<1>,2|C<3>,2|H<1>}	107.6470	0.000	1	107.6470	0.000	1     107.6470       0.000      1      107.6470     0.000     1
210	210	818	3:2:	2:3:	3:3:2:	C[5]-3:N-2:	N-2:C-3:	C[5,6a]-3:C[5,6a]-3:N-2:	N(C[5]C[5,6a]2)(NC)	N(NC[5])(CNN)	C[5](C[5,6a]C[5,6a]C[6a])2(NN)	N(C[5]C[5,6a]2)(NC)	N(NC[5])(CNN)	C[5](C[5,6a]C[5,6a]C[6a])2(NN){2|H<1>,4|C<3>}	116.5920	0.000	1	116.5920	0.000	1     116.5920       0.000      1      116.5920     0.000     1
210	210	818	3:2:	3:2:	2:2:2:	C[5]-3:N-2:	C-3:N-2:	S[5]-2:S[5]-2:N-2:	N(C[5]S[5]2)(NC)	N(CC[6a]O)(NC[5])	C[5](S[5]C[5])2(NN)	N(C[5]S[5]2)(NC)	N(CC[6a]O)(NC[5])	C[5](S[5]C[5])2(NN){4|H<1>}	110.7570	0.911	2	110.7570	0.911	2     110.7570       0.911      2      111.9441     1.320     58
