466	690	710	4:2:1:1:	4:	4:	C[6]-4:O[6]-2:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HO)(O[6]C[6])(H)(I)	H(C[6]C[6]O[6]I)	I(C[6]C[6]O[6]H)	C[6](C[6]C[6]HO)(O[6]C[6])(H)(I){1|C<3>,1|C<4>,1|O<2>,2|H<1>}	H(C[6]C[6]O[6]I)	I(C[6]C[6]O[6]H)	107.0180	0.000	2	107.0180	0.000	2     107.0180       0.000      2      107.0180     0.000     2
466	690	710	4:3:1:1:	4:	4:	C[6]-4:C[6]-3:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HH)(C[6]C[6]O)(H)(I)	H(C[6]C[6]2I)	I(C[6]C[6]2H)	C[6](C[6]C[6]HH)(C[6]C[6]O)(H)(I){1|C<3>,2|C<4>,2|H<1>}	H(C[6]C[6]2I)	I(C[6]C[6]2H)	109.2440	0.000	1	109.2440	0.000	1     109.2440       0.000      1      109.2440     0.000     1
466	690	710	4:4:1:1:	4:	4:	C[3x6]-4:C[3x6]-4:H-1:I-1:	C[6,6]-4:	C[6,6]-4:	C[6,6](C[3x6]C[4x6]O[6]H)(C[3x6]C[6,6]2H)(H)(I)	H(C[6,6]C[3x6]2I)	I(C[6,6]C[3x6]2H)	C[6,6](C[3x6]C[4x6]O[6]H)(C[3x6]C[6,6]2H)(H)(I){1|C<3>,2|C<4>,5|H<1>}	H(C[6,6]C[3x6]2I)	I(C[6,6]C[3x6]2H)	107.6710	0.000	1	107.6710	0.000	1     107.6710       0.000      1      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[5,6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[5,6]C[5,5,6]O[5]H)(C[6]C[6]CH)(H)(I)	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	C[6](C[5,6]C[5,5,6]O[5]H)(C[6]C[6]CH)(H)(I){2|C<3>,2|C<4>,2|H<1>}	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	108.4420	0.000	1	108.4420	0.000	1     108.2390       0.751      13      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[5,6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[5,6]C[5,6]O[5]H)(C[6]C[6]HH)(H)(I)	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	C[6](C[5,6]C[5,6]O[5]H)(C[6]C[6]HH)(H)(I){1|C<3>,2|H<1>,3|C<4>}	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	107.9500	0.000	1	108.1543	0.177	3     108.2390       0.751      13      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[5,6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[5,6]C[5,6]O[5]H)(C[6]C[6]HH)(H)(I)	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	C[6](C[5,6]C[5,6]O[5]H)(C[6]C[6]HH)(H)(I){3|C<4>,3|H<1>}	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	108.2565	0.018	2	108.1543	0.177	3     108.2390       0.751      13      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[5,6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[5,6]C[5,6]O[5]H)(C[6]C[6a]O[6]H)(H)(I)	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	C[6](C[5,6]C[5,6]O[5]H)(C[6]C[6a]O[6]H)(H)(I){1|H<1>,1|O<2>,2|C<3>,2|C<4>}	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	107.8597	0.511	3	107.8597	0.511	3     108.2390       0.751      13      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[5,6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[5,6]N[5,5,6]C[5,5]H)(C[6]C[6a]C[6]H)(H)(I)	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	C[6](C[5,6]N[5,5,6]C[5,5]H)(C[6]C[6a]C[6]H)(H)(I){2|H<1>,3|C<3>,4|C<4>}	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	109.1710	0.000	1	109.1710	0.000	1     108.2390       0.751      13      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[5,6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[5,6]N[5,6]C[5]H)(C[6]C[6]HO)(H)(I)	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	C[6](C[5,6]N[5,6]C[5]H)(C[6]C[6]HO)(H)(I){1|C<3>,3|C<4>,3|H<1>}	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	106.4410	0.000	1	107.7210	1.810	2     108.2390       0.751      13      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[5,6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[5,6]N[5,6]C[5]H)(C[6]C[6]HO)(H)(I)	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	C[6](C[5,6]N[5,6]C[5]H)(C[6]C[6]HO)(H)(I){1|C<3>,3|C<4>,4|H<1>}	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	109.0010	0.000	1	107.7210	1.810	2     108.2390       0.751      13      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[5,6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[5,6]N[5,6]C[5]H)(C[6]O[6]CH)(H)(I)	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	C[6](C[5,6]N[5,6]C[5]H)(C[6]O[6]CH)(H)(I){1|C<3>,1|H<1>,1|O<2>,2|C<4>}	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	108.9095	0.315	2	108.9095	0.315	2     108.2390       0.751      13      108.0991     0.612     30
