466	690	963	3:4:1:1:	4:	4:	C[5a,6]-3:C[5,6]-4:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[5a,6]C[5a,6]N[5a])(C[5,6]C[5,6]C[5]H)(H)(O)	H(C[6]C[5a,6]C[5,6]O)	O(C[6]C[5a,6]C[5,6]H)	C[6](C[5a,6]C[5a,6]N[5a])(C[5,6]C[5,6]C[5]H)(H)(O){1|H<1>,1|O<2>,1|S<4>,3|C<3>,3|C<4>}	H(C[6]C[5a,6]C[5,6]O)	O(C[6]C[5a,6]C[5,6]H)	108.4530	0.000	1	108.4530	0.000	1     108.4530       0.000      1      108.4530     0.000     1
466	690	963	4:3:1:1:	4:	4:	C[6]-4:C[6]-3:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HH)(C[6]C[6]C)(H)(O)	H(C[6]C[6]2O)	O(C[6]C[6]2H)	C[6](C[6]C[6]HH)(C[6]C[6]C)(H)(O){1|O<1>,2|C<4>,2|H<1>}	H(C[6]C[6]2O)	O(C[6]C[6]2H)	108.3750	0.000	1	108.3750	0.000	1     108.3750       0.000      1      108.3750     0.000     1
466	690	963	4:4:1:1:	4:	4:	C[3x6]-4:N[3x6]-4:H-1:O-1:	C[6,6]-4:	C[6,6]-4:	C[6,6](C[3x6]C[6,6]2C)(N[3x6]C[6,6]2C)(H)(O)	H(C[6,6]C[3x6]N[3x6]O)	O(C[6,6]C[3x6]N[3x6]H)	C[6,6](C[3x6]C[6,6]2C)(N[3x6]C[6,6]2C)(H)(O){2|C<4>,8|H<1>}	H(C[6,6]C[3x6]N[3x6]O)	O(C[6,6]C[3x6]N[3x6]H)	108.7710	0.000	1	108.7710	0.000	1     108.7710       0.000      1      108.9688     1.048     48
466	690	963	4:4:1:1:	4:	4:	C[4,6,6]-4:C[6,6]-4:H-1:O-1:	C[6,6]-4:	C[6,6]-4:	C[6,6](C[4,6,6]C[4,6]O[4,6]C)(C[6,6]C[6,6]CO)(H)(O)	H(C[6,6]C[4,6,6]C[6,6]O)	O(C[6,6]C[4,6,6]C[6,6]H)	C[6,6](C[4,6,6]C[4,6]O[4,6]C)(C[6,6]C[6,6]CO)(H)(O){1|C<4>,1|O<1>,3|H<1>}	H(C[6,6]C[4,6,6]C[6,6]O)	O(C[6,6]C[4,6,6]C[6,6]H)	111.6857	1.248	3	111.6857	1.248	3     111.6857       1.248      3      108.9688     1.048     48
466	690	963	4:4:1:1:	4:	4:	C[5,6]-4:C[6]-4:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[5,6]C[5,5,6]C[5]C)(C[6]C[5,6]HH)(H)(O)	H(C[6]C[5,6]C[6]O)	O(C[6]C[5,6]C[6]H)	C[6](C[5,6]C[5,5,6]C[5]C)(C[6]C[5,6]HH)(H)(O){3|H<1>,5|C<4>}	H(C[6]C[5,6]C[6]O)	O(C[6]C[5,6]C[6]H)	107.2220	0.000	1	107.2220	0.000	1     108.9945       2.507      2      108.9688     1.048     48
466	690	963	4:4:1:1:	4:	4:	C[5,6]-4:C[6]-4:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[5,6]C[5,6]O[5]O)(C[6]C[6]HO)(H)(O)	H(C[6]C[5,6]C[6]O)	O(C[6]C[5,6]C[6]H)	C[6](C[5,6]C[5,6]O[5]O)(C[6]C[6]HO)(H)(O){1|C<3>,1|O<2>,2|C<4>,2|H<1>}	H(C[6]C[5,6]C[6]O)	O(C[6]C[5,6]C[6]H)	110.7670	0.000	1	110.7670	0.000	1     108.9945       2.507      2      108.9688     1.048     48
466	690	963	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[5,6]HO)(C[6]O[6]CH)(H)(O)	H(C[6]C[6]2O)	O(C[6]C[6]2H)	C[6](C[6]C[5,6]HO)(C[6]O[6]CH)(H)(O){1|C<4>,2|O<2>}	H(C[6]C[6]2O)	O(C[6]C[6]2H)	108.6390	0.000	1	108.6390	0.000	1     108.7782       0.671      42      108.9688     1.048     48
466	690	963	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6,6]HH)(C[6]C[6]HH)(H)(O)	H(C[6]C[6]2O)	O(C[6]C[6]2H)	C[6](C[6]C[6,6]HH)(C[6]C[6]HH)(H)(O){2|C<4>,3|H<1>}	H(C[6]C[6]2O)	O(C[6]C[6]2H)	108.7930	0.000	1	108.7930	0.000	1     108.7782       0.671      42      108.9688     1.048     48
466	690	963	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]CC)(C[6]C[6]HH)(H)(O)	H(C[6]C[6]2O)	O(C[6]C[6]2H)	C[6](C[6]C[6]CC)(C[6]C[6]HH)(H)(O){1|C<3>,1|C<4>,1|O<1>,2|H<1>}	H(C[6]C[6]2O)	O(C[6]C[6]2H)	108.8390	0.000	1	108.4245	0.586	2     108.7782       0.671      42      108.9688     1.048     48
466	690	963	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]CC)(C[6]C[6]HH)(H)(O)	H(C[6]C[6]2O)	O(C[6]C[6]2H)	C[6](C[6]C[6]CC)(C[6]C[6]HH)(H)(O){2|C<4>,3|H<1>}	H(C[6]C[6]2O)	O(C[6]C[6]2H)	108.0100	0.000	1	108.4245	0.586	2     108.7782       0.671      42      108.9688     1.048     48
466	690	963	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HN)(C[6]C[6]HO)(H)(O)	H(C[6]C[6]2O)	O(C[6]C[6]2H)	C[6](C[6]C[6]HN)(C[6]C[6]HO)(H)(O){1|C<4>,1|N<4>,1|O<2>,2|H<1>}	H(C[6]C[6]2O)	O(C[6]C[6]2H)	108.1990	0.031	2	108.1990	0.031	2     108.7782       0.671      42      108.9688     1.048     48
466	690	963	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HO)(C[6]O[6]CH)(H)(O)	H(C[6]C[6]2O)	O(C[6]C[6]2H)	C[6](C[6]C[6]HO)(C[6]O[6]CH)(H)(O){1|C<4>,1|H<1>,1|N<4>}	H(C[6]C[6]2O)	O(C[6]C[6]2H)	109.7520	0.301	2	108.9488	0.838	6     108.7782       0.671      42      108.9688     1.048     48
466	690	963	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HO)(C[6]O[6]CH)(H)(O)	H(C[6]C[6]2O)	O(C[6]C[6]2H)	C[6](C[6]C[6]HO)(C[6]O[6]CH)(H)(O){1|C<4>,1|H<1>,1|O<1>}	H(C[6]C[6]2O)	O(C[6]C[6]2H)	107.9470	0.000	2	108.9488	0.838	6     108.7782       0.671      42      108.9688     1.048     48
466	690	963	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HO)(C[6]O[6]CH)(H)(O)	H(C[6]C[6]2O)	O(C[6]C[6]2H)	C[6](C[6]C[6]HO)(C[6]O[6]CH)(H)(O){1|C<4>,2|H<1>}	H(C[6]C[6]2O)	O(C[6]C[6]2H)	109.1475	0.210	2	108.9488	0.838	6     108.7782       0.671      42      108.9688     1.048     48
466	690	963	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HO)(C[6]O[6]HO)(H)(O)	H(C[6]C[6]2O)	O(C[6]C[6]2H)	C[6](C[6]C[6]HO)(C[6]O[6]HO)(H)(O){1|C<4>,1|H<1>,1|O<1>}	H(C[6]C[6]2O)	O(C[6]C[6]2H)	110.0900	0.000	2	109.0014	0.753	14     108.7782       0.671      42      108.9688     1.048     48
466	690	963	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HO)(C[6]O[6]HO)(H)(O)	H(C[6]C[6]2O)	O(C[6]C[6]2H)	C[6](C[6]C[6]HO)(C[6]O[6]HO)(H)(O){1|C<4>,1|H<1>,1|O<2>}	H(C[6]C[6]2O)	O(C[6]C[6]2H)	108.8200	0.647	12	109.0014	0.753	14     108.7782       0.671      42      108.9688     1.048     48
466	690	963	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:O-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HO)2(H)(O)	H(C[6]C[6]2O)	O(C[6]C[6]2H)	C[6](C[6]C[6]HO)2(H)(O){1|C<4>,2|H<1>,2|O<2>}	H(C[6]C[6]2O)	O(C[6]C[6]2H)	108.6433	0.586	16	108.6433	0.586	16     108.7782       0.671      42      108.9688     1.048     48
466	690	965	3:3:2:1:	4:	4:4:	C[5a,6]-3:C[6]-3:H-2:H-1:	C[6]-4:	C[6]-4:C-4:	C[6](C[5a,6]C[5a,6]C[5a])(C[6]C[6]H)(HC)(H)	H(C[6]C[5a,6]C[6]H)	H(C[6]C[5a,6]C[6]H)(CC[6a]HH)	C[6](C[5a,6]C[5a,6]C[5a])(C[6]C[6]H)(HC)(H){1|O<2>,2|C<3>,2|H<1>}	H(C[6]C[5a,6]C[6]H)	H(C[6]C[5a,6]C[6]H)(CC[6a]HH)	37.6166	0.000	1	37.6166	0.000	1     37.6166       0.000      1      37.6166     0.000     1
466	690	965	4:4:2:1:	4:	4:2:	C[6]-4:N[6]-4:H-2:H-1:	C[6]-4:	C[6]-4:O-2:	C[6](C[6]N[6]HH)(N[6]C[6]HH)(HO)(H)	H(C[6]C[6]N[6]H)	H(C[6]C[6]N[6]H)(OC)	C[6](C[6]N[6]HH)(N[6]C[6]HH)(HO)(H){1|C<4>,4|H<1>}	H(C[6]C[6]N[6]H)	H(C[6]C[6]N[6]H)(OC)	108.0870	0.000	1	108.0870	0.000	1     108.0870       0.000      1      108.0870     0.000     1
466	690	968	3:4:4:1:	4:	3:3:4:	P[4a]-3:C[6]-4:C[6]-4:H-1:	C[6]-4:	P[4a]-3:P[4a]-3:C[6]-4:	C[6](P[4a]P[4a]2)(C[6]C[6]HH)2(H)	H(C[6]P[4a]C[6]2)	P[4a](P[4a]P[4a]C[6])2(C[6]C[6]2H)	C[6](P[4a]P[4a]2)(C[6]C[6]HH)2(H){1|P<4>,3|C<4>,4|H<1>}	H(C[6]P[4a]C[6]2)	P[4a](P[4a]P[4a]C[6])2(C[6]C[6]2H){1|As<3>,6|H<1>,7|C<4>}	108.7270	0.000	1	108.7270	0.000	1     108.7270       0.000      1      108.7270     0.000     1
466	690	968	3:4:4:1:	4:	4:3:4:	P[4a]-3:C[6]-4:C[6]-4:H-1:	C[6]-4:	P[4a]-4:P[4a]-3:C[6]-4:	C[6](P[4a]P[4a]2)(C[6]C[6]HH)2(H)	H(C[6]P[4a]C[6]2)	P[4a](P[4a]P[4a]C[6]As)(P[4a]P[4a]C[6])(C[6]C[6]2H)	C[6](P[4a]P[4a]2)(C[6]C[6]HH)2(H){1|As<3>,1|P<3>,3|C<4>,4|H<1>}	H(C[6]P[4a]C[6]2)	P[4a](P[4a]P[4a]C[6]As)(P[4a]P[4a]C[6])(C[6]C[6]2H){6|H<1>,7|C<4>}	109.3090	0.052	2	109.3090	0.052	2     109.3090       0.052      2      109.3090     0.052     2
466	690	968	4:4:3:1:	4:	3:3:4:	C[6]-4:C[6]-4:P[4]-3:H-1:	C[6]-4:	P[4]-3:P[4]-3:C[6]-4:	C[6](C[6]C[6]HH)2(P[4]P[4]2)(H)	H(C[6]C[6]2P[4])	P[4](P[4]C[6]P[4])2(C[6]C[6]2H)	C[6](C[6]C[6]HH)2(P[4]P[4]2)(H){1|P<3>,3|C<4>,4|H<1>}	H(C[6]C[6]2P[4])	P[4](P[4]C[6]P[4])2(C[6]C[6]2H){6|H<1>,7|C<4>}	109.2050	0.000	1	109.1075	0.138	2     109.1075       0.138      2      109.1075     0.138     2
466	690	968	4:4:3:1:	4:	3:3:4:	C[6]-4:C[6]-4:P[4]-3:H-1:	C[6]-4:	P[4]-3:P[4]-3:C[6]-4:	C[6](C[6]C[6]HH)2(P[4]P[4]2)(H)	H(C[6]C[6]2P[4])	P[4](P[4]C[6]P[4])2(C[6]C[6]2H)	C[6](C[6]C[6]HH)2(P[4]P[4]2)(H){1|P<4>,3|C<4>,4|H<1>}	H(C[6]C[6]2P[4])	P[4](P[4]C[6]P[4])2(C[6]C[6]2H){1|Cl<1>,6|H<1>,7|C<4>}	109.0100	0.000	1	109.1075	0.138	2     109.1075       0.138      2      109.1075     0.138     2
466	690	968	4:4:3:1:	4:	4:3:4:	C[6]-4:C[6]-4:P[4]-3:H-1:	C[6]-4:	P[4]-4:P[4]-3:C[6]-4:	C[6](C[6]C[6]HH)2(P[4]P[4]2)(H)	H(C[6]C[6]2P[4])	P[4](P[4]C[6]P[4]Cl)(P[4]C[6]P[4])(C[6]C[6]2H)	C[6](C[6]C[6]HH)2(P[4]P[4]2)(H){1|Cl<1>,1|P<3>,3|C<4>,4|H<1>}	H(C[6]C[6]2P[4])	P[4](P[4]C[6]P[4]Cl)(P[4]C[6]P[4])(C[6]C[6]2H){6|H<1>,7|C<4>}	109.3815	0.165	2	109.3815	0.165	2     109.3815       0.165      2      109.3815     0.165     2
466	690	968	4:4:3:1:	4:	4:4:4:	C[6]-4:C[6]-4:P[4]-3:H-1:	C[6]-4:	P[4]-4:P[4]-4:C[6]-4:	C[6](C[6]C[6]HH)2(P[4]P[4]2)(H)	H(C[6]C[6]2P[4])	P[4](P[4]C[6]P[4]C)2(C[6]C[6]2H)	C[6](C[6]C[6]HH)2(P[4]P[4]2)(H){1|P<3>,4|H<1>,5|C<4>}	H(C[6]C[6]2P[4])	P[4](P[4]C[6]P[4]C)2(C[6]C[6]2H){6|H<1>,7|C<4>}	110.2705	0.028	2	110.2705	0.028	2     110.2705       0.028      2      110.2705     0.028     2
466	690	969	3:4:1:1:	4:	3:4:1:1:	C[6]-3:S[6]-4:Cl-1:H-1:	C[6]-4:	N[6]-3:C[6]-4:O-1:O-1:	C[6](C[6]C[6,6a]N)(S[6]N[6]OO)(Cl)(H)	H(C[6]C[6]S[6]Cl)	S[6](N[6]C[6,6a]C)(C[6]C[6]ClH)(O)2	C[6](C[6]C[6,6a]N)(S[6]N[6]OO)(Cl)(H){1|C<4>,2|C<3>}	H(C[6]C[6]S[6]Cl)	S[6](N[6]C[6,6a]C)(C[6]C[6]ClH)(O)2{1|N<2>,2|C<3>}	108.9310	0.386	6	108.9310	0.386	6     108.9310       0.386      6      109.0720     1.298     39
466	690	969	3:4:1:1:	4:	3:4:1:1:	C[6]-3:S[6]-4:H-1:H-1:	C[6]-4:	N[6]-3:C[6]-4:O-1:O-1:	C[6](C[6]C[6,6a]N)(S[6]N[6]OO)(H)2	H(C[6]C[6]S[6]H)	S[6](N[6]C[6,6a]C)(C[6]C[6]HH)(O)2	C[6](C[6]C[6,6a]N)(S[6]N[6]OO)(H)2{1|C<4>,2|C<3>}	H(C[6]C[6]S[6]H)	S[6](N[6]C[6,6a]C)(C[6]C[6]HH)(O)2{1|N<2>,2|C<3>}	109.4742	0.165	24	109.4742	0.165	24     109.0977       1.405      33      109.0720     1.298     39
