849  658  658  6:SP3_SP3_SP3  P[6]  Si[6]  Si[6]  4:4:3:3:  4:4:4:4:  4:4:4:4:  Si[6]-4:Si[6]-4:C[6a]-3:C[6a]-3:  P[6]-4:C[6]-4:C-4:C-4:  P[6]-4:C[6]-4:C-4:C-4:  748_453_1  833_149_1  833_149_1  105.0250  0.000  1  105.0250  0.000  1  105.0250  0.000  1  105.0250  0.000  1  105.0250  0.000  1  105.0250  0.000  1  
849  727  727  0:SP3_SP2_SP2  P[6]  C[5a]  C[5a]  3:3:2:2:  4:3:2:  4:3:2:  C[5a]-3:C[5a]-3:N[6]-2:N[6]-2:  P[6]-4:C[5a]-3:N[5a]-2:  P[6]-4:C[5a]-3:N[5a]-2:  748_56_2  425_10884_1  425_10884_1  107.1220  0.000  1  107.1220  0.000  1  107.1220  0.000  1  107.1220  0.000  1  104.3467  10.679  3  104.3467  10.679  3  
849  727  727  0:SP3_SP2_SP2  P[6]  C[5a]  C[5a]  3:3:2:2:  4:3:3:  4:3:2:  C[5a]-3:C[5a]-3:N[6]-2:N[6]-2:  P[6]-4:C[5a]-3:N[5a]-3:  P[6]-4:C[5a]-3:N[5a]-2:  748_56_1  425_10885_1  425_10884_2  105.1730  0.000  1  105.1730  0.000  1  105.1730  0.000  1  105.1730  0.000  1  104.3467  10.679  3  104.3467  10.679  3  
849  727  727  0:SP3_SP2_SP2  P[6]  C[5a]  C[5a]  3:3:2:2:  4:3:3:  4:3:3:  C[5a]-3:C[5a]-3:N[6]-2:N[6]-2:  P[6]-4:C[5a]-3:N[5a]-3:  P[6]-4:C[5a]-3:N[5a]-3:  748_56_3  425_10885_2  425_10885_2  100.7450  0.000  1  100.7450  0.000  1  100.7450  0.000  1  100.7450  0.000  1  104.3467  10.679  3  104.3467  10.679  3  
849  727  830  0:SP3_SP-NON_SP2  P[6]  C[5a]  F  3:2:2:1:  3:3:4:  4:  C[5a]-3:N[6]-2:N[6]-2:F-1:  C[5a]-3:N[5a]-3:P[6]-4:  P[6]-4:  748_55_2  425_6998_1  465_532_0  101.6990  0.000  1  101.6990  0.000  1  101.6990  0.000  1  101.6990  0.000  1  103.0860  3.848  2  103.0860  3.848  2  
849  727  830  0:SP3_SP-NON_SP2  P[6]  C[5a]  F  3:2:2:1:  3:4:2:  4:  C[5a]-3:N[6]-2:N[6]-2:F-1:  C[5a]-3:P[6]-4:N[5a]-2:  P[6]-4:  748_55_1  425_7005_1  465_532_0  104.4730  0.000  1  104.4730  0.000  1  104.4730  0.000  1  104.4730  0.000  1  103.0860  3.848  2  103.0860  3.848  2  
849  727  863  0:SP3_SP2_SP2  P[6]  C[5a,6]  O  3:4:3:1:  3:4:2:  4:  C[5a,6]-3:C[6]-4:C[6a]-3:O-1:  C[5a,6]-3:P[6]-4:S[5a]-2:  P[6]-4:  748_52_1  422_185_1  665_6672_0  113.8920  0.000  1  113.8920  0.000  1  113.8920  0.000  1  113.8920  0.000  1  113.8920  0.000  1  114.4075  0.531  2  
849  727  863  0:SP3_SP2_SP2  P[6]  C[5a]  O  3:2:2:1:  3:3:4:  4:  C[5a]-3:O[6]-2:O[6]-2:O-1:  C[5a,6a]-3:C[5a]-3:P[6]-4:  P[6]-4:  748_53_1  425_1812_1  665_6673_0  114.9230  0.000  1  114.9230  0.000  1  114.9230  0.000  1  114.9230  0.000  1  114.9230  0.000  1  114.4075  0.531  2  
849  727  914  0:SP3_SP2_SP2  P[6]  C[5a]  N[6]  3:2:2:1:  3:3:4:  4:4:  C[5a]-3:N[6]-2:N[6]-2:F-1:  C[5a]-3:N[5a]-3:P[6]-4:  P[6]-4:P[6]-4:  748_55_2  425_6998_1  661_5071_2  111.7280  1.942  2  111.7280  3.770  2  111.7280  3.770  2  111.7280  3.770  2  109.7875  2.193  16  109.7875  2.193  16  
849  727  914  0:SP3_SP2_SP2  P[6]  C[5a]  N[6]  3:2:2:1:  3:4:2:  4:4:  C[5a]-3:N[6]-2:N[6]-2:F-1:  C[5a]-3:P[6]-4:N[5a]-2:  P[6]-4:P[6]-4:  748_55_1  425_7005_1  661_5071_1  110.8785  0.414  2  110.8785  0.171  2  110.8785  0.171  2  110.8785  0.171  2  109.7875  2.193  16  109.7875  2.193  16  
849  727  914  0:SP3_SP2_SP2  P[6]  C[5a]  N[6]  3:2:2:2:  3:3:4:  4:4:  C[5a]-3:N[6]-2:N[6]-2:C-2:  C[5a]-3:N[5a]-3:P[6]-4:  P[6]-4:P[6]-4:  748_54_1  425_6997_1  661_5070_1  109.2680  1.851  2  109.2680  3.427  2  109.2680  3.427  2  109.2680  3.427  2  109.7875  2.193  16  109.7875  2.193  16  
