466	762	778	5:3:1:1:	4:3:3:	6:6:5:5:4:	C[3x3,5,5x6]-5:C[6,6a]-3:H-1:H-1:	C[6]-4:C[6,6a]-3:C[6a]-3:	B[4x3,3x5,11x6]-6:B[4x3,5,5,10x6]-6:C[3x3,5,6x6]-5:B[3x3,5,5x6]-5:C[6]-4:	C[6](C[3x3,5,5x6]B[4x3,3x5,11x6]B[4x3,5,5,10x6]B[3x3,5,5x6]C[3x3,5,6x6])(C[6,6a]C[6,6a]C[6a])(H)2	C[6,6a](C[6]C[3x3,5,5x6]HH)(C[6,6a]C[6a]C[6])(C[6a]C[6a]H)	C[3x3,5,5x6](B[4x3,3x5,11x6]B[3x3,3x5,10x6]B[4x3,5,5,10x6]B[5x3,3x5,3x6]B[5x3,5,5,5x6]H)(B[4x3,5,5,10x6]B[3x3,3x5,10x6]B[4x3,3x5,11x6]B[5x3,5,5,5x6]B[3x3,5,5x6]H)(C[3x3,5,6x6]B[4x3,5,5,10x6]B[3x3,5,4x6]B[3x3,5,5x6]C[6])(B[3x3,5,5x6]B[4x3,5,5,10x6]B[3x3,5,4x6]C[3x3,5,6x6]H)(C[6]C[6,6a]HH)	C[6](C[3x3,5,5x6]B[4x3,3x5,11x6]B[4x3,5,5,10x6]B[3x3,5,5x6]C[3x3,5,6x6])(C[6,6a]C[6,6a]C[6a])(H)2{1|C<4>,2|C<3>,3|B<5>,3|B<6>,4|H<1>}	C[6,6a](C[6]C[3x3,5,5x6]HH)(C[6,6a]C[6a]C[6])(C[6a]C[6a]H){1|B<5>,1|C<3>,1|C<5>,2|B<6>,4|H<1>}	C[3x3,5,5x6](B[4x3,3x5,11x6]B[3x3,3x5,10x6]B[4x3,5,5,10x6]B[5x3,3x5,3x6]B[5x3,5,5,5x6]H)(B[4x3,5,5,10x6]B[3x3,3x5,10x6]B[4x3,3x5,11x6]B[5x3,5,5,5x6]B[3x3,5,5x6]H)(C[3x3,5,6x6]B[4x3,5,5,10x6]B[3x3,5,4x6]B[3x3,5,5x6]C[6])(B[3x3,5,5x6]B[4x3,5,5,10x6]B[3x3,5,4x6]C[3x3,5,6x6]H)(C[6]C[6,6a]HH){2|C<3>,3|B<6>,8|H<1>}	114.3000	0.000	1	114.3000	0.000	1     114.3000       0.000      1      114.3000     0.000     1
466	762	786	4:3:3:1:	4:3:3:	4:4:3:2:	B[5,5,6,6]-4:C[6,6,6a]-3:C[6,6,6a]-3:H-1:	C[3x6]-4:C[6,6,6a]-3:C[6a]-3:	B[5,5,6,6]-4:C[3x6]-4:N[5,5]-3:S[5]-2:	C[3x6](B[5,5,6,6]B[5,5,6,6]N[5,5]S[5])(C[6,6,6a]C[6,6,6a]C[6a])2(H)	C[6,6,6a](C[3x6]B[5,5,6,6]C[6,6,6a]H)(C[6,6,6a]C[3x6]C[6a])(C[6a]C[6a]H)	B[5,5,6,6](B[5,5,6,6]C[3x6]N[5,5]S[5])(C[3x6]C[6,6,6a]2H)(N[5,5]C[5,5]C[5])(S[5]C[5,5])	C[3x6](B[5,5,6,6]B[5,5,6,6]N[5,5]S[5])(C[6,6,6a]C[6,6,6a]C[6a])2(H){1|C<4>,1|N<3>,1|S<2>,2|H<1>,7|C<3>}	C[6,6,6a](C[3x6]B[5,5,6,6]C[6,6,6a]H)(C[6,6,6a]C[3x6]C[6a])(C[6a]C[6a]H){1|B<4>,1|N<3>,1|S<2>,3|C<3>,3|H<1>}	B[5,5,6,6](B[5,5,6,6]C[3x6]N[5,5]S[5])(C[3x6]C[6,6,6a]2H)(N[5,5]C[5,5]C[5])(S[5]C[5,5]){2|H<1>,2|N<3>,6|C<3>}	103.6227	2.145	4	103.6227	2.145	4     103.6227       2.145      4      103.6227     2.145     4
466	762	790	3:2:1:1:	4:2:1:	4:	C[6]-3:S[6]-2:Cl-1:Cl-1:	C[6]-4:S[6]-2:Cl-1:	C[6]-4:	C[6](C[6]S[6]Cl)(S[6]C[5,6])(Cl)2	C[6](C[6]S[6]Cl2)(S[6]C[5,6])(Cl)	Cl(C[6]C[6]S[6]Cl)	C[6](C[6]S[6]Cl)(S[6]C[5,6])(Cl)2{1|Cl<1>,1|C<4>,1|S<2>}	C[6](C[6]S[6]Cl2)(S[6]C[5,6])(Cl){1|Cl<1>,1|C<4>,1|S<2>}	Cl(C[6]C[6]S[6]Cl)	111.1735	2.522	2	111.1735	2.522	2     111.1735       2.522      2      111.1735     2.522     2
466	762	790	3:3:1:1:	4:3:1:	4:	C[6]-3:C[6]-3:Cl-1:Cl-1:	C[6]-4:N[6]-3:O-1:	C[6]-4:	C[6](C[6]N[6]O)2(Cl)2	C[6](C[6]C[6]Cl2)(N[6]C[6]H)(O)	Cl(C[6]C[6]2Cl)	C[6](C[6]N[6]O)2(Cl)2{1|C<3>,2|H<1>}	C[6](C[6]C[6]Cl2)(N[6]C[6]H)(O){1|N<3>,2|O<1>}	Cl(C[6]C[6]2Cl)	107.4957	2.504	32	107.4957	2.504	32     107.4957       2.504      32      107.6470     2.506     34
466	762	790	3:3:1:1:	4:3:1:	4:	C[6]-3:C[6]-3:Cl-1:F-1:	C[6]-4:C[6]-3:F-1:	C[6]-4:	C[6](C[6]C[3,6]O)(C[6]C[6]F)(Cl)(F)	C[6](C[6]C[6]ClF)(C[6]C[3,6]F)(F)	Cl(C[6]C[6]2F)	C[6](C[6]C[3,6]O)(C[6]C[6]F)(Cl)(F){2|C<4>,2|F<1>}	C[6](C[6]C[6]ClF)(C[6]C[3,6]F)(F){1|F<1>,1|O<1>,2|C<4>}	Cl(C[6]C[6]2F)	110.0670	0.591	2	110.0670	0.591	2     110.0670       0.591      2      107.6470     2.506     34
466	762	790	3:3:1:1:	4:4:1:	4:	C[6]-3:C[6]-3:Cl-1:F-1:	C[3,6]-4:C[6]-4:O-1:	C[6]-4:	C[6](C[6]C[3,6]O)(C[6]C[6]F)(Cl)(F)	C[6](C[3,6]C[3,6]C[3]F)(C[6]C[6]ClF)(O)	Cl(C[6]C[6]2F)	C[6](C[6]C[3,6]O)(C[6]C[6]F)(Cl)(F){2|C<4>,2|F<1>}	C[6](C[3,6]C[3,6]C[3]F)(C[6]C[6]ClF)(O){1|H<1>,2|C<3>,2|F<1>}	Cl(C[6]C[6]2F)	108.4330	0.942	2	108.4330	0.942	2     108.4330       0.942      2      108.4330     0.942     2
466	762	790	3:3:4:1:	4:2:1:	4:	C[6]-3:C[6]-3:C-4:Cl-1:	C[6]-4:O[6]-2:O-1:	C[6]-4:	C[6](C[6]C[6]O)(C[6]O[6]O)(CCHH)(Cl)	C[6](C[6]C[6]ClC)(O[6]C[6])(O)	Cl(C[6]C[6]2C)	C[6](C[6]C[6]O)(C[6]O[6]O)(CCHH)(Cl){1|H<1>,2|C<4>}	C[6](C[6]C[6]ClC)(O[6]C[6])(O){1|H<1>,1|O<1>,2|C<4>}	Cl(C[6]C[6]2C)	102.0830	0.000	1	102.0830	0.000	1     102.0830       0.000      1      102.0830     0.000     1
466	762	790	3:3:4:1:	4:3:1:	4:	C[6]-3:C[6]-3:C-4:Cl-1:	C[6]-4:C[6]-3:H-1:	C[6]-4:	C[6](C[6]C[6]H)(C[6]C[6]O)(CC3)(Cl)	C[6](C[6]C[6]ClC)(C[6]C[6]Cl)(H)	Cl(C[6]C[6]2C)	C[6](C[6]C[6]H)(C[6]C[6]O)(CC3)(Cl){3|Cl<1>,1|C<4>}	C[6](C[6]C[6]ClC)(C[6]C[6]Cl)(H){1|Cl<1>,1|C<4>,1|H<1>,1|O<1>}	Cl(C[6]C[6]2C)	105.2990	0.000	1	105.2990	0.000	1     105.2990       0.000      1      105.2990     0.000     1
466	762	790	3:3:4:1:	4:4:1:	4:	C[6]-3:C[6]-3:C-4:Cl-1:	C[6]-4:C[6]-4:O-1:	C[6]-4:	C[6](C[6]C[6]H)(C[6]C[6]O)(CC3)(Cl)	C[6](C[6]C[6]Cl2)(C[6]C[6]ClC)(O)	Cl(C[6]C[6]2C)	C[6](C[6]C[6]H)(C[6]C[6]O)(CC3)(Cl){3|Cl<1>,1|C<4>}	C[6](C[6]C[6]Cl2)(C[6]C[6]ClC)(O){1|Cl<1>,1|C<3>,2|H<1>}	Cl(C[6]C[6]2C)	103.8390	0.000	1	103.8390	0.000	1     102.0175       2.576      2      102.0175     2.576     2
466	762	790	3:3:4:1:	4:4:1:	4:	C[6]-3:C[6]-3:C-4:Cl-1:	C[6]-4:C[6]-4:O-1:	C[6]-4:	C[6](C[6]C[6]O)(C[6]O[6]O)(CCHH)(Cl)	C[6](C[6]C[6]ClC)(C[6]C[6]CH)(O)	Cl(C[6]C[6]2C)	C[6](C[6]C[6]O)(C[6]O[6]O)(CCHH)(Cl){1|H<1>,2|C<4>}	C[6](C[6]C[6]ClC)(C[6]C[6]CH)(O){1|C<4>,1|H<1>,1|O<1>,1|O<2>}	Cl(C[6]C[6]2C)	100.1960	0.000	1	100.1960	0.000	1     102.0175       2.576      2      102.0175     2.576     2
466	762	790	3:4:1:1:	3:3:4:	4:	C[6,6]-3:C[6]-4:Cl-1:H-1:	C[6,6]-3:C[6]-3:C[6]-4:	C[6]-4:	C[6](C[6,6]C[6,6]C[6])(C[6]C[6]ClH)(Cl)(H)	C[6,6](C[6,6]C[6]O[6])(C[6]C[6,6a]O)(C[6]C[6]ClH)	Cl(C[6]C[6,6]C[6]H)	C[6](C[6,6]C[6,6]C[6])(C[6]C[6]ClH)(Cl)(H){1|O<1>,1|O<2>,2|C<3>,2|C<4>}	C[6,6](C[6,6]C[6]O[6])(C[6]C[6,6a]O)(C[6]C[6]ClH){1|Cl<1>,1|C<4>,1|H<1>,1|O<1>,2|C<3>}	Cl(C[6]C[6,6]C[6]H)	111.9700	0.000	1	111.9700	0.000	1     111.9700       0.000      1      111.9700     0.000     1
