893	474	941	0:SP2_SP2_SP3	O	C[5]	N	4:2:	4:4:2:1:	3:2:	C[5]-4:N-2:	C[5]-4:C[5]-4:O-2:H-1:	C-3:O-2:	O(C[5]C[5]2H)(NC)	C[5](C[5]C[5]CH)2(ON)(H)	N(CC[6a]H)(OC[5])	O(C[5]C[5]2H)(NC)	C[5](C[5]C[5]CH)2(ON)(H){4|H<1>}	N(CC[6a]H)(OC[5])	109.9050	0.000	1	109.9050	0.000	1	109.9050	0.000	1	109.9050	0.000	1	109.9050	0.000	1	109.9050	0.000	1
893	474	945	0:SP3_SP3_SP3	O	C[5,6]	P	4:3:	4:4:3:2:	2:2:2:	C[5,6]-4:P-3:	C[5,5,6]-4:C[5,6]-4:C[6a]-3:O-2:	O-2:O-2:C-2:	O(C[5,6]C[5,5,6]C[5,6]C[6a])(PCO)	C[5,6](C[5,5,6]C[5,5]C[5,6]C)(C[5,6]C[5,5,6]CC)(C[6a]C[6a]2)(OP)	P(OC[5,6])2(CN)	O(C[5,6]C[5,5,6]C[5,6]C[6a])(PCO)	C[5,6](C[5,5,6]C[5,5]C[5,6]C)(C[5,6]C[5,5,6]CC)(C[6a]C[6a]2)(OP){1|C<4>,3|C<3>,6|H<1>}	P(OC[5,6])2(CN)	125.1515	17.148	2	125.1515	294.056	2	125.1515	294.056	2	125.1515	294.056	2	125.1515	294.056	2	125.1515	294.056	2
893	474	951	0:SP3_SP-NON_SP3	O	C[3x5,6,6]	H	4:1:	4:4:4:2:	2:	C[3x5,6,6]-4:H-1:	C[3x5,6,6]-4:C[3x5,3x6]-4:C[5,5]-4:O-2:	O-2:	O(C[3x5,6,6]C[3x5,3x6]C[3x5,6,6]C[5,5])(H)	C[3x5,6,6](C[3x5,6,6]C[3x5,3x6]C[5,5]C)(C[3x5,3x6]C[3x5,6,6]2H)(C[5,5]C[3x5,6,6]CH)(OH)	H(OC[3x5,6,6])	O(C[3x5,6,6]C[3x5,3x6]C[3x5,6,6]C[5,5])(H)	C[3x5,6,6](C[3x5,6,6]C[3x5,3x6]C[5,5]C)(C[3x5,3x6]C[3x5,6,6]2H)(C[5,5]C[3x5,6,6]CH)(OH){1|O<1>,2|C<4>,4|H<1>}	H(OC[3x5,6,6])	109.5120	0.000	1	109.5120	0.000	1	109.5120	0.000	1	109.5120	0.000	1	109.5120	0.000	1	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[3x5,6]	H	4:1:	4:4:2:2:	2:	C[3x5,6]-4:H-1:	C[3x5,6,6]-4:C[4,5,5,6]-4:O[5,5]-2:O-2:	O-2:	O(C[3x5,6]C[3x5,6,6]C[4,5,5,6]O[5,5])(H)	C[3x5,6](C[3x5,6,6]C[3x5,6,6]C[3x5,6]H)(C[4,5,5,6]C[4,5,5,6]2H)(O[5,5]C[3x5,6])(OH)	H(OC[3x5,6])	O(C[3x5,6]C[3x5,6,6]C[4,5,5,6]O[5,5])(H)	C[3x5,6](C[3x5,6,6]C[3x5,6,6]C[3x5,6]H)(C[4,5,5,6]C[4,5,5,6]2H)(O[5,5]C[3x5,6])(OH){1|C<3>,3|C<4>,4|H<1>}	H(OC[3x5,6])	108.7130	0.000	1	108.5610	0.046	2	108.5610	0.046	2	108.5610	0.046	2	107.7827	7.174	6	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[3x5,6]	H	4:1:	4:4:2:2:	2:	C[3x5,6]-4:H-1:	C[3x5,6,6]-4:C[4,5,5,6]-4:O[5,5]-2:O-2:	O-2:	O(C[3x5,6]C[3x5,6,6]C[4,5,5,6]O[5,5])(H)	C[3x5,6](C[3x5,6,6]C[3x5,6,6]C[3x5,6]H)(C[4,5,5,6]C[4,5,5,6]2H)(O[5,5]C[3x5,6])(OH)	H(OC[3x5,6])	O(C[3x5,6]C[3x5,6,6]C[4,5,5,6]O[5,5])(H)	C[3x5,6](C[3x5,6,6]C[3x5,6,6]C[3x5,6]H)(C[4,5,5,6]C[4,5,5,6]2H)(O[5,5]C[3x5,6])(OH){4|C<4>,4|H<1>}	H(OC[3x5,6])	108.4090	0.000	1	108.5610	0.046	2	108.5610	0.046	2	108.5610	0.046	2	107.7827	7.174	6	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[3x5,6]	H	4:1:	4:4:4:2:	2:	C[3x5,6]-4:H-1:	C[5,5,6,6]-4:C[5,5,6]-4:C[5,5,6]-4:O-2:	O-2:	O(C[3x5,6]C[5,5,6,6]C[5,5,6]2)(H)	C[3x5,6](C[5,5,6,6]C[5,6,6]O[5,6]C[6])(C[5,5,6]C[5,6,6]C[5]C)(C[5,5,6]C[5,6,6]C[5]O)(OH)	H(OC[3x5,6])	O(C[3x5,6]C[5,5,6,6]C[5,5,6]2)(H)	C[3x5,6](C[5,5,6,6]C[5,6,6]O[5,6]C[6])(C[5,5,6]C[5,6,6]C[5]C)(C[5,5,6]C[5,6,6]C[5]O)(OH){2|H<1>,5|C<4>,5|O<2>}	H(OC[3x5,6])	112.0550	0.000	1	107.9997	14.799	3	107.9997	14.799	3	107.3935	11.336	4	107.7827	7.174	6	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[3x5,6]	H	4:1:	4:4:4:2:	2:	C[3x5,6]-4:H-1:	C[5,5,6,6]-4:C[5,5,6]-4:C[5,5,6]-4:O-2:	O-2:	O(C[3x5,6]C[5,5,6,6]C[5,5,6]2)(H)	C[3x5,6](C[5,5,6,6]C[5,6,6]O[5,6]C[6])(C[5,5,6]C[5,6,6]C[5]C)(C[5,5,6]C[5,6,6]C[5]O)(OH)	H(OC[3x5,6])	O(C[3x5,6]C[5,5,6,6]C[5,5,6]2)(H)	C[3x5,6](C[5,5,6,6]C[5,6,6]O[5,6]C[6])(C[5,5,6]C[5,6,6]C[5]C)(C[5,5,6]C[5,6,6]C[5]O)(OH){3|H<1>,4|O<2>,5|C<4>}	H(OC[3x5,6])	104.4020	0.000	1	107.9997	14.799	3	107.9997	14.799	3	107.3935	11.336	4	107.7827	7.174	6	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[3x5,6]	H	4:1:	4:4:4:2:	2:	C[3x5,6]-4:H-1:	C[5,5,6,6]-4:C[5,5,6]-4:C[5,5,6]-4:O-2:	O-2:	O(C[3x5,6]C[5,5,6,6]C[5,5,6]2)(H)	C[3x5,6](C[5,5,6,6]C[5,6,6]O[5,6]C[6])(C[5,5,6]C[5,6,6]C[5]C)(C[5,5,6]C[5,6,6]C[5]O)(OH)	H(OC[3x5,6])	O(C[3x5,6]C[5,5,6,6]C[5,5,6]2)(H)	C[3x5,6](C[5,5,6,6]C[5,6,6]O[5,6]C[6])(C[5,5,6]C[5,6,6]C[5]C)(C[5,5,6]C[5,6,6]C[5]O)(OH){3|O<2>,4|H<1>,5|C<4>}	H(OC[3x5,6])	107.5420	0.000	1	107.9997	14.799	3	107.9997	14.799	3	107.3935	11.336	4	107.7827	7.174	6	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[3x5,6]	H	4:1:	4:4:4:2:	2:	C[3x5,6]-4:H-1:	C[5,5,6]-4:C[5,5,6]-4:C[5,5]-4:O-2:	O-2:	O(C[3x5,6]C[5,5,6]2C[5,5])(H)	C[3x5,6](C[5,5,6]C[5,6]O[5]H)(C[5,5,6]O[5,6]C[5]H)(C[5,5]C[5,5,6]HO)(OH)	H(OC[3x5,6])	O(C[3x5,6]C[5,5,6]2C[5,5])(H)	C[3x5,6](C[5,5,6]C[5,6]O[5]H)(C[5,5,6]O[5,6]C[5]H)(C[5,5]C[5,5,6]HO)(OH){1|N<3>,1|O<2>,3|H<1>}	H(OC[3x5,6])	105.5750	0.000	1	105.5750	0.000	1	105.5750	0.000	1	107.3935	11.336	4	107.7827	7.174	6	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[3x5]	H	4:1:	4:3:3:2:	2:	C[3x5]-4:H-1:	C[5,5]-4:N[5,5]-3:N[5,5]-3:O-2:	O-2:	O(C[3x5]C[5,5]N[5,5]2)(H)	C[3x5](C[5,5]C[5,6a]N[5]C)(N[5,5]C[5,6a]C[5])(N[5,5]C[5]2)(OH)	H(OC[3x5])	O(C[3x5]C[5,5]N[5,5]2)(H)	C[3x5](C[5,5]C[5,6a]N[5]C)(N[5,5]C[5,6a]C[5])(N[5,5]C[5]2)(OH){1|C<4>,1|O<1>,2|C<3>,4|H<1>}	H(OC[3x5])	109.3850	0.000	1	109.3850	0.000	1	109.3850	0.000	1	109.3850	0.000	1	109.1340	5.364	10	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[3x5]	H	4:1:	4:4:3:2:	2:	C[3x5]-4:H-1:	C[5,5,6]-4:C[5,5]-4:N[5,5]-3:O-2:	O-2:	O(C[3x5]C[5,5,6]C[5,5]N[5,5])(H)	C[3x5](C[5,5,6]C[5,5,6]C[5,6]H)(C[5,5]C[5]O[5]O)(N[5,5]C[5]2)(OH)	H(OC[3x5])	O(C[3x5]C[5,5,6]C[5,5]N[5,5])(H)	C[3x5](C[5,5,6]C[5,5,6]C[5,6]H)(C[5,5]C[5]O[5]O)(N[5,5]C[5]2)(OH){1|H<1>,1|O<1>,1|O<2>,2|C<3>,4|C<4>}	H(OC[3x5])	109.4680	0.000	1	109.4895	0.001	2	109.4895	0.001	2	108.3809	1.477	8	109.1340	5.364	10	108.9912	10.377	3916
