474	466	710	4:4:4:1:	4:4:1:1:	4:	C[5,6,6]-4:C[5,6]-4:C[6]-4:I-1:	C[5,6,6]-4:C[6,6]-4:H-1:H-1:	C[5,6,6]-4:	C[5,6,6](C[5,6,6]N[5,6,6]C[6]H)(C[5,6]C[5,6]C[6]H)(C[6]C[6,6]HH)(I)	C[6](C[5,6,6]C[5,6,6]C[5,6]I)(C[6,6]C[6,6]C[6]H)(H)2	I(C[5,6,6]C[5,6,6]C[5,6]C[6])	C[5,6,6](C[5,6,6]N[5,6,6]C[6]H)(C[5,6]C[5,6]C[6]H)(C[6]C[6,6]HH)(I){4|C<4>,6|H<1>}	C[6](C[5,6,6]C[5,6,6]C[5,6]I)(C[6,6]C[6,6]C[6]H)(H)2{1|N<3>,4|C<4>,6|H<1>}	I(C[5,6,6]C[5,6,6]C[5,6]C[6])	105.0901	0.608	7	105.0901	0.608	7     105.0901       0.608      7      105.0901     0.608     7
474	466	762	2:3:4:2:	4:2:4:4:	4:3:3:	O[5,6]-2:C[6a]-3:C[6]-4:O[5]-2:	C[5,6]-4:S[6]-2:C-4:C-4:	C[5,6]-4:C[6a]-3:C[6a]-3:	C[5,6](O[5,6]C[5,6])(C[6a]C[6a]2)(C[6]S[6]CC)(O[5]O[5])	C[6](C[5,6]O[5,6]C[6a]O[5])(S[6]C[6])(CH3)2	C[6a](C[5,6]O[5,6]C[6]O[5])(C[6a]C[6a]H)2	C[5,6](O[5,6]C[5,6])(C[6a]C[6a]2)(C[6]S[6]CC)(O[5]O[5]){1|C<4>,2|H<1>,3|C<3>}	C[6](C[5,6]O[5,6]C[6a]O[5])(S[6]C[6])(CH3)2{1|O<2>,2|C<3>,3|C<4>}	C[6a](C[5,6]O[5,6]C[6]O[5])(C[6a]C[6a]H)2{1|C<3>,1|O<2>,1|S<2>,2|H<1>,3|C<4>}	114.7780	0.303	2	114.7780	0.303	2     114.7780       0.303      2      114.7780     0.303     2
474	466	762	2:3:4:2:	4:4:1:1:	4:3:3:	O[5,6]-2:C[6a]-3:C[6]-4:O[5]-2:	C[5,6]-4:C[6]-4:H-1:H-1:	C[5,6]-4:C[6a]-3:C[6a]-3:	C[5,6](O[5,6]C[5,6])(C[6a]C[6a]2)(C[6]C[6]HH)(O[5]C[3,5])	C[6](C[5,6]O[5,6]C[6a]O[5])(C[6]C[6]HH)(H)2	C[6a](C[5,6]O[5,6]C[6]O[5])(C[6a]C[6a]H)2	C[5,6](O[5,6]C[5,6])(C[6a]C[6a]2)(C[6]C[6]HH)(O[5]C[3,5]){2|C<4>,3|C<3>,5|H<1>}	C[6](C[5,6]O[5,6]C[6a]O[5])(C[6]C[6]HH)(H)2{1|O<1>,2|C<3>,2|C<4>}	C[6a](C[5,6]O[5,6]C[6]O[5])(C[6a]C[6a]H)2{1|C<3>,3|C<4>,4|H<1>}	114.1390	0.539	2	114.1390	0.539	2     114.1390       0.539      2      114.0480     0.412     3
474	466	762	2:3:4:2:	4:4:1:1:	4:3:3:	O[5,6]-2:C[6a]-3:C[6]-4:Se[5]-2:	C[5,6]-4:C[6]-4:H-1:H-1:	C[5,6]-4:C[6a]-3:C[6a]-3:	C[5,6](O[5,6]C[5,6])(C[6a]C[6a]2)(C[6]C[6]HH)(Se[5]P[5])	C[6](C[5,6]O[5,6]C[6a]Se[5])(C[6]C[6]HH)(H)2	C[6a](C[5,6]O[5,6]Se[5]C[6])(C[6a]C[6a]H)2	C[5,6](O[5,6]C[5,6])(C[6a]C[6a]2)(C[6]C[6]HH)(Se[5]P[5]){1|Se<1>,1|C<4>,4|C<3>,4|H<1>}	C[6](C[5,6]O[5,6]C[6a]Se[5])(C[6]C[6]HH)(H)2{1|C<4>,1|P<4>,2|C<3>,2|H<1>}	C[6a](C[5,6]O[5,6]Se[5]C[6])(C[6a]C[6a]H)2{1|C<3>,1|P<4>,2|C<4>,4|H<1>}	113.8660	0.000	1	113.8660	0.000	1     113.8660       0.000      1      114.0480     0.412     3
474	466	762	2:3:4:4:	4:4:1:1:	4:3:3:	O[5,6]-2:C[6,6]-3:C[5]-4:C[6]-4:	C[5,6,6]-4:C[6]-4:H-1:H-1:	C[5,6,6]-4:C[6]-3:C[6]-3:	C[5,6,6](O[5,6]C[5,6,6])(C[6,6]C[6]2)(C[5]C[5]HH)(C[6]C[6]HH)	C[6](C[5,6,6]C[6,6]O[5,6]C[5])(C[6]C[6]BrH)(H)2	C[6,6](C[5,6,6]O[5,6]C[5]C[6])(C[6]C[6,6]H)(C[6]C[6]H)	C[5,6,6](O[5,6]C[5,6,6])(C[6,6]C[6]2)(C[5]C[5]HH)(C[6]C[6]HH){1|Br<1>,1|C<4>,2|C<3>,5|H<1>}	C[6](C[5,6,6]C[6,6]O[5,6]C[5])(C[6]C[6]BrH)(H)2{1|O<1>,2|C<3>,2|C<4>,2|H<1>}	C[6,6](C[5,6,6]O[5,6]C[5]C[6])(C[6]C[6,6]H)(C[6]C[6]H){1|O<1>,4|C<4>,4|H<1>}	110.2510	0.000	1	110.2510	0.000	1     110.2510       0.000      1      110.8425     0.424     4
474	466	762	2:3:4:4:	4:4:1:1:	4:3:3:	O[5,6]-2:C[6a]-3:C[5]-4:C[6]-4:	C[5,6]-4:C[6]-4:H-1:H-1:	C[5,6]-4:C[6a]-3:C[6a]-3:	C[5,6](O[5,6]C[5,6])(C[6a]C[6a]2)(C[5]C[5]CH)(C[6]C[6]HH)	C[6](C[5,6]O[5,6]C[6a]C[5])(C[6]C[6]HH)(H)2	C[6a](C[5,6]O[5,6]C[5]C[6])(C[6a]C[6a]H)2	C[5,6](O[5,6]C[5,6])(C[6a]C[6a]2)(C[5]C[5]CH)(C[6]C[6]HH){2|C<3>,2|C<4>,6|H<1>}	C[6](C[5,6]O[5,6]C[6a]C[5])(C[6]C[6]HH)(H)2{2|C<4>,3|C<3>,3|H<1>}	C[6a](C[5,6]O[5,6]C[5]C[6])(C[6a]C[6a]H)2{2|C<3>,3|C<4>,5|H<1>}	111.0230	0.000	1	111.0230	0.000	1     111.0397       0.191      3      110.8425     0.424     4
474	466	762	2:3:4:4:	4:4:1:1:	4:3:3:	O[5,6]-2:C[6a]-3:C[5]-4:C[6]-4:	C[5,6]-4:C[6]-4:H-1:H-1:	C[5,6]-4:C[6a]-3:C[6a]-3:	C[5,6](O[5,6]C[5,6])(C[6a]C[6a]2)(C[5]C[5]HH)(C[6]C[6]HH)	C[6](C[5,6]O[5,6]C[6a]C[5])(C[6]C[6]BrH)(H)2	C[6a](C[5,6]O[5,6]C[5]C[6])(C[6a]C[6a]H)2	C[5,6](O[5,6]C[5,6])(C[6a]C[6a]2)(C[5]C[5]HH)(C[6]C[6]HH){1|Br<1>,1|O<2>,2|C<3>,2|C<4>,4|H<1>}	C[6](C[5,6]O[5,6]C[6a]C[5])(C[6]C[6]BrH)(H)2{1|Br<1>,2|C<3>,2|C<4>,3|H<1>}	C[6a](C[5,6]O[5,6]C[5]C[6])(C[6a]C[6a]H)2{1|C<3>,3|C<4>,6|H<1>}	111.0480	0.269	2	111.0480	0.269	2     111.0397       0.191      3      110.8425     0.424     4
474	466	762	2:3:4:4:	4:4:1:1:	4:3:4:	O[5,6]-2:C[6,6]-3:C[5]-4:C[6]-4:	C[5,6,6]-4:C[6]-4:H-1:H-1:	C[5,6,6]-4:C[6]-3:C[6]-4:	C[5,6,6](O[5,6]C[5,6,6])(C[6,6]C[6]2)(C[5]C[5]HH)(C[6]C[6]HH)	C[6](C[5,6,6]C[6,6]O[5,6]C[5])(C[6]C[6]HN)(H)2	C[6,6](C[5,6,6]O[5,6]C[5]C[6])(C[6]C[6,6]H)(C[6]C[6]HO)	C[5,6,6](O[5,6]C[5,6,6])(C[6,6]C[6]2)(C[5]C[5]HH)(C[6]C[6]HH){1|C<3>,1|N<3>,1|O<2>,2|C<4>,5|H<1>}	C[6](C[5,6,6]C[6,6]O[5,6]C[5])(C[6]C[6]HN)(H)2{1|C<3>,1|O<2>,3|C<4>,3|H<1>}	C[6,6](C[5,6,6]O[5,6]C[5]C[6])(C[6]C[6,6]H)(C[6]C[6]HO){1|C<3>,1|O<2>,3|C<4>,5|H<1>}	111.6590	0.000	1	111.6590	0.000	1     111.6590       0.000      1      111.6590     0.000     1
474	466	762	3:2:3:4:	4:3:3:1:	4:3:3:	C[5,6a]-3:O[5,6]-2:C[6a]-3:C[6]-4:	C[5,6]-4:C[6]-3:C-3:H-1:	C[5,6]-4:C[6a]-3:C[6a]-3:	C[5,6](C[5,6a]C[5,6a]C[6a])(O[5,6]C[5,6])(C[6a]C[6a]2)(C[6]C[6]CH)	C[6](C[5,6]C[5,6a]O[5,6]C[6a])(C[6]C[6]O)(CCH)(H)	C[6a](C[5,6]C[5,6a]O[5,6]C[6])(C[6a]C[6a]H)2	C[5,6](C[5,6a]C[5,6a]C[6a])(O[5,6]C[5,6])(C[6a]C[6a]2)(C[6]C[6]CH){1|C<4>,1|O<1>,3|H<1>,5|C<3>}	C[6](C[5,6]C[5,6a]O[5,6]C[6a])(C[6]C[6]O)(CCH)(H){1|C<4>,1|H<1>,5|C<3>}	C[6a](C[5,6]C[5,6a]O[5,6]C[6])(C[6a]C[6a]H)2{1|C<4>,3|H<1>,5|C<3>}	111.5070	0.000	1	111.5070	0.000	1     112.7550       1.765      2      112.7550     1.765     2
474	466	762	3:2:3:4:	4:3:3:1:	4:3:3:	C[5,6a]-3:O[5,6]-2:C[6a]-3:C[6]-4:	C[5,6]-4:C[6]-3:C-3:H-1:	C[5,6]-4:C[6a]-3:C[6a]-3:	C[5,6](C[5,6a]C[5,6a]C[6a])(O[5,6]C[5,6])(C[6a]C[6a]2)(C[6]C[6]CH)	C[6](C[5,6]C[5,6a]O[5,6]C[6a])(C[6]O[6]C)(CCH)(H)	C[6a](C[5,6]C[5,6a]O[5,6]C[6])(C[6a]C[6a]H)2	C[5,6](C[5,6a]C[5,6a]C[6a])(O[5,6]C[5,6])(C[6a]C[6a]2)(C[6]C[6]CH){1|O<2>,3|H<1>,6|C<3>}	C[6](C[5,6]C[5,6a]O[5,6]C[6a])(C[6]O[6]C)(CCH)(H){1|C<4>,4|C<3>}	C[6a](C[5,6]C[5,6a]O[5,6]C[6])(C[6a]C[6a]H)2{1|C<4>,3|H<1>,5|C<3>}	114.0030	0.000	1	114.0030	0.000	1     112.7550       1.765      2      112.7550     1.765     2
474	466	762	3:2:4:3:	4:4:1:1:	4:3:1:	C[5,6]-3:O[5,6]-2:C[6]-4:C[6]-3:	C[5,6,6]-4:C[6]-4:H-1:H-1:	C[5,6,6]-4:C[6]-3:Br-1:	C[5,6,6](C[5,6]C[5]C[6])(O[5,6]C[5,6])(C[6]C[6]HH)(C[6]C[6]Br)	C[6](C[5,6,6]C[5,6]O[5,6]C[6])(C[6]C[6]HH)(H)2	C[6](C[5,6,6]C[5,6]O[5,6]C[6])(C[6]C[6]Br)(Br)	C[5,6,6](C[5,6]C[5]C[6])(O[5,6]C[5,6])(C[6]C[6]HH)(C[6]C[6]Br){1|Br<1>,1|C<3>,1|C<4>,1|O<2>,5|H<1>}	C[6](C[5,6,6]C[5,6]O[5,6]C[6])(C[6]C[6]HH)(H)2{1|Br<1>,2|C<3>,2|C<4>,2|H<1>}	C[6](C[5,6,6]C[5,6]O[5,6]C[6])(C[6]C[6]Br)(Br){1|C<3>,1|O<1>,2|H<1>,3|C<4>}	117.6470	0.000	1	117.6470	0.000	1     117.6470       0.000      1      117.6470     0.000     1
