474	474	502	4:3:3:4:	3:4:2:3:	4:2:2:1:	C[5,5,6]-4:C[5,6]-3:C[6a]-3:P[6]-4:	C[5,6,6a]-3:C[5,6]-4:O[5,5]-2:C[6a]-3:	C[5,6]-4:O[6]-2:O[6]-2:O-1:	C[5,6](C[5,5,6]C[5,6,6a]O[5,5]C[6a])(C[5,6]C[5,5,6]C)(C[6a]C[6a]2)(P[6]O[6]2O)	C[5,5,6](C[5,6,6a]C[5,6,6a]C[6a])(C[5,6]C[5,6]C[6a]P[6])(O[5,5]C[5,5,6])(C[6a]C[6a]2)	P[6](C[5,6]C[5,5,6]C[5,6]C[6a])(O[6]C[6])2(O)	C[5,6](C[5,5,6]C[5,6,6a]O[5,5]C[6a])(C[5,6]C[5,5,6]C)(C[6a]C[6a]2)(P[6]O[6]2O){2|C<4>,2|H<1>,7|C<3>}	C[5,5,6](C[5,6,6a]C[5,6,6a]C[6a])(C[5,6]C[5,6]C[6a]P[6])(O[5,5]C[5,5,6])(C[6a]C[6a]2){1|O<1>,2|O<2>,3|H<1>,8|C<3>}	P[6](C[5,6]C[5,5,6]C[5,6]C[6a])(O[6]C[6])2(O){1|O<2>,2|C<4>,4|H<1>,5|C<3>}	115.2360	2.296	3	115.2360	2.296	3     115.2360       2.296      3      115.2360     2.296     3
474	474	502	4:4:3:1:	4:4:4:1:	4:3:3:4:	C[5,6]-4:P[6]-4:C[5]-3:H-1:	C[5,6]-4:B[6]-4:C[5,6]-4:H-1:	C[5,6]-4:C[6a]-3:C[6a]-3:C[6]-4:	C[5,6](C[5,6]C[5,6]B[6]H)(P[6]C[6a]2C[6])(C[5]C[5,6]H)(H)	C[5,6](C[5,6]C[5]P[6]H)(B[6]C[6a]2C[6])(C[5,6]C[5,6]2H)(H)	P[6](C[5,6]C[5,6]C[5]H)(C[6a]C[6a]2)2(C[6]C[6]HH)	C[5,6](C[5,6]C[5,6]B[6]H)(P[6]C[6a]2C[6])(C[5]C[5,6]H)(H){3|C<4>,3|H<1>,6|C<3>}	C[5,6](C[5,6]C[5]P[6]H)(B[6]C[6a]2C[6])(C[5,6]C[5,6]2H)(H){2|C<4>,4|H<1>,8|C<3>}	P[6](C[5,6]C[5,6]C[5]H)(C[6a]C[6a]2)2(C[6]C[6]HH){1|B<4>,4|H<1>,5|C<3>,5|C<4>}	114.6800	0.000	1	114.6800	0.000	1     114.6800       0.000      1      114.6800     0.000     1
474	474	502	4:4:4:1:	4:4:2:1:	4:4:3:1:	C[5,5,6]-4:C[5,6,6]-4:P[6]-4:H-1:	C[5,5,6]-4:C[5,6,6]-4:O[6]-2:H-1:	C[5,6,6]-4:C[5,6,6]-4:C[6a]-3:O-1:	C[5,6,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6,6]C[5,5,6]O[6]H)(P[6]C[5,6,6]C[6a]O)(H)	C[5,6,6](C[5,5,6]C[5,5]C[5,6]C)(C[5,6,6]C[5,5,6]P[6]H)(O[6]C[5,6,6])(H)	P[6](C[5,6,6]C[5,5,6]C[5,6,6]H)2(C[6a]C[6a]2)(O)	C[5,6,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6,6]C[5,5,6]O[6]H)(P[6]C[5,6,6]C[6a]O)(H){2|C<3>,3|H<1>,6|C<4>}	C[5,6,6](C[5,5,6]C[5,5]C[5,6]C)(C[5,6,6]C[5,5,6]P[6]H)(O[6]C[5,6,6])(H){1|C<3>,1|O<1>,4|H<1>,5|C<4>}	P[6](C[5,6,6]C[5,5,6]C[5,6,6]H)2(C[6a]C[6a]2)(O){1|O<2>,2|C<3>,6|C<4>,6|H<1>}	114.4150	0.461	2	114.4150	0.461	2     114.4150       0.461      2      114.4150     0.461     2
474	474	502	4:4:4:1:	4:4:4:1:	4:4:3:1:	C[5,5,6]-4:C[5,6,6]-4:P[6]-4:H-1:	C[5,6,6]-4:C[5,5]-4:C[5,6]-4:H-1:	C[5,6,6]-4:C[5,6,6]-4:C[6a]-3:O-1:	C[5,6,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6,6]C[5,5,6]O[6]H)(P[6]C[5,6,6]C[6a]O)(H)	C[5,5,6](C[5,6,6]C[5,6,6]P[6]H)(C[5,5]C[5,5,6]CC)(C[5,6]C[5,6]HH)(H)	P[6](C[5,6,6]C[5,5,6]C[5,6,6]H)2(C[6a]C[6a]2)(O)	C[5,6,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6,6]C[5,5,6]O[6]H)(P[6]C[5,6,6]C[6a]O)(H){2|C<3>,3|H<1>,6|C<4>}	C[5,5,6](C[5,6,6]C[5,6,6]P[6]H)(C[5,5]C[5,5,6]CC)(C[5,6]C[5,6]HH)(H){1|C<3>,1|O<1>,1|O<2>,2|C<4>,3|H<1>}	P[6](C[5,6,6]C[5,5,6]C[5,6,6]H)2(C[6a]C[6a]2)(O){1|O<2>,2|C<3>,6|C<4>,6|H<1>}	119.1915	1.529	2	119.1915	1.529	2     119.1915       1.529      2      119.1915     1.529     2
474	474	502	4:4:4:1:	4:4:4:1:	4:4:3:3:	C[5,5,6]-4:C[5,6,6]-4:P[6]-4:H-1:	C[5,5,6]-4:C[5,6,6]-4:B[6]-4:H-1:	C[5,6,6]-4:C[6]-4:C[6a]-3:C[6a]-3:	C[5,6,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6,6]C[5,5,6]B[6]H)(P[6]C[6a]2C[6])(H)	C[5,6,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6,6]C[5,5,6]P[6]H)(B[6]C[6a]2O[6])(H)	P[6](C[5,6,6]C[5,5,6]C[5,6,6]H)(C[6]C[6a]O[6]H)(C[6a]C[6a]2)2	C[5,6,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6,6]C[5,5,6]B[6]H)(P[6]C[6a]2C[6])(H){1|C<4>,1|O<2>,6|H<1>,7|C<3>}	C[5,6,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6,6]C[5,5,6]P[6]H)(B[6]C[6a]2O[6])(H){2|C<4>,5|H<1>,6|C<3>}	P[6](C[5,6,6]C[5,5,6]C[5,6,6]H)(C[6]C[6a]O[6]H)(C[6a]C[6a]2)2{1|B<4>,2|H<1>,6|C<3>,7|C<4>}	106.1130	0.000	1	106.1130	0.000	1     106.1130       0.000      1      117.5055     16.111     2
474	474	502	4:4:4:1:	4:4:4:1:	4:4:3:3:	C[5,5,6]-4:C[5,6,6]-4:P[6]-4:H-1:	C[5,6,6]-4:C[5,5]-4:C[5,6]-4:H-1:	C[5,6,6]-4:C[6]-4:C[6a]-3:C[6a]-3:	C[5,6,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6,6]C[5,5,6]B[6]H)(P[6]C[6a]2C[6])(H)	C[5,5,6](C[5,6,6]C[5,6,6]P[6]H)(C[5,5]C[5,5,6]HH)(C[5,6]C[5,6]HH)(H)	P[6](C[5,6,6]C[5,5,6]C[5,6,6]H)(C[6]C[6a]O[6]H)(C[6a]C[6a]2)2	C[5,6,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6,6]C[5,5,6]B[6]H)(P[6]C[6a]2C[6])(H){1|C<4>,1|O<2>,6|H<1>,7|C<3>}	C[5,5,6](C[5,6,6]C[5,6,6]P[6]H)(C[5,5]C[5,5,6]HH)(C[5,6]C[5,6]HH)(H){1|B<4>,1|C<4>,2|C<3>,4|H<1>}	P[6](C[5,6,6]C[5,5,6]C[5,6,6]H)(C[6]C[6a]O[6]H)(C[6a]C[6a]2)2{1|B<4>,2|H<1>,6|C<3>,7|C<4>}	128.8980	0.000	1	128.8980	0.000	1     128.8980       0.000      1      117.5055     16.111     2
474	474	542	3:2:4:1:	4:3:4:4:	4:4:3:	N[5,6]-3:S[6]-2:C[5]-4:H-1:	C[5,6]-4:N[5]-3:C-4:C-4:	C[5,6]-4:C[6]-4:C[5]-3:	C[5,6](N[5,6]C[5]C[6])(S[6]C[6,6a])(C[5]N[5]CC)(H)	C[5](C[5,6]N[5,6]S[6]H)(N[5]C[5]C)(CH3)2	N[5,6](C[5,6]C[5]S[6]H)(C[6]C[6,6a]HH)(C[5]N[5]O)	C[5,6](N[5,6]C[5]C[6])(S[6]C[6,6a])(C[5]N[5]CC)(H){1|C<4>,1|O<1>,2|C<3>,2|H<1>}	C[5](C[5,6]N[5,6]S[6]H)(N[5]C[5]C)(CH3)2{1|C<3>,1|C<4>,1|O<1>}	N[5,6](C[5,6]C[5]S[6]H)(C[6]C[6,6a]HH)(C[5]N[5]O){2|C<3>,3|C<4>}	103.0510	0.000	1	103.0510	0.000	1     102.6100       0.624      2      102.6100     0.624     2
474	474	542	3:2:4:1:	4:3:4:4:	4:4:3:	N[5,6]-3:S[6]-2:C[5]-4:H-1:	C[5,6]-4:N[5]-3:C-4:C-4:	C[5,6]-4:C[6]-4:C[5]-3:	C[5,6](N[5,6]C[5]C[6])(S[6]C[6,6a])(C[5]N[5]CC)(H)	C[5](C[5,6]N[5,6]S[6]H)(N[5]C[5]H)(CH3)2	N[5,6](C[5,6]C[5]S[6]H)(C[6]C[6,6a]HH)(C[5]N[5]O)	C[5,6](N[5,6]C[5]C[6])(S[6]C[6,6a])(C[5]N[5]CC)(H){1|O<1>,2|C<3>,3|H<1>}	C[5](C[5,6]N[5,6]S[6]H)(N[5]C[5]H)(CH3)2{1|C<3>,1|C<4>,1|O<1>}	N[5,6](C[5,6]C[5]S[6]H)(C[6]C[6,6a]HH)(C[5]N[5]O){1|H<1>,2|C<3>,2|C<4>}	102.1690	0.000	1	102.1690	0.000	1     102.6100       0.624      2      102.6100     0.624     2
474	474	542	3:2:4:1:	4:4:1:1:	3:4:4:	N[5,5]-3:O[5]-2:C[5]-4:H-1:	C[5,5]-4:C[5]-4:H-1:H-1:	C[5,6a]-3:C[5,5]-4:C[5]-4:	C[5,5](N[5,5]C[5,6a]C[5])(O[5]C[5,6a])(C[5]C[5]HH)(H)	C[5](C[5,5]N[5,5]O[5]H)(C[5]C[5]HH)(H)2	N[5,5](C[5,6a]C[5,6a]C[6a])(C[5,5]C[5]O[5]H)(C[5]C[5]HH)	C[5,5](N[5,5]C[5,6a]C[5])(O[5]C[5,6a])(C[5]C[5]HH)(H){2|C<3>,4|H<1>}	C[5](C[5,5]N[5,5]O[5]H)(C[5]C[5]HH)(H)2{2|C<3>,2|H<1>}	N[5,5](C[5,6a]C[5,6a]C[6a])(C[5,5]C[5]O[5]H)(C[5]C[5]HH){1|C<4>,2|C<3>,4|H<1>}	106.6090	0.000	1	106.6090	0.000	1     106.6090       0.000      1      106.6090     0.000     1
474	474	542	3:2:4:1:	4:4:1:1:	4:3:4:	N[5,6]-3:O[5,6]-2:C[5]-4:H-1:	C[5,6]-4:C[5]-4:H-1:H-1:	C[5,6]-4:C[5,6]-3:C[5]-4:	C[5,6](N[5,6]C[5,6]C[5])(O[5,6]C[5,6])(C[5]C[5]HH)(H)	C[5](C[5,6]N[5,6]O[5,6]H)(C[5]C[5,6]HH)(H)2	N[5,6](C[5,6]O[5,6]C[5]H)(C[5,6]C[6]N[5])(C[5]C[5]HH)	C[5,6](N[5,6]C[5,6]C[5])(O[5,6]C[5,6])(C[5]C[5]HH)(H){1|C<3>,1|C<4>,1|N<3>,5|H<1>}	C[5](C[5,6]N[5,6]O[5,6]H)(C[5]C[5,6]HH)(H)2{1|C<4>,1|H<1>,2|C<3>}	N[5,6](C[5,6]O[5,6]C[5]H)(C[5,6]C[6]N[5])(C[5]C[5]HH){1|N<3>,3|C<4>,4|H<1>}	112.4480	0.000	1	112.4480	0.000	1     112.4480       0.000      1      112.4480     0.000     1
474	474	542	3:2:4:1:	4:4:1:1:	4:4:3:	N[5,6]-3:O[6]-2:C[5]-4:H-1:	C[5,6]-4:C[5]-4:H-1:H-1:	C[5,6]-4:C[5]-4:C[6]-3:	C[5,6](N[5,6]C[5]C[6])(O[6]C[6,6a])(C[5]C[5]HH)(H)	C[5](C[5,6]N[5,6]O[6]H)(C[5]C[5]HH)(H)2	N[5,6](C[5,6]C[5]O[6]H)(C[5]C[6a]C[5]H)(C[6]C[6,6a]O)	C[5,6](N[5,6]C[5]C[6])(O[6]C[6,6a])(C[5]C[5]HH)(H){1|O<1>,3|C<3>,3|H<1>}	C[5](C[5,6]N[5,6]O[6]H)(C[5]C[5]HH)(H)2{1|H<1>,3|C<3>}	N[5,6](C[5,6]C[5]O[6]H)(C[5]C[6a]C[5]H)(C[6]C[6,6a]O){4|C<3>,4|H<1>}	103.9510	0.000	1	103.9510	0.000	1     103.9510       0.000      1      103.9510     0.000     1
