474	490	594	3:2:4:1:	4:4:4:4:	3:4:4:	P[3,5]-3:P[5]-2:C-4:H-1:	C[5]-4:C-4:C-4:C-4:	P[3,5]-3:C[3]-4:C[5]-4:	C[5](P[3,5]P[3,5]C[3])(P[5]C[5])(CC3)(H)	C(C[5]P[3,5]P[5]H)(CH3)3	P[3,5](P[3,5]C[3]C[5])(C[3]P[3,5]CH)(C[5]P[5]CH)	C[5](P[3,5]P[3,5]C[3])(P[5]C[5])(CC3)(H){1|H<1>,2|C<4>}	C(C[5]P[3,5]P[5]H)(CH3)3	P[3,5](P[3,5]C[3]C[5])(C[3]P[3,5]CH)(C[5]P[5]CH){1|C<4>}	111.3560	0.000	1	111.3560	0.000	1     111.3560       0.000      1      111.3560     0.000     1
474	490	594	3:3:2:4:	4:4:4:4:	4:4:3:	P[3,5,5]-3:P[4a,5]-3:P[5]-2:C-4:	C[5,5]-4:C-4:C-4:C-4:	C[3,5]-4:C[5,5]-4:P[3,5]-3:	C[5,5](P[3,5,5]C[3,5]P[3,5])(P[4a,5]P[4a,5]C[4a])(P[5]C[5])(CC3)	C(C[5,5]P[3,5,5]P[4a,5]P[5])(CH3)3	P[3,5,5](C[3,5]P[4a,5]P[3,5]C)(C[5,5]P[4a,5]P[5]C)(P[3,5]C[3,5]C[5])	C[5,5](P[3,5,5]C[3,5]P[3,5])(P[4a,5]P[4a,5]C[4a])(P[5]C[5])(CC3){1|C<3>,3|C<4>}	C(C[5,5]P[3,5,5]P[4a,5]P[5])(CH3)3	P[3,5,5](C[3,5]P[4a,5]P[3,5]C)(C[5,5]P[4a,5]P[5]C)(P[3,5]C[3,5]C[5]){1|C<4>,2|C<3>}	107.0100	0.303	2	107.0100	0.303	2     107.0100       0.303      2      107.0100     0.303     2
474	490	622	2:2:3:4:	4:1:1:1:	3:4:	O[5,6]-2:O[6]-2:C[5]-3:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[6,6a]-3:C[5,6]-4:	C[5,6](O[5,6]C[5,6])(O[6]C[6,6a])(C[5]O[5]O)(CH3)	C(C[5,6]O[5,6]C[5]O[6])(H)3	O[6](C[6,6a]C[6,6a]C[6a])(C[5,6]O[5,6]C[5]C)	C[5,6](O[5,6]C[5,6])(O[6]C[6,6a])(C[5]O[5]O)(CH3){1|H<1>,2|C<3>}	C(C[5,6]O[5,6]C[5]O[6])(H)3	O[6](C[6,6a]C[6,6a]C[6a])(C[5,6]O[5,6]C[5]C){1|C<4>,1|H<1>,1|O<1>,1|O<2>,2|C<3>}	108.7470	0.000	1	108.7470	0.000	1     108.7470       0.000      1      108.7470     0.000     1
474	490	622	2:4:2:4:	4:1:1:1:	4:2:	O[5,6]-2:C[5]-4:O[6]-2:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-4:O[6]-2:	C[5,6](O[5,6]C[5,6])(C[5]C[5]HH)(O[6]O[6])(CH3)	C(C[5,6]O[5,6]C[5]O[6])(H)3	O[6](C[5,6]O[5,6]C[5]C)(O[6]C[6])	C[5,6](O[5,6]C[5,6])(C[5]C[5]HH)(O[6]O[6])(CH3){1|C<4>,3|H<1>}	C(C[5,6]O[5,6]C[5]O[6])(H)3	O[6](C[5,6]O[5,6]C[5]C)(O[6]C[6]){2|H<1>,4|C<4>}	105.0560	0.000	1	105.0560	0.000	1     105.0560       0.000      1      105.0560     0.000     1
474	490	622	2:4:2:4:	4:1:1:1:	4:4:	O[5,6]-2:C[5]-4:O[6]-2:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-4:C[6]-4:	C[5,6](O[5,6]C[5,6,6])(C[5]C[5]HH)(O[6]C[6])(CH3)	C(C[5,6]O[5,6]C[5]O[6])(H)3	O[6](C[5,6]O[5,6]C[5]C)(C[6]C[6,6]C[6a]H)	C[5,6](O[5,6]C[5,6,6])(C[5]C[5]HH)(O[6]C[6])(CH3){1|C<3>,1|C<4>,1|O<2>,3|H<1>}	C(C[5,6]O[5,6]C[5]O[6])(H)3	O[6](C[5,6]O[5,6]C[5]C)(C[6]C[6,6]C[6a]H){1|O<2>,2|C<3>,2|C<4>,3|H<1>}	106.1080	0.000	1	106.1080	0.000	1     106.8845       1.029      4      106.8845     1.029     4
474	490	622	2:4:2:4:	4:1:1:1:	4:4:	O[5,6]-2:C[5]-4:O[6]-2:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-4:C[6]-4:	C[5,6](O[5,6]C[5,6])(C[5]C[5]HH)(O[6]C[6])(CH3)	C(C[5,6]O[5,6]C[5]O[6])(H)3	O[6](C[5,6]O[5,6]C[5]C)(C[6]C[6]CH)	C[5,6](O[5,6]C[5,6])(C[5]C[5]HH)(O[6]C[6])(CH3){2|C<4>,4|H<1>}	C(C[5,6]O[5,6]C[5]O[6])(H)3	O[6](C[5,6]O[5,6]C[5]C)(C[6]C[6]CH){3|C<4>,3|H<1>}	105.8950	0.000	1	105.8950	0.000	1     106.8845       1.029      4      106.8845     1.029     4
474	490	622	2:4:2:4:	4:1:1:1:	4:4:	O[5,6]-2:C[5]-4:O[6]-2:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-4:C[6]-4:	C[5,6](O[5,6]C[5,6])(C[5]O[5]HH)(O[6]C[6])(CH3)	C(C[5,6]O[5,6]C[5]O[6])(H)3	O[6](C[5,6]O[5,6]C[5]C)(C[6]C[6a]C[6]H)	C[5,6](O[5,6]C[5,6])(C[5]O[5]HH)(O[6]C[6])(CH3){1|C<3>,1|H<1>,2|C<4>}	C(C[5,6]O[5,6]C[5]O[6])(H)3	O[6](C[5,6]O[5,6]C[5]C)(C[6]C[6a]C[6]H){1|C<4>,2|C<3>,2|O<2>,3|H<1>}	107.7675	0.185	2	107.7675	0.185	2     106.8845       1.029      4      106.8845     1.029     4
474	490	622	3:3:2:4:	4:4:1:1:	4:3:	N[5,6]-3:C[5]-3:O[6]-2:C-4:	C[5,6]-4:C-4:H-1:H-1:	C[5,6]-4:C[6]-3:	C[5,6](N[5,6]C[6,6a]C[5])(C[5]C[5]O)(O[6]C[6])(CCHH)	C(C[5,6]N[5,6]C[5]O[6])(CCCH)(H)2	O[6](C[5,6]N[5,6]C[5]C)(C[6]C[6,6a]O)	C[5,6](N[5,6]C[6,6a]C[5])(C[5]C[5]O)(O[6]C[6])(CCHH){1|O<1>,4|C<3>}	C(C[5,6]N[5,6]C[5]O[6])(CCCH)(H)2	O[6](C[5,6]N[5,6]C[5]C)(C[6]C[6,6a]O){1|O<1>,4|C<3>}	109.3980	0.000	1	109.3980	0.000	1     109.3980       0.000      1      109.3980     0.000     1
474	490	622	3:3:4:2:	4:3:4:1:	4:4:	C[5,6a]-3:N[5,6]-3:C-4:O[6]-2:	C[5,6]-4:C[6a]-3:C-4:H-1:	C[5,6]-4:C[6]-4:	C[5,6](C[5,6a]C[5,6a]C[6a])(N[5,6]C[5]C[6])(CC[6a]CH)(O[6]C[6])	C(C[5,6]C[5,6a]N[5,6]O[6])(C[6a]C[6a]2)(CHHO)(H)	O[6](C[5,6]C[5,6a]N[5,6]C)(C[6]C[6]HH)	C[5,6](C[5,6a]C[5,6a]C[6a])(N[5,6]C[5]C[6])(CC[6a]CH)(O[6]C[6]){1|Cl<1>,1|C<4>,1|O<1>,2|C<3>,4|H<1>}	C(C[5,6]C[5,6a]N[5,6]O[6])(C[6a]C[6a]2)(CHHO)(H)	O[6](C[5,6]C[5,6a]N[5,6]C)(C[6]C[6]HH){1|C<4>,2|H<1>,3|C<3>}	107.0100	0.000	1	107.0100	0.000	1     107.0100       0.000      1      107.0100     0.000     1
474	490	622	3:4:2:4:	4:1:1:1:	3:4:	N[5,6]-3:C[5]-4:O[6]-2:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[6,6a]-3:C[5,6]-4:	C[5,6](N[5,6]C[5,6a]C[6])(C[5]C[5,6a]CC)(O[6]C[6,6a])(CH3)	C(C[5,6]N[5,6]C[5]O[6])(H)3	O[6](C[6,6a]C[6,6a]C[6a])(C[5,6]N[5,6]C[5]C)	C[5,6](N[5,6]C[5,6a]C[6])(C[5]C[5,6a]CC)(O[6]C[6,6a])(CH3){2|H<1>,4|C<3>}	C(C[5,6]N[5,6]C[5]O[6])(H)3	O[6](C[6,6a]C[6,6a]C[6a])(C[5,6]N[5,6]C[5]C){1|H<1>,3|C<4>,4|C<3>}	107.6250	0.074	2	107.6250	0.074	2     107.6250       0.074      2      107.6250     0.074     2
474	490	622	3:4:2:4:	4:1:1:1:	4:3:	N[5,6]-3:C[5]-4:O[6]-2:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-4:C[6]-3:	C[5,6](N[5,6]C[6,6a]C[5])(C[5]C[5]HH)(O[6]C[6])(CH3)	C(C[5,6]N[5,6]C[5]O[6])(H)3	O[6](C[5,6]N[5,6]C[5]C)(C[6]C[6,6a]O)	C[5,6](N[5,6]C[6,6a]C[5])(C[5]C[5]HH)(O[6]C[6])(CH3){2|C<3>,2|H<1>,2|O<1>}	C(C[5,6]N[5,6]C[5]O[6])(H)3	O[6](C[5,6]N[5,6]C[5]C)(C[6]C[6,6a]O){1|C<4>,2|H<1>,3|C<3>}	108.5920	0.000	1	108.5920	0.000	1     108.5920       0.000      1      108.5920     0.000     1
