474	690	830	3:3:1:1:	4:	4:	N[5]-3:N[5]-3:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](N[5]C[6a]C[5])2(F)(H)	H(C[5]N[5]2F)	F(C[5]N[5]2H)	C[5](N[5]C[6a]C[5])2(F)(H){2|O<1>,4|C<3>}	H(C[5]N[5]2F)	F(C[5]N[5]2H)	111.7530	0.000	1	111.7530	0.000	1     111.7530       0.000      1      111.7530     0.000     1
474	690	830	3:4:1:1:	4:	4:	C[5,5]-3:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5,5]N[5,5]N[5])(C[5]C[5]HH)(F)(H)	H(C[5]C[5,5]C[5]F)	F(C[5]C[5,5]C[5]H)	C[5](C[5,5]N[5,5]N[5])(C[5]C[5]HH)(F)(H){1|C<3>,1|C<4>,1|H<1>,1|N<3>}	H(C[5]C[5,5]C[5]F)	F(C[5]C[5,5]C[5]H)	111.4960	0.081	2	111.8075	0.363	4     111.8075       0.363      4      111.8075     0.363     4
474	690	830	3:4:1:1:	4:	4:	C[5,5]-3:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5,5]N[5,5]N[5])(C[5]C[5]HH)(F)(H)	H(C[5]C[5,5]C[5]F)	F(C[5]C[5,5]C[5]H)	C[5](C[5,5]N[5,5]N[5])(C[5]C[5]HH)(F)(H){1|C<3>,1|N<3>,2|H<1>}	H(C[5]C[5,5]C[5]F)	F(C[5]C[5,5]C[5]H)	112.1190	0.007	2	111.8075	0.363	4     111.8075       0.363      4      111.8075     0.363     4
474	690	830	4:4:1:1:	4:	4:	C[3,5]-4:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[3,5]C[3,5]C[3]H)(C[5]C[5]HH)(F)(H)	H(C[5]C[3,5]C[5]F)	F(C[5]C[3,5]C[5]H)	C[5](C[3,5]C[3,5]C[3]H)(C[5]C[5]HH)(F)(H){1|N<4>,2|C<3>,2|H<1>}	H(C[5]C[3,5]C[5]F)	F(C[5]C[3,5]C[5]H)	109.6730	0.000	1	109.6730	0.000	1     109.6730       0.000      1      110.8735     1.447     19
474	690	830	4:4:1:1:	4:	4:	C[5,5,6]-4:C[5,5,6]-4:F-1:H-1:	C[5,5]-4:	C[5,5]-4:	C[5,5](C[5,5,6]C[3x5,6,6]C[5,6]H)2(F)(H)	H(C[5,5]C[5,5,6]2F)	F(C[5,5]C[5,5,6]2H)	C[5,5](C[5,5,6]C[3x5,6,6]C[5,6]H)2(F)(H){2|C<3>,2|C<4>,4|H<1>}	H(C[5,5]C[5,5,6]2F)	F(C[5,5]C[5,5,6]2H)	107.6950	0.000	1	107.6950	0.000	1     107.6950       0.000      1      110.8735     1.447     19
474	690	830	4:4:1:1:	4:	4:	C[5,6]-4:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5,6]C[5,6]C[6]H)(C[5]N[5]HH)(F)(H)	H(C[5]C[5,6]C[5]F)	F(C[5]C[5,6]C[5]H)	C[5](C[5,6]C[5,6]C[6]H)(C[5]N[5]HH)(F)(H){1|S<4>,2|C<4>,3|H<1>}	H(C[5]C[5,6]C[5]F)	F(C[5]C[5,6]C[5]H)	110.7750	0.000	1	110.7750	0.000	1     110.7750       0.000      1      110.8735     1.447     19
474	690	830	4:4:1:1:	4:	4:	C[5]-4:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5]C[5,5]HH)(C[5]C[5,5]HO)(F)(H)	H(C[5]C[5]2F)	F(C[5]C[5]2H)	C[5](C[5]C[5,5]HH)(C[5]C[5,5]HO)(F)(H){1|C<4>,1|H<1>,2|O<2>}	H(C[5]C[5]2F)	F(C[5]C[5]2H)	111.6660	0.000	1	111.6660	0.000	1     111.1533       1.288      16      110.8735     1.447     19
474	690	830	4:4:1:1:	4:	4:	C[5]-4:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5]C[5,6a]HH)(C[5]C[5,6a]HN)(F)(H)	H(C[5]C[5]2F)	F(C[5]C[5]2H)	C[5](C[5]C[5,6a]HH)(C[5]C[5,6a]HN)(F)(H){2|C<3>}	H(C[5]C[5]2F)	F(C[5]C[5]2H)	110.9630	0.000	1	110.9630	0.000	1     111.1533       1.288      16      110.8735     1.447     19
474	690	830	4:4:1:1:	4:	4:	C[5]-4:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5]C[5]FH)(C[5]O[5]CH)(F)(H)	H(C[5]C[5]2F)	F(C[5]C[5]2H)	C[5](C[5]C[5]FH)(C[5]O[5]CH)(F)(H){1|H<1>,1|N<3>}	H(C[5]C[5]2F)	F(C[5]C[5]2H)	111.6160	0.358	2	111.6160	0.358	2     111.1533       1.288      16      110.8735     1.447     19
474	690	830	4:4:1:1:	4:	4:	C[5]-4:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5]C[5]HO)(C[5]O[5]CH)(F)(H)	H(C[5]C[5]2F)	F(C[5]C[5]2H)	C[5](C[5]C[5]HO)(C[5]O[5]CH)(F)(H){1|H<1>,1|N<3>}	H(C[5]C[5]2F)	F(C[5]C[5]2H)	111.8868	0.695	4	111.8868	0.695	4     111.1533       1.288      16      110.8735     1.447     19
474	690	830	4:4:1:1:	4:	4:	C[5]-4:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5]N[5a]O[5]H)(C[5]C[5]HO)(F)(H)	H(C[5]C[5]2F)	F(C[5]C[5]2H)	C[5](C[5]N[5a]O[5]H)(C[5]C[5]HO)(F)(H){1|C<3>,1|C<4>,1|H<1>,1|N<2>}	H(C[5]C[5]2F)	F(C[5]C[5]2H)	108.8020	0.000	1	109.9663	1.572	4     111.1533       1.288      16      110.8735     1.447     19
474	690	830	4:4:1:1:	4:	4:	C[5]-4:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5]N[5a]O[5]H)(C[5]C[5]HO)(F)(H)	H(C[5]C[5]2F)	F(C[5]C[5]2H)	C[5](C[5]N[5a]O[5]H)(C[5]C[5]HO)(F)(H){1|C<4>,1|H<1>,2|C<3>}	H(C[5]C[5]2F)	F(C[5]C[5]2H)	110.3543	1.674	3	109.9663	1.572	4     111.1533       1.288      16      110.8735     1.447     19
474	690	830	4:4:1:1:	4:	4:	C[5]-4:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5]N[6a]O[5]H)(C[5]C[5]FH)(F)(H)	H(C[5]C[5]2F)	F(C[5]C[5]2H)	C[5](C[5]N[6a]O[5]H)(C[5]C[5]FH)(F)(H){1|C<3>,1|C<4>,1|H<1>,1|N<2>}	H(C[5]C[5]2F)	F(C[5]C[5]2H)	112.2850	0.000	1	112.3010	0.023	2     111.1533       1.288      16      110.8735     1.447     19
474	690	830	4:4:1:1:	4:	4:	C[5]-4:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5]N[6a]O[5]H)(C[5]C[5]FH)(F)(H)	H(C[5]C[5]2F)	F(C[5]C[5]2H)	C[5](C[5]N[6a]O[5]H)(C[5]C[5]FH)(F)(H){1|C<4>,1|H<1>,2|C<3>}	H(C[5]C[5]2F)	F(C[5]C[5]2H)	112.3170	0.000	1	112.3010	0.023	2     111.1533       1.288      16      110.8735     1.447     19
