474	818	830	3:2:1:1:	3:3:4:	4:	C[5,6a]-3:O[5]-2:F-1:F-1:	C[6a]-3:C[5,6a]-3:C[5]-4:	C[5]-4:	C[5](C[5,6a]C[5,6a]C[6a])(O[5]C[5])(F)2	C[5,6a](C[6a]C[6a,6a]C[6a])(C[5,6a]C[6a]C[5])(C[5]O[5]FF)	F(C[5]C[5,6a]O[5]F)	C[5](C[5,6a]C[5,6a]C[6a])(O[5]C[5])(F)2{2|F<1>,3|C<3>}	C[5,6a](C[6a]C[6a,6a]C[6a])(C[5,6a]C[6a]C[5])(C[5]O[5]FF){2|F<1>,5|C<3>}	F(C[5]C[5,6a]O[5]F)	114.2353	1.250	4	114.2353	1.250	4     114.2353       1.250      4      114.2353     1.250     4
474	818	830	3:3:1:1:	3:3:4:	4:	C[5,6a]-3:C[5]-3:F-1:F-1:	C[5,6a]-3:C[6a]-3:C[5]-4:	C[5]-4:	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]C)(F)2	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]C[6a]H)(C[5]C[5]FF)	F(C[5]C[5,6a]C[5]F)	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]C)(F)2{2|C<3>,2|H<1>}	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]C[6a]H)(C[5]C[5]FF){1|O<2>,2|C<3>,2|H<1>}	F(C[5]C[5,6a]C[5]F)	113.1860	1.383	2	113.1860	1.383	2     113.7617       1.338      6      113.4230     1.456     8
474	818	830	3:3:1:1:	3:3:4:	4:	C[5,6a]-3:C[5]-3:F-1:F-1:	C[5,6a]-3:C[6a]-3:C[5]-4:	C[5]-4:	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]O)(F)2	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]C[6a]H)(C[5]C[5]FF)	F(C[5]C[5,6a]C[5]F)	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]O)(F)2{2|C<3>,2|H<1>}	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]C[6a]H)(C[5]C[5]FF){1|C<3>,1|N<3>,1|O<1>,2|H<1>}	F(C[5]C[5,6a]C[5]F)	114.0495	1.420	4	114.0495	1.420	4     113.7617       1.338      6      113.4230     1.456     8
474	818	830	3:3:1:1:	3:3:4:	4:	C[5,6a]-3:N[5]-3:F-1:F-1:	C[5,6a]-3:C[6a]-3:C[5]-4:	C[5]-4:	C[5](C[5,6a]C[5,6a]C[6a])(N[5]C[5]C)(F)2	C[5,6a](C[5,6a]C[6a]C[5])(C[6a]C[6a]H)(C[5]N[5]FF)	F(C[5]C[5,6a]N[5]F)	C[5](C[5,6a]C[5,6a]C[6a])(N[5]C[5]C)(F)2{1|H<1>,1|O<1>,2|C<3>}	C[5,6a](C[5,6a]C[6a]C[5])(C[6a]C[6a]H)(C[5]N[5]FF){1|C<3>,1|C<4>,1|O<1>,2|H<1>}	F(C[5]C[5,6a]N[5]F)	112.4070	1.771	2	112.4070	1.771	2     112.4070       1.771      2      113.4230     1.456     8
474	818	830	3:3:1:1:	3:4:1:	4:	C[5]-3:C[5]-3:F-1:F-1:	C[5,5]-3:C[5]-4:O-1:	C[5]-4:	C[5](C[5]C[5,5]O)2(F)2	C[5](C[5,5]C[5,5]C[5])(C[5]C[5]FF)(O)	F(C[5]C[5]2F)	C[5](C[5]C[5,5]O)2(F)2{2|C<3>}	C[5](C[5,5]C[5,5]C[5])(C[5]C[5]FF)(O){1|O<1>,1|S<2>,2|C<3>}	F(C[5]C[5]2F)	111.0269	0.601	10	111.0269	0.601	10     111.0269       0.601      10      111.0269     0.601     10
474	818	830	3:3:1:1:	4:3:1:	4:	C[5,6a]-3:C[5]-3:F-1:F-1:	C[5]-4:N[5]-3:O-1:	C[5]-4:	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]O)(F)2	C[5](C[5]C[5,6a]FF)(N[5]C[5,6a]H)(O)	F(C[5]C[5,6a]C[5]F)	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]O)(F)2{2|C<3>,2|H<1>}	C[5](C[5]C[5,6a]FF)(N[5]C[5,6a]H)(O){2|C<3>}	F(C[5]C[5,6a]C[5]F)	109.4265	1.139	4	109.4265	1.139	4     109.4265       1.139      4      109.4265     1.139     4
474	818	830	3:3:1:1:	4:3:3:	4:	C[5,6a]-3:C[5]-3:F-1:F-1:	C[5]-4:N[5]-3:C-3:	C[5]-4:	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]C)(F)2	C[5](C[5]C[5,6a]FF)(N[5]C[5,6a]H)(CCH)	F(C[5]C[5,6a]C[5]F)	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]C)(F)2{2|C<3>,2|H<1>}	C[5](C[5]C[5,6a]FF)(N[5]C[5,6a]H)(CCH){2|C<3>}	F(C[5]C[5,6a]C[5]F)	110.9065	1.422	2	110.9065	1.422	2     110.9065       1.422      2      110.9065     1.422     2
474	818	830	3:3:4:1:	3:3:4:	4:	C[5,6a]-3:C[5]-3:C-4:F-1:	C[5,6a]-3:C[6a]-3:C[5]-4:	C[5]-4:	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]O)(CCHH)(F)	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]C[6a]H)(C[5]C[5]CF)	F(C[5]C[5,6a]C[5]C)	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]O)(CCHH)(F){1|H<1>,3|C<3>}	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]C[6a]H)(C[5]C[5]CF){1|F<1>,1|H<1>,1|O<1>,2|C<3>}	F(C[5]C[5,6a]C[5]C)	113.0180	0.000	1	113.0180	0.000	1     113.0180       0.000      1      113.0180     0.000     1
474	818	830	3:3:4:1:	3:4:2:	4:	C[5]-3:C[5]-3:C-4:F-1:	C[6a]-3:C[5]-4:N[5]-2:	C[5]-4:	C[5](C[5]C[6a]N[5])(C[5]O[5]O)(CC[6a]CH)(F)	C[5](C[6a]C[6a]2)(C[5]C[5]CF)(N[5]O[5])	F(C[5]C[5]2C)	C[5](C[5]C[6a]N[5])(C[5]O[5]O)(CC[6a]CH)(F){2|C<3>}	C[5](C[6a]C[6a]2)(C[5]C[5]CF)(N[5]O[5]){1|O<1>,2|C<3>,2|H<1>}	F(C[5]C[5]2C)	113.4600	0.000	1	113.4600	0.000	1     113.4600       0.000      1      113.4600     0.000     1
474	818	830	3:3:4:1:	4:2:1:	4:	C[5]-3:C[5]-3:C-4:F-1:	C[5]-4:O[5]-2:O-1:	C[5]-4:	C[5](C[5]C[6a]N[5])(C[5]O[5]O)(CC[6a]CH)(F)	C[5](C[5]C[5]CF)(O[5]N[5])(O)	F(C[5]C[5]2C)	C[5](C[5]C[6a]N[5])(C[5]O[5]O)(CC[6a]CH)(F){2|C<3>}	C[5](C[5]C[5]CF)(O[5]N[5])(O){1|C<3>}	F(C[5]C[5]2C)	108.4390	0.000	1	108.4390	0.000	1     108.4390       0.000      1      108.4390     0.000     1
474	818	830	3:3:4:1:	4:3:1:	4:	C[5,6a]-3:C[5]-3:C-4:F-1:	C[5]-4:N[5]-3:O-1:	C[5]-4:	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]O)(CCHH)(F)	C[5](C[5]C[5,6a]CF)(N[5]C[5,6a]C)(O)	F(C[5]C[5,6a]C[5]C)	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]O)(CCHH)(F){1|H<1>,3|C<3>}	C[5](C[5]C[5,6a]CF)(N[5]C[5,6a]C)(O){2|C<3>}	F(C[5]C[5,6a]C[5]C)	106.3740	0.000	1	106.3740	0.000	1     106.3740       0.000      1      106.3740     0.000     1
