478	478	486	3:4:4:3:	4:3:4:1:	4:3:4:4:	C[6,6a]-3:C[3,4]-4:C[4,6]-4:C[6a]-3:	C[4,6]-4:C[4]-3:C[6]-4:H-1:	C[4,6]-4:C[4]-3:C[3]-4:C[3]-4:	C[4,6](C[6,6a]C[6,6a]C[6a])(C[3,4]C[3]2C[4])(C[4,6]C[4]C[6]H)(C[6a]C[6a]2)	C[4,6](C[4,6]C[6,6a]C[3,4]C[6a])(C[4]C[3,4]C)(C[6]N[6]HH)(H)	C[3,4](C[4,6]C[6,6a]C[4,6]C[6a])(C[4]C[4,6]C)(C[3]C[3]HH)2	C[4,6](C[6,6a]C[6,6a]C[6a])(C[3,4]C[3]2C[4])(C[4,6]C[4]C[6]H)(C[6a]C[6a]2){1|N<3>,5|C<3>,9|H<1>}	C[4,6](C[4,6]C[6,6a]C[3,4]C[6a])(C[4]C[3,4]C)(C[6]N[6]HH)(H){1|S<4>,2|C<4>,4|C<3>}	C[3,4](C[4,6]C[6,6a]C[4,6]C[6a])(C[4]C[4,6]C)(C[3]C[3]HH)2{1|C<4>,1|H<1>,4|C<3>}	86.2163	0.159	2	86.2163	0.159	2     86.2163       0.159      2      86.2163     0.159     2
478	478	486	4:4:1:1:	4:4:1:1:	4:4:4:2:	C[3,4]-4:C[4]-4:H-1:H-1:	C[4]-4:C[4]-4:H-1:H-1:	C[4]-4:C[4]-4:P[3]-4:O[3]-2:	C[4](C[3,4]C[4]O[3]P[3])(C[4]C[4]HH)(H)2	C[4](C[4]C[3,4]HH)2(H)2	C[3,4](C[4]C[4]HH)2(P[3]O[3]CW)(O[3]P[3])	C[4](C[3,4]C[4]O[3]P[3])(C[4]C[4]HH)(H)2{1|C<4>,1|W<6>,2|H<1>}	C[4](C[4]C[3,4]HH)2(H)2{1|O<2>,1|P<4>}	C[3,4](C[4]C[4]HH)2(P[3]O[3]CW)(O[3]P[3]){2|H<1>}	87.5691	0.157	2	87.5691	0.157	2     87.5691       0.157      2      88.2367     0.563     8
478	478	486	4:4:1:1:	4:4:1:1:	4:4:4:2:	C[3,4]-4:C[4]-4:H-1:H-1:	C[4]-4:C[4]-4:H-1:H-1:	P[3]-4:C[4]-4:C[4]-4:O[3]-2:	C[4](C[3,4]C[4]O[3]P[3])(C[4]C[4]HH)(H)2	C[4](C[4]C[3,4]HH)2(H)2	C[3,4](P[3]C[5]O[3]Cr)(C[4]C[4]HH)2(O[3]P[3])	C[4](C[3,4]C[4]O[3]P[3])(C[4]C[4]HH)(H)2{1|Cr<6>,1|C<4>,2|H<1>}	C[4](C[4]C[3,4]HH)2(H)2{1|O<2>,1|P<4>}	C[3,4](P[3]C[5]O[3]Cr)(C[4]C[4]HH)2(O[3]P[3]){1|C<4>,2|C<3>,2|H<1>}	88.5259	0.486	2	88.5259	0.486	2     88.4592       0.449      6      88.2367     0.563     8
478	478	486	4:4:1:1:	4:4:1:1:	4:4:4:2:	C[3,4]-4:C[4]-4:H-1:H-1:	C[4]-4:C[4]-4:H-1:H-1:	P[3]-4:C[4]-4:C[4]-4:O[3]-2:	C[4](C[3,4]C[4]O[3]P[3])(C[4]C[4]HH)(H)2	C[4](C[4]C[3,4]HH)2(H)2	C[3,4](P[3]C[5]O[3]Mo)(C[4]C[4]HH)2(O[3]P[3])	C[4](C[3,4]C[4]O[3]P[3])(C[4]C[4]HH)(H)2{1|Mo<6>,1|C<4>,2|H<1>}	C[4](C[4]C[3,4]HH)2(H)2{1|O<2>,1|P<4>}	C[3,4](P[3]C[5]O[3]Mo)(C[4]C[4]HH)2(O[3]P[3]){1|C<4>,2|C<3>,2|H<1>}	88.4733	0.454	2	88.4733	0.454	2     88.4592       0.449      6      88.2367     0.563     8
478	478	486	4:4:1:1:	4:4:1:1:	4:4:4:2:	C[3,4]-4:C[4]-4:H-1:H-1:	C[4]-4:C[4]-4:H-1:H-1:	P[3]-4:C[4]-4:C[4]-4:O[3]-2:	C[4](C[3,4]C[4]O[3]P[3])(C[4]C[4]HH)(H)2	C[4](C[4]C[3,4]HH)2(H)2	C[3,4](P[3]C[5]O[3]W)(C[4]C[4]HH)2(O[3]P[3])	C[4](C[3,4]C[4]O[3]P[3])(C[4]C[4]HH)(H)2{1|C<4>,1|W<6>,2|H<1>}	C[4](C[4]C[3,4]HH)2(H)2{1|O<2>,1|P<4>}	C[3,4](P[3]C[5]O[3]W)(C[4]C[4]HH)2(O[3]P[3]){1|C<4>,2|C<3>,2|H<1>}	88.3784	0.736	2	88.3784	0.736	2     88.4592       0.449      6      88.2367     0.563     8
478	478	486	4:4:3:1:	4:3:3:1:	4:4:2:1:	C[4]-4:C[3]-4:C[4]-3:Br-1:	C[4]-4:C[6a]-3:N[4]-3:H-1:	C[4]-4:C[3]-4:O[3]-2:H-1:	C[4](C[4]C[6a]N[4]H)(C[3]C[3]O[3]H)(C[4]N[4]O)(Br)	C[4](C[4]C[3]C[4]Br)(C[6a]C[6a]2)(N[4]C[4]C)(H)	C[3](C[4]C[4]2Br)(C[3]O[3]CH)(O[3]C[3])(H)	C[4](C[4]C[6a]N[4]H)(C[3]C[3]O[3]H)(C[4]N[4]O)(Br){1|H<1>,2|C<3>,2|C<4>}	C[4](C[4]C[3]C[4]Br)(C[6a]C[6a]2)(N[4]C[4]C)(H){1|C<4>,1|O<1>,1|O<2>,2|C<3>,3|H<1>}	C[3](C[4]C[4]2Br)(C[3]O[3]CH)(O[3]C[3])(H){1|C<3>,1|H<1>,1|N<3>,1|O<1>}	116.8195	0.136	2	116.8195	0.136	2     116.8195       0.136      2      116.8195     0.136     2
478	478	486	4:4:3:1:	4:3:3:3:	4:4:2:1:	C[4,6,6]-4:C[3,6]-4:C[4]-3:H-1:	C[4,6]-4:C[6,6,6a]-3:C[4]-3:C[6]-3:	C[4,6]-4:C[3,6]-4:O[3]-2:H-1:	C[4,6](C[4,6,6]C[6,6,6a]C[4]C[6])(C[3,6]C[3,6]O[3]H)(C[4]C[4]H)(H)	C[4,6,6](C[4,6]C[3,6]C[4]H)(C[6,6,6a]C[6,6a]2)(C[4]C[6a]C[4])(C[6]N[6]O)	C[3,6](C[4,6]C[4,6,6]C[4]H)(C[3,6]C[6,6a]O[3]H)(O[3]C[3,6])(H)	C[4,6](C[4,6,6]C[6,6,6a]C[4]C[6])(C[3,6]C[3,6]O[3]H)(C[4]C[4]H)(H){1|H<1>,1|N<3>,1|O<1>,3|C<3>}	C[4,6,6](C[4,6]C[3,6]C[4]H)(C[6,6,6a]C[6,6a]2)(C[4]C[6a]C[4])(C[6]N[6]O){1|O<2>,2|C<4>,2|H<1>,5|C<3>}	C[3,6](C[4,6]C[4,6,6]C[4]H)(C[3,6]C[6,6a]O[3]H)(O[3]C[3,6])(H){1|H<1>,4|C<3>}	116.2070	0.000	1	116.2070	0.000	1     116.2070       0.000      1      116.2070     0.000     1
478	478	486	4:4:3:1:	4:4:3:1:	4:4:4:3:	C[4,6,6]-4:C[3,6,6]-4:C[4]-3:H-1:	C[4,6,6]-4:C[5,6,6]-4:C[4]-3:H-1:	C[3,5,6]-4:C[3,5,6]-4:C[4,6,6]-4:C-3:	C[4,6,6](C[4,6,6]C[5,6,6]C[4]H)(C[3,6,6]C[3,5,6]2C)(C[4]C[4]H)(H)	C[4,6,6](C[4,6,6]C[3,6,6]C[4]H)(C[5,6,6]C[5,6]2H)(C[4]C[4]H)(H)	C[3,6,6](C[3,5,6]C[3,5,6]C[5,6]C[6a])(C[3,5,6]C[3,5,6]C[5,6]H)(C[4,6,6]C[4,6,6]C[4]H)(CHO)	C[4,6,6](C[4,6,6]C[5,6,6]C[4]H)(C[3,6,6]C[3,5,6]2C)(C[4]C[4]H)(H){1|C<3>,2|C<4>,3|H<1>}	C[4,6,6](C[4,6,6]C[3,6,6]C[4]H)(C[5,6,6]C[5,6]2H)(C[4]C[4]H)(H){2|C<3>,2|C<4>,4|H<1>}	C[3,6,6](C[3,5,6]C[3,5,6]C[5,6]C[6a])(C[3,5,6]C[3,5,6]C[5,6]H)(C[4,6,6]C[4,6,6]C[4]H)(CHO){1|C<4>,4|C<3>,5|H<1>}	113.0200	0.000	1	113.0200	0.000	1     113.0200       0.000      1      113.0200     0.000     1
478	478	486	4:4:3:1:	4:4:3:1:	4:4:4:4:	C[3,4]-4:C[4,6]-4:C[6]-3:H-1:	C[3,4]-4:C[4,6]-4:C[6]-3:H-1:	C[3,4]-4:C[4,6]-4:C[3]-4:C[3]-4:	C[4,6](C[3,4]C[3,4]C[3]2)(C[4,6]C[3,4]C[6]H)(C[6]C[6,6a]O)(H)	C[4,6](C[3,4]C[3,4]C[3]2)(C[4,6]C[3,4]C[6]H)(C[6]C[6,6a]O)(H)	C[3,4](C[3,4]C[4,6]C[3]2)(C[4,6]C[4,6]C[6]H)(C[3]C[3]HH)2	C[4,6](C[3,4]C[3,4]C[3]2)(C[4,6]C[3,4]C[6]H)(C[6]C[6,6a]O)(H){1|O<1>,2|C<3>,2|C<4>,4|H<1>}	C[4,6](C[3,4]C[3,4]C[3]2)(C[4,6]C[3,4]C[6]H)(C[6]C[6,6a]O)(H){1|O<1>,2|C<3>,2|C<4>,4|H<1>}	C[3,4](C[3,4]C[4,6]C[3]2)(C[4,6]C[4,6]C[6]H)(C[3]C[3]HH)2{1|O<1>,2|C<3>,5|H<1>}	89.1027	0.071	2	89.1027	0.071	2     89.1027       0.071      2      88.7068     0.597     4
478	478	486	4:4:3:1:	4:4:3:1:	4:4:4:4:	C[4,6]-4:C[3,4]-4:C[6]-3:Cl-1:	C[4,6]-4:C[3,4]-4:C[6]-3:Cl-1:	C[4,6]-4:C[3,4]-4:C[3]-4:C[3]-4:	C[4,6](C[4,6]C[3,4]C[6]Cl)(C[3,4]C[3,4]C[3]2)(C[6]C[6,6a]O)(Cl)	C[4,6](C[4,6]C[3,4]C[6]Cl)(C[3,4]C[3,4]C[3]2)(C[6]C[6,6a]O)(Cl)	C[3,4](C[4,6]C[4,6]C[6]Cl)(C[3,4]C[4,6]C[3]2)(C[3]C[3]HH)2	C[4,6](C[4,6]C[3,4]C[6]Cl)(C[3,4]C[3,4]C[3]2)(C[6]C[6,6a]O)(Cl){1|O<1>,2|C<3>,2|C<4>,4|H<1>}	C[4,6](C[4,6]C[3,4]C[6]Cl)(C[3,4]C[3,4]C[3]2)(C[6]C[6,6a]O)(Cl){1|O<1>,2|C<3>,2|C<4>,4|H<1>}	C[3,4](C[4,6]C[4,6]C[6]Cl)(C[3,4]C[4,6]C[3]2)(C[3]C[3]HH)2{1|Cl<1>,1|O<1>,2|C<3>,4|H<1>}	88.3109	0.661	2	88.3109	0.661	2     88.3109       0.661      2      88.7068     0.597     4
478	478	486	4:4:3:1:	4:4:4:2:	4:4:4:4:	C[4,4,6]-4:C[3,4]-4:C[6]-3:H-1:	C[4,6]-4:C[3,4]-4:C[4,6]-4:O[4]-2:	C[3,4]-4:C[4,6]-4:C[3]-4:C[3]-4:	C[4,6](C[4,4,6]C[3,4]C[4,6]O[4])(C[3,4]C[3,4]C[3]2)(C[6]C[6,6a]O)(H)	C[4,4,6](C[4,6]C[6,6a]C[4]O)(C[3,4]C[3,4]C[3]2)(C[4,6]C[3,4]C[6]H)(O[4]C[4])	C[3,4](C[3,4]C[4,4,6]C[3]2)(C[4,6]C[4,4,6]C[6]H)(C[3]C[3]HH)2	C[4,6](C[4,4,6]C[3,4]C[4,6]O[4])(C[3,4]C[3,4]C[3]2)(C[6]C[6,6a]O)(H){1|O<2>,2|C<3>,3|C<4>,4|H<1>}	C[4,4,6](C[4,6]C[6,6a]C[4]O)(C[3,4]C[3,4]C[3]2)(C[4,6]C[3,4]C[6]H)(O[4]C[4]){1|O<1>,2|C<3>,4|C<4>,4|H<1>}	C[3,4](C[3,4]C[4,4,6]C[3]2)(C[4,6]C[4,4,6]C[6]H)(C[3]C[3]HH)2{1|C<3>,1|C<4>,1|O<1>,1|O<2>,4|H<1>}	87.2521	1.336	2	87.2521	1.336	2     87.2521       1.336      2      87.2521     1.336     2
