478	762	998	4:3:4:1:	4:3:3:	4:3:4:4:	B[4]-4:C[6a]-3:P[4]-4:H-1:	C[4]-4:C[6a]-3:C[6a]-3:	C[4]-4:N[4]-3:C-4:C-4:	C[4](B[4]C[6a]2N[4])(C[6a]C[6a]2)(P[4]N[4]CC)(H)	C[6a](C[4]B[4]P[4]H)(C[6a]C[6a]H)2	P[4](C[4]C[6a]B[4]H)(N[4]B[4]Si)(CC3)2	C[4](B[4]C[6a]2N[4])(C[6a]C[6a]2)(P[4]N[4]CC)(H){1|Si<4>,2|H<1>,6|C<3>}	C[6a](C[4]B[4]P[4]H)(C[6a]C[6a]H)2{1|N<3>,2|C<4>,2|H<1>,3|C<3>}	P[4](C[4]C[6a]B[4]H)(N[4]B[4]Si)(CC3)2{4|C<3>}	125.2380	0.000	1	125.2380	0.000	1     125.2380       0.000      1      125.2380     0.000     1
478	762	998	4:4:3:3:	4:3:3:	4:3:4:1:	P[4,5]-4:C[4]-4:C[5]-3:C[6a]-3:	C[4,5]-4:C[6a]-3:C[6a]-3:	C[4,5]-4:N[4]-3:P[5]-4:O-1:	C[4,5](P[4,5]N[4]P[5]O)(C[4]C[6a]N[4]H)(C[5]C[6a]C[5])(C[6a]C[6a]2)	C[6a](C[4,5]P[4,5]C[4]C[5])(C[6a]C[6a]H)2	P[4,5](C[4,5]C[6a]C[4]C[5])(N[4]C[6a]C[4])(P[5]C[5]CO)(O)	C[4,5](P[4,5]N[4]P[5]O)(C[4]C[6a]N[4]H)(C[5]C[6a]C[5])(C[6a]C[6a]2){1|C<4>,1|O<1>,2|H<1>,8|C<3>}	C[6a](C[4,5]P[4,5]C[4]C[5])(C[6a]C[6a]H)2{1|N<3>,1|O<1>,1|P<4>,3|H<1>,4|C<3>}	P[4,5](C[4,5]C[6a]C[4]C[5])(N[4]C[6a]C[4])(P[5]C[5]CO)(O){1|H<1>,7|C<3>}	116.1420	0.000	1	116.1420	0.000	1     116.1420       0.000      1      116.1420     0.000     1
478	762	998	4:4:3:3:	4:3:3:	4:4:3:1:	P[4,5]-4:C[4]-4:C[5]-3:C[6a]-3:	C[4,5]-4:C[6a]-3:C[6a]-3:	C[4,5]-4:P[5]-4:N[4]-3:O-1:	C[4,5](P[4,5]N[4]P[5]O)(C[4]C[6a]N[4]H)(C[5]C[6a]C[5])(C[6a]C[6a]2)	C[6a](C[4,5]P[4,5]C[4]C[5])(C[6a]C[6a]H)2	P[4,5](C[4,5]C[6a]C[4]C[5])(P[5]C[5]CO)(N[4]C[4]C)(O)	C[4,5](P[4,5]N[4]P[5]O)(C[4]C[6a]N[4]H)(C[5]C[6a]C[5])(C[6a]C[6a]2){1|O<1>,2|C<4>,2|H<1>,7|C<3>}	C[6a](C[4,5]P[4,5]C[4]C[5])(C[6a]C[6a]H)2{1|N<3>,1|O<1>,1|P<4>,3|H<1>,4|C<3>}	P[4,5](C[4,5]C[6a]C[4]C[5])(P[5]C[5]CO)(N[4]C[4]C)(O){1|H<1>,5|C<3>}	116.6220	0.000	1	116.6220	0.000	1     116.6220       0.000      1      116.6220     0.000     1
478	762	998	4:4:4:3:	4:3:3:	4:2:2:1:	P[4,5,6,6]-4:P[4,5,6,6]-4:C[5,5]-4:C[6a]-3:	C[4,5,5,6]-4:C[6a]-3:C[6a]-3:	C[4,5,5,6]-4:S[5,6,6]-2:S[4,6]-2:S-1:	C[4,5,5,6](P[4,5,6,6]S[5,6,6]S[4,6]S)2(C[5,5]C[5,5,6,6]HH)(C[6a]C[6a]2)	C[6a](C[4,5,5,6]P[4,5,6,6]2C[5,5])(C[6a]C[6a]H)2	P[4,5,6,6](C[4,5,5,6]P[4,5,6,6]C[5,5]C[6a])(S[5,6,6]C[5,5,6,6])(S[4,6]P[4,5,6,6])(S)	C[4,5,5,6](P[4,5,6,6]S[5,6,6]S[4,6]S)2(C[5,5]C[5,5,6,6]HH)(C[6a]C[6a]2){2|H<1>,3|C<3>}	C[6a](C[4,5,5,6]P[4,5,6,6]2C[5,5])(C[6a]C[6a]H)2{1|C<3>,1|C<4>,2|S<1>,3|S<2>,4|H<1>}	P[4,5,6,6](C[4,5,5,6]P[4,5,6,6]C[5,5]C[6a])(S[5,6,6]C[5,5,6,6])(S[4,6]P[4,5,6,6])(S){1|S<1>,1|S<2>,2|H<1>,3|C<3>}	114.4060	0.191	2	114.4060	0.191	2     114.4060       0.191      2      114.4060     0.191     2
478	790	790	4:3:1:1:	4:	4:	C[4,5]-4:C[4]-3:Cl-1:Cl-1:	C[4]-4:	C[4]-4:	C[4](C[4,5]C[4,5]S[5]H)(C[4]C[4,5]O)(Cl)2	Cl(C[4]C[4,5]C[4]Cl)	Cl(C[4]C[4,5]C[4]Cl)	C[4](C[4,5]C[4,5]S[5]H)(C[4]C[4,5]O)(Cl)2{1|H<1>,2|C<3>}	Cl(C[4]C[4,5]C[4]Cl)	Cl(C[4]C[4,5]C[4]Cl)	110.9400	0.000	1	110.6559	0.346	7     110.6559       0.346      7      110.1341     0.751     14
478	790	790	4:3:1:1:	4:	4:	C[4,5]-4:C[4]-3:Cl-1:Cl-1:	C[4]-4:	C[4]-4:	C[4](C[4,5]C[4,5]S[5]H)(C[4]C[4,5]O)(Cl)2	Cl(C[4]C[4,5]C[4]Cl)	Cl(C[4]C[4,5]C[4]Cl)	C[4](C[4,5]C[4,5]S[5]H)(C[4]C[4,5]O)(Cl)2{1|H<1>,2|C<4>}	Cl(C[4]C[4,5]C[4]Cl)	Cl(C[4]C[4,5]C[4]Cl)	110.6085	0.354	6	110.6559	0.346	7     110.6559       0.346      7      110.1341     0.751     14
478	790	790	4:3:1:1:	4:	4:	C[4]-4:C[4]-3:Cl-1:Cl-1:	C[4]-4:	C[4]-4:	C[4](C[4]C[4]CC)(C[4]C[4]O)(Cl)2	Cl(C[4]C[4]2Cl)	Cl(C[4]C[4]2Cl)	C[4](C[4]C[4]CC)(C[4]C[4]O)(Cl)2{1|C<4>,1|H<1>}	Cl(C[4]C[4]2Cl)	Cl(C[4]C[4]2Cl)	109.1170	0.000	1	109.1170	0.000	1     109.6123       0.684      7      110.1341     0.751     14
478	790	790	4:3:1:1:	4:	4:	C[4]-4:C[4]-3:Cl-1:Cl-1:	C[4]-4:	C[4]-4:	C[4](C[4]C[4]CH)(C[4]C[4]O)(Cl)2	Cl(C[4]C[4]2Cl)	Cl(C[4]C[4]2Cl)	C[4](C[4]C[4]CH)(C[4]C[4]O)(Cl)2{1|C<4>,1|H<1>}	Cl(C[4]C[4]2Cl)	Cl(C[4]C[4]2Cl)	109.8945	0.380	2	109.8945	0.380	2     109.6123       0.684      7      110.1341     0.751     14
478	790	790	4:3:1:1:	4:	4:	C[4]-4:C[4]-3:Cl-1:Cl-1:	C[4]-4:	C[4]-4:	C[4](C[4]C[6a]N[4]C)(C[4]N[4]O)(Cl)2	Cl(C[4]C[4]2Cl)	Cl(C[4]C[4]2Cl)	C[4](C[4]C[6a]N[4]C)(C[4]N[4]O)(Cl)2{3|C<3>}	Cl(C[4]C[4]2Cl)	Cl(C[4]C[4]2Cl)	108.5840	0.000	1	108.5840	0.000	1     109.6123       0.684      7      110.1341     0.751     14
478	790	790	4:3:1:1:	4:	4:	C[4]-4:C[4]-3:Cl-1:Cl-1:	C[4]-4:	C[4]-4:	C[4](C[4]C[6a]N[4]H)(C[4]N[4]O)(Cl)2	Cl(C[4]C[4]2Cl)	Cl(C[4]C[4]2Cl)	C[4](C[4]C[6a]N[4]H)(C[4]N[4]O)(Cl)2{3|C<3>}	Cl(C[4]C[4]2Cl)	Cl(C[4]C[4]2Cl)	110.3050	0.249	2	110.3050	0.249	2     109.6123       0.684      7      110.1341     0.751     14
478	790	790	4:3:1:1:	4:	4:	C[4]-4:C[4]-3:Cl-1:Cl-1:	C[4]-4:	C[4]-4:	C[4](C[4]C[6a]N[4]O)(C[4]N[4]O)(Cl)2	Cl(C[4]C[4]2Cl)	Cl(C[4]C[4]2Cl)	C[4](C[4]C[6a]N[4]O)(C[4]N[4]O)(Cl)2{3|C<3>}	Cl(C[4]C[4]2Cl)	Cl(C[4]C[4]2Cl)	109.1860	0.000	1	109.1860	0.000	1     109.6123       0.684      7      110.1341     0.751     14
