643  894  SP2_SPD6  N  6:3:3:  3:3:3:3:2:2:  C[6a]-2_2_0:C[6a]-2_2_0:P[3x5]-2_2_2_2_2_2  C[6a]-6_2_2:N[5,5,6]-6_2_2:N[5,6]-6_2_2:N[5,6]-6_2_2:O[5]-6_2:O[5]-6_2  451_29587_1  718_5_1  1.8529  0.0000  1  1.8529  0.0000  1  
643  897  SP2_SP3  N  3:3:3:  3:4:4:  C[5,6a]-2_2_2:C[6a]-2_2_0:O[4]-2_0_0  C[6a]-3_2_2:In[4]-3_3_3_3:In[4]-3_3_3_3  451_2385_1  681_86_1  1.3498  0.0000  1  1.3498  0.0000  1  
643  897  SP2_SP3  N  3:3:3:  4:4:3:  C[6a]-2_2_2:C[6a]-2_2_2:O[4]-2_0_0  C[6a]-3_2_2:Ga[4]-3_3_3_3:Ga[4]-3_3_3_3  451_14825_1  681_95_1  1.3734  0.0032  2  1.3734  0.0032  2  
643  897  SP2_SP3  N  3:3:3:  4:4:3:  C[6a]-3_2_2:C[6a]-3_2_2:O[4]-2_0_0  C[6a]-3_2_2:In[4]-3_3_3_3:In[4]-3_3_3_3  451_17183_1  681_117_1  1.3693  0.0000  1  1.3693  0.0000  1  
643  897  SP2_SP3  N  3:3:3:  5:4:3:  C[6a]-2_2_0:C[6a]-3_2_2:O[4]-5_2_0  C[6a]-3_2_2:In[4,4]-3_3_3_3_3:In[4]-3_3_3_3  451_29238_1  681_110_1  1.3645  0.0066  4  1.3645  0.0066  4  
643  897  SP2_SP3  Y  3:3:3:  5:5:3:  C[6,6a]-3_2_2:C[6,6a]-3_2_2:O[4,6,6]-5_5_2  C[6,6,6a]-3_2_2:In[4,6]-3_3_3_0_0:In[4,6]-3_3_3_0_0  445_418_1  679_0_1  1.3540  0.0000  1  1.3540  0.0000  1  
643  899  SP-NON_SP2  N  3:2:1:  3:  C-2:C[6a]-2_2_0:N[6a]-2_2  C[6a]-2_2_0  451_21277_1  240_41225_0  1.4961  0.0000  1  1.4961  0.0000  1  
643  899  SP-NON_SP2  N  3:3:1:  3:  C-2:C[6a]-2_2_0:C[6a]-2_2_0  C[6a]-2_2_0  451_11959_1  240_35742_0  1.4638  0.0000  1  1.4638  0.0000  1  
643  899  SP-NON_SP2  N  3:3:1:  3:  C-2:C[6a]-2_2_0:C[6a]-2_2_0  C[6a]-2_2_0  451_15412_1  240_35742_0  1.4972  0.0000  1  1.4972  0.0000  1  
643  899  SP-NON_SP2  N  3:3:1:  3:  C-2:C[6a]-2_2_0:C[6a]-2_2_0  C[6a]-2_2_0  451_21816_1  240_35742_0  1.5384  0.0205  9  1.5384  0.0205  9  
643  899  SP-NON_SP2  N  3:3:1:  3:  C-2:C[6a]-2_2_0:C[6a]-2_2_0  C[6a]-2_2_0  451_25382_1  240_35742_0  1.5205  0.0000  1  1.5205  0.0000  1  
643  899  SP-NON_SP2  N  3:3:1:  3:  C-2:C[6a]-2_2_0:C[6a]-2_2_2  C[6a]-2_2_0  451_17586_1  240_35742_0  1.5124  0.0000  1  1.5124  0.0000  1  
643  899  SP-NON_SP2  N  3:3:1:  3:  C-2:C[6a]-2_2_0:C[6a]-2_2_2  C[6a]-2_2_0  451_19326_1  240_35742_0  1.5210  0.0196  4  1.5210  0.0196  4  
643  899  SP-NON_SP2  N  3:3:1:  3:  C-2:C[6a]-2_2_0:C[6a]-3_2_2  C[6a]-2_2_0  451_15510_1  240_35742_0  1.3462  0.0000  1  1.3462  0.0000  1  
643  900  SP-NON_SP2  N  2:2:2:  3:3:  Cl-2_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_0:C[6a]-2_2_0  451_28941_1  458_554_0  1.7728  0.0000  1  1.7728  0.0000  1  
643  900  SP-NON_SP2  N  3:2:2:  3:3:  Cl-2_2:C[6a]-2_2_0:N[6a]-2_2  C[6a]-2_2_0:C[6a]-2_2_0  451_21632_1  458_554_0  1.7690  0.0000  1  1.7690  0.0000  1  
643  900  SP-NON_SP2  N  3:3:2:  3:3:  Cl-2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[6a]-2_2_0:C[6a]-2_2_0  451_22638_1  458_552_0  1.8113  0.0000  1  1.8113  0.0000  1  
643  900  SP-NON_SP2  N  3:3:2:  3:3:  Cl-2_2:C[6a]-3_2_2:C[6a]-3_2_2  C[6a]-2_2_0:C[6a]-2_2_0  451_16713_1  458_552_0  1.7878  0.0000  1  1.7878  0.0000  1  
643  901  SP1_SP2  N  3:2:1:  3:  C[6a]-2_2_0:N-2:N[6a]-2_2  C[6a]-2_2_1  451_21412_1  599_8163_0  1.3384  0.0093  2  1.3384  0.0093  2  
643  901  SP1_SP2  N  3:3:1:  3:  C[5,6a]-2_2_2:C[6a]-2_2_1:N-2  C[6a]-2_2_1  451_1989_1  599_6714_0  1.3607  0.0000  1  1.3607  0.0000  1  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:N-2  C[6a]-2_2_1  451_8823_1  599_6855_0  1.3704  0.0000  1  1.3704  0.0000  1  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:N-2  C[6a]-2_2_1  451_11995_1  599_7019_0  1.3584  0.0000  1  1.3584  0.0000  1  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:N-2  C[6a]-2_2_1  451_13299_1  599_7019_0  1.3604  0.0000  1  1.3604  0.0000  1  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:N-2  C[6a]-2_2_1  451_21138_1  599_7019_0  1.3554  0.0124  3  1.3554  0.0124  3  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:N-2  C[6a]-2_2_1  451_22721_1  599_7019_0  1.4453  0.0523  3  1.4128  0.0395  10  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:N-2  C[6a]-2_2_1  451_22721_2  599_7019_0  1.3944  0.0254  6  1.4128  0.0395  10  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:N-2  C[6a]-2_2_1  451_22721_3  599_7019_0  1.4251  0.0000  1  1.4128  0.0395  10  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:N-2  C[6a]-2_2_1  451_24395_1  599_7019_0  1.3577  0.0000  1  1.3577  0.0000  1  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_2:N-2  C[6a]-2_2_1  451_14349_1  599_7019_0  1.4253  0.0000  1  1.4253  0.0000  1  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_2:N-2  C[6a]-2_2_1  451_15712_1  599_7019_0  1.3631  0.0000  1  1.3631  0.0000  1  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_2:N-2  C[6a]-2_2_1  451_19482_1  599_7019_0  1.3577  0.0000  1  1.3577  0.0000  1  
643  901  SP1_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-3_2_2:N-2  C[6a]-2_2_1  451_20812_1  599_7019_0  1.3569  0.0000  1  1.3569  0.0000  1  
