643  934  SP2_SPD5  N  5:3:3:  3:3:3:2:2:  C[6a]-2_2_0:C[6a]-2_2_0:Si[3x6]-2_2_2_2_2  C[6a]-5_2_2:N[5a,6,6]-5_2_2:N[5a,6,6]-5_2_2:O[6]-5_2:O[6]-5_2  451_30048_1  803_3_1  1.8288  0.0000  1  1.8288  0.0000  1  
643  935  SP2_SPD6  N  6:3:3:  3:3:3:3:3:2:  C[6a]-2_2_0:C[6a]-2_2_0:P[4x6]-3_2_2_2_2_2  C[6a]-6_2_2:N[5a,6,6]-6_2_2:N[5a,6,6]-6_2_2:N[5a,6,6]-6_2_2:N[5a,6,6]-6_2_2:O-6_0  451_29609_1  738_2_1  1.8642  0.0000  1  1.8642  0.0000  1  
643  939  SP2_SP2  N  3:3:3:  3:3:2:  C[6a]-2_2_2:C[6a]-2_2_2:Ge[5]-2_2_1  C[5,6a]-2_2_2:C[6a]-2_2_2:Ge[5]-3_2  451_27368_1  561_9_1  1.9699  0.0000  1  1.9699  0.0000  1  
643  939  SP2_SP2  N  3:3:3:  4:3:3:  C[6a]-2_2_0:C[6a]-2_2_0:Ge[5]-3_2_2  C[6a]-2_2_2:N[5]-2_2_2:P[5,5]-3_3_2_2  451_27374_1  561_84_1  2.0031  0.0000  1  2.0031  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:1:  C[6a,6a]-2_2_2:C[6a,6a]-2_2_2:P-2_0  Cl-0:C[6a]-2_2_0  451_9550_1  694_1365_0  1.7750  0.0000  1  1.7750  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:1:  C[6a]-2_2_2:C[6a]-2_2_2:P-2_0  C[6a]-2_2_0:H-0  451_14837_1  694_1654_0  1.8086  0.0037  2  1.8086  0.0037  2  
643  940  SP-NON_SP2  N  3:3:2:  3:1:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_0  C[6a]-2_2_0:H-0  451_17275_1  694_1654_0  1.8301  0.0073  6  1.8301  0.0073  6  
643  940  SP-NON_SP2  N  3:3:2:  3:2:  C[6a,6a]-2_2_2:C[6a,6a]-2_2_2:P-2_0  C[6a]-2_2_0:P-2_0  451_9552_1  694_1367_0  1.8397  0.0025  2  1.8397  0.0025  2  
643  940  SP-NON_SP2  N  3:3:2:  3:2:  C[6a]-2_2_0:C[6a]-2_2_0:P-2_1  C-6_0:C[6a]-2_2_0  451_23234_1  694_1595_0  1.8299  0.0000  1  1.8299  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:2:  C[6a]-2_2_2:C[6a]-3_2_2:P-2_0  C[6a]-2_2_0:P-2_0  451_12684_1  694_1764_0  1.8532  0.0000  1  1.8532  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:2:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_0  C[6a]-2_2_0:P-2_0  451_17298_1  694_1761_0  1.8480  0.0047  3  1.8480  0.0047  3  
