956    956     SP3_SP3    Y    4:3:3:3:    4:3:3:3:    C[3]-1_1_1:C[3]-1_1_1:C[6a]-1_1_1:P[3,3]-1_1_1_1     C[3]-1_1_1:C[3]-1_1_1:C[6a]-1_1_1:P[3,3]-1_1_1_1     P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2)    P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2)     P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2){2|H<1>,8|C<3>}    P[3,3](P[3,3]C[6a]C[3]2)(C[3]P[3,3]C[6a])2(C[6a]C[6a]2){2|H<1>,8|C<3>}   2.4042    0.0000    1     2.4042     0.0000    1
957    993     SP-NON_SP-NON    Y    2:2:2:2:    4:4:    Se[6]-1_0:Se[6]-1_0:Se[6]-1_0:Se[6]-1_0     P[6]-1_0_0_0:Se[6,6]-0_0_0_0     Se[6,6](Se[6]P[6])4    Se[6](Se[6,6]Se[6]3)(P[6]N[6]CC)     Se[6,6](Se[6]P[6])4{2|N<2>,8|C<4>}    Se[6](Se[6,6]Se[6]3)(P[6]N[6]CC){3|P<4>}   2.6494    0.0134    2     2.6494     0.0134    2
958    960     SP-NON_SP3    N    2:2:    2:1:    O-0_0:O-0_0     H-0_0:H-0     H(OH)(OS)    O(HO)(H)     H(OH)(OS)    O(HO)(H)   1.4313    0.0000    1     1.4313     0.0000    1
958    960     SP-NON_SP3    N    2:2:    2:1:    O-0_0:O-0_0     H-0_0:H-0     H(OH)2    O(HO)(H)     H(OH)2    O(HO)(H)   1.0176    0.0866    3     1.0176     0.0866    3
958    960     SP-NON_SP3    N    2:2:    2:2:    O-1_0:O-1_0     H-0_0:N-1_0     H(OC)(ON)    O(NC[6a])(HO)     H(OC)(ON)    O(NC[6a])(HO)   1.4095    0.0496    2     1.4095     0.0496    2
958    960     SP-NON_SP3    N    2:2:    2:2:    O-1_0:O-2_0     C-1_0:H-0_0     H(OC)2    O(CO)(HO)     H(OC)2    O(CO)(HO)   1.4324    0.0000    1     1.4324     0.0000    1
958    960     SP-NON_SP3    N    2:2:    2:2:    O-2_0:O-2_0     C-0_0:H-0_0     H(OC)2    O(CN)(HO)     H(OC)2    O(CN)(HO)   1.2200    0.1373    2     1.2200     0.1373    2
958    960     SP-NON_SP3    N    2:2:    3:2:    O-0_0:O-0_0     H-0_0:N-1_1_0     H(ON)2    O(NOO)(HO)     H(ON)2    O(NOO)(HO)   1.2197    0.0000    1     1.2197     0.0000    1
958    960     SP-NON_SP3    N    2:2:    3:2:    O-0_0:O-0_0     H-0_0:N[5a]-1_1_0     H(ON[5a])2    O(N[5a]C[5a]N[5a])(HO)     H(ON[5a])2    O(N[5a]C[5a]N[5a])(HO)   1.2229    0.2075    2     1.2229     0.2075    2
958    960     SP-NON_SP3    N    2:2:    3:2:    O-0_0:O-0_0     H-0_0:N[6a]-1_1_0     H(ON[6a])2    O(N[6a]C[6a]2)(HO)     H(ON[6a])2    O(N[6a]C[6a]2)(HO)   1.2387    0.0851    2     1.2387     0.0851    2
958    960     SP-NON_SP3    N    2:2:    3:2:    O-0_0:O-1_0     C-1_0_0:H-0_0     H(ON[3x6])(OC)    O(CHO)(HO)     H(ON[3x6])(OC)    O(CHO)(HO)   1.2000    0.0169    7     1.2000     0.0169    7
