727  931  SP2_SPD5  Y  5:3:3:  5:3:3:2:2:  C[5,6a]-3_2_2:C[6a]-2_2_0:Si[5,5]-5_3_3_2_2  C[5,6a]-5_2_2:C[5,6a]-5_2_2:O[5]-5_3:O[5]-5_3:Si[5,5]-5_3_3_2_2  416_4857_1  827_42_1  1.9066  0.0009  2  1.9066  0.0009  2  
727  933  SP2_SP2  Y  3:2:2:  3:3:  C[5,6a]-3_2_2:O[5]-3_2:O[6a]-2_2  C[5,6a]-2_2_2:C[6a,6a]-2_2_2  416_1690_1  693_105_1  1.3298  0.0000  1  1.3298  0.0000  1  
727  933  SP2_SP2  Y  3:2:2:  3:3:  C[5a,6a]-2_2_2:N[5a]-2_2:O[6a]-2_2  C[5a,6a]-2_2_2:C[6a,6a]-2_2_2  424_938_1  693_47_1  1.3471  0.0000  1  1.3419  0.0073  2  
727  933  SP2_SP2  Y  3:2:2:  3:3:  C[5a,6a]-2_2_2:N[5a]-2_2:O[6a]-2_2  C[5a,6a]-2_2_2:C[6a,6a]-2_2_2  424_938_2  693_47_1  1.3367  0.0000  1  1.3419  0.0073  2  
727  933  SP2_SP2  Y  3:2:2:  3:3:  C[5a,6a]-2_2_2:N[5a]-2_2:O[6a]-2_2  C[5a,6a]-2_2_2:C[6a,6a]-2_2_2  424_2306_1  693_47_2  1.3515  0.0000  1  1.3515  0.0000  1  
727  933  SP2_SP2  Y  3:2:2:  3:3:  C[5a,6a]-2_2_2:N[5a]-2_2:O[6a]-2_2  C[5a,6a]-2_2_2:C[6a]-2_2_2  424_939_1  693_49_1  1.3615  0.0000  1  1.3615  0.0000  1  
727  933  SP2_SP2  Y  3:2:2:  3:3:  C[5a,6a]-2_2_2:N[5a]-2_2:O[6a]-2_2  C[5a,6a]-2_2_2:C[6a]-2_2_2  424_1391_1  693_51_1  1.3606  0.0006  2  1.3606  0.0006  2  
727  933  SP2_SP2  Y  3:2:2:  3:3:  C[5a,6a]-2_2_2:N[5a]-2_2:O[6a]-2_2  C[5a,6a]-2_2_2:C[6a]-2_2_2  424_1647_1  693_48_1  1.3593  0.0018  4  1.3593  0.0018  4  
727  933  SP2_SP2  Y  3:2:2:  3:3:  C[5a,6a]-2_2_2:O[5a]-2_2:O[6a]-2_2  C[5a,6a]-2_2_2:C[6a,6a]-2_2_2  424_1422_1  693_52_1  1.3221  0.0000  1  1.3221  0.0000  1  
727  933  SP2_SP2  Y  3:2:3:  3:3:  C[5,6a]-2_2_2:C[5]-2_2_2:O[6a]-2_2  C[5,6a]-2_2_2:C[6a]-2_2_2  416_3193_1  693_41_1  1.3327  0.0070  2  1.3327  0.0070  2  
727  933  SP2_SP2  Y  3:2:3:  3:3:  C[5,6a]-3_2_2:C[5]-2_2_2:O[6a]-2_2  C[5,6a]-2_2_2:C[6a,6a]-2_2_2  416_2454_1  693_69_1  1.3660  0.0000  1  1.3669  0.0012  2  
727  933  SP2_SP2  Y  3:2:3:  3:3:  C[5,6a]-3_2_2:C[5]-2_2_2:O[6a]-2_2  C[5,6a]-2_2_2:C[6a,6a]-2_2_2  416_2454_2  693_69_1  1.3678  0.0000  1  1.3669  0.0012  2  
727  933  SP2_SP2  Y  3:2:3:  3:3:  C[5,6a]-3_2_2:C[5]-3_2_2:O[6a]-2_2  C[5,6a]-2_2_2:C[6a]-2_2_2  416_2455_1  693_40_1  1.3514  0.0000  1  1.3514  0.0000  1  
727  933  SP2_SP2  Y  3:2:3:  3:3:  C[5a,6a]-2_2_2:C[5a]-2_2_2:O[6a]-2_2  C[5a,6a]-2_2_2:C[6a,6a]-2_2_2  424_2117_1  693_44_1  1.3564  0.0000  1  1.3564  0.0000  1  
727  933  SP2_SP2  Y  3:2:4:  3:3:  C[5,6a]-2_2_2:C[5]-3_3_2_2:O[6a]-2_2  C[5,6a]-3_2_2:C[6a,6a]-2_2_2  416_2453_1  693_69_2  1.3528  0.0000  1  1.3528  0.0000  1  
727  933  SP2_SP2  Y  3:3:2:  3:3:  C[5,6a]-2_2_2:C[5,6a]-2_2_2:O[6a]-2_2  C[5,6a]-2_2_2:C[6a]-2_2_2  416_1899_1  693_38_1  1.3626  0.0000  1  1.3626  0.0000  1  
727  933  SP2_SP2  Y  3:3:2:  3:3:  C[5,6a]-2_2_2:C[5,6a]-2_2_2:O[6a]-2_2  C[5,6a]-2_2_2:C[6a]-2_2_2  416_1925_1  693_39_1  1.3492  0.0000  1  1.3492  0.0000  1  
727  933  SP2_SP2  Y  3:3:2:  3:3:  C[5,6a]-2_2_2:C[5,6a]-3_2_2:O[6a]-2_2  C[5,6a]-2_2_2:C[6a,6a]-2_2_2  416_1924_1  693_102_1  1.3425  0.0000  1  1.3425  0.0000  1  
727  933  SP2_SP2  Y  3:3:2:  3:3:  C[5,6a]-2_2_2:C[5,6a]-3_2_2:O[6a]-2_2  C[5,6a]-2_2_2:C[6a]-2_2_2  416_1925_2  693_39_2  1.3562  0.0000  1  1.3562  0.0000  1  
