818  969  SP-NON_SP2  N  3:3:3:  3:1:1:  Ga-2_0_0:N[5]-2_2_2:N[5]-2_2_2  Cl-0:Cl-0:C[5]-2_2_0  417_30215_1  469_66_0  2.0340  0.0000  1  2.0340  0.0000  1  
818  974  SP2_SP2  Y  3:2:2:  3:4:  As[5]-3_2:C[6a]-2_2_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_3_2  417_24703_1  13_26_1  1.8205  0.0000  1  1.8205  0.0000  1  
818  975  SP2_SP3  Y  3:2:2:  3:4:  C[5,6]-3_2_2:Se[6]-3_2:S[5]-2_2  C[5,6]-3_2_2:C[6]-3_3_0_0  414_6287_1  786_6_1  1.8994  0.0238  52  1.8994  0.0238  52  
818  975  SP2_SP3  Y  3:2:2:  3:4:  C[5,6]-3_3_2:Se[5]-2_2:Se[6]-3_2  C[5,6]-3_3_2:C[6]-3_3_0_0  414_6283_1  786_7_1  1.8940  0.0082  4  1.8940  0.0082  4  
818  975  SP2_SP3  Y  3:2:3:  3:2:  C[5,6]-2_2_2:N[5]-3_2_2:Se[6]-3_2  C[5,6]-3_2_2:Se[6]-3_2  414_3856_1  786_5_1  1.9059  0.0066  2  1.9059  0.0066  2  
818  975  SP2_SP3  Y  3:2:3:  3:3:  C[5,6]-3_2_2:C[5]-2_2_2:Se[6]-2_2  C[5,6]-3_2_2:C[5,6]-3_2_2  414_6285_1  786_3_1  1.8837  0.0017  2  1.8837  0.0017  2  
818  975  SP2_SP3  Y  3:3:2:  3:2:  C[5,6a]-2_2_2:C[5,6]-3_2_2:Se[6]-3_2  C[5,6]-3_2_2:Se[6]-3_2  414_6361_1  786_8_1  1.9079  0.0010  2  1.9079  0.0010  2  
818  975  SP2_SP3  Y  3:3:2:  3:3:  C[5,6]-2_2_2:C[5]-3_2_2:Se[6]-2_2  C[5,6]-3_2_2:C[6]-3_2_0  414_3948_1  786_2_1  1.8346  0.0591  2  1.8346  0.0591  2  
818  975  SP2_SP3  Y  4:2:3:  4:3:  C[5,6]-3_3_2_2:C[5]-3_2_2:Se[6]-3_2  C[5,6]-3_3_2_2:C[5,6]-3_3_2  414_6286_1  786_4_1  1.8947  0.0000  1  1.8947  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  3:2:  N[5]-2_2:O-2:O[5]-2_2  C[5]-2_2_2:N[5]-2_2  417_28045_1  688_2682_1  1.3700  0.0140  4  1.3692  0.0110  6  
818  976  SP2_SP2  Y  2:2:1:  3:2:  N[5]-2_2:O-2:O[5]-2_2  C[5]-2_2_2:N[5]-2_2  417_28045_2  688_2682_2  1.3676  0.0022  2  1.3692  0.0110  6  
