863  940  SP-NON_SP2  N  2:  4:1:  P-3_2  C-3_0_0_0:O-0  665_6067_0  694_309_0  1.4746  0.0000  1  1.4746  0.0000  1  
863  941  SP2_SP2  N  2:  1:1:  N-2_2  O-2:O-2  665_5798_0  599_9416_0  1.1888  0.0559  30  1.1888  0.0559  30  
863  941  SP2_SP2  N  2:  2:1:  N-2_1  C-2_2:O-2  665_5652_0  599_1954_0  1.2314  0.0073  6  1.2314  0.0073  6  
863  941  SP2_SP2  N  2:  2:1:  N-2_2  N-2_2:O-2  665_5781_0  599_8636_0  1.2566  0.0091  7  1.2566  0.0091  7  
863  941  SP2_SP2  N  2:  2:1:  N-2_2  N-2_2:O-2  665_5781_0  599_8658_0  1.2792  0.0080  2  1.2792  0.0080  2  
863  941  SP2_SP2  N  2:  2:1:  N-2_2  O-2:O-3_2  665_5798_0  599_9420_0  1.1496  0.0000  1  1.1496  0.0000  1  
863  941  SP2_SP2  N  2:  2:1:  N-2_2  O-2:S-3_2  665_5817_0  599_10167_0  1.1797  0.0000  1  1.1797  0.0000  1  
863  941  SP2_SP2  N  2:  2:1:  N-3_2  O-2:O-5_2  665_5798_0  599_9459_0  1.2823  0.0000  1  1.2823  0.0000  1  
863  941  SP2_SP2  N  2:  2:1:  N-3_2  O-2:O-6_2  665_5798_0  599_9443_0  1.2142  0.0027  3  1.2142  0.0027  3  
863  941  SP2_SP2  N  2:  2:1:  N-3_2  O-2:O-6_2  665_5798_0  599_9450_0  1.2087  0.0102  3  1.2087  0.0102  3  
863  941  SP2_SP2  N  2:  2:1:  N-3_2  O-2:O-6_2  665_5798_0  599_9473_0  1.1877  0.0000  1  1.1877  0.0000  1  
863  941  SP2_SP2  N  2:  2:1:  N-3_2  O-2:O-7_2  665_5798_0  599_9466_0  1.2373  0.0000  1  1.2373  0.0000  1  
863  941  SP2_SP2  N  2:  2:1:  N-3_2  O-2_0:O-2  665_5798_0  599_9467_0  1.2063  0.0144  10  1.2063  0.0144  10  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  C-2_1_1:O-2  665_5652_0  599_511_0  1.2944  0.0896  9  1.2944  0.0896  9  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  C-2_2_0:O-2  665_5652_0  599_3150_0  1.4159  0.0136  2  1.4159  0.0136  2  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  C-2_2_1:O-2  665_5652_0  599_1474_0  1.3179  0.0000  1  1.3179  0.0000  1  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  C-2_2_1:O-2  665_5652_0  599_2132_0  1.3371  0.0220  4  1.3371  0.0220  4  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  C-2_2_2:O-2  665_5652_0  599_1697_0  1.4126  0.0000  1  1.4126  0.0000  1  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  C-3_2_2:O-2  665_5652_0  599_2382_0  1.4183  0.0000  1  1.4183  0.0000  1  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  C[5a]-2_2_2:O-2  665_5702_0  599_5165_0  1.2681  0.0259  3  1.2681  0.0259  3  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  C[5a]-2_2_2:O-2  665_5702_0  599_5313_0  1.2493  0.0000  1  1.2493  0.0000  1  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  C[5a]-2_2_2:O-2  665_5702_0  599_5350_0  1.2646  0.0090  3  1.2646  0.0090  3  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  C[6]-2_2_2:O-2  665_5713_0  599_5975_0  1.2987  0.0355  8  1.2987  0.0355  8  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  C[6a]-2_2_2:O-2  665_5738_0  599_7834_0  1.2751  0.0299  64  1.2751  0.0299  64  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  N-2_2_2:O-2  665_5781_0  599_8600_0  1.2636  0.0418  2  1.2636  0.0418  2  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  N-3_2_2:O-2  665_5781_0  599_8587_0  1.2330  0.0110  11  1.2330  0.0110  11  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  N-3_2_2:O-2  665_5781_0  599_8748_0  1.2323  0.0084  14  1.2323  0.0084  14  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  N-3_3_2:O-2  665_5781_0  599_8604_0  1.2224  0.0000  1  1.2224  0.0000  1  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  N[4]-3_3_2:O-2  665_5786_0  599_9084_0  1.2542  0.0000  1  1.2542  0.0000  1  
863  941  SP2_SP2  N  2:  3:1:  N-2_2  N[5]-3_2_2:O-2  665_5787_0  599_9110_0  1.2230  0.0000  1  1.2230  0.0000  1  
