863  953  SP-NON_SP2  N  2:  3:1:  I-2_2  C[6a]-2_2_0:O-0  665_5578_0  586_205_0  1.8611  0.0000  1  1.8611  0.0000  1  
863  955  SP2_SP3  N  4:  2:2:1:1:  P[5]-3_2_2_0  Cl-3:N[5]-3_2:O-3:O[5]-3_3  665_6633_0  746_495_1  1.4660  0.0000  1  1.4660  0.0000  1  
863  955  SP2_SP3  N  4:  2:2:1:1:  P[5]-3_3_2_0  H-3:O-3:O[5]-3_3:O[5]-3_3  665_6640_0  746_590_1  1.4597  0.0000  1  1.4597  0.0000  1  
863  955  SP2_SP3  N  4:  2:2:2:1:  P[5]-3_3_3_2  O-3_0:O-3:O[5]-3_3:O[5]-3_3  665_6643_0  746_597_1  1.4767  0.0000  1  1.4767  0.0000  1  
863  955  SP2_SP3  N  4:  2:2:2:1:  P[5]-3_3_3_2  O-3_3:O-3:O[5]-3_3:O[5]-3_3  665_6643_0  746_593_1  1.4457  0.0000  1  1.4457  0.0000  1  
863  955  SP2_SP3  N  4:  2:3:2:1:  P[5]-3_3_2_2  C[5]-3_3_2:O-3_3:O-3:O[5]-3_3  665_6601_0  746_580_1  1.4365  0.0000  1  1.4365  0.0000  1  
863  955  SP2_SP3  N  4:  3:2:2:1:  P[5]-3_3_2_2  C[5]-3_2_2:O-3_0:O-3:O[5]-3_3  665_6601_0  746_277_1  1.4759  0.0000  1  1.4759  0.0000  1  
863  955  SP2_SP3  N  4:  3:2:2:1:  P[5]-3_3_2_2  C[6a]-3_2_2:O-3:O[5]-3_3:O[5]-3_3  665_6612_0  746_427_1  1.4617  0.0000  1  1.4617  0.0000  1  
863  955  SP2_SP3  N  4:  3:2:2:1:  P[5]-3_3_3_2  N[5]-3_3_3:O-3_3:O-3:O[5]-3_3  665_6637_0  746_516_1  1.4586  0.0000  1  1.4586  0.0000  1  
863  955  SP2_SP3  N  4:  3:2:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:N-3_3_3:O-3:S[5]-3_2  665_6590_0  746_141_1  1.4746  0.0000  1  1.4746  0.0000  1  
863  955  SP2_SP3  N  4:  3:2:3:1:  P[5]-3_2_2_2  N-3_3_3:N[5]-3_3_3:O-3:O[5]-3_3  665_6635_0  746_515_1  1.4766  0.0000  1  1.4766  0.0000  1  
863  955  SP2_SP3  N  4:  3:2:3:1:  P[5]-3_3_2_2  N-3_3_3:N[5]-3_3_0:O-3:O[5]-3_3  665_6635_0  746_524_1  1.4755  0.0000  1  1.4755  0.0000  1  
863  955  SP2_SP3  N  4:  3:2:4:1:  P[5]-3_3_2_2  C-3_3_0_0:N[5]-3_3_3:O-3:O[5]-3_3  665_6632_0  746_514_1  1.4729  0.0038  3  1.4729  0.0038  3  
863  955  SP2_SP3  N  4:  3:3:1:1:  P[5]-2_2_2_0  Cl-3:N[5]-3_3_2:N[5]-3_3_2:O-3  665_6625_0  746_544_1  1.4652  0.0000  1  1.4652  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:1:1:  P[5]-3_3_2_0  H-3:N[5]-3_3_3:N[5]-3_3_3:O-3  665_6626_0  746_520_1  1.4653  0.0000  1  1.4653  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:2:1:  P[5,6]-3_3_3_2  N[5,6]-3_3_3:N[5]-3_3_3:O-3:O[6]-3_3  665_6551_0  745_18_1  1.4678  0.0000  1  1.4678  0.0000  1  
