466    643     SP2_SP3    N    2:2:2:3:    4:3:3:    C[6a]-1_1_0:O[6,6]-0_0:O[6,6]-0_0:O[6,6]-0_0     C[3x6]-1_0_0_0:C[6a]-1_1_0:C[6a]-1_1_0     C[3x6](O[6,6]C[3x6])3(C[6a]C[6a]2)    C[6a](C[3x6]O[6,6]3)(C[6a]C[6a]H)2     C[3x6](O[6,6]C[3x6])3(C[6a]C[6a]2){2|C<3>,3|C<4>,5|H<1>}    C[6a](C[3x6]O[6,6]3)(C[6a]C[6a]H)2{1|C<3>,2|H<1>,3|C<4>}   1.5041    0.0024    3     1.5041     0.0024    3
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a,6a]-1_1_1:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a,6a]C[6a])(O[6]C[6])2(H)    C[6a](C[6a,6a]C[3x6a]C[6a])(C[6a]C[6a]H)(C[6]O[6]2H)     C[6](C[6a]C[6a,6a]C[6a])(O[6]C[6])2(H){1|C<4>,3|C<3>,5|H<1>}    C[6a](C[6a,6a]C[3x6a]C[6a])(C[6a]C[6a]H)(C[6]O[6]2H){2|C<4>,2|H<1>,3|C<3>}   1.5137    0.0085    2     1.5137     0.0085    2
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a,6a]-1_1_1:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a,6a]C[6a])(O[6]C[6])2(H)    C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(C[6]O[6]2H)     C[6](C[6a]C[6a,6a]C[6a])(O[6]C[6])2(H){1|C<4>,3|C<3>,5|H<1>}    C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(C[6]O[6]2H){2|C<4>,2|H<1>,3|C<3>}   1.5015    0.0003    2     1.5015     0.0003    2
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[5,6])(O[6]C[6])(H)    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[5,6])(O[6]C[6])(H){2|C<3>,2|C<4>,5|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5014    0.0060    10     1.5014     0.0060    10
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6,6])(O[6]C[6])(H)    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6,6])(O[6]C[6])(H){1|C<4>,3|C<3>,5|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5025    0.0042    5     1.5040     0.0071    55
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6,6])(O[6]C[6])(H)    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6,6])(O[6]C[6])(H){2|C<3>,2|C<4>,5|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5039    0.0072    48     1.5040     0.0071    55
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6,6])(O[6]C[6])(H)    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6,6])(O[6]C[6])(H){2|C<3>,3|C<4>,4|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5114    0.0092    2     1.5040     0.0071    55
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6,6])(O[6]C[6])(H)    C[6a](C[6a]C[6a]O)2(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6,6])(O[6]C[6])(H){2|C<3>,2|C<4>,2|O<2>,3|H<1>}    C[6a](C[6a]C[6a]O)2(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5074    0.0000    1     1.5074     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6,6])(O[6]O[6])(H)    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6,6])(O[6]O[6])(H){2|C<3>,2|C<4>,3|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H){1|C<3>,1|C<4>,1|O<2>,2|H<1>}   1.4906    0.0000    1     1.4906     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6,6])2(H)    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6,6])2(H){2|C<4>,3|C<3>,4|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5042    0.0064    3     1.5042     0.0064    3
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6,6a]H)(C[6a]C[6a]C)(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){2|C<3>,2|H<1>,5|C<4>}    C[6a](C[6a]C[6,6a]H)(C[6a]C[6a]C)(C[6]O[6]2H){1|O<2>,2|C<3>,2|C<4>}   1.5144    0.0000    1     1.5144     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6,6a]O)(C[6a]C[6a]H)(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){1|O<2>,2|C<3>,2|H<1>,4|C<4>}    C[6a](C[6a]C[6,6a]O)(C[6a]C[6a]H)(C[6]O[6]2H){1|O<2>,2|C<3>,2|C<4>}   1.5168    0.0043    2     1.5168     0.0043    2
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]H)(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){1|C<4>,2|C<3>,6|H<1>}    C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]H)(C[6]O[6]2H){1|H<1>,2|C<3>,2|C<4>}   1.5035    0.0000    1     1.5035     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){2|C<3>,2|C<4>,5|H<1>}    C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5070    0.0000    1     1.5070     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6a]C[6])(C[6a]C[6a]H)(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){2|C<3>,2|C<4>,5|H<1>}    C[6a](C[6a]C[6a]C[6])(C[6a]C[6a]H)(C[6]O[6]2H){1|C<3>,2|C<4>,2|O<2>,3|H<1>}   1.5094    0.0102    2     1.5094     0.0102    2
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6a]Cl)(C[6a]C[6a]H)(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){1|Cl<1>,1|C<4>,2|C<3>,5|H<1>}    C[6a](C[6a]C[6a]Cl)(C[6a]C[6a]H)(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5021    0.0038    3     1.5021     0.0038    3
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6a]F)2(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){1|C<4>,2|C<3>,2|F<1>,4|H<1>}    C[6a](C[6a]C[6a]F)2(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.4996    0.0000    1     1.4996     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6a]H)(C[6a]C[6a]N)(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){1|C<4>,1|N<3>,2|C<3>,5|H<1>}    C[6a](C[6a]C[6a]H)(C[6a]C[6a]N)(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5050    0.0000    1     1.5050     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6a]H)(C[6a]C[6a]O)(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){1|C<4>,1|O<2>,2|C<3>,5|H<1>}    C[6a](C[6a]C[6a]H)(C[6a]C[6a]O)(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.4976    0.0000    1     1.4976     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){1|C<4>,2|C<3>,6|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5011    0.0080    10     1.5007     0.0061    22
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){1|C<4>,2|C<3>,6|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H){1|Cl<1>,1|C<3>,1|H<1>,2|C<4>}   1.5055    0.0034    2     1.5007     0.0061    22
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){1|P<4>,4|C<3>,4|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5022    0.0000    1     1.5007     0.0061    22
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(H)    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H)     C[6](C[6a]C[6a]2)(O[6]C[6])2(H){2|C<3>,2|C<4>,5|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]O[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.4985    0.0039    8     1.5007     0.0061    22
