466    694     SP-NON_SP3    Y    3:2:1:1:    4:3:    H-3:H-3:H[6]-3_0:O[6]-3_0_0     C[6]-0_0_0_0:O[6]-3_0_0     C[6](O[6]H[6]H)(H[6]O[6])(H)2    H[6](C[6]O[6]HH)(O[6]C[6]H)     C[6](O[6]H[6]H)(H[6]O[6])(H)2{}    H[6](C[6]O[6]HH)(O[6]C[6]H)   0.9618    0.0000    1     0.9618     0.0000    1
466    710     SP-NON_SP3    N    4:2:1:1:    4:    C[6]-3_3_2_0:H-3:I-3:O[6]-3_3     C[6]-3_3_0_0     C[6](C[6]C[6]HO)(O[6]C[6])(H)(I)    I(C[6]C[6]O[6]H)     C[6](C[6]C[6]HO)(O[6]C[6])(H)(I){1|C<3>,1|C<4>,1|O<2>,2|H<1>}    I(C[6]C[6]O[6]H)   2.2070    0.0000    2     2.2070     0.0000    2
466    710     SP-NON_SP3    N    4:3:1:1:    4:    C[6]-3_3_0_0:C[6]-3_3_2:H-3:I-3     C[6]-3_2_0_0     C[6](C[6]C[6]HH)(C[6]C[6]O)(H)(I)    I(C[6]C[6]2H)     C[6](C[6]C[6]HH)(C[6]C[6]O)(H)(I){1|C<3>,2|C<4>,2|H<1>}    I(C[6]C[6]2H)   2.1455    0.0000    1     2.1455     0.0000    1
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[3x6]-3_3_2_0:C[3x6]-3_3_3_0:H-3:I-3     C[6,6]-3_3_0_0     C[6,6](C[3x6]C[4x6]O[6]H)(C[3x6]C[6,6]2H)(H)(I)    I(C[6,6]C[3x6]2H)     C[6,6](C[3x6]C[4x6]O[6]H)(C[3x6]C[6,6]2H)(H)(I){1|C<3>,2|C<4>,5|H<1>}    I(C[6,6]C[3x6]2H)   2.1851    0.0000    1     2.1851     0.0000    1
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[5,6]-3_3_2_0:C[6]-3_3_0_0:H-3:I-3     C[6]-3_3_0_0     C[6](C[5,6]C[5,6]O[5]H)(C[6]C[6]HH)(H)(I)    I(C[6]C[5,6]C[6]H)     C[6](C[5,6]C[5,6]O[5]H)(C[6]C[6]HH)(H)(I){1|C<3>,2|H<1>,3|C<4>}    I(C[6]C[5,6]C[6]H)   2.1755    0.0000    1     2.1755     0.0000    1
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[5,6]-3_3_2_0:C[6]-3_3_2_0:H-3:I-3     C[6]-3_3_0_0     C[6](C[5,6]N[5,6]C[5]H)(C[6]O[6]CH)(H)(I)    I(C[6]C[5,6]C[6]H)     C[6](C[5,6]N[5,6]C[5]H)(C[6]O[6]CH)(H)(I){1|C<3>,1|H<1>,1|O<2>,2|C<4>}    I(C[6]C[5,6]C[6]H)   2.1541    0.0015    2     2.1541     0.0015    2
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[5,6]-3_3_2_0:C[6]-3_3_3_0:H-3:I-3     C[6]-3_3_0_0     C[6](C[5,6]C[5,5,6]O[5]H)(C[6]C[6]CH)(H)(I)    I(C[6]C[5,6]C[6]H)     C[6](C[5,6]C[5,5,6]O[5]H)(C[6]C[6]CH)(H)(I){2|C<3>,2|C<4>,2|H<1>}    I(C[6]C[5,6]C[6]H)   2.1908    0.0000    1     2.1908     0.0000    1
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[5,6]-3_3_3_0:C[6]-3_3_0_0:H-3:I-3     C[6]-3_3_0_0     C[6](C[5,6]C[5,6]O[5]H)(C[6]C[6]HH)(H)(I)    I(C[6]C[5,6]C[6]H)     C[6](C[5,6]C[5,6]O[5]H)(C[6]C[6]HH)(H)(I){3|C<4>,3|H<1>}    I(C[6]C[5,6]C[6]H)   2.1789    0.0063    2     2.1789     0.0063    2
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[5,6]-3_3_3_0:C[6]-3_3_2_0:H-3:I-3     C[6]-3_3_0_0     C[6](C[5,6]C[5,6]O[5]H)(C[6]C[6a]O[6]H)(H)(I)    I(C[6]C[5,6]C[6]H)     C[6](C[5,6]C[5,6]O[5]H)(C[6]C[6a]O[6]H)(H)(I){1|H<1>,1|O<2>,2|C<3>,2|C<4>}    I(C[6]C[5,6]C[6]H)   2.1614    0.0047    3     2.1614     0.0047    3
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[5,6]-3_3_3_0:C[6]-3_3_2_0:H-3:I-3     C[6]-3_3_0_0     C[6](C[5,6]N[5,5,6]C[5,5]H)(C[6]C[6a]C[6]H)(H)(I)    I(C[6]C[5,6]C[6]H)     C[6](C[5,6]N[5,5,6]C[5,5]H)(C[6]C[6a]C[6]H)(H)(I){2|H<1>,3|C<3>,4|C<4>}    I(C[6]C[5,6]C[6]H)   2.1748    0.0000    1     2.1748     0.0000    1
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[5,6]-3_3_3_0:C[6]-3_3_3_0:H-3:I-3     C[6]-3_3_0_0     C[6](C[5,6]N[5,6]C[5]H)(C[6]C[6]HO)(H)(I)    I(C[6]C[5,6]C[6]H)     C[6](C[5,6]N[5,6]C[5]H)(C[6]C[6]HO)(H)(I){1|C<3>,3|C<4>,3|H<1>}    I(C[6]C[5,6]C[6]H)   2.1646    0.0000    1     2.1634     0.0017    2
