466  623  SP3_SP3  N  4:4:4:4:  3:3:3:4:  C[6,6]-3_3_0_0:C[6,6]-3_3_0_0:C[6,6]-3_3_0_0:N[3x4,3x6a]-3_2_2_2  C[3x6]-3_3_3_3:Ge[3x4,3x6a]-3_3_3:Ge[3x4,3x6a]-3_3_3:Ge[3x4,3x6a]-3_3_3  345_1669_1  613_0_1  1.4794  0.0050  2  1.4794  0.0050  2  
466  634  SP3_SP3  Y  4:3:1:1:  4:4:4:4:  C[6]-3_3_2:Ge[3,6]-3_3_3_3:H-3:H-3  C[6]-3_2_0_0:Ge[3,6]-3_3_3_3:Ge[3]-3_3_3_0:Si-3_3_3_2  449_30592_1  530_2_1  2.0426  0.0077  2  2.0426  0.0077  2  
466  634  SP3_SP3  Y  4:3:1:1:  4:4:4:4:  C[6]-3_3_2:Ge[3,6]-3_3_3_3:H-3:H-3  C[6]-3_2_0_0:Ge[3,6]-3_3_3_3:Ge[3]-3_3_3_0:Si-3_3_3_3  449_30592_2  530_0_1  2.1075  0.0083  2  2.1075  0.0083  2  
466  634  SP3_SP3  Y  4:3:1:1:  4:4:4:4:  C[6]-3_3_2:Ge[3,6]-3_3_3_3:H-3:H-3  C[6]-3_2_0_0:Ge[3,6]-3_3_3_3:Ge[3]-3_3_3_0:Si-3_3_3_3  449_30592_3  530_1_1  2.0336  0.0073  2  2.0336  0.0073  2  
466  643  SP2_SP3  N  2:2:2:3:  4:3:3:  C[6a]-3_2_2:O[6,6]-3_3:O[6,6]-3_3:O[6,6]-3_3  C[3x6]-3_3_3_2:C[6a]-2_2_0:C[6a]-2_2_0  345_1726_1  451_916_1  1.5031  0.0071  5  1.5031  0.0071  5  
466  643  SP2_SP3  N  2:2:2:3:  4:3:3:  C[6a]-3_2_2:O[6,6]-3_3:O[6,6]-3_3:O[6,6]-3_3  C[3x6]-3_3_3_2:C[6a]-2_2_0:C[6a]-2_2_0  345_1729_1  451_916_1  1.5059  0.0042  4  1.5059  0.0042  4  
466  643  SP2_SP3  N  2:3:3:2:  4:3:3:  C[6a]-3_2_2:N[6,6]-3_3_2:O[6]-3_2:O[6]-3_3  C[6,6]-3_2_2_2:C[6a]-2_2_0:C[6a]-2_2_0  446_6965_1  451_5070_1  1.5133  0.0000  1  1.5133  0.0000  1  
466  643  SP2_SP3  N  2:3:4:4:  4:3:3:  C[6a]-3_2_2:N[6,6]-3_3:P[6]-3_3_3_2:P[6]-3_3_3_2  C[6,6]-3_3_2_2:C[6a]-2_2_0:C[6a]-2_2_0  446_6738_1  451_5071_1  1.5334  0.0000  1  1.5334  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_2:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_2_2_0  449_30369_1  451_22632_1  1.4934  0.0000  1  1.4934  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_2:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_2_2_0  449_30411_1  451_22632_1  1.5037  0.0035  3  1.5037  0.0035  3  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a,6a]-2_2_2:C[6a]-2_2_0:C[6]-3_3_2_0  449_29810_1  451_7258_1  1.5137  0.0085  2  1.5137  0.0085  2  
