466  855  SP3_SPD6  Y  6:4:1:1:  4:4:2:2:1:1:  H-3:H-3:N[6]-3_3_3_2:Si[6,6]-3_3_2_2_0_0  Cl-6:Cl-6:C[6]-6_3_0_0:C[6]-6_3_0_0:O[6]-6_2:O[6]-6_2  449_36560_1  832_7_1  1.9279  0.0032  2  1.9279  0.0032  2  
466  856  SP2_SP3  N  3:4:4:1:  3:3:4:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_2_2  C[6,6a]-2_2_2:C[6]-3_2_2:C[6]-3_3_2_0  449_32722_1  661_1324_1  1.4820  0.0000  1  1.4820  0.0000  1  
466  856  SP2_SP3  N  3:4:4:1:  3:4:2:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_2_1  B[6]-2_2_2:C[6]-2_2:C[6]-3_3_2_0  449_32018_2  661_133_1  1.4937  0.0032  2  1.4937  0.0032  2  
466  856  SP2_SP3  N  3:4:4:1:  3:4:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_2_2  C[6,6a]-2_2_2:C[6]-3_2_2:C[6]-3_3_2_0  449_32722_1  661_1432_1  1.4794  0.0000  1  1.4794  0.0000  1  
466  856  SP2_SP3  N  3:4:4:1:  3:4:4:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_2_0  C[6]-2_2_0:C[6]-3_3_2_0:In[6]-3_3_2_2  449_35505_1  661_2560_2  1.4764  0.0027  2  1.4764  0.0027  2  
466  856  SP2_SP3  N  3:4:4:1:  3:4:4:  C[6]-3_3_0_0:C[6]-3_3_3_0:H-3:N[6]-3_2_0  C[6]-2_2_0:C[6]-3_3_2_0:In[6]-3_3_2_2  449_35504_1  661_2560_1  1.4819  0.0040  7  1.4819  0.0040  7  
466  856  SP2_SP3  N  3:4:4:1:  4:3:2:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_2_2  C[6]-3_2_2:C[6]-3_3_2_0:N[6]-2_2  449_34306_1  661_2840_1  1.4731  0.0000  1  1.4731  0.0000  1  
466  856  SP2_SP3  N  3:4:4:1:  4:4:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_3_2  B[6]-2_2_2_2:C[6]-2_2_2:C[6]-3_3_2_0  449_32018_1  661_124_1  1.4858  0.0000  1  1.4927  0.0097  2  
466  856  SP2_SP3  N  3:4:4:1:  4:4:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_3_2  B[6]-2_2_2_2:C[6]-2_2_2:C[6]-3_3_2_0  449_32018_1  661_124_2  1.4995  0.0000  1  1.4927  0.0097  2  
466  856  SP2_SP3  N  3:4:4:1:  4:4:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_3_2  C[6,6]-3_3_2_2:C[6]-2_2_0:C[6]-3_3_2_0  449_32393_1  661_1060_1  1.4837  0.0000  1  1.4891  0.0077  2  
466  856  SP2_SP3  N  3:4:4:1:  4:4:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_3_2  C[6,6]-3_3_2_2:C[6]-2_2_0:C[6]-3_3_2_0  449_32393_2  661_1060_2  1.4945  0.0000  1  1.4891  0.0077  2  
466  856  SP2_SP3  N  3:4:4:1:  4:4:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_3_2  C[6,6]-3_3_2_2:C[6]-3_2_0:C[6]-3_3_2_0  449_32393_3  661_1060_3  1.5085  0.0014  2  1.5085  0.0014  2  
466  856  SP2_SP3  N  3:4:4:1:  4:4:3:  C[6]-3_3_0_0:C[6]-3_3_2_0:H-3:N[6]-3_2_0  C[6]-3_3_2_0:C[6]-3_3_2:In[6]-3_3_3_2  449_35504_2  661_4814_1  1.4802  0.0000  1  1.4802  0.0000  1  
466  856  SP2_SP3  N  4:3:3:1:  3:4:3:  C[6]-3_2_2:C[6]-3_3_0_0:H-3:N[6]-3_2_2  C[6]-2_2_0:C[6]-2_2_2:C[6]-3_2_2_0  449_15478_1  661_2700_1  1.4650  0.0000  1  1.4650  0.0000  1  
466  856  SP2_SP3  N  4:3:3:1:  4:3:3:  C[6]-3_2_0:C[6]-3_3_0_0:H-3:N[6]-3_2_2  C[6]-2_2_0:C[6]-2_2_0:C[6]-3_2_2_0  449_19947_1  661_2827_1  1.4992  0.0000  1  1.4992  0.0000  1  
466  856  SP2_SP3  N  4:3:4:1:  3:4:4:  C[6]-3_3_0_0:C[6]-3_3_2_0:H-3:N[6]-3_3_2  B[6]-2_2_0_0:C[6]-2_2_0:C[6]-3_3_2_0  449_25649_1  661_2533_1  1.4952  0.0135  2  1.4952  0.0135  2  
466  856  SP2_SP3  N  4:4:3:1:  3:3:4:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_2_2  C[6]-2_2_2:C[6]-2_2_2:C[6]-3_3_2_0  449_24198_5  661_2771_2  1.4939  0.0059  8  1.4939  0.0059  8  
466  856  SP2_SP3  N  4:4:3:1:  3:3:4:  C[6]-3_3_0_0:C[6]-3_3_2_0:H-3:N[6]-3_2_2  C[6]-2_2_2:C[6]-2_2_2:C[6]-3_3_2_0  449_22994_1  661_2771_1  1.4940  0.0008  2  1.4940  0.0008  2  
466  856  SP2_SP3  N  4:4:3:1:  3:3:4:  C[6]-3_3_0_0:C[6]-3_3_2_0:H-3:N[6]-3_2_2  C[6]-2_2_2:C[6]-2_2_2:C[6]-3_3_2_0  449_25329_1  661_2771_1  1.4753  0.0099  2  1.4753  0.0099  2  
466  856  SP2_SP3  N  4:4:3:1:  3:3:4:  C[6]-3_3_0_0:C[6]-3_3_2_0:H-3:N[6]-3_2_2  C[6]-2_2_2:C[6]-2_2_2:C[6]-3_3_2_0  449_25633_1  661_2771_1  1.4700  0.0157  8  1.4700  0.0157  8  
466  856  SP2_SP3  N  4:4:3:1:  3:3:4:  C[6]-3_3_0_0:C[6]-3_3_2_0:H-3:N[6]-3_2_2  C[6]-2_2_2:C[6]-2_2_2:C[6]-3_3_2_0  449_29227_1  661_2771_1  1.4965  0.0150  8  1.4965  0.0150  8  
466  856  SP2_SP3  N  4:4:3:1:  3:4:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_2_2  C[6]-2_2_2:C[6]-2_2_2:C[6]-3_3_2_0  449_24198_3  661_4205_2  1.5070  0.0040  5  1.5057  0.0033  12  
466  856  SP2_SP3  N  4:4:3:1:  3:4:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_2_2  C[6]-2_2_2:C[6]-2_2_2:C[6]-3_3_2_0  449_24198_3  661_4205_1  1.5048  0.0026  7  1.5057  0.0033  12  
466  856  SP2_SP3  N  4:4:3:1:  3:4:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_2_2  C[6]-2_2_2:C[6]-3_2_2:C[6]-3_3_2_0  449_24198_6  661_1969_1  1.4894  0.0000  1  1.4894  0.0000  1  
466  856  SP2_SP3  N  4:4:3:1:  3:4:4:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_3_2  C[6]-3_2_2_0:C[6]-3_2_2:C[6]-3_3_2_0  449_24198_8  661_2349_1  1.4944  0.0000  1  1.4944  0.0000  1  
466  856  SP2_SP3  N  4:4:3:1:  4:3:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_2_2  C[6]-2_2_2:C[6]-3_2_2:C[6]-3_3_2_0  449_24198_6  661_2823_1  1.4951  0.0000  1  1.4951  0.0000  1  
466  856  SP2_SP3  N  4:4:3:1:  4:3:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_2_2  C[6]-2_2_2:C[6]-3_2_2:C[6]-3_3_2_0  449_24198_4  661_2842_1  1.4890  0.0049  2  1.4890  0.0049  2  
466  856  SP2_SP3  N  4:4:3:1:  4:3:3:  C[6]-3_3_0_0:C[6]-3_3_3_0:H-3:N[6]-3_2_2  C[6]-2_2_0:C[6]-2_2_0:C[6]-3_3_2_0  449_22994_3  661_2827_2  1.4829  0.0000  1  1.4829  0.0000  1  
466  856  SP2_SP3  N  4:4:3:1:  4:4:3:  C[3x6]-3_3_3_0:C[6,6]-3_3_0_0:H-3:N[6]-3_3_2  C[6,6]-3_3_2_0:C[6]-2_2_2:C[6]-3_2_0_0  446_1058_1  661_750_1  1.4787  0.0000  1  1.4787  0.0000  1  
466  856  SP2_SP3  N  4:4:3:1:  4:4:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_3_2  C[6]-2_2_0_0:C[6]-2_2_0:C[6]-3_3_2_0  449_24198_7  661_2580_1  1.4775  0.0000  1  1.4775  0.0000  1  
466  856  SP2_SP3  N  4:4:3:1:  4:4:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:N[6]-3_3_2  C[6]-2_2_2:C[6]-3_2_0_0:C[6]-3_3_2_0  449_24198_9  661_2831_1  1.4737  0.0000  1  1.4737  0.0000  1  
466  856  SP2_SP3  N  4:4:3:1:  4:4:3:  C[6]-3_3_0_0:C[6]-3_3_3_0:H-3:N[6]-3_3_2  C[6]-3_2_0_0:C[6]-3_2_0:C[6]-3_3_2_0  449_19840_1  661_2829_1  1.4966  0.0028  2  1.4966  0.0028  2  
466  856  SP2_SP3  N  4:4:4:3:  4:3:2:  C[6,6]-3_3_0_0:C[6,6]-3_3_0_0:C[6,6]-3_3_0_0:N[6]-3_2_1  C[3x6]-3_3_3_2:C[6]-2_2_2:Ge[6]-2_2  345_1184_1  661_209_1  1.4962  0.0000  1  1.4962  0.0000  1  
466  856  SP2_SP3  N  6:4:3:1:  4:3:3:  B[5x3,5x5,21x6]-6_6_6_6_6_3:C[6]-3_3_0_0:H-3:N[6]-3_2_2  C[6]-2_2_0:C[6]-2_2_0:C[6]-6_3_2_0  449_63_1  661_1799_1  1.5069  0.0000  1  1.5069  0.0000  1  
466  856  SP2_SP3  Y  2:3:1:1:  4:3:4:  H-3:H-3:N[6]-3_3_2:O[6]-3_3  C-3_3_2_0:C[6]-2_2_0:C[6]-3_2_0_0  449_35656_1  661_4456_1  1.4720  0.0028  2  1.4720  0.0028  2  
466  856  SP2_SP3  Y  2:3:3:2:  4:4:3:  C[6a]-3_2_2:N[6,6]-3_3_2:O[6]-3_2:O[6]-3_3  C[6,6]-3_2_2_2:C[6]-2_2_2:C[6]-3_2_0_0  446_6965_1  658_468_1  1.4576  0.0000  1  1.4576  0.0000  1  
