490    993     3:1:1:1:    4:4:4:    Se[5]-3:H-1:H-1:H-1:     C[5]-4:C[5]-4:C-4:     N    C(Se[5]C[5]2)(H)3    Se[5](C[5]C[5,6a]HH)2(CH3)     C(Se[5]C[5]2)(H)3    Se[5](C[5]C[5,6a]HH)2(CH3){2|C<3>}   1.9304    0.0082    2     1.9304     0.0082    2
490    995     4:1:1:1:    4:    C-4:H-1:H-1:S-1:     C-4:     N    C(CCHN)(H)2(S)    S(CCHH)     C(CCHN)(H)2(S)    S(CCHH)   1.7956    0.0000    1     1.7956     0.0000    1
490    996     2:1:1:1:    2:4:    C-2:H-1:H-1:H-1:     C-2:C-4:     N    C(CC)(H)3    C(CC[5a])(CH3)     C(CC)(H)3    C(CC[5a])(CH3)   1.4606    0.0000    1     1.4606     0.0000    1
490    996     2:1:1:1:    2:4:    C-2:H-1:H-1:H-1:     N-2:C-4:     N    C(CN)(H)3    C(NB[6,6])(CH3)     C(CN)(H)3    C(NB[6,6])(CH3)   1.4506    0.0000    1     1.4506     0.0000    1
490    996     2:1:1:1:    4:2:    C-2:H-1:H-1:H-1:     C-4:N-2:     N    C(CN)(H)3    C(CH3)(NNb)     C(CN)(H)3    C(CH3)(NNb)   1.4731    0.0000    1     1.4731     0.0000    1
490    996     2:2:1:1:    4:1:    C-2:O-2:H-1:H-1:     C-4:N-1:     N    C(CN)(OC)(H)2    C(CHHO)(N)     C(CN)(OC)(H)2    C(CHHO)(N)   1.4763    0.0000    1     1.4763     0.0000    1
490    996     2:2:1:1:    4:2:    C-2:O-2:H-1:H-1:     C-4:C-2:     N    C(CC)(OH)(H)2    C(CHHO)(CC)     C(CC)(OH)(H)2    C(CHHO)(CC)   1.4687    0.0000    1     1.4687     0.0000    1
490    996     2:2:1:1:    4:2:    O-2:C-2:H-1:H-1:     C-4:C-2:     N    C(OC[6a])(CC)(H)2    C(CHHO)(CH)     C(OC[6a])(CC)(H)2    C(CHHO)(CH)   1.4540    0.0000    1     1.4540     0.0000    1
490    996     2:2:2:1:    2:4:    C-2:O-2:O-2:H-1:     C-2:C-4:     N    C(CC)(OC)2(H)    C(CC[6a])(CHOO)     C(CC)(OC)2(H)    C(CC[6a])(CHOO)   1.4783    0.0000    1     1.4783     0.0000    1
490    996     2:2:2:1:    4:2:    C-2:O-2:O-2:H-1:     C-4:C-2:     N    C(CC)(OC)2(H)    C(CHOO)(CC)     C(CC)(OC)2(H)    C(CHOO)(CC)   1.4761    0.0000    1     1.4761     0.0000    1
490    996     3:2:1:1:    4:1:    C-3:C-2:H-1:H-1:     C-4:N-1:     N    C(CNO)(CN)(H)2    C(CCHH)(N)     C(CNO)(CN)(H)2    C(CCHH)(N)   1.4492    0.0000    1     1.4492     0.0000    1
490    996     3:2:1:1:    4:1:    C-3:C-2:H-1:H-1:     C-4:N-1:     N    C(COO)(CN)(H)2    C(CCHH)(N)     C(COO)(CN)(H)2    C(CCHH)(N)   1.3716    0.0000    1     1.3716     0.0000    1
